player,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Matee Ajavon,WAS,G,34,587,4,85,253,.336,28,82,.341,57,171,.333,74,110,.673,27,64,37,37,4,50,84,272,/wnba/players/a/ajavoma01w.html,https://www.basketball-reference.com/wnba/players/a/ajavoma01w.html,ajavoma01w
Nicky Anosike,MIN,F-C,30,896,29,130,265,.491,1,4,.250,129,261,.494,135,194,.696,73,222,81,81,28,61,88,396,/wnba/players/a/anosini01w.html,https://www.basketball-reference.com/wnba/players/a/anosini01w.html,anosini01w
La'Tangela Atkinson,SEA,G-F,2,46,1,2,8,.250,0,1,.000,2,7,.286,1,2,.500,6,18,5,10,1,4,5,5,/wnba/players/a/atkinla01w.html,https://www.basketball-reference.com/wnba/players/a/atkinla01w.html,atkinla01w
Seimone Augustus,MIN,G-F,6,178,6,49,86,.570,9,14,.643,40,72,.556,19,21,.905,4,25,9,12,3,13,5,126,/wnba/players/a/augusse01w.html,https://www.basketball-reference.com/wnba/players/a/augusse01w.html,augusse01w
Sherill Baker,DET,G,1,11,0,2,3,.667,0,0,,2,3,.667,3,3,1.000,1,1,1,1,0,1,1,7,/wnba/players/b/bakersh01w.html,https://www.basketball-reference.com/wnba/players/b/bakersh01w.html,bakersh01w
Mistie Bass,CHI,F,8,126,5,20,39,.513,0,2,.000,20,37,.541,9,16,.563,12,27,3,5,3,4,12,49,/wnba/players/b/bassmi01w.html,https://www.basketball-reference.com/wnba/players/b/bassmi01w.html,bassmi01w
Suzy Batkovic-Brown,SEA,C,20,147,0,21,43,.488,3,11,.273,18,32,.563,2,8,.250,9,29,4,5,6,24,29,47,/wnba/players/b/batkosu01w.html,https://www.basketball-reference.com/wnba/players/b/batkosu01w.html,batkosu01w
Ashley Battle,NYL,F,34,548,3,63,148,.426,19,46,.413,44,102,.431,32,46,.696,17,85,40,31,2,52,48,177,/wnba/players/b/battlas01w.html,https://www.basketball-reference.com/wnba/players/b/battlas01w.html,battlas01w
Alana Beard,WAS,G-F,31,985,30,188,438,.429,32,107,.299,156,331,.471,84,114,.737,19,123,68,72,18,100,97,492,/wnba/players/b/beardal01w.html,https://www.basketball-reference.com/wnba/players/b/beardal01w.html,beardal01w
Tully Bevilaqua,IND,G,34,861,32,68,181,.376,37,107,.346,31,74,.419,36,54,.667,12,79,97,62,8,48,76,209,/wnba/players/b/beviltu01w.html,https://www.basketball-reference.com/wnba/players/b/beviltu01w.html,beviltu01w
