player,wnba_age,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id,EntityId,pbp_name,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Period2Fouls2Minutes,Period3Fouls3Minutes,Period4Fouls4Minutes,OnOffRtg,OnDefRtg,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,ThreePtOffReboundedPct,PenaltyOffPossPct,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Transition Take Fouls,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Loose Ball Fouls,Defensive 3 Seconds Violations,Period2Fouls3Minutes,Period3Fouls4Minutes,Period4Fouls5Minutes,PeriodOTFouls5Minutes,ThreePtShootingFoulsDrawnPct,Charge Fouls,Transition Take Fouls Drawn,PeriodOTFouls4Minutes,LongMidRangePctBlocked,PenaltyCorner3FGM,FTOffRebounds,Clear Path Fouls,Corner3PctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,3SecondViolations,Period1Fouls2Minutes,year,ortg,drtg,NetRtg,rortg,rdrtg,nba_id,Pos,Position_Number
Kayla McBride,33,MIN,G,6,221,6,41,88,0.466,20,42,0.476,21,46,0.457,18,18,1.0,3,22,16,7,2,7,6,120,/wnba/players/m/mcbrika01w.html,https://www.basketball-reference.com/wnba/players/m/mcbrika01w.html,mcbrika01w,203825,Kayla McBride,1611661324,Kayla McBride,Kayla McBride,203825,MIN,12056.0,6,201.0,11.0,428,432,57.0,59.0,43.0,860,8.0,14.0,1.0,2.0,1.0,2.0,9.0,19.0,4.0,13.0,3.0,6.0,,,17.0,36.0,2.0,4.0,21.0,46.0,20.0,42.0,18.0,120.0,434,4.0,7.0,3.0,6.0,3.0,20.0,2.0,4.0,3.0,6.0,,13.0,28.0,14.0,48.0,,36.0,17.0,3.0,12.0,4.0,16.0,1.0,3.0,4.0,5.0,3.0,36.0,1.0,2.0,9.0,9.0,1.0,19.0,3.0,22.0,3.0,7.0,5.0,2.0,6.0,,3.0,1.0,1.0,3.0,,7.0,1.0,1.0,1.0,6.0,,17.0,1.0,1.0,,18.0,2.0,2.0,7.0,1.0,2.0,,,2.0,,,,2.0,2.0,100.0,13.0,56.0,,,,2.0,,103.97196261682242,100.46296296296296,0.6666666666666666,0.6666666666666666,0.8,0.4761904761904761,0.5,0.5,0.4761904761904761,0.4565217391304347,0.5714285714285714,0.5,0.5795454545454546,0.6538461538461539,0.65,0.6210526315789474,0.6666666666666666,0.65,0.4772727272727273,0.0652173913043478,0.0714285714285714,0.1052631578947368,21.17400419287212,0.8571428571428571,0.1111111111111111,0.0697674418604651,0.0176991150442477,0.1111111111111111,0.0111111111111111,0.0857142857142857,0.0147783251231527,,0.0227272727272727,0.027027027027027,0.0133333333333333,,0.1489361702127659,0.037037037037037,,0.1166666666666666,0.0952380952380952,0.0714285714285714,1.0,0.1590909090909091,0.5714285714285714,0.6153846153846154,0.625,0.2159090909090909,0.4736842105263157,0.5294117647058824,0.6666666666666666,0.1477272727272727,0.3076923076923077,0.3076923076923077,0.75,0.0681818181818181,0.5,0.5,1.0,0.4090909090909091,0.4722222222222222,0.4722222222222222,0.7647058823529411,0.1538461538461538,0.5,,,,0.2,0.5,0.4,0.5,0.6363636363636364,0.4722222222222222,0.4771744318181818,0.5029166666666667,0.440075,0.0851063829787234,0.1372549019607843,0.1666666666666666,0.1083333333333333,9.23913043478261,25.904761904761905,,0.4,0.125,0.1904761904761904,0.1331775700934579,2.0,3.0,6.0,12.0,,,,1.0,,,1.0,0.4615384615384615,0.5,1.0,0.2,,,,,,,0.0232558139534883,,,,,1.0,,,,,0.5,,,,2025,103.97196261682242,100.46296296296295,3.508999653859476,0.9273431942502555,-2.527593175547011,203825,G,1.0
Janelle SalaÃ¼n,23,GSV,F,2,69,2,9,18,0.5,5,11,0.455,4,7,0.571,4,5,0.8,1,10,1,1,0,2,4,27,/wnba/players/s/salauja01w.html,https://www.basketball-reference.com/wnba/players/s/salauja01w.html,salauja01w,1642767,Janelle Salaün,1611661331,Janelle Salaün,Janelle Salaün,1642767,GSV,2967.0,2,49.0,-31.0,133,133,25.0,38.0,11.0,266,2.0,2.0,,,1.0,1.0,,3.0,2.0,2.0,2.0,3.0,,,3.0,8.0,,2.0,4.0,7.0,5.0,11.0,4.0,27.0,156,,,,,,,2.0,2.0,1.0,3.0,,7.0,8.0,,15.0,,8.0,3.0,,1.0,,1.0,,,1.0,,,2.0,1.0,,3.0,5.0,1.0,9.0,1.0,10.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,2.0,1.0,,,4.0,,4.0,,1.0,,5.0,,,1.0,,,,,,,,,,,27.0,7.0,25.0,,,,,,93.98496240601504,117.29323308270676,1.0,1.0,1.0,0.4545454545454545,,0.3333333333333333,0.4545454545454545,0.5714285714285714,,1.0,0.6388888888888888,,0.7,0.675,,0.7,0.6111111111111112,,,,15.068493150684931,0.5,0.3333333333333333,0.1612903225806451,,0.12,0.037037037037037,0.1428571428571428,0.0158730158730158,,,,0.0454545454545454,,,0.2307692307692307,0.25,0.15,,,,0.1111111111111111,1.0,1.0,1.0,0.1666666666666666,,,,0.1111111111111111,1.0,1.0,1.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.4444444444444444,0.375,0.375,1.0,,,,,,0.2,1.0,0.4,,0.7222222222222222,0.375,0.5112388888888888,,0.49484,0.1,0.125,,0.2592592592592592,10.014285714285714,24.61818181818182,,,,0.1666666666666666,0.18796992481203,1.0,,,,,,,1.0,,,,,,,0.2,1.0,,,,,,0.0833333333333333,,,,,1.0,,,,,1.0,,,,2025,93.98496240601504,117.29323308270676,-23.30827067669172,-9.059657016557125,14.302676944196804,1642767,F,3.0
Satou Sabally,27,PHO,F,10,326,10,57,143,0.399,24,72,0.333,33,71,0.465,52,60,0.867,12,70,25,11,2,22,28,190,/wnba/players/s/sabalsa01w.html,https://www.basketball-reference.com/wnba/players/s/sabalsa01w.html,sabalsa01w,1630149,Satou Sabally,1611661317,Satou Sabally,Satou Sabally,1630149,PHX,19553.0,10,326.0,6.0,636,637,77.0,101.0,68.0,1273,21.0,36.0,3.0,7.0,1.0,2.0,10.0,26.0,2.0,9.0,1.0,4.0,,,23.0,68.0,2.0,7.0,33.0,71.0,24.0,72.0,52.0,190.0,634,5.0,15.0,6.0,10.0,7.0,35.0,5.0,8.0,2.0,7.0,8.0,24.0,42.0,24.0,60.0,4.0,68.0,23.0,6.0,21.0,4.0,25.0,1.0,3.0,13.0,6.0,2.0,54.0,7.0,4.0,26.0,29.0,3.0,58.0,12.0,70.0,4.0,11.0,6.0,5.0,13.0,5.0,7.0,9.0,1.0,6.0,,22.0,1.0,5.0,12.0,28.0,2.0,42.0,,6.0,1.0,60.0,5.0,4.0,28.0,3.0,2.0,,,1.0,,,1.0,2.0,,155.0,24.0,72.0,2.0,3.0,16.0,10.0,4.0,100.62893081761004,99.52904238618524,0.6363636363636364,0.6774193548387096,0.8333333333333334,0.3333333333333333,0.6,0.2857142857142857,0.3333333333333333,0.4647887323943662,0.3333333333333333,0.625,0.4825174825174825,0.56,0.5333333333333333,0.5532544378698225,0.6296296296296297,0.6052631578947368,0.5034965034965035,0.0845070422535211,0.0555555555555555,0.1538461538461538,26.46239554317549,0.5909090909090909,0.25,0.1695906432748538,0.0209424083769633,0.1733333333333333,0.0534351145038167,0.1713395638629283,0.0341614906832298,0.0163934426229508,0.0229885057471264,0.0232558139534883,0.0373831775700934,0.125,0.1739130434782608,0.1951219512195122,0.1162790697674418,0.1610169491525423,0.21875,0.0512820512820512,,0.2517482517482518,0.5833333333333334,0.6176470588235294,0.6666666666666666,0.1818181818181818,0.3846153846153846,0.4545454545454545,0.6,0.0629370629370629,0.2222222222222222,0.2222222222222222,0.5,0.0279720279720279,0.25,0.25,1.0,0.4755244755244755,0.3382352941176471,0.3432835820895522,0.8260869565217391,0.28,0.4285714285714285,,,,0.1333333333333333,0.5,0.4666666666666667,0.2857142857142857,0.7552447552447552,0.3382352941176471,0.5057381118881119,0.5239125,0.44094,0.1686746987951807,0.2978723404255319,0.1842105263157894,0.1263157894736842,5.584507042253521,25.258333333333333,0.4666666666666667,0.375,,0.2340425531914893,0.1210691823899371,,6.0,10.0,12.0,,1.0,,,0.0138888888888888,0.0147058823529411,,0.4,0.6,0.8333333333333334,,3.0,,,,6.0,,,,,5.0,,,1.0,,,0.0625,,1.0,,,2025,100.62893081761007,99.52904238618524,1.09988843142483,-2.4156886049620994,-3.46151375232472,1630149,F,3.0
Nyara Sabally,25,NYL,C,1,7,0,0,3,0.0,0,0,,0,3,0.0,1,2,0.5,0,1,1,1,0,0,0,1,/wnba/players/s/sabalny01w.html,https://www.basketball-reference.com/wnba/players/s/sabalny01w.html,sabalny01w,1631055,Nyara Sabally,1611661313,Nyara Sabally,Nyara Sabally,1631055,NYL,435.0,1,7.0,3.0,13,13,6.0,,1.0,26,,,,,,,,3.0,,,,,,,,,,,,3.0,,,1.0,1.0,8,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,3.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,1.0,,6.0,,,,,,84.61538461538461,61.53846153846153,,,,,,,,,,,,,,0.125,,,,0.3333333333333333,,0.3333333333333333,28.57142857142857,,,0.5,,,,0.1428571428571428,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3628666666666666,,0.33635,0.25,0.25,,,5.533333333333334,,,,,,0.4615384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,84.61538461538461,61.53846153846154,23.076923076923073,-18.429234807187555,-41.45209460004842,1631055,C,5.0
Iliana Rupert,23,GSV,C,2,48,1,3,7,0.429,2,6,0.333,1,1,1.0,0,0,,1,5,6,0,2,5,5,8,/wnba/players/r/ruperil01w.html,https://www.basketball-reference.com/wnba/players/r/ruperil01w.html,ruperil01w,1630387,Iliana Rupert,1611661331,Iliana Rupert,Iliana Rupert,1630387,GSV,2902.0,2,48.0,-21.0,89,87,26.0,28.0,9.0,176,1.0,1.0,,,,,,,,,,1.0,,,2.0,5.0,,1.0,1.0,1.0,2.0,6.0,,8.0,105,,,,,,,,,,2.0,,,2.0,,6.0,,5.0,2.0,,2.0,4.0,6.0,2.0,2.0,2.0,,,16.0,1.0,,1.0,3.0,,4.0,1.0,5.0,,,,,4.0,,4.0,1.0,,,,5.0,,,2.0,5.0,,2.0,,1.0,,,,,,,2.0,,,1.0,,,1.0,2.0,2.0,8.0,,26.0,,,2.0,,,94.3820224719101,120.6896551724138,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,1.0,,,0.5714285714285714,,,0.5714285714285714,,,0.8571428571428571,,,,12.12121212121212,0.8,,0.1666666666666666,,0.0476190476190476,0.0526315789473684,0.1025641025641025,0.0238095238095238,,,,,0.25,0.25,0.1818181818181818,,,0.2,,1.0,0.1428571428571428,1.0,1.0,1.0,,,,,,,,,0.1428571428571428,,,,0.7142857142857143,0.4,0.4,1.0,,,,,,,,0.5,,1.0,0.4,0.4856857142857143,,0.47775,,,,,3.1,24.85,,,,,0.2921348314606741,1.0,,,,,,,,,,,,,,0.5,3.0,1.0,,,,,,,,,,,,,,,,,,,2025,94.3820224719101,120.6896551724138,-26.30763270050369,-8.662596950662063,17.699099033903835,1630387,C,5.0
Cheyenne Parker-Tyus,32,LVA,F,6,36,0,4,10,0.4,1,3,0.333,3,7,0.429,3,4,0.75,3,6,1,0,1,2,7,12,/wnba/players/p/parkech01w.html,https://www.basketball-reference.com/wnba/players/p/parkech01w.html,parkech01w,204323,Cheyenne Parker-Tyus,1611661319,Cheyenne Parker-Tyus,Cheyenne Parker-Tyus,204323,LVA,2180.0,6,36.0,-1.0,70,69,38.0,36.0,5.0,139,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,,1.0,,1.0,,,1.0,2.0,,1.0,3.0,7.0,1.0,3.0,3.0,12.0,73,2.0,3.0,1.0,1.0,,7.0,2.0,5.0,,1.0,1.0,5.0,2.0,4.0,,4.0,2.0,1.0,1.0,1.0,,1.0,,,,1.0,,2.0,2.0,1.0,2.0,,1.0,3.0,3.0,6.0,1.0,,,,,,,2.0,,,,2.0,,,2.0,7.0,2.0,2.0,,,,4.0,,,2.0,,1.0,,,,,1.0,,1.0,,5.0,5.0,38.0,,,,5.0,3.0,102.85714285714286,105.79710144927536,0.3333333333333333,1.0,,0.3333333333333333,1.0,,0.3333333333333333,0.4285714285714285,0.6666666666666666,0.4,0.45,0.875,0.3333333333333333,0.5,0.875,0.3571428571428571,0.3,0.1428571428571428,,0.25,18.42105263157895,,0.3333333333333333,,0.0666666666666666,0.1666666666666666,0.1538461538461538,0.0625,0.1071428571428571,,0.125,,0.2,,,,,0.2222222222222222,,0.2,,0.2,1.0,1.0,,0.4,0.25,0.3333333333333333,1.0,0.1,,,,0.1,,,,0.2,0.5,0.5,,0.5,1.0,,,,0.3333333333333333,1.0,0.1666666666666666,,0.5,0.5,0.48972,0.5803,0.4944416666666666,0.1666666666666666,0.2222222222222222,0.5833333333333334,0.4166666666666667,7.399999999999999,24.4,,0.3333333333333333,,,0.5428571428571428,,1.0,1.0,3.0,,,,,,,,0.25,1.0,,,,,,2.0,,,,,,,,,,,,,,,,2.0,2025,102.85714285714285,105.79710144927536,-2.9399585921325126,-0.18747656542932134,2.806545310765401,204323,F,3.0
Te-Hina PaoPao,22,ATL,G,3,29,0,8,15,0.533,3,8,0.375,5,7,0.714,0,0,,1,5,1,1,1,4,2,19,/wnba/players/p/paopate01w.html,https://www.basketball-reference.com/wnba/players/p/paopate01w.html,paopate01w,1642804,Te-Hina Paopao,1611661330,Te-Hina Paopao,Te-Hina Paopao,1642804,ATL,1767.0,3,29.0,-4.0,59,59,13.0,28.0,9.0,118,3.0,4.0,,,,,2.0,3.0,,,,1.0,,,3.0,7.0,,1.0,5.0,7.0,3.0,8.0,,19.0,53,,,,,,,,,,2.0,,,4.0,6.0,3.0,,7.0,3.0,,1.0,,1.0,,,1.0,,,2.0,1.0,,2.0,2.0,,4.0,1.0,5.0,1.0,1.0,1.0,,3.0,,3.0,1.0,1.0,,,4.0,,1.0,1.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,19.0,,13.0,,,,,,83.05084745762713,89.83050847457628,0.4,0.4,0.3333333333333333,0.375,,,0.375,0.7142857142857143,,,0.6333333333333333,,,0.6333333333333333,,,0.5333333333333333,,,,27.536231884057973,0.75,,0.1111111111111111,,0.1333333333333333,0.0909090909090909,0.1212121212121212,0.0294117647058823,,,,0.125,,,0.2,0.2,0.0769230769230769,0.5,0.1428571428571428,,0.2666666666666666,0.75,0.75,0.6666666666666666,0.2,0.6666666666666666,0.6666666666666666,,,,,,0.0666666666666666,,,,0.4666666666666667,0.4285714285714285,0.4285714285714285,0.3333333333333333,,,,,,,,0.5,,0.8,0.4285714285714285,0.5123966666666667,,0.54885,,,,,3.1142857142857143,25.4125,1.0,,,0.2,0.2203389830508474,1.0,,,6.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2025,83.05084745762711,89.83050847457628,-6.779661016949163,-19.993771964945054,-13.160047663933682,1642804,G,1.0
Nneka Ogwumike,34,SEA,F,3,93,3,18,42,0.429,6,11,0.545,12,31,0.387,9,10,0.9,5,27,8,2,0,5,4,51,/wnba/players/o/ogwumnn01w.html,https://www.basketball-reference.com/wnba/players/o/ogwumnn01w.html,ogwumnn01w,203014,Nneka Ogwumike,1611661328,Nneka Ogwumike,Nneka Ogwumike,203014,SEA,5564.0,3,93.0,-31.0,178,177,27.0,45.0,22.0,355,3.0,6.0,1.0,2.0,,,7.0,21.0,2.0,4.0,1.0,3.0,,,5.0,8.0,1.0,1.0,12.0,31.0,6.0,11.0,9.0,51.0,204,1.0,2.0,,,2.0,4.0,,3.0,1.0,2.0,,3.0,14.0,10.0,12.0,2.0,8.0,5.0,5.0,5.0,3.0,8.0,3.0,,2.0,3.0,,19.0,,5.0,6.0,11.0,5.0,22.0,5.0,27.0,,2.0,1.0,1.0,5.0,,1.0,,,4.0,,5.0,1.0,,2.0,4.0,,16.0,,,,10.0,1.0,,5.0,1.0,,,,,,,,,,47.0,3.0,27.0,,,,,,97.19101123595506,115.2542372881356,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.5454545454545454,,0.5,0.5454545454545454,0.3870967741935484,0.5,,0.5,0.5,0.3,0.5425531914893617,0.6666666666666666,0.3,0.2619047619047619,0.1612903225806451,0.1666666666666666,0.1904761904761904,25.247524752475247,1.0,0.7142857142857143,0.2558139534883721,0.0735294117647058,0.2307692307692307,,0.2463768115942029,0.0549450549450549,0.0625,0.073170731707317,0.0909090909090909,,,0.5555555555555556,0.16,0.2222222222222222,0.2105263157894736,0.2857142857142857,,,0.1428571428571428,0.5,0.6,0.3333333333333333,0.5,0.3333333333333333,0.4117647058823529,0.5714285714285714,0.0952380952380952,0.5,0.5,1.0,0.0714285714285714,0.3333333333333333,0.3333333333333333,1.0,0.1904761904761904,0.625,0.625,0.6,1.0,0.5,,,,,,0.2,1.0,0.4047619047619047,0.625,0.4670142857142857,0.56705,0.47029,0.108695652173913,0.1428571428571428,0.0784313725490196,0.0588235294117647,8.358064516129033,24.518181818181816,0.3333333333333333,0.3076923076923077,,0.2,0.1516853932584269,1.0,,,6.0,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,2025,97.19101123595506,115.2542372881356,-18.06322605218054,-5.853608186617109,12.26368114962564,203014,F,3.0
Aaliyah Nye,22,LVA,G-F,6,15,0,0,3,0.0,0,1,0.0,0,2,0.0,0,0,,0,1,0,0,0,0,2,0,/wnba/players/n/nyeaa01w.html,https://www.basketball-reference.com/wnba/players/n/nyeaa01w.html,nyeaa01w,1642801,Aaliyah Nye,1611661319,Aaliyah Nye,Aaliyah Nye,1642801,LVA,913.0,6,15.0,-14.0,27,29,12.0,19.0,3.0,56,,,,,,,,2.0,,,,1.0,,,,,,,,2.0,,1.0,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,66.66666666666666,110.3448275862069,,,,,,,,,,,,,,,,,0.3333333333333333,,,,10.0,,,,,0.125,,0.1,,,,,,,,,,0.1428571428571428,,,,,,,,0.6666666666666666,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,0.3333333333333333,,0.3939166666666667,,,,,,,6.7,23.5,,0.5,,,0.4444444444444444,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,2025,66.66666666666666,110.34482758620689,-43.67816091954023,-36.37795275590551,7.354271447696931,1642801,G-F,2.0
Kelsey Mitchell,29,IND,G,8,261,8,59,138,0.428,21,49,0.429,38,89,0.427,39,45,0.867,4,12,24,8,2,18,18,178,/wnba/players/m/mitchke01w.html,https://www.basketball-reference.com/wnba/players/m/mitchke01w.html,mitchke01w,1628909,Kelsey Mitchell,1611661325,Kelsey Mitchell,Kelsey Mitchell,1628909,IND,15657.0,8,261.0,3.0,517,517,149.0,108.0,75.0,1034,25.0,42.0,1.0,1.0,7.0,12.0,6.0,21.0,7.0,26.0,1.0,3.0,1.0,1.0,20.0,46.0,7.0,15.0,38.0,89.0,21.0,49.0,39.0,178.0,527,2.0,5.0,6.0,9.0,2.0,24.0,10.0,26.0,7.0,16.0,17.0,58.0,34.0,42.0,42.0,2.0,46.0,20.0,10.0,17.0,7.0,24.0,5.0,2.0,11.0,4.0,2.0,55.0,2.0,2.0,2.0,6.0,,8.0,4.0,12.0,2.0,8.0,6.0,2.0,11.0,4.0,5.0,7.0,2.0,6.0,1.0,18.0,1.0,3.0,8.0,18.0,,32.0,,,2.0,45.0,6.0,5.0,20.0,3.0,2.0,,,2.0,,,,2.0,2.0,154.0,56.0,144.0,1.0,2.0,4.0,7.0,,102.51450676982591,101.93423597678915,0.4473684210526316,0.4594594594594595,0.6666666666666666,0.4285714285714285,0.6666666666666666,0.4375,0.4285714285714285,0.4269662921348314,0.4,0.3846153846153846,0.5036231884057971,0.7857142857142857,0.4880952380952381,0.5612903225806452,0.8,0.5612244897959183,0.3550724637681159,0.1123595505617977,0.1428571428571428,0.1428571428571428,28.500823723228997,0.6111111111111112,,0.0389610389610389,0.0115606936416184,0.028169014084507,0.024390243902439,0.0355555555555555,0.0156862745098039,,,0.0512820512820512,0.032258064516129,,0.02,0.050632911392405,0.04,0.0175438596491228,0.0714285714285714,0.0294117647058823,1.0,0.3043478260869565,0.5952380952380952,0.6944444444444444,0.44,0.1521739130434782,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.1884057971014492,0.2692307692307692,0.28,0.2857142857142857,0.0217391304347826,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.4347826086956521,0.4347826086956521,0.65,0.0714285714285714,1.0,0.0714285714285714,1.0,1.0,0.2857142857142857,0.5833333333333334,0.3571428571428571,0.4666666666666667,0.6594202898550725,0.4347826086956521,0.5022528985507246,0.5110375,0.4828916666666666,0.131578947368421,0.1941747572815534,0.1348314606741573,0.3258426966292135,8.061797752808989,24.828571428571426,0.2941176470588235,0.2666666666666666,0.5,0.5,0.288201160541586,1.0,5.0,8.0,21.0,,,,,,,,0.5714285714285714,0.625,0.6,0.0238095238095238,,,,,,,,,,,0.0384615384615384,,,,,,,,,,2025,102.51450676982591,101.93423597678917,0.5802707930367461,-0.5301126527462543,-1.056320161720791,1628909,G,1.0
