player,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Natalie Achonwa,IND,F,34,623,17,98,176,.557,0,0,,98,176,.557,45,59,.763,37,127,25,14,17,31,76,241,/wnba/players/a/achonna01w.html,https://www.basketball-reference.com/wnba/players/a/achonna01w.html,achonna01w
Danielle Adams,CON,F-C,19,83,0,16,45,.356,12,31,.387,4,14,.286,5,5,1.000,7,11,4,4,4,7,24,49,/wnba/players/a/adamsda01w.html,https://www.basketball-reference.com/wnba/players/a/adamsda01w.html,adamsda01w
Matee Ajavon,ATL,G,31,250,2,22,76,.289,0,4,.000,22,72,.306,31,39,.795,9,38,30,11,0,28,31,75,/wnba/players/a/ajavoma01w.html,https://www.basketball-reference.com/wnba/players/a/ajavoma01w.html,ajavoma01w
Evelyn Akhator,DAL,F,15,61,0,4,16,.250,0,0,,4,16,.250,5,6,.833,7,9,0,1,3,5,6,13,/wnba/players/a/akhatev01w.html,https://www.basketball-reference.com/wnba/players/a/akhatev01w.html,akhatev01w
Kayla Alexander,SAS,C,34,522,10,96,165,.582,0,0,,96,165,.582,20,22,.909,45,107,17,15,17,32,68,212,/wnba/players/a/alexaka01w.html,https://www.basketball-reference.com/wnba/players/a/alexaka01w.html,alexaka01w
Lindsay Allen,NYL,G,28,376,0,23,62,.371,0,13,.000,23,49,.469,7,10,.700,10,42,62,16,1,19,24,53,/wnba/players/a/allenli01w.html,https://www.basketball-reference.com/wnba/players/a/allenli01w.html,allenli01w
Rebecca Allen,NYL,F-G,33,304,0,38,101,.376,15,44,.341,23,57,.404,2,6,.333,13,67,17,12,13,18,35,93,/wnba/players/a/allenre01w.html,https://www.basketball-reference.com/wnba/players/a/allenre01w.html,allenre01w
Ameryst Alston,NYL,G,2,3,0,1,2,.500,0,0,,1,2,.500,0,0,,1,2,1,0,0,1,0,2,/wnba/players/a/alstoam01w.html,https://www.basketball-reference.com/wnba/players/a/alstoam01w.html,alstoam01w
Seimone Augustus,MIN,G-F,32,886,32,148,295,.502,19,44,.432,129,251,.514,33,38,.868,13,94,127,18,3,45,32,348,/wnba/players/a/augusse01w.html,https://www.basketball-reference.com/wnba/players/a/augusse01w.html,augusse01w
Rachel Banham,CON,G,30,283,0,33,101,.327,16,57,.281,17,44,.386,16,20,.800,2,34,22,4,0,12,28,98,/wnba/players/b/banhara01w.html,https://www.basketball-reference.com/wnba/players/b/banhara01w.html,banhara01w
