player,wnba_age,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Candace Parker,34,LAS,F-C,1,40,1,6,13,.462,1,2,.500,5,11,.455,9,10,.900,1,14,5,1,2,1,2,22,/wnba/players/p/parkeca01w.html,https://www.basketball-reference.com/wnba/players/p/parkeca01w.html,parkeca01w
Mercedes Russell,24,SEA,C,6,105,0,13,21,.619,0,0,,13,21,.619,5,5,1.000,7,23,6,1,1,5,17,31,/wnba/players/r/russeme01w.html,https://www.basketball-reference.com/wnba/players/r/russeme01w.html,russeme01w
Tierra Ruffin-Pratt,29,LAS,G,1,13,0,0,4,.000,0,2,.000,0,2,.000,0,0,,0,2,3,0,1,1,2,0,/wnba/players/r/ruffiti01w.html,https://www.basketball-reference.com/wnba/players/r/ruffiti01w.html,ruffiti01w
Sugar Rodgers,30,LVA,G,8,79,0,3,21,.143,3,18,.167,0,3,.000,0,0,,1,9,8,2,0,5,9,9,/wnba/players/r/rodgesu01w.html,https://www.basketball-reference.com/wnba/players/r/rodgesu01w.html,rodgesu01w
Danielle Robinson,31,LVA,G,8,239,7,27,68,.397,3,9,.333,24,59,.407,16,22,.727,8,35,31,10,0,12,9,73,/wnba/players/r/robinda01w.html,https://www.basketball-reference.com/wnba/players/r/robinda01w.html,robinda01w
Allie Quigley,34,CHI,G,1,28,1,7,9,.778,1,3,.333,6,6,1.000,4,4,1.000,0,0,0,0,0,1,1,19,/wnba/players/q/quiglal01w.html,https://www.basketball-reference.com/wnba/players/q/quiglal01w.html,quiglal01w
Epiphanny Prince,32,SEA,G,5,65,0,8,17,.471,4,11,.364,4,6,.667,5,6,.833,0,4,11,5,0,2,4,25,/wnba/players/p/princep01w.html,https://www.basketball-reference.com/wnba/players/p/princep01w.html,princep01w
Alexis Prince,26,CHI,F,1,9,0,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,1,3,/wnba/players/p/princal01w.html,https://www.basketball-reference.com/wnba/players/p/princal01w.html,princal01w
Theresa Plaisance,28,CON,F,3,12,0,0,2,.000,0,1,.000,0,1,.000,0,0,,0,2,1,0,1,2,2,0,/wnba/players/p/plaisth01w.html,https://www.basketball-reference.com/wnba/players/p/plaisth01w.html,plaisth01w
Shey Peddy,31,PHO,G,2,42,1,5,11,.455,3,8,.375,2,3,.667,2,2,1.000,2,6,3,6,1,1,6,15,/wnba/players/p/peddysh01w.html,https://www.basketball-reference.com/wnba/players/p/peddysh01w.html,peddysh01w
Cheyenne Parker-Tyus,27,CHI,F,1,25,1,1,4,.250,0,1,.000,1,3,.333,6,6,1.000,1,8,3,2,1,3,3,8,/wnba/players/p/parkech01w.html,https://www.basketball-reference.com/wnba/players/p/parkech01w.html,parkech01w
Odyssey Sims,27,MIN,G,4,131,4,21,51,.412,3,13,.231,18,38,.474,16,16,1.000,1,13,17,7,0,11,9,61,/wnba/players/s/simsod01w.html,https://www.basketball-reference.com/wnba/players/s/simsod01w.html,simsod01w
Kaleena Mosqueda-Lewis,26,CON,F,2,5,0,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,1,0,0,0,0,2,/wnba/players/m/mosquka01w.html,https://www.basketball-reference.com/wnba/players/m/mosquka01w.html,mosquka01w
Beatrice Mompremier,23,CON,F,7,86,0,5,15,.333,0,0,,5,15,.333,2,5,.400,6,25,1,4,6,3,17,12,/wnba/players/m/momprbe01w.html,https://www.basketball-reference.com/wnba/players/m/momprbe01w.html,momprbe01w
Leilani Mitchell,35,WAS,G,1,36,1,8,15,.533,5,7,.714,3,8,.375,4,5,.800,0,2,4,0,0,3,2,25,/wnba/players/m/mitchle01w.html,https://www.basketball-reference.com/wnba/players/m/mitchle01w.html,mitchle01w
Emma Meesseman,27,WAS,F,1,35,1,8,15,.533,2,2,1.000,6,13,.462,0,0,,2,3,4,2,1,0,1,18,/wnba/players/m/meessem01w.html,https://www.basketball-reference.com/wnba/players/m/meessem01w.html,meessem01w
Angel McCoughtry,33,LVA,F-G,8,201,8,45,109,.413,11,20,.550,34,89,.382,23,27,.852,10,39,22,13,2,15,24,124,/wnba/players/m/mccouan01w.html,https://www.basketball-reference.com/wnba/players/m/mccouan01w.html,mccouan01w
Erica McCall,24,MIN,F,3,16,0,2,3,.667,0,0,,2,3,.667,3,3,1.000,2,6,0,0,1,0,2,7,/wnba/players/m/mccaler01w.html,https://www.basketball-reference.com/wnba/players/m/mccaler01w.html,mccaler01w
