player,wnba_age,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Kia Nurse,25,PHO,G,6,131,6,16,37,.432,10,22,.455,6,15,.400,8,8,1.000,3,20,9,1,0,4,15,50,/wnba/players/n/nurseki01w.html,https://www.basketball-reference.com/wnba/players/n/nurseki01w.html,nurseki01w
Allie Quigley,35,CHI,G,10,327,10,50,120,.417,27,74,.365,23,46,.500,25,25,1.000,6,29,18,6,3,14,19,152,/wnba/players/q/quiglal01w.html,https://www.basketball-reference.com/wnba/players/q/quiglal01w.html,quiglal01w
Epiphanny Prince,33,SEA,G,1,9,0,0,3,.000,0,1,.000,0,2,.000,0,0,,0,0,1,0,1,2,1,0,/wnba/players/p/princep01w.html,https://www.basketball-reference.com/wnba/players/p/princep01w.html,princep01w
Aerial Powers,27,MIN,G,1,32,1,10,21,.476,3,6,.500,7,15,.467,1,1,1.000,1,5,4,2,0,6,4,24,/wnba/players/p/powerae01w.html,https://www.basketball-reference.com/wnba/players/p/powerae01w.html,powerae01w
Kelsey Plum,26,LVA,G,5,144,0,33,70,.471,12,31,.387,21,39,.538,20,22,.909,2,10,17,5,0,12,11,98,/wnba/players/p/plumke01w.html,https://www.basketball-reference.com/wnba/players/p/plumke01w.html,plumke01w
Shey Peddy,32,PHO,G,11,255,4,26,68,.382,8,31,.258,18,37,.486,13,18,.722,13,39,27,22,0,10,20,73,/wnba/players/p/peddysh01w.html,https://www.basketball-reference.com/wnba/players/p/peddysh01w.html,peddysh01w
JiSu Park,22,LVA,C,4,16,0,0,3,.000,0,0,,0,3,.000,0,4,.000,0,1,0,0,0,1,2,0,/wnba/players/p/parkji01w.html,https://www.basketball-reference.com/wnba/players/p/parkji01w.html,parkji01w
Candace Parker,35,CHI,F-C,10,324,10,55,112,.491,11,33,.333,44,79,.557,17,19,.895,11,84,44,21,10,23,20,138,/wnba/players/p/parkeca01w.html,https://www.basketball-reference.com/wnba/players/p/parkeca01w.html,parkeca01w
Michaela Onyenwere,21,NYL,F,1,9,0,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,/wnba/players/o/onyenmi01w.html,https://www.basketball-reference.com/wnba/players/o/onyenmi01w.html,onyenmi01w
Arike Ogunbowale,24,DAL,G,1,35,1,8,16,.500,5,10,.500,3,6,.500,1,2,.500,0,2,2,1,0,1,6,22,/wnba/players/o/ogunbar01w.html,https://www.basketball-reference.com/wnba/players/o/ogunbar01w.html,ogunbar01w
