EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,PenaltyFtPoints,SelfOReb,Steals,BadPassSteals,PenaltyTurnovers,Transition Take Fouls Drawn,NonShootingFoulsDrawn,BlockedLongMidRange,SelfORebPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,DefCorner3ReboundPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,DefAtRimReboundPct,SecondChanceFtPoints,NonShootingPenaltyNonTakeFoulsDrawn,Offensive Fouls,Blocked3s,BlockedArc3,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,team_id,year,season,team_vs
1627674-1627675-1629497-1629501-204322,1611661329,"Kahleah Copper, Courtney Williams, Marina Mabrey, Alanna Smith, Elizabeth Williams","Copper, Williams, Mabrey, Smith, Williams",1627674-1627675-1629497-1629501-204322,CHI,1652.0,2,28.0,-25.0,55.0,57,1.0,3.0,5.0,112,5.0,6.0,1.0,1.0,4.0,12.0,4.0,11.0,3.0,3.0,10.0,13.0,29.0,3.0,13.0,3.0,38.0,63.0,1.0,3.0,2.0,1.0,1.0,2.0,20.0,6.0,6.0,3.0,2.0,10.0,3.0,2.0,10.0,2.0,12.0,2.0,4.0,2.0,4.0,26.0,2.0,3.0,1.0,20.0,2.0,23.0,5.0,28.0,11.0,3.0,7.0,5.0,1.0,4.0,1.0,16.0,2.0,7.0,10.0,1.0,6.0,1.0,5.0,1.0,3.0,5.0,5.0,5.0,4.0,36.0,2.0,1.0,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.23076923076923078,0.23076923076923078,0.4482758620689655,0.3333333333333333,1.0,0.4166666666666667,0.3333333333333333,1.0,0.4318181818181818,0.3333333333333333,1.0,0.30952380952380953,0.06896551724137931,0.16666666666666666,0.08333333333333333,0.6875,1.0,0.7142857142857143,0.1875,0.25,0.2,0.65625,0.19230769230769232,1.0,0.125,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.6956521739130435,0.8,0.25,97.62711864406779,0.8,14.618181818181819,14.87719298245614,14.418181818181818,13.824561403508772,0.14285714285714285,0.8333333333333334,1.0,0.8,0.2857142857142857,0.3333333333333333,0.36363636363636365,0.5,0.2619047619047619,0.36363636363636365,0.36363636363636365,1.0,0.07142857142857142,0.23809523809523808,0.3,0.3,0.6666666666666666,0.3333333333333333,1.0,0.4523809523809524,0.3,0.4707702380952381,0.49905,0.3466,0.06818181818181818,0.0967741935483871,0.05263157894736842,0.05263157894736842,10.048275862068964,24.984615384615385,0.01818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1629497-1630389-204322,1611661329,"Kahleah Copper, Courtney Williams, Marina Mabrey, Dana Evans, Elizabeth Williams","Copper, Williams, Mabrey, Evans, Williams",1627674-1627675-1629497-1630389-204322,CHI,546.0,1,9.0,-6.0,22.0,22,6.0,13.0,1.0,44,3.0,3.0,,,3.0,9.0,1.0,2.0,,1.0,5.0,7.0,14.0,1.0,5.0,4.0,21.0,27.0,,1.0,,1.0,2.0,4.0,4.0,10.0,3.0,,,5.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,7.0,,1.0,1.0,5.0,,6.0,1.0,7.0,2.0,,2.0,1.0,,,,3.0,,4.0,4.0,,5.0,,4.0,1.0,2.0,3.0,2.0,3.0,2.0,21.0,4.0,6.0,0.2857142857142857,0.2857142857142857,1.0,0.2,0.2,0.5,,0.5,0.4473684210526316,,0.25,0.5,,0.4,0.2631578947368421,0.07142857142857142,,0.1111111111111111,0.6666666666666666,,0.7142857142857143,0.14285714285714285,1.0,,0.75,0.09090909090909091,,0.16666666666666666,,,,0.6666666666666666,1.0,1.0,116.04395604395604,0.6666666666666666,12.090909090909092,12.727272727272727,11.863636363636363,11.909090909090908,0.15789473684210525,1.0,1.0,0.3333333333333333,0.47368421052631576,0.3333333333333333,0.375,0.3333333333333333,0.10526315789473684,0.5,0.5,,,0.2631578947368421,0.2,0.2,1.0,,,0.42105263157894735,0.2,0.46232894736842106,0.3328,0.51725,0.1,0.13333333333333333,,0.19047619047619047,7.8,25.56,0.2727272727272727,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.1,0.25,1.0,0.5,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1629497-1631021-204322,1611661329,"Kahleah Copper, Courtney Williams, Marina Mabrey, Sika Koné, Elizabeth Williams","Copper, Williams, Mabrey, Koné, Williams",1627674-1627675-1629497-1631021-204322,CHI,74.0,1,1.0,,3.0,2,,,1.0,5,,,,,,2.0,,1.0,,,1.0,,3.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,2.0,,,2.0,1.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.6666666666666666,,1.0,,,,0.3333333333333333,0.6666666666666666,,0.6666666666666666,0.25,,,1.0,,,,,0.5,97.29729729729729,,12.666666666666666,18.0,11.333333333333334,18.0,,,,,0.5,,,,0.25,,,,,0.25,,,,,,0.25,,0.4321875,0.4312,,,,,,9.966666666666667,27.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1629497-1641641-204322,1611661329,"Kahleah Copper, Courtney Williams, Marina Mabrey, Robyn Parks, Elizabeth Williams","Copper, Williams, Mabrey, Parks, Williams",1627674-1627675-1629497-1641641-204322,CHI,222.0,1,4.0,-4.0,9.0,8,,,1.0,17,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,1.0,2.0,5.0,,2.0,,4.0,8.0,1.0,1.0,2.0,,,,,4.0,,,2.0,1.0,,1.0,,,,,,,,,,1.0,3.0,1.0,,4.0,1.0,5.0,3.0,,2.0,,,1.0,,3.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,0.4,1.0,,0.2857142857142857,1.0,,0.2857142857142857,1.0,,0.2857142857142857,0.2,,0.5,1.0,,0.5,0.3333333333333333,1.0,,0.8,0.2,,,0.5,,,0.5,,1.0,110.27027027027026,,12.555555555555555,13.625,12.555555555555555,12.75,0.14285714285714285,1.0,1.0,,0.2857142857142857,0.5,1.0,,0.2857142857142857,,,,0.14285714285714285,0.14285714285714285,,,,1.0,1.0,0.42857142857142855,,0.5205571428571428,0.6483,,,,0.5,,10.02,24.5,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1629501-1630389-204322,1611661329,"Kahleah Copper, Courtney Williams, Alanna Smith, Dana Evans, Elizabeth Williams","Copper, Williams, Smith, Evans, Williams",1627674-1627675-1629501-1630389-204322,CHI,13.0,1,,-2.0,,1,,,,1,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1629571-1630113-1630389,1611661329,"Kahleah Copper, Courtney Williams, Morgan Bertsch, Ruthy Hebard, Dana Evans","Copper, Williams, Bertsch, Hebard, Evans",1627674-1627675-1629571-1630113-1630389,CHI,63.0,1,1.0,-2.0,3.0,3,3.0,2.0,,6,,,,,,,,2.0,,,1.0,,2.0,,1.0,,,2.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,137.14285714285714,,11.333333333333334,9.666666666666666,11.333333333333334,9.666666666666666,,,,,,,,,0.6666666666666666,,,,,0.3333333333333333,,,,,,0.3333333333333333,,0.40840000000000004,,0.40840000000000004,,,,,14.75,25.4,1.0,,,1.0,1.0,,,2.0,2.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1629571-1630389-204322,1611661329,"Kahleah Copper, Courtney Williams, Morgan Bertsch, Dana Evans, Elizabeth Williams","Copper, Williams, Bertsch, Evans, Williams",1627674-1627675-1629571-1630389-204322,CHI,93.0,1,2.0,-2.0,4.0,3,1.0,,,7,,,,,,1.0,,,,,2.0,,1.0,,2.0,1.0,1.0,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,0.125,,,0.6666666666666666,,,,,,1.0,,,,1.0,,,,,,,,1.0,,108.38709677419355,,14.75,11.333333333333334,14.75,11.333333333333334,,,,,0.3333333333333333,,,,,,,,,0.6666666666666666,,,,,,0.6666666666666666,,0.48325,,0.5226,0.25,0.5,,,4.1,25.2,0.25,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1630113-1630389-1641641,1611661329,"Kahleah Copper, Courtney Williams, Ruthy Hebard, Dana Evans, Robyn Parks","Copper, Williams, Hebard, Evans, Parks",1627674-1627675-1630113-1630389-1641641,CHI,256.0,1,4.0,-6.0,7.0,8,,,,15,,,,,1.0,3.0,1.0,1.0,,,2.0,2.0,4.0,,2.0,,4.0,10.0,,,,,,,,4.0,,,,2.0,,,,,,,,,,,,,1.0,2.0,,3.0,,3.0,1.0,,1.0,,,,,1.0,,1.0,2.0,,,,,,,,,,,4.0,,,,,,,,0.5,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,1.0,,0.6666666666666666,,1.0,,0.75,,,,,,,0.5,1.0,,84.375,,18.714285714285715,15.625,18.714285714285715,14.75,,,,,0.5,0.3333333333333333,0.3333333333333333,,0.16666666666666666,1.0,1.0,,,0.3333333333333333,,,,,,0.3333333333333333,,0.42244166666666666,,,,,,,9.3,23.85,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1630389-1631021-204322,1611661329,"Kahleah Copper, Courtney Williams, Dana Evans, Sika Koné, Elizabeth Williams","Copper, Williams, Evans, Koné, Williams",1627674-1627675-1630389-1631021-204322,CHI,120.0,1,2.0,-1.0,3.0,4,,,,7,,,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,2.0,,5.0,6.0,,,,,,,2.0,,3.0,,,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,5.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,5.0,,,1.0,1.0,1.0,0.5,0.5,1.0,,,0.8333333333333334,,,0.8333333333333334,,,0.6666666666666666,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,84.0,,21.333333333333332,14.0,21.333333333333332,11.25,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,0.6666666666666666,0.5,0.5,1.0,,,0.6666666666666666,0.5,0.5468000000000001,,,,,,,4.5,25.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1630389-1641641-204322,1611661329,"Kahleah Copper, Courtney Williams, Dana Evans, Robyn Parks, Elizabeth Williams","Copper, Williams, Evans, Parks, Williams",1627674-1627675-1630389-1641641-204322,CHI,298.0,1,5.0,10.0,9.0,8,3.0,6.0,1.0,17,1.0,1.0,,,1.0,2.0,,,,2.0,3.0,2.0,3.0,2.0,3.0,6.0,16.0,6.0,,,2.0,,1.0,4.0,2.0,2.0,6.0,,,3.0,2.0,,1.0,2.0,3.0,2.0,,1.0,,8.0,,1.0,3.0,,1.0,4.0,1.0,5.0,1.0,,,,,1.0,,1.0,,,2.0,,3.0,,6.0,,1.0,,,,,14.0,4.0,3.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.8333333333333334,,,0.8888888888888888,1.0,0.6666666666666666,0.5,,,,1.0,1.0,,1.0,0.75,,0.75,0.5,,1.0,,,,,,0.6666666666666666,82.14765100671141,,12.222222222222221,23.5,12.0,21.625,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.5,0.5,1.0,,,,,,0.5,0.6666666666666666,0.6666666666666666,1.0,,,0.6666666666666666,0.6666666666666666,0.46618333333333334,,0.3911,0.14285714285714285,0.25,0.125,0.25,4.733333333333333,24.96666666666667,0.3333333333333333,,,,,4.0,1.0,,,1.0,,2.0,,0.5,,,,1.0,,,,,2.0,2.0,,,,,,,,,1611661329,2023,2023,False
