EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGA,FG2A,OpponentPoints,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,AtRimFGM,ShortMidRangeFGA,Corner3FGA,FG2M,FG3A,Points,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,Offensive Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Avg3ptShotDistance,SecondChanceAtRimFGM,Arc3FGM,Arc3FGA,FG3M,SecondChanceFG2M,SecondChancePoints,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,DefTwoPtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LongMidRangePctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,Loose Ball Fouls,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,Fg3aBlocked,ThreePtAssists,Arc3Assists,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangePctBlocked,HeaveAttempts,OffShortMidRangeReboundPct,LongMidRangeFGM,LostBallTurnovers,Travels,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,DefFTReboundPct,OffFTReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Technical Free Throw Trips,team_id,year,season,team_vs
1628278-1628279-1628878-1631031-203399,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Ariel Atkins, Queen Egbo, Elena Delle Donne","Walker-Kimbrough, Sykes, Atkins, Egbo, Delle Donne",1628278-1628279-1628878-1631031-203399,WAS,42.0,1,1,-2.0,1,1,1.0,2,2.0,1.0,1.0,3,2.0,2.0,1.0,2.0,2.0,2,1.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,68.57142857142857,27.0,15.0,18.0,15.0,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.4799,0.4688,8.733333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628279-1628899-203399-204333,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Myisha Hines-Allen, Elena Delle Donne, Natasha Cloud","Walker-Kimbrough, Sykes, Hines-Allen, Delle Donne, Cloud",1628278-1628279-1628899-203399-204333,WAS,172.0,2,3,1.0,6,6,,12,3.0,,,4,5.0,,,,,2,,1.0,2.0,,,,,,,100.46511627906976,12.166666666666666,16.5,12.166666666666666,15.666666666666666,0.6,,,0.8,0.533,,3.35,3.0,1.0,1.0,3.0,1.0,6.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,0.6666666666666666,0.6666666666666666,0.75,0.6,0.6,0.2,1.0,0.4,1.0,1.0,1.0,1.0,0.6666666666666666,0.2,0.2,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628279-1628899-203403-204333,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Myisha Hines-Allen, Tianna Hawkins, Natasha Cloud","Walker-Kimbrough, Sykes, Hines-Allen, Hawkins, Cloud",1628278-1628279-1628899-203403-204333,WAS,126.0,1,2,1.0,3,4,1.0,7,1.0,1.0,1.0,2,4.0,1.0,1.0,1.0,2.0,3,,,,0.5,,1.0,1.0,,,80.0,17.666666666666668,18.25,17.333333333333332,18.25,0.25,0.25,1.0,0.75,0.4985125,0.5612,9.35,1.0,,,1.0,2.0,5.0,,2.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,3.0,,,0.5,0.625,0.625,0.5,,1.0,,,1.0,1.0,,,,24.4,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628279-1631031-203403-204333,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Queen Egbo, Tianna Hawkins, Natasha Cloud","Walker-Kimbrough, Sykes, Egbo, Hawkins, Cloud",1628278-1628279-1631031-203403-204333,WAS,95.0,1,2,-2.0,3,4,,7,,,2.0,2,2.0,,,,,3,,,1.0,,,,,,,106.10526315789474,13.666666666666666,13.5,13.666666666666666,13.5,,0.6666666666666666,,0.3333333333333333,0.4056166666666667,,19.7,,,,,1.0,,,,,,,,1.0,3.0,,,,,,1.0,,,,,,,,,,,0.3333333333333333,1.0,1.0,,1.0,,,,,,26.9,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,0.3333333333333333,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628279-203399-203403-204333,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Elena Delle Donne, Tianna Hawkins, Natasha Cloud","Walker-Kimbrough, Sykes, Delle Donne, Hawkins, Cloud",1628278-1628279-203399-203403-204333,WAS,459.0,2,8,4.0,18,17,3.0,35,5.0,2.0,1.0,7,16.0,2.0,1.0,2.0,3.0,8,,,2.0,0.14285714285714285,0.2,0.6666666666666666,0.42857142857142855,0.5,,109.80392156862744,11.222222222222221,15.117647058823529,9.555555555555555,14.176470588235293,0.38461538461538464,0.07692307692307693,0.6666666666666666,0.8461538461538461,0.5361384615384616,0.54165,5.871428571428572,3.0,1.0,1.0,4.0,6.0,20.0,4.0,4.0,2.0,3.0,2.0,7.0,2.0,5.0,1.0,1.0,2.0,4.0,,5.0,2.0,1.0,1.0,3.0,16.0,0.5,0.5,0.5714285714285714,0.4230769230769231,0.5555555555555556,0.46153846153846156,0.6666666666666666,0.7142857142857143,0.5,1.0,0.6,0.75,0.6666666666666666,0.07692307692307693,0.07692307692307693,25.8,1.0,1.0,5.0,1.0,1.0,4.0,,,5.0,1.0,1.0,3.0,,,,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.5,,0.75,0.25,1.0,0.3333333333333333,,0.38461538461538464,0.2,0.25,0.5,0.2,0.2,,1.0,1.0,14.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,9.0,1.0,2.0,2.0,5.0,1.0,5.0,7.0,14.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,10.0,3.0,2.0,1.0,1.0,1.0,14.0,14.0,2.0,1.0,0.2,0.4,0.35,0.5,0.16666666666666666,0.2,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.3,0.3333333333333333,0.1,0.4,0.25,0.518215,0.1875,0.3,0.7,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628878-1628899-203399-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Myisha Hines-Allen, Elena Delle Donne, Natasha Cloud","Walker-Kimbrough, Atkins, Hines-Allen, Delle Donne, Cloud",1628278-1628878-1628899-203399-204333,WAS,117.0,1,2,2.0,4,3,1.0,7,2.0,,2.0,4,,1.0,1.0,1.0,1.0,3,,,,0.25,0.5,0.5,0.5,1.0,,86.15384615384616,14.5,19.666666666666668,14.0,19.666666666666668,0.5,0.5,,0.5,0.45875,0.2068,11.075,1.0,,,1.0,,2.0,2.0,,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,1.0,0.25,0.25,0.25,,,1.0,,,0.5,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628878-203399-203403-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Elena Delle Donne, Tianna Hawkins, Natasha Cloud","Walker-Kimbrough, Atkins, Delle Donne, Hawkins, Cloud",1628278-1628878-203399-203403-204333,WAS,97.0,1,2,,4,4,,8,,,1.0,3,,,1.0,,,3,,,,0.3333333333333333,,,,,,118.76288659793815,12.0,12.25,12.0,11.25,,0.25,,0.25,0.496125,,9.833333333333334,,2.0,1.0,,1.0,,,,,,,,,3.0,1.0,1.0,,,,1.0,,,,,,,,,,,0.25,,0.75,,,,,,0.5,0.25,23.4,,,,,,,,,,,,3.0,,,,,,,,,,0.75,,,,,,,,,,,,1.0,1.0,4.0,,,,1.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0.25,,,0.496125,,,,1.0,4.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1631031-1641642-203403-204333,1611661322,"Shatori Walker-Kimbrough, Queen Egbo, Li Meng, Tianna Hawkins, Natasha Cloud","Walker-Kimbrough, Egbo, Meng, Hawkins, Cloud",1628278-1631031-1641642-203403-204333,WAS,213.0,1,4,1.0,7,7,1.0,14,2.0,,,5,6.0,,,1.0,1.0,4,,,,,,0.3333333333333333,0.25,,,94.64788732394366,12.857142857142858,17.571428571428573,11.857142857142858,16.571428571428573,0.25,,,0.625,0.53315,0.52695,4.76,1.0,3.0,,2.0,3.0,7.0,,4.0,,1.0,,3.0,1.0,3.0,1.0,1.0,,,,,1.0,1.0,,2.0,7.0,,,0.4,0.4375,0.4375,0.375,0.5,0.6,0.5,,0.5,0.5,,0.375,,33.13333333333333,,1.0,3.0,1.0,,,,,2.0,1.0,,2.0,,,,0.3333333333333333,0.5,,,,,0.6666666666666666,,,,0.5,0.375,0.3333333333333333,0.3333333333333333,,0.5,,,,1.0,3.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,,1.0,2.0,,1.0,,2.0,3.0,,1.0,1.0,,,,,,,,,1.0,1.0,2.0,2.0,3.0,,1.0,,0.5,0.3333333333333333,0.3333333333333333,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,1.0,0.6666666666666666,0.5,,0.3333333333333333,,0.81435,,,0.2857142857142857,0.42857142857142855,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628279-1628878-1628899-1641642-203399,1611661322,"Brittney Sykes, Ariel Atkins, Myisha Hines-Allen, Li Meng, Elena Delle Donne","Sykes, Atkins, Hines-Allen, Meng, Delle Donne",1628279-1628878-1628899-1641642-203399,WAS,324.0,2,5,-1.0,11,10,2.0,21,5.0,2.0,1.0,7,13.0,2.0,,2.0,3.0,8,2.0,2.0,2.0,,,0.5,0.5,0.6666666666666666,0.3333333333333333,93.33333333333333,15.363636363636363,15.5,14.272727272727273,14.7,0.45454545454545453,0.09090909090909091,1.0,0.8181818181818182,0.5135772727272727,0.57555,5.771428571428571,2.0,1.0,2.0,3.0,4.0,12.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,5.0,,,1.0,3.0,,2.0,,,,,10.0,0.3333333333333333,0.5,0.42857142857142855,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.6666666666666666,0.5555555555555556,1.0,,0.4,0.4,0.5,0.09090909090909091,0.18181818181818182,24.45,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,,,1.0,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,,0.5,0.18181818181818182,1.0,1.0,0.5,1.0,0.16666666666666666,,1.0,,,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,0.5,,,,,,,0.6666666666666666,,,,0.5,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628279-1628878-1628899-203399-204333,1611661322,"Brittney Sykes, Ariel Atkins, Myisha Hines-Allen, Elena Delle Donne, Natasha Cloud","Sykes, Atkins, Hines-Allen, Delle Donne, Cloud",1628279-1628878-1628899-203399-204333,WAS,2703.0,2,45,4.0,84,85,12.0,169,28.0,5.0,4.0,49,91.0,5.0,2.0,7.0,14.0,44,5.0,6.0,16.0,0.04081632653061224,0.07142857142857142,0.3333333333333333,0.3170731707317073,0.5555555555555556,0.1282051282051282,90.03329633740289,16.345238095238095,15.647058823529411,15.511904761904763,14.8,0.358974358974359,0.05128205128205128,0.5,0.7307692307692307,0.5107371794871794,0.5982071428571428,5.773469387755101,19.0,17.0,6.0,28.0,29.0,95.0,32.0,24.0,16.0,24.0,11.0,56.0,14.0,30.0,5.0,2.0,3.0,12.0,,20.0,7.0,3.0,4.0,7.0,81.0,0.5714285714285714,0.64,0.5714285714285714,0.532051282051282,0.5523255813953488,0.3717948717948718,0.7777777777777778,0.7,0.6923076923076923,1.0,0.6785714285714286,0.7307692307692307,0.5789473684210527,0.21794871794871795,0.07692307692307693,25.53103448275862,3.0,7.0,23.0,9.0,3.0,14.0,3.0,6.0,23.0,7.0,6.0,14.0,3.0,,,0.3103448275862069,0.3103448275862069,0.6,0.45,0.5,,0.6363636363636364,0.3,0.5,0.25,0.4444444444444444,0.2948717948717949,0.30434782608695654,0.30434782608695654,0.6,0.30434782608695654,0.14736842105263157,1.0,0.7,1.0,17.0,5.0,7.0,7.0,2.0,5.0,2.0,4.0,12.0,5.0,5.0,7.0,9.0,3.0,6.0,5.0,28.0,24.0,,8.0,6.0,9.0,8.0,,3.0,1.0,16.0,6.0,2.0,,,2.0,26.0,16.0,1.0,0.8888888888888888,0.5,0.7777777777777778,0.7666666666666667,0.7368421052631579,,,0.75,0.2857142857142857,0.4117647058823529,0.4117647058823529,0.8571428571428571,,0.5,0.4666666666666667,0.7142857142857143,0.13333333333333333,0.26666666666666666,0.5,0.4839566666666667,0.07142857142857142,0.10909090909090909,0.29473684210526313,0.20238095238095238,15.0,,,0.1,2.0,1.0,1.0,0.5,0.5,0.5,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,0.2,1.0,1.0,0.42857142857142855,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,0.5,,1611661322,2023,2023,True
