EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,LostBallSteals,Transition Take Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceAtRimPctAssisted,Charge Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,3SecondViolations,Blocked3s,BlockedArc3,OffCorner3ReboundPct,Loose Ball Fouls Drawn,BlockedLongMidRange,Charge Fouls Drawn,Transition Take Fouls,Technical Free Throw Trips,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1628929-1631019-1641648-1641658-204365,1611661325,"Kristy Wallace, NaLyssa Smith, Aliyah Boston, Grace Berger, Erica Wheeler","Wallace, Smith, Boston, Berger, Wheeler",1628929-1631019-1641648-1641658-204365,IND,292.0,3,5.0,-6.0,8.0,7.0,2.0,15.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0,4.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,0.5,0.5,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.14285714285714285,1.0,0.3333333333333333,0.5,0.4,0.5,0.5,73.97260273972603,17.0,22.285714285714285,14.375,17.142857142857142,0.2857142857142857,0.5,0.5,0.42857142857142855,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.42857142857142855,0.42124285714285714,0.30055,7.8999999999999995,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,True
1628909-1628929-1631019-1641648-1641658,1611661325,"Kelsey Mitchell, Kristy Wallace, NaLyssa Smith, Aliyah Boston, Grace Berger","Mitchell, Wallace, Smith, Boston, Berger",1628909-1628929-1631019-1641648-1641658,IND,2039.0,9,34.0,-11.0,67.0,68.0,7.0,135.0,13.0,22.0,9.0,3.0,6.0,11.0,19.0,37.0,17.0,78.0,89.0,4.0,18.0,20.0,10.0,9.0,17.0,3.0,42.0,,4.0,14.0,21.0,7.0,28.0,1.0,10.0,16.0,5.0,14.0,1.0,70.0,0.47368421052631576,0.5294117647058824,0.5135135135135135,0.6018518518518519,0.65,0.3148148148148148,,0.8235294117647058,0.4444444444444444,0.6923076923076923,1.0,0.5,95.34085335948994,14.373134328358208,15.823529411764707,14.119402985074627,15.220588235294118,0.4074074074074074,0.5909090909090909,0.6842105263157895,0.16666666666666666,0.1111111111111111,0.5,0.5,1.0,0.2037037037037037,0.7222222222222222,0.5348547169811321,0.62122,5.951351351351351,26.329411764705885,17.0,18.0,2.0,4.0,4.0,4.0,3.0,2.0,6.0,1.0,3.0,7.0,1.0,1.0,2.0,5.0,9.0,13.0,2.0,1.0,1.0,1.0,8.0,6.0,8.0,3.0,8.0,3.0,24.0,24.0,3.0,4.0,1.0,7.0,4.0,8.0,6.0,2.0,5.0,1.0,7.0,3.0,2.0,4.0,4.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,10.0,1.0,15.0,3.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,24.0,17.0,2.0,0.8888888888888888,0.5294117647058824,1.0,0.375,0.5625,0.5,0.75,0.7,0.65625,0.6666666666666666,0.6666666666666666,0.10810810810810811,0.13636363636363635,0.1111111111111111,0.375,0.6,0.4117647058823529,0.2916666666666667,0.4444444444444444,0.3333333333333333,0.5,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.1,0.5,0.38461538461538464,0.3333333333333333,0.375,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.6363636363636364,0.6363636363636364,0.8571428571428571,0.8,0.5,0.2,1.0,1.0,0.25,1.0,0.1875,0.3333333333333333,0.3125,0.4,0.7,0.5067933333333333,0.13559322033898305,0.17073170731707318,0.05555555555555555,0.10256410256410256,0.3076923076923077,0.2537313432835821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,True
1628927-1628929-1630471-1631086-1641648,1611661325,"Victoria Vivians, Kristy Wallace, Maya Caldwell, Lexie Hull, Aliyah Boston","Vivians, Wallace, Caldwell, Hull, Boston",1628927-1628929-1630471-1631086-1641648,IND,152.0,1,3.0,-1.0,4.0,4.0,1.0,8.0,,,2.0,1.0,2.0,,2.0,4.0,,4.0,5.0,1.0,2.0,2.0,,1.0,1.0,,2.0,,,1.0,1.0,1.0,2.0,,,1.0,1.0,2.0,,2.0,0.5,0.5,0.5,0.5,0.5,,,1.0,,1.0,1.0,,75.78947368421053,20.0,18.0,17.0,18.0,,,,0.5,0.5,0.5,0.5,,,,0.384825,0.3448,14.325,,3.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,1.0,2.0,,,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,2.0,3.0,,,,,,,1.0,0.5,1.0,0.5,1.0,0.5,,,,1.0,,0.5,0.5,,1.0,,,,,0.5,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,0.39225,,,,0.5,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,True
1628909-1628927-1628929-1631019-204365,1611661325,"Kelsey Mitchell, Victoria Vivians, Kristy Wallace, NaLyssa Smith, Erica Wheeler","Mitchell, Vivians, Wallace, Smith, Wheeler",1628909-1628927-1628929-1631019-204365,IND,37.0,1,1.0,3.0,2.0,2.0,,4.0,,,,,,1.0,,,1.0,3.0,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,3.0,,,,,0.5,1.0,,1.0,,1.0,1.0,,155.67567567567568,9.0,9.5,9.0,9.5,,,,,,,,,1.0,1.0,0.52545,,,26.7,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,True
1628242-1628909-1628929-1630471-1631031,1611661325,"Emma Cannon, Kelsey Mitchell, Kristy Wallace, Maya Caldwell, Queen Egbo","Cannon, Mitchell, Wallace, Caldwell, Egbo",1628242-1628909-1628929-1630471-1631031,IND,262.0,2,4.0,-4.0,8.0,8.0,1.0,16.0,2.0,3.0,3.0,,3.0,,4.0,9.0,,9.0,13.0,2.0,2.0,6.0,,1.0,1.0,,2.0,,1.0,1.0,2.0,3.0,5.0,,,,1.0,2.0,,7.0,0.25,0.25,0.4444444444444444,0.4444444444444444,0.45,,,1.0,1.0,1.0,,1.0,87.93893129770993,19.125,13.625,16.375,13.625,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.44614444444444445,0.36095,9.944444444444445,,2.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,2.0,1.0,3.0,,,1.0,3.0,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,3.0,2.0,,,,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.375,,,,,,0.6,0.6,,1.0,0.6666666666666666,,1.0,,,,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,0.5,1.0,,,,0.3333333333333333,1.0,,,,,,0.36916666666666664,,,,0.2222222222222222,0.3333333333333333,0.25,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,True
1628242-1628929-1630471-1631019-204365,1611661325,"Emma Cannon, Kristy Wallace, Maya Caldwell, NaLyssa Smith, Erica Wheeler","Cannon, Wallace, Caldwell, Smith, Wheeler",1628242-1628929-1630471-1631019-204365,IND,153.0,1,3.0,6.0,5.0,5.0,1.0,10.0,,,1.0,,1.0,2.0,,2.0,2.0,8.0,2.0,,,,2.0,,1.0,,3.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,8.0,,,,0.75,0.8,0.5,,,,,,,94.11764705882354,13.6,17.0,13.6,16.6,,,,0.25,0.25,,,,0.5,0.5,0.4752125,,13.45,24.5,3.0,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,,,,,,,1.0,2.0,2.0,,6.0,3.0,3.0,,,2.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,2.0,,4.0,,1.0,,,,,,,,,6.0,3.0,,0.5,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,0.5,0.5,,,1.0,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,0.6666666666666666,1.0,1.0,0.53335,0.2,0.3333333333333333,,,0.75,0.6,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,True
1628909-1631086-1641648-1641687-204365,1611661325,"Kelsey Mitchell, Lexie Hull, Aliyah Boston, Victaria Saxton, Erica Wheeler","Mitchell, Hull, Boston, Saxton, Wheeler",1628909-1631086-1641648-1641687-204365,IND,119.0,1,2.0,-4.0,4.0,3.0,,7.0,,,,,,2.0,,,2.0,3.0,7.0,,,,2.0,,1.0,,3.0,,,,,,,1.0,2.0,2.0,,2.0,,3.0,,,,0.75,0.75,1.0,,,,,,,84.70588235294117,16.25,18.0,16.25,15.333333333333334,,,,,,,,,1.0,1.0,0.496125,,,26.0,,3.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,3.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,True
1628909-1628927-1628929-1631019-1631086,1611661325,"Kelsey Mitchell, Victoria Vivians, Kristy Wallace, NaLyssa Smith, Lexie Hull","Mitchell, Vivians, Wallace, Smith, Hull",1628909-1628927-1628929-1631019-1631086,IND,109.0,1,2.0,2.0,3.0,3.0,2.0,6.0,,,2.0,,,,,2.0,2.0,5.0,3.0,,,,,,1.0,,3.0,,1.0,1.0,2.0,2.0,4.0,,,,,1.0,,,,,,0.375,0.5,0.5,,1.0,1.0,1.0,1.0,1.0,79.26605504587155,14.0,22.333333333333332,13.0,22.333333333333332,,,,0.5,,,,,,0.5,0.50135,0.59745,5.0,23.55,3.0,,,,,,,1.0,2.0,1.0,2.0,,,,,,1.0,2.0,,1.0,1.0,2.0,5.0,,2.0,1.0,2.0,2.0,5.0,3.0,,,,,,1.0,,1.0,,,2.0,,2.0,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,5.0,3.0,,1.0,0.5,1.0,0.5,0.5,,,1.5,0.375,1.25,0.5,,,,,,1.0,0.6666666666666666,,1.0,,,,,0.6666666666666666,,,,,,0.5,0.5,0.5,1.0,,,,,,,,,,,0.5,0.5,,,,0.50135,0.2,0.3333333333333333,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,True
1628927-1628929-1630471-1631019-204365,1611661325,"Victoria Vivians, Kristy Wallace, Maya Caldwell, NaLyssa Smith, Erica Wheeler","Vivians, Wallace, Caldwell, Smith, Wheeler",1628927-1628929-1630471-1631019-204365,IND,329.0,2,5.0,-3.0,10.0,11.0,1.0,21.0,,1.0,1.0,,,4.0,1.0,2.0,4.0,11.0,14.0,1.0,,2.0,4.0,,2.0,,6.0,,2.0,2.0,5.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,,11.0,,,0.5,0.6666666666666666,0.6875,0.6666666666666666,,1.0,1.0,1.0,1.0,1.0,91.91489361702128,13.8,17.363636363636363,13.2,17.363636363636363,0.16666666666666666,,,0.16666666666666666,,,,,0.6666666666666666,0.8333333333333334,0.468875,,4.25,25.175,,,,1.0,,,1.0,,,,,2.0,,,,,2.0,3.0,,,,,,,,,,,,6.0,,,,2.0,,2.0,2.0,,,,,1.0,,,,2.0,2.0,,,,,,,,3.0,,4.0,,2.0,,,,,,,,,,,,1.0,0.5,,,0.5,,,,,,,,,,0.6666666666666666,1.0,,0.3333333333333333,,,,,,,,,,1.0,1.0,,,,,,0.5,0.5,1.0,1.0,,,,,,,,,,,0.5,,0.25,0.5,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,1611661325,2023,2023,True
1628909-1628927-1631031-1631086-204365,1611661325,"Kelsey Mitchell, Victoria Vivians, Queen Egbo, Lexie Hull, Erica Wheeler","Mitchell, Vivians, Egbo, Hull, Wheeler",1628909-1628927-1631031-1631086-204365,IND,133.0,2,2.0,3.0,4.0,5.0,1.0,9.0,,1.0,,2.0,2.0,,2.0,3.0,,6.0,3.0,1.0,4.0,,,2.0,2.0,2.0,4.0,,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,,1.0,,4.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,,,1.0,1.0,1.0,,1.0,97.44360902255639,16.25,13.6,13.5,13.6,0.3333333333333333,,,,0.6666666666666666,1.0,1.0,1.0,,0.3333333333333333,0.48523333333333335,0.3345,11.0,,2.0,,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,2.0,1.0,2.0,,,2.0,4.0,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,2.0,,2.0,,,,1.0,,,,,,,4.0,2.0,,,,,,,1.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.3333333333333333,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5249,,,,0.3333333333333333,0.6666666666666666,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,True
