EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,OpponentPoints,DeadBallTurnovers,Turnovers,FoulsDrawn,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFGA,ShortMidRangeFGA,FG2A,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,AtRimFrequency,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,PtsUnassisted2s,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Corner3Assists,OffTwoPtRebounds,OffRebounds,SelfOReb,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,Offensive Fouls,AtRimPctBlocked,PenaltyCorner3FGA,OffCorner3ReboundPct,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,LostBallSteals,LostBallTurnovers,StepOutOfBoundsTurnovers,Transition Take Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,DefAtRimReboundPct,Travels,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,SecondChanceTurnovers,PtsUnassisted3s,FTDefRebounds,DefFTReboundPct,FTOffRebounds,OffFTReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceArc3FGA,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,Clear Path Fouls,Technical Free Throw Trips,LongMidRangePctBlocked,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,3SecondViolations,HeaveAttempts,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,team_id,year,season,team_vs
100940-1627669-1629482-1630446-1641700,1611661317,"Diana Taurasi, Moriah Jefferson, Sophie Cunningham, Michaela Onyenwere, Liz Dixon","Taurasi, Jefferson, Cunningham, Onyenwere, Dixon",100940-1627669-1629482-1630446-1641700,PHO,32.0,1,1.0,-2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,22.0,10.0,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
100940-1629482-1630446-1641690-203398,1611661317,"Diana Taurasi, Sophie Cunningham, Michaela Onyenwere, Kadi Sissoko, Brittney Griner","Taurasi, Cunningham, Onyenwere, Sissoko, Griner",100940-1629482-1630446-1641690-203398,PHO,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
100940-1628287-1629488-203035-203398,1611661317,"Diana Taurasi, Jennie Simms, Brianna Turner, Shey Peddy, Brittney Griner","Taurasi, Simms, Turner, Peddy, Griner",100940-1628287-1629488-203035-203398,PHO,86.0,1,1.0,-2.0,3.0,2.0,5.0,2.0,,1.0,,83.72093023255813,19.666666666666668,13.5,19.666666666666668,13.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.4315,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
100940-1628287-1629488-1630134-203398,1611661317,"Diana Taurasi, Jennie Simms, Brianna Turner, Sug Sutton, Brittney Griner","Taurasi, Simms, Turner, Sutton, Griner",100940-1628287-1629488-1630134-203398,PHO,208.0,2,3.0,9.0,8.0,6.0,14.0,6.0,1.0,1.0,2.0,96.92307692307692,11.5,19.333333333333332,11.5,19.333333333333332,2.0,,3.0,,,,,,0.3333333333333333,,0.8333333333333334,0.522475,7.633333333333333,6.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,15.0,2.0,2.0,1.0,2.0,2.0,9.0,6.0,6.0,3.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,12.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,9.0,6.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,1.0,0.875,1.0714285714285714,0.9,0.5,0.5,1.0,0.6,1.0,0.5,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,0.5,0.5,0.6666666666666666,0.4583875,0.16666666666666666,0.3333333333333333,0.6,24.599999999999998,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
1627669-1628287-1629484-1629488-1630134,1611661317,"Moriah Jefferson, Jennie Simms, Megan Gustafson, Brianna Turner, Sug Sutton","Jefferson, Simms, Gustafson, Turner, Sutton",1627669-1628287-1629484-1629488-1630134,PHO,234.0,2,4.0,-10.0,6.0,9.0,15.0,14.0,,1.0,1.0,92.3076923076923,19.0,13.333333333333334,19.0,13.0,,3.0,3.0,,,1.0,1.0,1.0,,0.5,0.5,0.43190833333333334,8.799999999999999,5.0,3.0,,,,,,,3.0,,2.0,2.0,,3.0,,4.0,2.0,3.0,,2.0,,4.0,,,3.0,,,,,,,,,2.0,,2.0,2.0,,1.0,2.0,2.0,1.0,,,1.0,,,,4.0,4.0,5.0,,,,,,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.2857142857142857,0.3333333333333333,0.5,,1.0,0.6666666666666666,,,,,,,,,,,0.5,,,,,,0.4,,,0.40705,,,1.0,24.599999999999998,0.8333333333333334,2.0,4.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
100940-1629482-1629488-1630446-1631089,1611661317,"Diana Taurasi, Sophie Cunningham, Brianna Turner, Michaela Onyenwere, Destanni Henderson","Taurasi, Cunningham, Turner, Onyenwere, Henderson",100940-1629482-1629488-1630446-1631089,PHO,54.0,1,1.0,,2.0,1.0,3.0,1.0,,,1.0,80.0,17.0,20.0,17.0,20.0,,1.0,1.0,,,,,,,1.0,,0.3642,10.5,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
1627669-1629484-1629488-1630446-1641670,1611661317,"Moriah Jefferson, Megan Gustafson, Brianna Turner, Michaela Onyenwere, Madi Williams","Jefferson, Gustafson, Turner, Onyenwere, Williams",1627669-1629484-1629488-1630446-1641670,PHO,13.0,1,,-2.0,,1.0,1.0,2.0,,,,110.76923076923076,,13.0,,13.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
100940-1627669-1628287-1629488-1630446,1611661317,"Diana Taurasi, Moriah Jefferson, Jennie Simms, Brianna Turner, Michaela Onyenwere","Taurasi, Jefferson, Simms, Turner, Onyenwere",100940-1627669-1628287-1629488-1630446,PHO,34.0,1,1.0,2.0,1.0,1.0,2.0,,,,,84.70588235294117,6.0,28.0,6.0,28.0,,1.0,1.0,,,,,,,1.0,,0.4216,10.3,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
1629482-1629488-1630134-1641670-1641700,1611661317,"Sophie Cunningham, Brianna Turner, Sug Sutton, Madi Williams, Liz Dixon","Cunningham, Turner, Sutton, Williams, Dixon",1629482-1629488-1630134-1641670-1641700,PHO,127.0,1,2.0,-4.0,3.0,3.0,6.0,8.0,,1.0,1.0,68.03149606299212,26.333333333333332,16.0,26.333333333333332,16.0,,1.0,2.0,,,1.0,1.0,1.0,,0.5,,0.473,10.6,,,,,,1.0,1.0,,,,,2.0,,,,4.0,,,,,,,4.0,,,,2.0,,2.0,,,1.0,4.0,,,,,,,,,,,,,,,,4.0,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
100940-1627669-1629484-1630134-1630446,1611661317,"Diana Taurasi, Moriah Jefferson, Megan Gustafson, Sug Sutton, Michaela Onyenwere","Taurasi, Jefferson, Gustafson, Sutton, Onyenwere",100940-1627669-1629484-1630134-1630446,PHO,318.0,5,5.0,2.0,9.0,9.0,18.0,15.0,,,3.0,81.50943396226415,22.88888888888889,12.444444444444445,22.22222222222222,12.333333333333334,6.0,3.0,10.0,,,,,,0.5454545454545454,0.2727272727272727,0.6363636363636364,0.5013772727272727,5.6,,3.0,5.0,,,,1.0,,,,,6.0,1.0,1.0,2.0,17.0,,,,,,,4.0,3.0,,,2.0,1.0,3.0,,2.0,,7.0,,1.0,1.0,4.0,,,,2.0,3.0,1.0,2.0,,,,,14.0,,,,0.3333333333333333,0.4,1.0,1.0,,1.0,0.6,,0.6818181818181818,,0.7083333333333334,,0.09090909090909091,1.0,,0.5,1.0,,,0.8333333333333334,0.8333333333333334,0.4,0.09090909090909091,,,,,,,,,,,,,,0.16666666666666666,0.18181818181818182,,23.6,,1.0,8.0,1.0,0.1,0.3333333333333333,,0.3333333333333333,0.5,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,0.5897,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2023,2023,False
