EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Charge Fouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,DefThreePtRebounds,ShootingFouls,DefThreePtReboundPct,DefCorner3ReboundPct,SecondChanceFtPoints,SelfOReb,Loose Ball Fouls,OffAtRimReboundPct,SelfORebPct,PtsUnassisted3s,FTOffRebounds,Offensive Fouls,OffFTReboundPct,DefArc3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceTurnovers,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Transition Take Fouls,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Offensive Fouls Drawn,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,BlockedShortMidRange,ShortMidRangePctBlocked,LongMidRangePctBlocked,NonShootingFoulsDrawn,OffLongMidRangeReboundPct,OffCorner3ReboundPct,BadPassOutOfBoundsTurnovers,PenaltyCorner3FGA,3SecondViolations,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,NonShootingPenaltyNonTakeFouls,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,PenaltyCorner3FGM,HeaveAttempts,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,BlockedLongMidRange,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1628242-1628927-1631086-1641658-204365,1611661325,"Emma Cannon, Victoria Vivians, Lexie Hull, Grace Berger, Erica Wheeler","Cannon, Vivians, Hull, Berger, Wheeler",1628242-1628927-1631086-1641658-204365,IND,173.0,1,3.0,1.0,6.0,5.0,2.0,2.0,1.0,11.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,0.25,1.0,0.16666666666666666,1.0,0.25,1.5,0.3333333333333333,0.25,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,1.0,91.5606936416185,15.666666666666666,15.8,14.333333333333334,15.8,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,0.8333333333333334,0.5537416666666667,0.56265,0.7379,0.16666666666666666,0.25,1.0,4.15,27.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
1628242-1628909-1628929-1641648-204365,1611661325,"Emma Cannon, Kelsey Mitchell, Kristy Wallace, Aliyah Boston, Erica Wheeler","Cannon, Mitchell, Wallace, Boston, Wheeler",1628242-1628909-1628929-1641648-204365,IND,509.0,4,8.0,-3.0,20.0,18.0,7.0,9.0,2.0,38.0,3.0,3.0,1.0,1.0,2.0,4.0,,4.0,6.0,5.0,5.0,19.0,22.0,,1.0,1.0,3.0,11.0,6.0,4.0,,3.0,5.0,2.0,12.0,,4.0,5.0,2.0,7.0,1.0,,3.0,2.0,7.0,1.0,6.0,6.0,,5.0,1.0,3.0,17.0,11.0,7.0,0.75,1.0,0.6666666666666666,1.0,0.6363636363636364,1.0,0.7307692307692307,1.1,0.45454545454545453,,,0.42857142857142855,0.8,,0.8,0.4,,1.0,107.50491159135561,12.7,14.166666666666666,12.6,14.166666666666666,0.2727272727272727,1.0,1.0,0.6666666666666666,0.18181818181818182,0.36363636363636365,,0.25,1.0,0.7272727272727273,0.46035000000000004,,0.4297,0.23076923076923078,0.375,0.5789473684210527,6.166666666666667,24.759999999999998,0.35,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.4,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.5,0.5,1.0,0.09090909090909091,0.09090909090909091,0.5,0.5,1.0,1.0,1.0,0.75,0.6666666666666666,0.5,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
1628242-1631086-1641658-204320-204365,1611661325,"Emma Cannon, Lexie Hull, Grace Berger, Amanda Zahui B, Erica Wheeler","Cannon, Hull, Berger, Zahui B, Wheeler",1628242-1631086-1641658-204320-204365,IND,47.0,1,1.0,-2.0,2.0,3.0,,,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,153.19148936170214,9.0,9.666666666666666,9.0,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
1628927-1631019-1631031-1641658-204365,1611661325,"Victoria Vivians, NaLyssa Smith, Queen Egbo, Grace Berger, Erica Wheeler","Vivians, Smith, Egbo, Berger, Wheeler",1628927-1631019-1631031-1641658-204365,IND,48.0,1,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,3.0,,,,,1.0,,1.0,,1.5,,,,,,,,,,,,60.0,20.0,28.0,20.0,15.0,1.0,1.0,1.0,,,,,,,1.0,0.6929,,,1.0,1.0,,1.6,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
1628929-1630471-1631086-1641648-204365,1611661325,"Kristy Wallace, Maya Caldwell, Lexie Hull, Aliyah Boston, Erica Wheeler","Wallace, Caldwell, Hull, Boston, Wheeler",1628929-1630471-1631086-1641648-204365,IND,1.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
1628929-1631019-1631086-1641648-1641658,1611661325,"Kristy Wallace, NaLyssa Smith, Lexie Hull, Aliyah Boston, Grace Berger","Wallace, Smith, Hull, Boston, Berger",1628929-1631019-1631086-1641648-1641658,IND,199.0,3,3.0,-2.0,6.0,5.0,,,2.0,11.0,,2.0,,,3.0,,,1.0,6.0,,4.0,6.0,8.0,,,,,,,,,,,,,3.0,2.0,2.0,3.0,5.0,,,1.0,1.0,1.0,,2.0,2.0,,4.0,,2.0,4.0,,,,,0.16666666666666666,,0.16666666666666666,,0.375,,,,,1.0,1.0,0.6,1.0,0.6,1.0,,79.59798994974874,18.833333333333332,17.2,16.0,17.2,0.3333333333333333,,,,0.5,,,,,0.3333333333333333,0.4909333333333334,0.52725,,0.25,0.25,,8.483333333333333,,,,1.0,1.0,1.0,,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,,0.3333333333333333,0.3333333333333333,,0.16666666666666666,,,,,0.5,,,,,0.3333333333333333,,1.0,,,2.0,1.0,1.0,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
1628927-1628929-1630471-1631019-1641658,1611661325,"Victoria Vivians, Kristy Wallace, Maya Caldwell, NaLyssa Smith, Grace Berger","Vivians, Wallace, Caldwell, Smith, Berger",1628927-1628929-1630471-1631019-1641658,IND,95.0,1,2.0,-4.0,2.0,3.0,,,,5.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,75.78947368421053,30.5,11.333333333333334,30.5,11.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
1628909-1628927-1631019-1631086-204365,1611661325,"Kelsey Mitchell, Victoria Vivians, NaLyssa Smith, Lexie Hull, Erica Wheeler","Mitchell, Vivians, Smith, Hull, Wheeler",1628909-1628927-1631019-1631086-204365,IND,250.0,2,4.0,1.0,7.0,6.0,,,2.0,13.0,2.0,2.0,,,1.0,3.0,1.0,2.0,4.0,3.0,1.0,8.0,7.0,1.0,,,,,2.0,3.0,,1.0,1.0,1.0,2.0,,2.0,3.0,2.0,5.0,,,,,1.0,,2.0,1.0,,2.0,,1.0,8.0,,,0.5,0.5,0.5,,0.5,,0.5,,0.42857142857142855,,,,0.6666666666666666,,0.75,0.25,,,74.88,20.142857142857142,18.166666666666668,18.142857142857142,18.166666666666668,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,0.42857142857142855,0.5,,,0.7142857142857143,0.47819285714285714,0.5532,,0.125,0.2,,6.625,24.733333333333334,,,,,1.0,,1.0,,,1.0,,1.0,,,,2.0,,,1.0,,,,1.0,,,1.0,,,,,,0.3333333333333333,,0.3333333333333333,,,,,0.5,0.5,1.0,,,,,0.14285714285714285,,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,,1.0,,1.0,,,,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
1628242-1628909-1630471-1641658-204320,1611661325,"Emma Cannon, Kelsey Mitchell, Maya Caldwell, Grace Berger, Amanda Zahui B","Cannon, Mitchell, Caldwell, Berger, Zahui B",1628242-1628909-1630471-1641658-204320,IND,299.0,2,5.0,-2.0,10.0,11.0,5.0,2.0,2.0,21.0,,2.0,,1.0,1.0,4.0,1.0,1.0,3.0,4.0,5.0,10.0,12.0,1.0,,1.0,2.0,5.0,2.0,4.0,2.0,1.0,2.0,,5.0,2.0,1.0,4.0,3.0,7.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,,6.0,,3.0,7.0,5.0,5.0,1.0,1.0,0.3333333333333333,,0.35714285714285715,0.375,0.5,0.5,0.5714285714285714,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.75,,1.0,101.1371237458194,12.9,15.454545454545455,12.3,14.909090909090908,0.2857142857142857,,,,0.14285714285714285,0.5714285714285714,0.5,0.25,,0.8571428571428571,0.46744285714285716,0.55875,0.4592125,0.3,0.5,0.5,4.933333333333334,26.525,0.5,,1.0,1.0,,,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,3.0,,3.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,0.25,0.3333333333333333,0.25,,0.75,0.75,,0.5,0.5,,,1.0,1.0,1.0,,,0.25,0.3333333333333333,1.0,0.5,,0.75,0.3333333333333333,0.25,0.3,3.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
1628909-1630471-1631019-1631086-1641648,1611661325,"Kelsey Mitchell, Maya Caldwell, NaLyssa Smith, Lexie Hull, Aliyah Boston","Mitchell, Caldwell, Smith, Hull, Boston",1628909-1630471-1631019-1631086-1641648,IND,5.0,1,,-1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2023,2023,False
