EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Corner3Assists,Offensive Fouls,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGA,Loose Ball Fouls,PenaltyCorner3Frequency,Charge Fouls,BlockingFoulsDrawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,team_id,year,season,team_vs
100812-200665-202638-202664-203399,1611661329,"Erika de Souza, Cappie Pondexter, Jessica Breland, Courtney Vandersloot, Elena Delle Donne","de Souza, Pondexter, Breland, Vandersloot, Delle Donne",100812-200665-202638-202664-203399,CHI,5444.0,8,91.0,20.0,176.0,173.0,10.0,16.0,32.0,349.0,29.0,56.0,7.0,12.0,1.0,3.0,21.0,49.0,20.0,51.0,4.0,1.0,4.0,13.0,1.0,70.0,156.0,4.0,17.0,36.0,188.0,168.0,14.0,24.0,2.0,9.0,37.0,3.0,9.0,7.0,13.0,66.0,74.0,12.0,12.0,13.0,4.0,9.0,33.0,4.0,37.0,4.0,13.0,11.0,9.0,78.0,2.0,33.0,1.0,21.0,47.0,1.0,69.0,36.0,105.0,8.0,14.0,10.0,4.0,11.0,2.0,4.0,10.0,2.0,7.0,2.0,1.0,21.0,5.0,1.0,17.0,2.0,28.0,41.0,2.0,2.0,42.0,3.0,1.0,19.0,3.0,12.0,1.0,1.0,9.0,1.0,2.0,13.0,10.0,151.0,13.0,10.0,2.0,0.4714285714285714,0.515625,1.0,0.23529411764705882,0.23529411764705882,0.44871794871794873,0.5833333333333334,0.3333333333333333,0.4393063583815029,0.5384615384615384,0.3333333333333333,0.4869791666666667,0.5967741935483871,0.5,0.09826589595375723,0.057692307692307696,0.10714285714285714,0.04081632653061224,0.0196078431372549,0.5238095238095238,0.3333333333333333,0.5,0.8392857142857143,0.38823529411764707,0.875,0.15384615384615385,0.85,0.35714285714285715,0.4444444444444444,0.2857142857142857,0.43333333333333335,0.5,0.7368421052631579,0.9473684210526315,0.8333333333333334,0.8333333333333334,1.0,0.0898876404494382,92.31447465099191,0.7692307692307693,15.647727272727273,15.54913294797688,14.835227272727273,14.901734104046243,0.3236994219653179,0.5178571428571429,0.58,0.4482758620689655,0.2832369942196532,0.42857142857142855,0.44680851063829785,0.5238095238095238,0.2947976878612717,0.39215686274509803,0.4,0.45,0.023121387283236993,0.07514450867052024,0.3076923076923077,0.3076923076923077,1.0,0.46153846153846156,0.5833333333333334,0.2857142857142857,0.038461538461538464,0.038461538461538464,0.3333333333333333,0.3333333333333333,0.42196531791907516,0.3076923076923077,0.4645673410404624,0.49078958333333333,0.4723888888888889,0.10052910052910052,0.11046511627906977,0.19680851063829788,0.06914893617021277,9.21025641025641,23.358823529411765,0.056818181818181816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,False
200665-201516-202664-203399-204309,1611661329,"Cappie Pondexter, Allie Quigley, Courtney Vandersloot, Elena Delle Donne, Clarissa Dos Santos","Pondexter, Quigley, Vandersloot, Delle Donne, Dos Santos",200665-201516-202664-203399-204309,CHI,4583.0,20,76.0,18.0,151.0,142.0,18.0,26.0,18.0,293.0,20.0,42.0,1.0,7.0,,3.0,12.0,21.0,20.0,47.0,8.0,4.0,10.0,23.0,1.0,52.0,110.0,11.0,31.0,31.0,168.0,150.0,2.0,11.0,5.0,6.0,13.0,1.0,9.0,13.0,21.0,38.0,66.0,27.0,,22.0,10.0,11.0,19.0,9.0,28.0,8.0,9.0,2.0,8.0,65.0,6.0,15.0,,6.0,33.0,2.0,41.0,21.0,62.0,4.0,11.0,4.0,7.0,9.0,1.0,4.0,6.0,,5.0,,,15.0,,3.0,17.0,1.0,34.0,40.0,1.0,7.0,35.0,6.0,1.0,17.0,3.0,11.0,,,7.0,,4.0,11.0,5.0,155.0,17.0,16.0,1.0,0.36538461538461536,0.36538461538461536,0.8181818181818182,0.3548387096774194,0.36666666666666664,0.4727272727272727,0.18181818181818182,0.1111111111111111,0.4858156028368794,0.21875,0.3333333333333333,0.5387096774193548,0.325,0.5526315789473685,0.2198581560283688,0.1,0.11904761904761904,0.19047619047619047,0.0425531914893617,0.6,1.0,,0.717391304347826,0.2631578947368421,0.4,0.3157894736842105,0.639344262295082,0.27631578947368424,0.2727272727272727,0.3333333333333333,0.23076923076923078,0.14285714285714285,0.6666666666666666,0.7333333333333333,0.75,0.5454545454545454,,0.0625,92.06196814313768,0.45454545454545453,15.841059602649006,15.429577464788732,14.993377483443709,14.654929577464788,0.2978723404255319,0.47619047619047616,0.5405405405405406,0.45,0.14893617021276595,0.5714285714285714,0.7058823529411765,0.16666666666666666,0.3333333333333333,0.425531914893617,0.4444444444444444,0.4,0.05673758865248227,0.16312056737588654,0.43478260869565216,0.45454545454545453,0.8,0.4375,0.14285714285714285,,0.25,0.0625,0.25,,0.5177304964539007,0.45454545454545453,0.45476392857142856,0.4699107142857143,0.402075,0.1118421052631579,0.14049586776859505,0.07738095238095238,0.125,10.25,24.206451612903226,0.11920529801324503,1.0,1.0,2.0,3.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.2,0.6666666666666666,0.03225806451612903,0.043478260869565216,0.4166666666666667,0.125,0.125,1.0,0.25,1.0,0.25,0.6666666666666666,,,,,,,,,,,,,,1611661329,2015,2015,False
100812-200665-201516-202638-203399,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Jessica Breland, Elena Delle Donne","de Souza, Pondexter, Quigley, Breland, Delle Donne",100812-200665-201516-202638-203399,CHI,180.0,2,3.0,-2.0,5.0,6.0,,,,11.0,,,,,,,1.0,2.0,1.0,2.0,,,,,,2.0,4.0,,,,4.0,6.0,,,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,,1.0,2.0,,,,,2.0,,2.0,,2.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,2.0,,,,,,,,,1.0,,,,,1.0,1.0,,4.0,,,,0.5,0.5,,,,0.5,,,0.5,,,0.5,,,,,,,,1.0,,,0.6666666666666666,,,,0.6666666666666666,,,,,,1.0,0.5,,,,,88.0,,14.2,18.166666666666668,14.2,15.0,,,,,0.5,0.5,0.5,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,0.372175,,,,,,,12.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,False
100812-200665-201516-202664-203399,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Courtney Vandersloot, Elena Delle Donne","de Souza, Pondexter, Quigley, Vandersloot, Delle Donne",100812-200665-201516-202664-203399,CHI,2138.0,8,36.0,-19.0,66.0,74.0,14.0,18.0,7.0,140.0,9.0,17.0,1.0,1.0,2.0,2.0,5.0,11.0,4.0,9.0,2.0,,6.0,16.0,1.0,18.0,37.0,7.0,18.0,10.0,67.0,86.0,2.0,3.0,1.0,,4.0,3.0,8.0,3.0,9.0,8.0,28.0,12.0,2.0,15.0,6.0,2.0,4.0,4.0,8.0,3.0,3.0,1.0,,20.0,1.0,5.0,,2.0,24.0,2.0,28.0,6.0,34.0,2.0,2.0,2.0,,9.0,,6.0,4.0,1.0,3.0,1.0,,13.0,2.0,2.0,11.0,1.0,18.0,14.0,1.0,1.0,14.0,2.0,,7.0,1.0,7.0,1.0,1.0,6.0,,1.0,8.0,2.0,63.0,9.0,14.0,1.0,0.2222222222222222,0.23529411764705882,0.5714285714285714,0.3888888888888889,0.4117647058823529,0.4864864864864865,0.6666666666666666,0.375,0.5181818181818182,0.5,0.25,0.5491803278688525,0.5,0.32142857142857145,0.32727272727272727,0.05405405405405406,0.11764705882352941,,,0.6923076923076923,0.6666666666666666,,0.7741935483870968,0.2631578947368421,0.4,0.1111111111111111,0.7222222222222222,0.21428571428571427,0.25,0.5,,,0.6666666666666666,0.8181818181818182,0.875,0.4,,0.07692307692307693,94.29373246024322,0.25,15.075757575757576,15.445945945945946,14.227272727272727,14.5,0.3090909090909091,0.5294117647058824,0.6,0.3333333333333333,0.2,0.45454545454545453,0.45454545454545453,0.2,0.16363636363636364,0.4444444444444444,0.4444444444444444,,0.03636363636363636,0.2909090909090909,0.375,0.375,0.5,0.25,1.0,1.0,,0.25,0.16666666666666666,1.0,0.6363636363636364,0.4,0.48677358490566036,0.4874833333333333,0.42605454545454546,0.11666666666666667,0.16666666666666666,0.05970149253731343,0.13432835820895522,7.678378378378379,26.799999999999997,0.21212121212121213,1.0,,,3.0,,,4.0,9.0,1.0,,1.0,,,,2.0,,,,,0.125,0.5,0.5,1.0,,,0.25,,1.0,1.0,0.08333333333333333,,,,,,,,,,,1611661329,2015,2015,False
100812-200665-201516-203857-204309,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Jamierra Faulkner, Clarissa Dos Santos","de Souza, Pondexter, Quigley, Faulkner, Dos Santos",100812-200665-201516-203857-204309,CHI,114.0,1,2.0,-2.0,3.0,4.0,,,,7.0,,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,2.0,4.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,,1.0,,,,,1.0,,0.5,,,,,,,,,1.0,,,88.42105263157895,,13.0,18.75,13.0,14.5,,,,,0.5,1.0,1.0,,,,,,,0.5,,,,,,,,,,,0.5,,0.37685,,,,,,,11.3,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,False
100812-201477-201516-202638-203399,1611661329,"Erika de Souza, Tamera Young, Allie Quigley, Jessica Breland, Elena Delle Donne","de Souza, Young, Quigley, Breland, Delle Donne",100812-201477-201516-202638-203399,CHI,131.0,1,2.0,1.0,5.0,5.0,,5.0,,10.0,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,2.0,4.0,,,2.0,6.0,5.0,,,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,1.0,,,2.0,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,2.0,1.0,,,2.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,6.0,,,,0.5,0.5,,,,0.5,,,0.5,,,0.6,,,,,,,,,1.0,,1.0,,,,0.5,,,,,,1.0,,,,,,109.92366412213741,1.0,16.6,9.6,16.6,8.2,0.25,1.0,1.0,1.0,0.25,1.0,1.0,,0.5,,,,,,,,,,,,,,,,0.25,,0.425075,,,0.2,0.2,,,11.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,False
100812-201477-201516-203857-204309,1611661329,"Erika de Souza, Tamera Young, Allie Quigley, Jamierra Faulkner, Clarissa Dos Santos","de Souza, Young, Quigley, Faulkner, Dos Santos",100812-201477-201516-203857-204309,CHI,184.0,2,3.0,-4.0,6.0,6.0,1.0,,,12.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,2.0,,1.0,,2.0,6.0,,,,,,1.0,1.0,,2.0,2.0,,,,1.0,,,1.0,,1.0,,1.0,,,2.0,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,1.0,1.0,,,,0.5,,1.0,0.3333333333333333,,1.0,0.3333333333333333,,1.0,0.3333333333333333,,,,,0.5,,,1.0,,,,0.5,,,,,,,1.0,,,,,93.91304347826086,,16.166666666666668,14.5,16.166666666666668,13.333333333333334,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,1.0,1.0,0.6666666666666666,,0.5040333333333333,,0.6021,,,,1.0,10.2,25.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,False
100812-201477-202638-202664-203399,1611661329,"Erika de Souza, Tamera Young, Jessica Breland, Courtney Vandersloot, Elena Delle Donne","de Souza, Young, Breland, Vandersloot, Delle Donne",100812-201477-202638-202664-203399,CHI,2583.0,4,43.0,20.0,83.0,85.0,1.0,2.0,9.0,168.0,13.0,22.0,,2.0,,,12.0,18.0,9.0,18.0,2.0,,8.0,15.0,1.0,34.0,58.0,8.0,17.0,13.0,105.0,85.0,4.0,6.0,1.0,,8.0,,,,,44.0,24.0,12.0,2.0,15.0,8.0,2.0,22.0,4.0,26.0,4.0,7.0,7.0,8.0,56.0,4.0,6.0,,9.0,28.0,2.0,39.0,10.0,49.0,2.0,6.0,3.0,3.0,11.0,1.0,8.0,2.0,,3.0,,,13.0,3.0,1.0,13.0,,18.0,14.0,,1.0,14.0,3.0,1.0,8.0,,8.0,,,5.0,1.0,2.0,8.0,5.0,97.0,,1.0,,0.6470588235294118,0.6666666666666666,0.5,0.47058823529411764,0.47058823529411764,0.5862068965517241,0.6666666666666666,,0.6133333333333333,0.5714285714285714,,0.65,0.5714285714285714,,0.22666666666666666,0.034482758620689655,0.045454545454545456,0.05555555555555555,,0.8461538461538461,1.0,,0.7777777777777778,0.25,0.6923076923076923,0.4444444444444444,0.7551020408163265,0.30303030303030304,0.3333333333333333,0.3333333333333333,0.1111111111111111,,0.5714285714285714,0.8,1.0,0.6666666666666666,1.0,0.06451612903225806,93.65853658536587,0.625,14.975903614457831,15.764705882352942,14.265060240963855,14.964705882352941,0.29333333333333333,0.5909090909090909,0.6190476190476191,0.5384615384615384,0.24,0.6666666666666666,0.7058823529411765,0.5833333333333334,0.24,0.5,0.5,0.8888888888888888,0.02666666666666667,0.2,0.5333333333333333,0.5333333333333333,0.5,0.2857142857142857,,,,0.14285714285714285,,,0.52,0.5333333333333333,0.47345400000000004,0.44928999999999997,0.55215,0.1,0.12698412698412698,0.0761904761904762,,8.986206896551725,23.805882352941175,0.012048192771084338,,,,1.0,,,1.0,12.0,,,,,,,,,,,,0.5714285714285714,,,,,,1.0,,,,,1.0,,,,,,,,,,1611661329,2015,2015,False
200665-201477-202638-203857-204323,1611661329,"Cappie Pondexter, Tamera Young, Jessica Breland, Jamierra Faulkner, Cheyenne Parker","Pondexter, Young, Breland, Faulkner, Parker",200665-201477-202638-203857-204323,CHI,60.0,1,1.0,,2.0,3.0,,,,5.0,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,,,,4.0,4.0,,,,,,,,,,4.0,,,,,,,2.0,,2.0,,2.0,,,4.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,4.0,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,120.0,,14.5,10.333333333333334,14.5,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,0.57135,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,False
200665-201477-202664-203887-204323,1611661329,"Cappie Pondexter, Tamera Young, Courtney Vandersloot, Victoria Macaulay, Cheyenne Parker","Pondexter, Young, Vandersloot, Macaulay, Parker",200665-201477-202664-203887-204323,CHI,17.0,1,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,2.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,169.41176470588235,,5.0,12.0,,12.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,0.5432,0.5432,0.5432,,,1.0,1.0,2.3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,False
