EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyTurnovers,Charge Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceAtRimPctAssisted,BlockingFoulsDrawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PtsPutbacks,SecondChanceCorner3FGA,3SecondViolations,OffCorner3ReboundPct,SecondChanceCorner3Frequency,Blocked3s,BlockedCorner3,StepOutOfBoundsTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,team_id,year,season,team_vs
100721-101030-201499-202259-203411,1611661313,"Swin Cash, Tanisha Wright, Candice Wiggins, Epiphanny Prince, Sugar Rodgers","Cash, Wright, Wiggins, Prince, Rodgers",100721-101030-201499-202259-203411,NYL,3.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,480.0,3.0,3.0,1.0,1.0,1.0,0.17385,0.17385,24.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-101030-202250-202259-202670,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Carolyn Swords","Cash, Wright, Charles, Prince, Swords",100721-101030-202250-202259-202670,NYL,3474.0,5,98.0,3.0,195,20.0,1.0,21.0,1.0,20.0,3.0,0.23863636363636365,80.82901554404145,18.551020408163264,17.602040816326532,0.22727272727272727,0.5,0.5681818181818182,0.4723477272727273,0.592225,23.676190476190477,0.030612244897959183,58.0,-10.0,97.0,11.0,9.0,18.0,29.0,3.0,5.0,1.0,1.0,2.0,14.0,8.0,24.0,1.0,1.0,9.0,2.0,28.0,67.0,10.0,18.0,104.0,114.0,4.0,6.0,2.0,3.0,11.0,1.0,1.0,2.0,4.0,26.0,30.0,27.0,3.0,9.0,6.0,13.0,9.0,22.0,8.0,1.0,6.0,1.0,6.0,53.0,3.0,7.0,1.0,4.0,20.0,3.0,27.0,11.0,38.0,1.0,11.0,7.0,4.0,7.0,2.0,4.0,6.0,3.0,1.0,13.0,2.0,9.0,3.0,23.0,1.0,29.0,1.0,2.0,22.0,3.0,1.0,12.0,5.0,4.0,1.0,5.0,1.0,93.0,4.0,3.0,0.4642857142857143,0.4642857142857143,0.9,0.47619047619047616,0.47619047619047616,0.417910447761194,0.6666666666666666,1.0,0.48863636363636365,0.5,0.5,0.5309278350515464,0.6111111111111112,0.6666666666666666,0.08955223880597014,0.10344827586206896,0.14285714285714285,0.041666666666666664,0.5384615384615384,0.75,0.5,0.5263157894736842,0.18421052631578946,0.5,0.2727272727272727,0.5217391304347826,0.20408163265306123,0.09090909090909091,0.16666666666666666,0.26666666666666666,0.2727272727272727,0.36363636363636365,0.6363636363636364,0.5625,0.4,0.6666666666666666,0.023255813953488372,0.2,17.072164948453608,15.422680412371134,0.32954545454545453,0.6206896551724138,0.6923076923076923,0.3333333333333333,0.1590909090909091,0.14285714285714285,0.16666666666666666,0.5,0.2727272727272727,0.3333333333333333,0.34782608695652173,0.75,0.011363636363636364,1.0,1.0,1.0,0.45,0.45,0.8888888888888888,0.625,0.6,0.25,0.5,1.0,0.45,0.5349666666666667,0.12371134020618557,0.15789473684210525,0.10576923076923077,0.038461538461538464,9.197014925373136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-101030-202250-202259-203069,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Avery Warley-Talbert","Cash, Wright, Charles, Prince, Warley-Talbert",100721-101030-202250-202259-203069,NYL,424.0,1,10.0,,20,2.0,,3.0,,2.0,,0.23076923076923078,67.9245283018868,23.2,19.7,0.15384615384615385,,0.46153846153846156,0.46026153846153844,,23.53333333333333,,7.0,6.0,10.0,,2.0,2.0,3.0,,,,,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,10.0,2.0,1.0,17.0,11.0,,2.0,1.0,,3.0,,,,,8.0,2.0,6.0,,1.0,,4.0,2.0,6.0,1.0,1.0,2.0,,2.0,14.0,,3.0,,1.0,3.0,,4.0,3.0,7.0,,,,,,,,,,,,,1.0,,2.0,,4.0,2.0,,2.0,1.0,1.0,1.0,2.0,2.0,,2.0,,14.0,,,0.8,0.8,1.0,0.6666666666666666,0.6666666666666666,0.5,,,0.6153846153846154,0.5,,0.6538461538461539,0.5,,,,,,,,,0.6,0.6,1.0,,0.6666666666666666,0.5,,,0.75,,,1.0,1.0,1.0,,,,19.2,17.3,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.07692307692307693,1.0,1.0,,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,0.07692307692307693,1.0,1.0,1.0,0.5,0.5,1.0,,,0.3333333333333333,,,0.5,0.4774,0.07692307692307693,0.1,0.17647058823529413,,11.77,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-101030-202250-202259-203411,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Sugar Rodgers","Cash, Wright, Charles, Prince, Rodgers",100721-101030-202250-202259-203411,NYL,29.0,2,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148.9655172413793,3.0,3.0,1.0,1.0,1.0,0.1878,0.1878,23.8,1.0,,-2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-101030-202250-202259-204329,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Kiah Stokes","Cash, Wright, Charles, Prince, Stokes",100721-101030-202250-202259-204329,NYL,2020.0,5,51.0,11.0,105,7.0,2.0,8.0,2.0,7.0,11.0,0.17777777777777778,74.85148514851485,20.176470588235293,17.84313725490196,0.15555555555555556,0.2222222222222222,0.5555555555555556,0.4440444444444444,0.45062222222222226,24.0125,0.21568627450980393,34.0,3.0,54.0,21.0,8.0,12.0,17.0,2.0,3.0,3.0,4.0,2.0,9.0,6.0,11.0,1.0,1.0,2.0,1.0,20.0,37.0,3.0,4.0,53.0,50.0,4.0,7.0,1.0,,8.0,5.0,7.0,1.0,11.0,20.0,20.0,6.0,3.0,2.0,1.0,10.0,2.0,12.0,1.0,1.0,5.0,1.0,4.0,26.0,1.0,7.0,,2.0,16.0,3.0,21.0,8.0,29.0,,7.0,4.0,3.0,8.0,1.0,5.0,4.0,3.0,,12.0,2.0,7.0,,14.0,1.0,11.0,2.0,2.0,6.0,,,2.0,3.0,2.0,1.0,3.0,2.0,45.0,11.0,1.0,0.5,0.5,0.6666666666666666,0.375,0.375,0.5405405405405406,0.5714285714285714,0.7142857142857143,0.5444444444444444,0.5,0.5555555555555556,0.5520833333333334,0.5,0.55,0.02702702702702703,0.058823529411764705,,,0.6666666666666666,1.0,,0.6666666666666666,0.4117647058823529,1.0,0.2,0.6923076923076923,0.36363636363636365,0.2,0.42857142857142855,0.6,0.2,0.2857142857142857,0.9090909090909091,0.6666666666666666,1.0,,,0.6666666666666666,18.35185185185185,17.24074074074074,0.37777777777777777,0.7058823529411765,0.75,0.4166666666666667,0.2,0.2222222222222222,0.2222222222222222,0.5,0.24444444444444444,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.022222222222222223,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.5,0.375,0.6666666666666666,0.125,0.4444444444444444,0.75,0.2857142857142857,0.4036625,0.0425531914893617,0.05128205128205128,0.1509433962264151,0.20754716981132076,7.8945945945945954,,,,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-101030-202250-203411-204329,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Sugar Rodgers, Kiah Stokes","Cash, Wright, Charles, Rodgers, Stokes",100721-101030-202250-203411-204329,NYL,15.0,1,1.0,1.0,1,,,,,,1.0,,96.0,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-101030-202259-202670-204329,1611661313,"Swin Cash, Tanisha Wright, Epiphanny Prince, Carolyn Swords, Kiah Stokes","Cash, Wright, Prince, Swords, Stokes",100721-101030-202259-202670-204329,NYL,119.0,1,5.0,3.0,9,2.0,1.0,3.0,2.0,2.0,3.0,0.6,108.90756302521008,14.0,14.0,0.4,0.3333333333333333,0.8,0.44789,0.45011666666666666,24.133333333333336,0.6,2.0,4.0,4.0,4.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,8.0,4.0,,,,,,1.0,1.0,,8.0,2.0,,6.0,,1.0,,1.0,2.0,3.0,1.0,1.0,,,1.0,8.0,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,8.0,8.0,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,,1.0,0.8,,1.3333333333333333,0.8,,1.3333333333333333,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,12.25,12.25,0.2,,,,,,,,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,0.5,,,,,1.0,8.6,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-101030-202259-203411-204329,1611661313,"Swin Cash, Tanisha Wright, Epiphanny Prince, Sugar Rodgers, Kiah Stokes","Cash, Wright, Prince, Rodgers, Stokes",100721-101030-202259-203411-204329,NYL,14.0,1,1.0,1.0,2,,,,,,1.0,,205.71428571428572,11.0,11.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-201499-201502-202259-204329,1611661313,"Swin Cash, Candice Wiggins, Essence Carson, Epiphanny Prince, Kiah Stokes","Cash, Wiggins, Carson, Prince, Stokes",100721-201499-201502-202259-204329,NYL,37.0,1,1.0,1.0,2,,,,,,1.0,,77.83783783783784,13.0,13.0,,,,0.2756,0.2756,,1.0,1.0,-2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,24.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-201499-201502-203411-204329,1611661313,"Swin Cash, Candice Wiggins, Essence Carson, Sugar Rodgers, Kiah Stokes","Cash, Wiggins, Carson, Rodgers, Stokes",100721-201499-201502-203411-204329,NYL,64.0,2,3.0,3.0,4,,,,,,3.0,,90.0,13.0,13.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,,,,,,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.5,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
