EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls Drawn,BlockingFoulsDrawn,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg2Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ThreePtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,OffCorner3ReboundPct,Offensive Fouls,DefCorner3ReboundPct,HeaveAttempts,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,SecondChanceTurnovers,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangePctBlocked,Charge Fouls,3SecondViolations,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,Clear Path Fouls,Blocked3s,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,3pt And 1 Free Throw Trips,Corner3PctBlocked,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
100888-201050-202640-203029-203824,1611661321,"Plenette Pierson, Tiffany Jackson, Karima Christmas-Kelly, Riquna Williams, Odyssey Sims","Pierson, Jackson, Christmas-Kelly, Williams, Sims",100888-201050-202640-203029-203824,TUL,54.0,1,1.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,0.75,0.75,0.6666666666666666,0.5,0.6,0.6666666666666666,1.0,160.0,1.0,4.0,14.0,4.0,10.666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
100888-201050-202640-203824-204331,1611661321,"Plenette Pierson, Tiffany Jackson, Karima Christmas-Kelly, Odyssey Sims, Brianna Kiesel","Pierson, Jackson, Christmas-Kelly, Sims, Kiesel",100888-201050-202640-203824-204331,TUL,571.0,2,10.0,4.0,18.0,20.0,9.0,9.0,38.0,10.0,24.0,7.0,10.0,2.0,2.0,6.0,7.0,10.0,11.0,4.0,,,,,24.0,10.0,9.0,4.0,0.6666666666666666,0.625,0.5,1.0,0.6666666666666666,1.0,1.0,95.83187390542906,,15.944444444444445,14.2,14.833333333333334,13.1,0.4166666666666667,0.5,1.0,4.0,5.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,10.0,2.0,3.0,20.0,1.0,3.0,1.0,1.0,6.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,9.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,0.75,0.75,0.5,0.6666666666666666,1.0,0.6666666666666666,0.4,0.5384615384615384,0.375,0.23076923076923078,0.1,0.5,1.0,0.6666666666666666,1.0,0.14285714285714285,1.0,0.38461538461538464,0.8,0.8,0.75,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.25,1.0,0.6153846153846154,0.6666666666666666,0.4456,0.3915125,0.14285714285714285,0.18181818181818182,7.9,23.233333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
100888-201907-202640-203824-203835,1611661321,"Plenette Pierson, Courtney Paris, Karima Christmas-Kelly, Odyssey Sims, Jordan Hooper","Pierson, Paris, Christmas-Kelly, Sims, Hooper",100888-201907-202640-203824-203835,TUL,2076.0,7,35.0,-6.0,64.0,65.0,3.0,7.0,129.0,11.0,70.0,1.0,1.0,4.0,18.0,23.0,35.0,15.0,15.0,2.0,3.0,1.0,3.0,2.0,59.0,1.0,3.0,1.0,0.5072463768115942,0.25,0.782608695652174,0.6666666666666666,0.7586206896551724,0.875,1.0,89.47976878612717,0.6666666666666666,16.953125,15.246153846153845,15.8125,14.184615384615384,0.014285714285714285,0.046875,10.0,12.0,21.0,9.0,9.0,6.0,20.0,,1.0,19.0,39.0,7.0,23.0,76.0,9.0,,,1.0,20.0,18.0,12.0,9.0,20.0,6.0,4.0,10.0,4.0,14.0,3.0,5.0,32.0,6.0,1.0,12.0,3.0,3.0,,6.0,5.0,8.0,2.0,6.0,,14.0,,2.0,1.0,6.0,3.0,0.5263157894736842,0.6666666666666666,0.5714285714285714,0.30434782608695654,,0.30434782608695654,0.48717948717948717,0.47580645161290325,,0.3709677419354839,0.10256410256410256,0.1111111111111111,0.75,1.0,0.375,0.3333333333333333,0.42857142857142855,0.3387096774193548,0.5714285714285714,0.6666666666666666,0.4166666666666667,0.14516129032258066,0.14516129032258066,0.3225806451612903,0.3,0.3157894736842105,0.5,1.0,,0.7096774193548387,0.3,0.4969677419354839,0.5199,0.08955223880597014,0.13636363636363635,7.328205128205129,23.382608695652173,4.0,6.0,3.0,4.0,1.0,3.0,2.0,5.0,2.0,1.0,11.0,8.0,1.0,1.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5555555555555556,0.45454545454545453,0.4583333333333333,0.043478260869565216,0.14285714285714285,0.05,0.3,0.2222222222222222,0.3333333333333333,0.4,0.8,0.7,0.03225806451612903,0.3333333333333333,0.375,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.75,0.04838709677419355,0.3333333333333333,0.3333333333333333,1.0,0.5454545454545454,0.6666666666666666,0.18181818181818182,0.525,0.15714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
100888-201907-202640-203824-204320,1611661321,"Plenette Pierson, Courtney Paris, Karima Christmas-Kelly, Odyssey Sims, Amanda Zahui B","Pierson, Paris, Christmas-Kelly, Sims, Zahui B",100888-201907-202640-203824-204320,TUL,220.0,1,4.0,9.0,8.0,7.0,7.0,6.0,15.0,4.0,13.0,4.0,13.0,,2.0,2.0,2.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,7.0,,0.75,0.8571428571428571,1.0,,1.0,1.0,,98.18181818181819,1.0,10.625,19.285714285714285,10.125,17.0,1.0,0.875,1.0,3.0,3.0,,1.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,,4.0,1.0,2.0,2.0,4.0,3.0,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,5.0,,,,1.0,,1.0,,,,,1.0,,2.0,,1.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5,0.75,0.75,0.75,0.3333333333333333,,,,,,,,0.5,1.0,1.0,0.3333333333333333,,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.5,0.8333333333333334,0.5,0.50175,0.50175,0.2857142857142857,0.25,6.925,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,1.0,1.0,0.75,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
100888-201907-203029-203400-203824,1611661321,"Plenette Pierson, Courtney Paris, Riquna Williams, Skylar Diggins-Smith, Odyssey Sims","Pierson, Paris, Williams, Diggins-Smith, Sims",100888-201907-203029-203400-203824,TUL,159.0,1,3.0,-1.0,5.0,5.0,,5.0,10.0,,5.0,,,,,,,,,,,,,,5.0,,,,0.5,,,,,,,90.56603773584906,,17.0,14.8,17.0,14.0,,,,,,1.0,2.0,1.0,2.0,,,1.0,3.0,1.0,2.0,6.0,,,,,2.0,,3.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,5.0,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,0.5,,0.5,0.3333333333333333,0.5,,0.4,,,,,,,,,,,,0.2,0.4,0.4,0.5,0.5,1.0,,,0.4,0.5,0.38041,,,,15.266666666666666,23.55,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
100888-201907-203824-203835-204331,1611661321,"Plenette Pierson, Courtney Paris, Odyssey Sims, Jordan Hooper, Brianna Kiesel","Pierson, Paris, Sims, Hooper, Kiesel",100888-201907-203824-203835-204331,TUL,1115.0,6,19.0,,33.0,33.0,2.0,,66.0,8.0,28.0,2.0,2.0,1.0,13.0,14.0,17.0,12.0,10.0,,1.0,,1.0,,24.0,2.0,2.0,,0.45161290322580644,0.5,0.7222222222222222,0.2,0.6086956521739131,0.6666666666666666,0.25,85.23766816143498,,15.757575757575758,18.03030303030303,15.333333333333334,16.0,0.07142857142857142,0.06060606060606061,3.0,2.0,3.0,10.0,2.0,1.0,8.0,,,7.0,15.0,2.0,11.0,28.0,2.0,1.0,,,4.0,10.0,6.0,,8.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,10.0,2.0,,3.0,3.0,,3.0,2.0,1.0,5.0,,1.0,,6.0,1.0,2.0,,5.0,,0.2857142857142857,0.3333333333333333,1.0,0.18181818181818182,,0.18181818181818182,0.4666666666666667,0.38461538461538464,,0.4230769230769231,0.06666666666666667,0.1,0.4,,0.2222222222222222,0.17647058823529413,0.14285714285714285,0.11538461538461539,0.6666666666666666,0.6666666666666666,0.5,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.125,0.125,1.0,,,0.5384615384615384,0.125,0.47214038461538466,0.3997,0.16129032258064516,0.25,7.886666666666667,23.4,1.0,1.0,5.0,,1.0,3.0,1.0,2.0,1.0,,4.0,2.0,,1.0,1.0,,1.0,,3.0,,1.0,,,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,0.125,,0.2,,0.6666666666666666,0.8333333333333334,,0.5,0.5555555555555556,0.2,,,,0.11538461538461539,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4582,0.14285714285714285,,,,,,,,,,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
100888-202640-203029-203824-204320,1611661321,"Plenette Pierson, Karima Christmas-Kelly, Riquna Williams, Odyssey Sims, Amanda Zahui B","Pierson, Christmas-Kelly, Williams, Sims, Zahui B",100888-202640-203029-203824-204320,TUL,310.0,3,5.0,1.0,10.0,9.0,,,19.0,2.0,8.0,,,1.0,4.0,5.0,7.0,1.0,2.0,,1.0,1.0,1.0,,6.0,,,,0.4,,0.8,1.0,0.8333333333333334,0.6666666666666666,,88.25806451612902,,16.2,16.444444444444443,14.2,16.22222222222222,,,1.0,2.0,3.0,3.0,3.0,,,,,3.0,9.0,,,7.0,2.0,,,,4.0,2.0,,,,,,2.0,,2.0,,1.0,4.0,,,2.0,,,,,,2.0,,1.0,,2.0,,,,1.0,,0.6666666666666666,0.6666666666666666,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,,0.44643333333333335,,0.1,0.1,9.544444444444444,,1.0,1.0,1.0,,,,,1.0,,,2.0,,,,1.0,,2.0,,2.0,,,,,,0.5,0.5,0.5,,,,0.3333333333333333,,0.5,0.3333333333333333,,1.0,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,0.5,1.0,,0.44235,0.25,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
100888-202640-203029-204320-204331,1611661321,"Plenette Pierson, Karima Christmas-Kelly, Riquna Williams, Amanda Zahui B, Brianna Kiesel","Pierson, Christmas-Kelly, Williams, Zahui B, Kiesel",100888-202640-203029-204320-204331,TUL,133.0,2,2.0,1.0,3.0,4.0,,,7.0,2.0,4.0,,,2.0,,2.0,3.0,2.0,3.0,,,,,,3.0,,,,0.5,,,0.6666666666666666,0.6666666666666666,,1.0,75.78947368421052,,25.333333333333332,14.25,24.666666666666668,11.5,,,1.0,1.0,2.0,,1.0,,,,,1.0,3.0,,,3.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,3.0,,,1.0,2.0,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,0.5,,0.6666666666666666,0.5,0.5,,,0.3333333333333333,,,,,,,0.6666666666666666,,0.47953333333333337,,0.5,0.5,7.6000000000000005,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,0.5,,,,0.5,1.0,,,,,0.5,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
100888-202640-203037-203824-203849,1611661321,"Plenette Pierson, Karima Christmas-Kelly, Vicki Baugh, Odyssey Sims, Theresa Plaisance","Pierson, Christmas-Kelly, Baugh, Sims, Plaisance",100888-202640-203037-203824-203849,TUL,60.0,1,1.0,-3.0,2.0,2.0,,,4.0,,2.0,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,96.0,,16.5,13.5,16.5,13.5,,,,,,1.0,,,,,,1.0,1.0,,,5.0,,,,,2.0,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,0.3582,,,,6.4,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
100888-202640-203824-204320-204331,1611661321,"Plenette Pierson, Karima Christmas-Kelly, Odyssey Sims, Amanda Zahui B, Brianna Kiesel","Pierson, Christmas-Kelly, Sims, Zahui B, Kiesel",100888-202640-203824-204320-204331,TUL,118.0,1,2.0,2.0,3.0,3.0,2.0,3.0,6.0,4.0,4.0,2.0,2.0,2.0,,2.0,2.0,2.0,4.0,,,,,,4.0,2.0,2.0,,0.6666666666666666,0.5,,1.0,0.6666666666666666,,1.0,73.22033898305085,,19.0,20.333333333333332,19.0,17.0,0.5,0.6666666666666666,,,,,,,1.0,,1.0,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,0.6666666666666666,1.0,,53.7,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,False
