EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,Defensive 3 Seconds Violations,Assisted3sPct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,Arc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,PenaltyFtPoints,DefThreePtRebounds,DefThreePtReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFGM,PenaltyAtRimFGM,AtRimAssists,FTDefRebounds,BadPassOutOfBoundsTurnovers,BlockingFouls,Technical Free Throw Trips,BlockedAtRim,DefFTReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,Corner3FGM,Corner3Assists,LongMidRangeAssists,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,BlockedLongMidRange,RecoveredBlocks,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,FTOffRebounds,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,SecondChanceAtRimPctAssisted,Travels,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,team_id,year,season,team_vs
100949-101024-201496-201911-202650,1611661320,"Alana Beard, Temeka Johnson, Candace Parker, Kristi Toliver, Jantel Lavender","Beard, Johnson, Parker, Toliver, Lavender",100949-101024-201496-201911-202650,LAS,339.0,2,6,-10,14,13,12.0,11.0,3.0,27,5.0,1.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,3.0,12,1.0,6.0,9,19,2.0,2.0,2.0,9.0,1.0,6.0,7.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,6,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,9,7.0,12.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.25,0.2222222222222222,0.25,0.23333333333333334,0.25,0.23333333333333334,0.3333333333333333,0.16666666666666666,0.4,1.0,0.25,0.5,0.6666666666666666,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,114.69026548672565,14.357142857142858,10.615384615384615,12.285714285714286,10.076923076923077,0.2777777777777778,0.16666666666666666,1.0,1.0,0.6666666666666666,0.2222222222222222,0.05555555555555555,0.2777777777777778,0.2,0.2,0.25,0.25,0.25,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.2,0.6111111111111112,0.25,0.4636676470588235,0.615375,0.4761964285714286,0.7777777777777778,9.091666666666667,30.71666666666667,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2015,2015,False
100949-101024-201496-201911-203014,1611661320,"Alana Beard, Temeka Johnson, Candace Parker, Kristi Toliver, Nneka Ogwumike","Beard, Johnson, Parker, Toliver, Ogwumike",100949-101024-201496-201911-203014,LAS,209.0,1,3,2,8,6,,,,14,1.0,,,,,,,,,1.0,3.0,,,,,1,1.0,3.0,9,7,,,,,,,,,,,,3.0,1.0,1.0,,1.0,,3.0,,,2.0,2.0,,2,1.0,,,1.0,,1.0,1.0,3.0,,9,,,,,0.3333333333333333,,0.3333333333333333,,,0.375,,0.6428571428571429,,0.75,1.0,1.0,0.6666666666666666,,,0.6666666666666666,,,,,,1.0,96.45933014354067,10.25,21.166666666666668,10.25,20.166666666666668,0.25,,,,,,,0.75,0.3333333333333333,0.3333333333333333,,,,,,,,1.0,0.3333333333333333,0.55335,,,,2.2,22.900000000000002,,6.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.42857142857142855,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2015,2015,False
100949-101024-201496-202650-203014,1611661320,"Alana Beard, Temeka Johnson, Candace Parker, Jantel Lavender, Nneka Ogwumike","Beard, Johnson, Parker, Lavender, Ogwumike",100949-101024-201496-202650-203014,LAS,231.0,2,4,-2,8,8,5.0,,1.0,16,,,,,1.0,2.0,,,,,1.0,,,1.0,1.0,3,,1.0,4,6,1.0,,1.0,2.0,,1.0,3.0,,2.0,,1.0,,,,,,,,,,2.0,3.0,,3,1.0,,,1.0,1.0,,,4.0,,4,3.0,5.0,,,,,,0.3333333333333333,0.5,0.25,0.3333333333333333,0.2857142857142857,0.375,0.25,,,1.0,,,1.0,,,,,,1.0,99.74025974025975,13.5,15.375,12.25,15.375,,0.25,,,,0.5,,0.25,,,,,,,,0.3333333333333333,,0.25,,0.3768666666666667,0.4266,0.352,0.75,15.6,54.9,0.625,2.0,,,,1.0,1.0,1.0,6.0,3.0,,,,,,1.0,,,0.42857142857142855,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2015,2015,False
100949-101024-201496-202650-204302,1611661320,"Alana Beard, Temeka Johnson, Candace Parker, Jantel Lavender, Ana Dabovic","Beard, Johnson, Parker, Lavender, Dabovic",100949-101024-201496-202650-204302,LAS,433.0,3,7,-4,13,12,2.0,4.0,2.0,25,3.0,,1.0,1.0,1.0,2.0,,,,,4.0,1.0,,,3.0,6,,4.0,7,11,1.0,1.0,1.0,1.0,,,2.0,2.0,4.0,,,4.0,,,1.0,1.0,,2.0,2.0,,4.0,5.0,2.0,7,1.0,,1.0,4.0,,3.0,8.0,1.0,,7,2.0,2.0,0.3333333333333333,0.3333333333333333,,,,0.5,1.0,0.3,1.0,0.3,1.0,0.4,,,0.8,,0.5,0.8,0.2857142857142857,,,0.5,,1.0,83.14087759815243,18.076923076923077,16.5,15.692307692307692,15.666666666666666,0.3,0.1,1.0,1.0,,0.2,,0.4,,,,,0.5,1.0,,,,0.7,,0.48176500000000005,,0.4131,0.2857142857142857,7.633333333333333,23.375,0.15384615384615385,1.0,,,,1.0,3.0,3.0,1.0,,1.0,,1.0,,,0.75,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2015,2015,False
100949-101024-201496-203014-204302,1611661320,"Alana Beard, Temeka Johnson, Candace Parker, Nneka Ogwumike, Ana Dabovic","Beard, Johnson, Parker, Ogwumike, Dabovic",100949-101024-201496-203014-204302,LAS,263.0,2,4,3,10,8,3.0,4.0,1.0,18,6.0,1.0,1.0,,2.0,1.0,,,,,1.0,,,,4.0,9,,1.0,11,8,1.0,,1.0,3.0,,,3.0,4.0,4.0,,,1.0,,1.0,2.0,2.0,,4.0,,1.0,,,1.0,1,2.0,1.0,1.0,1.0,,,1.0,4.0,,9,3.0,3.0,0.5,0.6666666666666666,,,,0.4444444444444444,0.3333333333333333,0.4,0.3333333333333333,0.5,0.5,0.1,0.1111111111111111,0.16666666666666666,,0.25,,,0.2,0.5,,,,,98.5551330798479,15.5,13.5,15.4,13.5,0.6,0.2,,,,0.1,,0.1,,,1.0,,,0.3333333333333333,,,,0.7,,0.446705,0.3099,0.3912333333333333,0.2727272727272727,4.911111111111111,23.4,0.3,3.0,,,,1.0,,,3.0,2.0,,,,,,,,,0.18181818181818182,0.2,,1.0,,,,,,4.0,1.0,2.0,,,,,,,,0.6666666666666666,0.8,0.5,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2015,2015,False
100949-101024-202650-203014-204302,1611661320,"Alana Beard, Temeka Johnson, Jantel Lavender, Nneka Ogwumike, Ana Dabovic","Beard, Johnson, Lavender, Ogwumike, Dabovic",100949-101024-202650-203014-204302,LAS,176.0,1,3,1,5,7,1.0,1.0,2.0,12,3.0,1.0,,,1.0,2.0,,,,,,,,,1.0,6,,,3,2,2.0,,,,,,1.0,,2.0,,,,,1.0,,,,,,2.0,2.0,3.0,2.0,5,,,,,,2.0,2.0,1.0,,3,1.0,1.0,,,,,,0.16666666666666666,,0.16666666666666666,,0.21428571428571427,0.5,,0.16666666666666666,,1.0,0.4,,1.0,0.4,0.5,,,,1.0,98.18181818181819,20.0,10.857142857142858,16.4,10.857142857142858,0.5,0.16666666666666666,,,,0.3333333333333333,,,,,0.5,,,,,,,0.5,,0.4825,0.50705,,0.3333333333333333,8.216666666666667,,0.2,1.0,,,,,,,2.0,1.0,,,,,,,,,0.14285714285714285,0.14285714285714285,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2015,2015,False
100949-201496-201911-202650-203014,1611661320,"Alana Beard, Candace Parker, Kristi Toliver, Jantel Lavender, Nneka Ogwumike","Beard, Parker, Toliver, Lavender, Ogwumike",100949-201496-201911-202650-203014,LAS,2886.0,3,48,-30,87,91,2.0,5.0,10.0,178,22.0,3.0,,3.0,13.0,22.0,2.0,,,4.0,12.0,,,,24.0,57,6.0,14.0,74,104,5.0,,,,,,1.0,26.0,22.0,6.0,,12.0,4.0,4.0,13.0,17.0,,38.0,3.0,8.0,23.0,32.0,11.0,43,7.0,3.0,6.0,22.0,1.0,7.0,14.0,13.0,,68,1.0,2.0,0.5416666666666666,0.5909090909090909,0.42857142857142855,,0.42857142857142855,0.42105263157894735,,0.4647887323943662,,0.4868421052631579,0.5,0.19718309859154928,0.07017543859649122,0.09090909090909091,0.6571428571428571,0.24242424242424243,0.375,0.6666666666666666,0.2682926829268293,0.2222222222222222,0.21428571428571427,0.375,,0.6111111111111112,88.81496881496881,16.298850574712645,16.13186813186813,15.781609195402298,15.032967032967033,0.30985915492957744,0.18309859154929578,0.23076923076923078,0.2727272727272727,,0.30985915492957744,0.028169014084507043,0.16901408450704225,0.3333333333333333,0.3333333333333333,0.6,,,,,,,0.5070422535211268,0.3333333333333333,0.47200000000000003,0.5839,,0.013513513513513514,10.287719298245614,23.885714285714283,0.022988505747126436,8.0,12.0,4.0,2.0,4.0,16.0,13.0,10.0,5.0,3.0,,3.0,,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.5,0.06578947368421052,0.08064516129032258,8.0,1.0,9.0,0.6923076923076923,1.0,0.36363636363636365,0.36363636363636365,13.0,,10.0,,3.0,,,2.0,,0.7272727272727273,0.5909090909090909,0.65,0.7692307692307693,,2.0,3.0,6.0,4.0,,,0.6,0.6,0.6,0.6666666666666666,0.08108108108108109,0.15384615384615385,0.3,2.0,2.0,3.0,3.0,3.0,5.0,1.0,2.0,1.0,2.0,0.6363636363636364,0.08108108108108109,0.6666666666666666,0.375,1.0,1.0,1.0,,,,,,,,,,1611661320,2015,2015,False
100949-201496-201911-202650-204302,1611661320,"Alana Beard, Candace Parker, Kristi Toliver, Jantel Lavender, Ana Dabovic","Beard, Parker, Toliver, Lavender, Dabovic",100949-201496-201911-202650-204302,LAS,905.0,2,15,19,30,28,8.0,7.0,2.0,58,7.0,1.0,3.0,3.0,4.0,5.0,,,,5.0,7.0,,,1.0,9.0,16,5.0,7.0,41,22,2.0,,4.0,6.0,,1.0,11.0,14.0,4.0,3.0,,7.0,5.0,1.0,7.0,11.0,2.0,26.0,,1.0,11.0,11.0,2.0,13,5.0,2.0,3.0,5.0,1.0,4.0,7.0,12.0,,37,10.0,7.0,0.7777777777777778,0.7777777777777778,0.7142857142857143,,0.7142857142857143,0.5625,0.6666666666666666,0.717391304347826,0.5714285714285714,0.7592592592592593,0.6111111111111112,0.30434782608695654,0.0625,,0.8461538461538461,0.14285714285714285,,0.7857142857142857,0.1111111111111111,0.3333333333333333,,,,0.8333333333333334,92.28729281767956,16.533333333333335,14.607142857142858,16.033333333333335,13.678571428571429,0.30434782608695654,0.17391304347826086,0.75,1.0,0.6666666666666666,0.21739130434782608,,0.30434782608695654,0.7142857142857143,0.7142857142857143,0.5,,,0.42857142857142855,,0.14285714285714285,,0.6086956521739131,0.7142857142857143,0.43744347826086954,0.49815,0.4365,0.2682926829268293,8.05625,24.17142857142857,0.26666666666666666,8.0,12.0,4.0,4.0,3.0,2.0,2.0,11.0,5.0,2.0,,2.0,,0.8,0.4,1.0,0.8,0.2,0.2777777777777778,2.0,3.0,,,,0.4,0.4,4.0,2.0,3.0,,,,,,,0.75,0.5714285714285714,0.5714285714285714,0.75,0.6666666666666666,1.0,2.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,0.0975609756097561,0.25,,,,2.0,,,,1.0,1.0,2.0,2.0,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,1611661320,2015,2015,False
100949-201496-201911-203014-204302,1611661320,"Alana Beard, Candace Parker, Kristi Toliver, Nneka Ogwumike, Ana Dabovic","Beard, Parker, Toliver, Ogwumike, Dabovic",100949-201496-201911-203014-204302,LAS,523.0,2,9,11,14,16,,3.0,3.0,30,7.0,1.0,,2.0,3.0,1.0,2.0,,,2.0,2.0,,,,7.0,11,3.0,4.0,26,15,3.0,,,,,,,10.0,4.0,,,2.0,2.0,1.0,5.0,8.0,1.0,19.0,,3.0,3.0,6.0,4.0,10,3.0,1.0,1.0,1.0,,3.0,7.0,3.0,,22,,,0.7142857142857143,0.7142857142857143,0.75,,0.75,0.6363636363636364,,0.7666666666666667,,0.7647058823529411,,0.26666666666666666,0.09090909090909091,0.14285714285714285,0.5,0.75,,0.5714285714285714,0.6,1.0,1.0,,,0.3333333333333333,82.60038240917783,15.714285714285714,18.9375,14.071428571428571,18.25,0.4666666666666667,0.2,0.6666666666666666,0.6666666666666666,0.5,0.06666666666666667,0.13333333333333333,0.13333333333333333,1.0,1.0,0.3333333333333333,,,,,,,0.7333333333333333,1.0,0.5224033333333333,0.525,,,4.163636363636363,23.75,,3.0,9.0,3.0,2.0,2.0,,,4.0,2.0,,,,,1.0,,1.0,1.0,0.11764705882352941,0.15384615384615385,,,1.0,1.0,,,,5.0,,4.0,2.0,,,,,1.0,,0.7142857142857143,0.8333333333333334,0.8,,,2.0,4.0,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.15384615384615385,,,1.0,1.0,,1.0,,1.0,,,,,1.0,0.25,,,0.5,0.5,1.0,1.0,,,,1.0,,1.0,,,1611661320,2015,2015,False
100949-201496-202650-203014-204302,1611661320,"Alana Beard, Candace Parker, Jantel Lavender, Nneka Ogwumike, Ana Dabovic","Beard, Parker, Lavender, Ogwumike, Dabovic",100949-201496-202650-203014-204302,LAS,226.0,1,4,-2,6,7,,1.0,,13,3.0,,,,,,,,,,,,,,3.0,3,,,8,10,,,,,,,,6.0,,,,,,,3.0,3.0,,6.0,,,1.0,1.0,,1,1.0,1.0,,2.0,,,,3.0,,8,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,0.25,,,0.25,,,,,,1.0,82.83185840707965,16.5,18.142857142857142,16.5,17.142857142857142,1.0,,,,,,,,,,,,,,,,,1.0,,0.5758333333333333,,,,2.3000000000000003,,,2.0,,,,,2.0,,2.0,1.0,,,,,,1.0,,,0.25,0.25,,,,,,,,3.0,,3.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1611661320,2015,2015,False
