EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFG2M,FTDefRebounds,LostBallTurnovers,BlockingFouls,Charge Fouls Drawn,BlockingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,DefFTReboundPct,SecondChanceAtRimFGM,PtsPutbacks,2pt And 1 Free Throw Trips,LongMidRangePctBlocked,SecondChanceAtRimAccuracy,PenaltyCorner3FGA,PenaltyCorner3Frequency,BlockedShortMidRange,Travels,Offensive Fouls Drawn,SelfOReb,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,HeaveAttempts,BlockedArc3,SecondChanceCorner3FGM,Technical Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,3SecondViolations,HeaveMakes,team_id,year,season,team_vs
201067-202662-203402-203408-203410,1611661323,"Camille Little, Jasmine Thomas, Kelsey Bone, Kelly Faris, Alex Bentley","Little, Thomas, Bone, Faris, Bentley",201067-202662-203402-203408-203410,CON,2017.0,9,34.0,-2.0,61.0,64.0,16.0,21.0,8.0,125.0,3.0,12.0,2.0,1.0,5.0,2.0,10.0,5.0,13.0,1.0,1.0,9.0,17.0,1.0,2.0,3.0,10.0,35.0,10.0,18.0,14.0,64.0,66.0,7.0,1.0,3.0,3.0,1.0,14.0,2.0,3.0,10.0,18.0,12.0,8.0,27.0,3.0,17.0,9.0,4.0,6.0,9.0,15.0,8.0,1.0,2.0,1.0,3.0,39.0,2.0,8.0,1.0,7.0,13.0,20.0,11.0,31.0,9.0,5.0,4.0,4.0,2.0,4.0,8.0,1.0,12.0,1.0,1.0,9.0,20.0,1.0,1.0,1.0,19.0,1.0,16.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,61.0,14.0,14.0,2.0,0.6,0.6,0.9,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.2857142857142857,0.07142857142857142,0.4716981132075472,0.23529411764705882,0.5245901639344263,0.15,0.391304347826087,0.33962264150943394,0.11428571428571428,0.25,0.1,0.3333333333333333,1.0,0.52,0.32,0.7,0.2857142857142857,0.5714285714285714,0.3125,0.2222222222222222,0.375,0.375,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.5,0.7142857142857143,0.6666666666666666,89.24144769459593,1.0,17.0327868852459,15.28125,15.39344262295082,14.34375,0.22641509433962265,0.25,0.3333333333333333,0.6666666666666666,0.18867924528301888,0.2,0.2222222222222222,0.5,0.24528301886792453,0.38461538461538464,0.38461538461538464,0.6,0.018867924528301886,1.0,1.0,1.0,0.32075471698113206,0.5294117647058824,0.5294117647058824,0.8888888888888888,0.25,0.125,0.29411764705882354,0.2,0.17647058823529413,0.6666666666666666,0.5660377358490566,0.5294117647058824,0.4439783018867925,0.4505,0.4318529411764706,0.07017543859649122,0.10256410256410256,0.046875,0.28125,10.151428571428571,23.66111111111111,0.26229508196721313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
101080-201067-202653-203015-203833,1611661323,"Jennifer Lacy, Camille Little, Kayla Pedersen, Shekinna Stricklen, Chelsea Gray","Lacy, Little, Pedersen, Stricklen, Gray",101080-201067-202653-203015-203833,CON,537.0,3,9.0,6.0,15.0,15.0,3.0,4.0,2.0,30.0,6.0,9.0,1.0,2.0,2.0,,2.0,2.0,2.0,,,,1.0,,,,8.0,13.0,,1.0,3.0,19.0,13.0,2.0,,,2.0,2.0,2.0,,,2.0,6.0,10.0,6.0,,,1.0,,2.0,5.0,,5.0,,,4.0,,1.0,10.0,,2.0,,1.0,,2.0,2.0,4.0,3.0,1.0,2.0,1.0,,,,,1.0,,,,2.0,,,,4.0,,4.0,2.0,,,,,,,,,17.0,6.0,3.0,,0.625,0.625,,,,,0.6153846153846154,1.0,0.5714285714285714,1.0,0.59375,0.5,1.0,0.07142857142857142,0.15384615384615385,0.2222222222222222,,1.0,,,0.4,1.0,,0.2,0.3333333333333333,0.6666666666666666,,,,,,,1.0,,80.44692737430168,,16.066666666666666,19.733333333333334,15.533333333333333,17.533333333333335,0.6428571428571429,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.14285714285714285,,,,0.14285714285714285,1.0,1.0,0.5,,,,,0.07142857142857142,,,,0.5,,1.0,1.0,,,0.7142857142857143,,0.48665714285714284,0.5004,0.52945,0.125,0.13333333333333333,0.10526315789473684,0.3157894736842105,5.43076923076923,23.7,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
101080-201067-202662-203015-203408,1611661323,"Jennifer Lacy, Camille Little, Jasmine Thomas, Shekinna Stricklen, Kelly Faris","Lacy, Little, Thomas, Stricklen, Faris",101080-201067-202662-203015-203408,CON,28.0,1,,-2.0,1.0,2.0,,2.0,,3.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.28571428571428,,5.0,11.5,5.0,11.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.3233,,,,,,,5.8,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
101080-201067-202662-203402-203833,1611661323,"Jennifer Lacy, Camille Little, Jasmine Thomas, Kelsey Bone, Chelsea Gray","Lacy, Little, Thomas, Bone, Gray",101080-201067-202662-203402-203833,CON,91.0,1,2.0,-3.0,3.0,3.0,,3.0,2.0,6.0,,2.0,2.0,,,,1.0,,,,1.0,,1.0,,,,,3.0,,2.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,3.0,3.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,0.08333333333333333,,,0.4,,,,,1.0,,0.3333333333333333,,0.5,,0.4,,1.0,,1.0,,,,,,94.94505494505495,,21.0,9.333333333333334,16.333333333333332,9.333333333333334,0.4,,,,0.2,,,,,,,,0.2,,,,0.2,,,,0.6666666666666666,,,,,,0.8,,0.54111,0.45555,,0.16666666666666666,0.25,,,2.8000000000000003,22.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
101080-201067-203402-203408-203833,1611661323,"Jennifer Lacy, Camille Little, Kelsey Bone, Kelly Faris, Chelsea Gray","Lacy, Little, Bone, Faris, Gray",101080-201067-203402-203408-203833,CON,226.0,3,4.0,2.0,8.0,9.0,1.0,7.0,1.0,17.0,3.0,4.0,2.0,,,,1.0,1.0,3.0,,,,1.0,,,,4.0,8.0,,1.0,1.0,9.0,7.0,3.0,,,2.0,1.0,1.0,,,,2.0,2.0,6.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,2.0,,3.0,,,2.0,3.0,3.0,6.0,1.0,,1.0,2.0,,1.0,1.0,,3.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,7.0,2.0,1.0,,0.25,0.3333333333333333,,,,,0.5,1.0,0.4444444444444444,1.0,0.5,0.3333333333333333,1.0,0.1111111111111111,0.125,,,0.6666666666666666,,1.0,1.0,,,0.6666666666666666,0.75,1.0,1.0,1.0,,1.0,,,,,108.31858407079646,1.0,17.25,9.777777777777779,16.25,9.555555555555555,0.4444444444444444,0.75,0.75,0.3333333333333333,0.1111111111111111,,,,0.3333333333333333,0.3333333333333333,0.5,,,,,,0.1111111111111111,,,,0.6666666666666666,,,,,,0.5555555555555556,,0.47516666666666674,0.5535333333333333,0.3142,0.1111111111111111,0.125,0.2222222222222222,0.2222222222222222,9.075,24.7,0.125,1.0,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,2.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
101080-202653-202662-203402-203826,1611661323,"Jennifer Lacy, Kayla Pedersen, Jasmine Thomas, Kelsey Bone, Alyssa Thomas","Lacy, Pedersen, Thomas, Bone, Thomas",101080-202653-202662-203402-203826,CON,74.0,1,1.0,4.0,3.0,3.0,,,,6.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,4.0,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,1.0,,2.0,,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,0.5,0.5,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,116.75675675675676,,9.0,15.666666666666666,9.0,15.666666666666666,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.64525,,,,,,,1.45,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
101080-202653-203015-203408-203833,1611661323,"Jennifer Lacy, Kayla Pedersen, Shekinna Stricklen, Kelly Faris, Chelsea Gray","Lacy, Pedersen, Stricklen, Faris, Gray",101080-202653-203015-203408-203833,CON,287.0,2,5.0,-3.0,9.0,9.0,5.0,4.0,2.0,18.0,2.0,5.0,2.0,1.0,3.0,1.0,3.0,,,,,,2.0,,,1.0,3.0,8.0,,2.0,,6.0,9.0,2.0,,,2.0,1.0,4.0,,1.0,,2.0,2.0,4.0,,,2.0,,1.0,1.0,,1.0,,,1.0,,,2.0,1.0,1.0,,2.0,,3.0,2.0,5.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,,,4.0,2.0,5.0,,0.3333333333333333,0.5,,,,,0.375,0.25,0.3,0.2,0.3,0.5,0.2,0.2,0.125,0.2,,1.0,,,0.2,1.0,0.5,1.0,0.2857142857142857,,0.5,,0.5,,,,1.0,,90.31358885017421,,17.555555555555557,14.333333333333334,17.22222222222222,14.0,0.5,0.4,0.5,0.5,0.3,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.2,,,,1.0,,0.6,0.3333333333333333,0.2,,0.7,,0.468945,0.5332,0.46182,,,0.3333333333333333,0.3333333333333333,3.55,23.1,0.5555555555555556,1.0,1.0,,,,,,0.5,0.5,1.0,1.0,2.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
101080-202653-203402-203408-203833,1611661323,"Jennifer Lacy, Kayla Pedersen, Kelsey Bone, Kelly Faris, Chelsea Gray","Lacy, Pedersen, Bone, Faris, Gray",101080-202653-203402-203408-203833,CON,398.0,5,7.0,2.0,13.0,11.0,,4.0,2.0,24.0,3.0,4.0,,,,1.0,5.0,1.0,2.0,,,1.0,2.0,,,,5.0,11.0,1.0,2.0,1.0,14.0,12.0,2.0,,1.0,3.0,,,,,,,2.0,8.0,3.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,1.0,,1.0,3.0,4.0,2.0,6.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,11.0,,,,0.2,0.2,1.0,0.5,,0.5,0.45454545454545453,,0.5,,0.5384615384615384,0.75,,0.15384615384615385,0.09090909090909091,,0.2,0.5,,0.75,0.2,1.0,1.0,0.8,0.3333333333333333,,0.25,,1.0,0.6666666666666666,,1.0,1.0,,86.83417085427135,,15.615384615384615,17.727272727272727,15.0,16.545454545454547,0.3076923076923077,0.75,0.75,0.3333333333333333,0.38461538461538464,0.2,0.25,,0.15384615384615385,0.5,0.5,,,,,,0.15384615384615385,0.5,0.5,1.0,,,,,,,0.46153846153846156,0.5,0.4205653846153846,0.2614,,0.07692307692307693,0.09090909090909091,0.21428571428571427,,7.463636363636363,23.9,,1.0,,,,,,,0.5,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
101080-202653-203402-203410-203833,1611661323,"Jennifer Lacy, Kayla Pedersen, Kelsey Bone, Alex Bentley, Chelsea Gray","Lacy, Pedersen, Bone, Bentley, Gray",101080-202653-203402-203410-203833,CON,100.0,2,2.0,-2.0,3.0,4.0,2.0,2.0,,7.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,2.0,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,100.8,,12.0,16.0,12.0,16.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.59535,,0.59535,,,,,,23.1,0.6666666666666666,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
101080-202662-203015-203402-203833,1611661323,"Jennifer Lacy, Jasmine Thomas, Shekinna Stricklen, Kelsey Bone, Chelsea Gray","Lacy, Thomas, Stricklen, Bone, Gray",101080-202662-203015-203402-203833,CON,35.0,1,1.0,,2.0,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,1.0,,,1.0,,2.0,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,0.6666666666666666,,,,0.6666666666666666,,,,,,1.0,0.5,,,,164.57142857142856,1.0,9.0,8.5,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2015,2015,False
