EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,Fouls,NonShootingPenaltyNonTakeFouls,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFtPoints,Fg2aBlocked,OffThreePtRebounds,FTOffRebounds,BadPassTurnovers,DeadBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BadPassSteals,Charge Fouls,BlockedShortMidRange,DefAtRimReboundPct,ShortMidRangeFGM,HeaveAttempts,Loose Ball Fouls Drawn,BlockedAtRim,LongMidRangePctBlocked,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,ShortMidRangePctAssisted,PenaltyArc3FGM,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,RecoveredBlocks,BlocksRecoveredPct,PenaltyArc3Accuracy,3SecondViolations,ShortMidRangePctBlocked,Fg3aBlocked,FTDefRebounds,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Clear Path Fouls,team_id,year,season,team_vs
201503-203046-203406-203831-203843,1611661325,"Erlana Larkins, Briana Butler, Layshia Clarendon, Natalie Achonwa, Maggie Lucas","Larkins, Butler, Clarendon, Achonwa, Lucas",201503-203046-203406-203831-203843,IND,2.0,1,-2.0,1.0,1.0,1.0,2.0,1.0,1.0,720.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201889-201896-201919,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Shavonte Zellous","Catchings, Larkins, Coleman, January, Zellous",100646-201503-201889-201896-201919,IND,614.0,7,8.0,19.0,3.0,37.0,19.0,5.0,1.0,86.77524429967427,18.31578947368421,17.210526315789473,10.0,18.0,5.0,3.0,5.0,6.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,7.0,12.0,3.0,6.0,4.0,27.0,3.0,3.0,6.0,2.0,4.0,1.0,2.0,7.0,8.0,6.0,9.0,2.0,4.0,1.0,4.0,3.0,7.0,1.0,2.0,3.0,1.0,17.0,3.0,2.0,3.0,5.0,3.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,21.0,7.0,5.0,0.5714285714285714,0.6666666666666666,1.0,0.5,0.5,0.5,0.5833333333333334,1.0,0.5,0.6388888888888888,1.0,0.5833333333333334,0.675,1.0,0.5833333333333334,0.3333333333333333,1.0,0.5,0.6,0.6666666666666666,0.5555555555555556,0.375,1.0,0.5,0.5,0.75,1.0,0.125,14.777777777777779,14.166666666666666,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.6,0.1111111111111111,0.2222222222222222,0.5,0.5,0.5,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,0.25,0.25,1.0,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.25,0.5204833333333334,0.5695666666666667,0.549825,0.1,0.14285714285714285,0.2222222222222222,0.25925925925925924,8.533333333333333,23.650000000000002,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201889-201896-203406,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Layshia Clarendon","Catchings, Larkins, Coleman, January, Clarendon",100646-201503-201889-201896-203406,IND,578.0,4,,15.0,7.0,32.0,19.0,8.0,,79.72318339100346,18.6,17.8,10.0,17.0,5.0,4.0,2.0,4.0,,,,,1.0,2.0,5.0,1.0,1.0,,,1.0,3.0,,4.0,10.0,2.0,4.0,5.0,19.0,,1.0,4.0,1.0,3.0,,,5.0,2.0,6.0,6.0,,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,8.0,1.0,2.0,1.0,3.0,4.0,7.0,,,,2.0,,3.0,,4.0,1.0,8.0,,8.0,1.0,,,,1.0,15.0,4.0,4.0,0.25,0.25,1.0,0.5,,0.5,0.4,,0.3333333333333333,0.5,0.75,0.3333333333333333,0.5277777777777778,0.6666666666666666,0.4166666666666667,0.2857142857142857,0.6666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.75,0.375,0.5,,,1.0,1.0,,17.58823529411765,16.0,0.2857142857142857,0.5,0.6666666666666666,0.5,0.07142857142857142,0.35714285714285715,0.4,0.4,,0.07142857142857142,1.0,1.0,1.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.5714285714285714,0.3333333333333333,0.4236142857142857,0.4451,0.31106666666666666,0.06666666666666667,0.09090909090909091,0.21052631578947367,0.2631578947368421,10.78,24.075,0.29411764705882354,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.1,0.25,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201896-201919-203843,1611661325,"Tamika Catchings, Erlana Larkins, Briann January, Shavonte Zellous, Maggie Lucas","Catchings, Larkins, January, Zellous, Lucas",100646-201503-201896-201919-203843,IND,308.0,4,-4.0,9.0,1.0,16.0,10.0,4.0,,74.8051948051948,18.555555555555557,17.555555555555557,5.0,7.0,,2.0,2.0,3.0,1.0,1.0,,,1.0,,1.0,,,,,,2.0,,2.0,5.0,,2.0,2.0,6.0,1.0,1.0,2.0,,,,,,,4.0,,2.0,2.0,,,,,,,,,,2.0,,1.0,1.0,2.0,3.0,,3.0,2.0,,,1.0,,2.0,1.0,6.0,,2.0,1.0,1.0,,1.0,,4.0,,,,,,,,,0.4,1.0,,0.2857142857142857,1.0,,0.375,1.0,,0.2857142857142857,,0.3333333333333333,0.6666666666666666,,0.3333333333333333,0.4,1.0,,1.0,,,,20.142857142857142,18.428571428571427,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.14285714285714285,0.14285714285714285,,,,,,,,0.2857142857142857,,,,1.0,1.0,,,,,,,0.7142857142857143,,0.5208,0.582,,0.125,0.16666666666666666,0.3333333333333333,,6.26,23.35,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201919-202656-203041,1611661325,"Tamika Catchings, Erlana Larkins, Shavonte Zellous, Jeanette Pohlen-Mavunga, Lynetta Kizer","Catchings, Larkins, Zellous, Pohlen-Mavunga, Kizer",100646-201503-201919-202656-203041,IND,56.0,1,-5.0,2.0,,4.0,5.0,,,102.85714285714286,6.5,6.5,1.0,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,21.5,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,0.4791,,,,,,,9.35,,,,,,,,,1.0,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201919-203827-203843,1611661325,"Tamika Catchings, Erlana Larkins, Shavonte Zellous, Natasha Howard, Maggie Lucas","Catchings, Larkins, Zellous, Howard, Lucas",100646-201503-201919-203827-203843,IND,810.0,2,5.0,24.0,,47.0,16.0,5.0,,83.55555555555556,20.041666666666668,18.041666666666668,14.0,23.0,7.0,3.0,5.0,8.0,1.0,1.0,2.0,3.0,5.0,3.0,8.0,,,,,1.0,4.0,,9.0,21.0,1.0,4.0,,21.0,1.0,3.0,2.0,4.0,6.0,,,8.0,4.0,14.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,,2.0,,7.0,3.0,4.0,7.0,11.0,3.0,14.0,1.0,3.0,,2.0,1.0,2.0,1.0,1.0,,5.0,,,,2.0,,2.0,,19.0,8.0,7.0,0.2222222222222222,0.25,1.0,0.25,,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.42,0.3333333333333333,0.6666666666666666,0.42,0.3333333333333333,0.6666666666666666,0.16,1.0,0.7,0.25,0.6666666666666666,0.6875,0.21428571428571427,0.6666666666666666,0.25,,1.0,0.6666666666666666,0.08333333333333333,14.304347826086957,13.782608695652174,0.32,0.625,0.7142857142857143,0.4,0.2,0.32,0.375,0.42857142857142855,,,,,,0.16,0.25,0.25,1.0,0.3333333333333333,1.0,,0.5,0.6666666666666666,,,,0.48,0.3333333333333333,0.47762083333333333,0.48456666666666665,0.5273666666666667,,,0.09523809523809523,0.38095238095238093,9.023809523809524,28.125,0.30434782608695654,,,,,,,2.0,,,1.0,,,,,,,,,0.09523809523809523,0.125,,,,,,,,3.0,,,0.25,1.0,1.0,2.0,2.0,0.125,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201889-201896-201919-203827,1611661325,"Tamika Catchings, Marissa Coleman, Briann January, Shavonte Zellous, Natasha Howard","Catchings, Coleman, January, Zellous, Howard",100646-201889-201896-201919-203827,IND,127.0,2,-4.0,4.0,1.0,7.0,4.0,1.0,,79.37007874015748,18.75,14.75,2.0,3.0,2.0,,,,,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,,,0.5,,,17.333333333333332,17.333333333333332,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,0.3798,,0.3798,,,,,13.4,,0.6666666666666666,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201889-201896-203018-203843,1611661325,"Tamika Catchings, Marissa Coleman, Briann January, Shenise Johnson, Maggie Lucas","Catchings, Coleman, January, Johnson, Lucas",100646-201889-201896-203018-203843,IND,494.0,5,2.0,17.0,5.0,33.0,13.0,4.0,1.0,96.19433198380568,15.647058823529411,15.647058823529411,8.0,16.0,6.0,2.0,1.0,4.0,1.0,1.0,,1.0,3.0,,1.0,1.0,1.0,,,1.0,3.0,1.0,3.0,8.0,2.0,4.0,3.0,15.0,1.0,1.0,2.0,,3.0,,1.0,,2.0,4.0,6.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,,8.0,1.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,7.0,1.0,4.0,2.0,1.0,,1.0,,13.0,,6.0,0.3333333333333333,0.5,1.0,0.5,,0.5,0.375,1.0,,0.5,1.0,,0.5357142857142857,1.0,,0.3333333333333333,0.25,0.6666666666666666,0.2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,1.0,0.6666666666666666,0.2,14.25,14.1875,0.3333333333333333,0.25,0.3333333333333333,,0.25,0.08333333333333333,,,,0.08333333333333333,1.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,0.25,,,,0.25,0.6666666666666666,0.3333333333333333,0.48654166666666665,0.7758,0.446,0.14285714285714285,0.2,0.13333333333333333,,6.725,23.7,0.375,,,,,,,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,,,,0.125,0.25,,1.0,1.0,,,,,,,,,2.0,,,1.0,,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201889-201896-203406-203831,1611661325,"Tamika Catchings, Marissa Coleman, Briann January, Layshia Clarendon, Natalie Achonwa","Catchings, Coleman, January, Clarendon, Achonwa",100646-201889-201896-203406-203831,IND,1399.0,10,1.0,44.0,3.0,89.0,45.0,7.0,,91.6082916368835,15.522727272727273,14.704545454545455,23.0,45.0,8.0,9.0,8.0,18.0,1.0,5.0,1.0,2.0,5.0,3.0,9.0,1.0,3.0,,,3.0,8.0,2.0,12.0,32.0,4.0,11.0,10.0,46.0,1.0,7.0,8.0,1.0,4.0,1.0,2.0,10.0,8.0,16.0,9.0,2.0,8.0,3.0,4.0,3.0,7.0,2.0,1.0,2.0,2.0,17.0,9.0,4.0,10.0,14.0,11.0,25.0,3.0,5.0,1.0,2.0,1.0,8.0,,2.0,1.0,14.0,2.0,13.0,6.0,1.0,,1.0,,38.0,10.0,8.0,0.3333333333333333,0.36363636363636365,0.75,0.36363636363636365,0.5,0.36363636363636365,0.375,0.14285714285714285,0.25,0.4186046511627907,0.3125,0.4166666666666667,0.4791666666666667,0.4444444444444444,0.5555555555555556,0.2558139534883721,0.25,0.6666666666666666,0.45,0.6666666666666666,0.6666666666666666,0.38461538461538464,0.5,0.25,0.5,1.0,0.8,0.13043478260869565,15.911111111111111,14.622222222222222,0.4186046511627907,0.4444444444444444,0.5333333333333333,0.25,0.11627906976744186,0.20930232558139536,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.06976744186046512,0.3333333333333333,0.3333333333333333,1.0,0.18604651162790697,0.375,0.375,0.6666666666666666,0.625,0.2,,0.3333333333333333,0.5,,,0.3333333333333333,0.6744186046511628,0.375,0.5168244186046511,0.5157142857142857,0.46799999999999997,0.13043478260869565,0.17142857142857143,0.17391304347826086,0.21739130434782608,7.00625,23.12727272727273,0.17777777777777778,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,,2.0,2.0,1.0,0.09375,0.16666666666666666,1.0,0.16666666666666666,0.25,,0.125,1.0,,4.0,,,0.3333333333333333,1.0,,,1.0,,0.6666666666666666,0.2,0.2,,2.0,1.0,,,1.0,3.0,1.0,3.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201889-201919-202656-203041,1611661325,"Tamika Catchings, Marissa Coleman, Shavonte Zellous, Jeanette Pohlen-Mavunga, Lynetta Kizer","Catchings, Coleman, Zellous, Pohlen-Mavunga, Kizer",100646-201889-201919-202656-203041,IND,89.0,1,2.0,4.0,,8.0,2.0,1.0,,129.43820224719101,14.5,14.5,1.0,4.0,,,2.0,2.0,,,,,,,1.0,,,,,,,,2.0,3.0,,,,4.0,,,,,,,,,4.0,,,,,,2.0,,2.0,,,2.0,,4.0,,,2.0,2.0,,2.0,,,,,,1.0,,,,,,,,,,,,4.0,,,1.0,1.0,,,,,0.6666666666666666,,,0.6666666666666666,,,0.6666666666666666,,,,,1.0,,,1.0,,,,,1.0,,,7.75,7.75,0.6666666666666666,1.0,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,0.6151333333333333,,,,,,,7.066666666666666,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
