EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,BadPassOutOfBoundsTurnovers,PenaltyFg3Pct,PenaltyArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,OffThreePtRebounds,Offensive Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,BlockedLongMidRange,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,3SecondViolations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,BlockingFouls,Loose Ball Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,Corner3PctBlocked,BlockedCorner3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100721-101030-202250-202259-204329,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Kiah Stokes","Cash, Wright, Charles, Prince, Stokes",100721-101030-202250-202259-204329,NYL,3945.0,15,66.0,-3.0,121.0,114.0,15.0,15.0,18.0,235.0,15.0,34.0,2.0,6.0,2.0,3.0,11.0,28.0,7.0,25.0,1.0,1.0,6.0,19.0,1.0,3.0,2.0,33.0,87.0,6.0,20.0,15.0,99.0,102.0,4.0,9.0,1.0,4.0,6.0,17.0,5.0,12.0,2.0,2.0,12.0,34.0,32.0,18.0,2.0,19.0,6.0,8.0,17.0,6.0,23.0,6.0,8.0,4.0,5.0,52.0,16.0,10.0,32.0,1.0,43.0,16.0,59.0,2.0,9.0,5.0,4.0,11.0,6.0,9.0,1.0,5.0,1.0,3.0,20.0,2.0,2.0,10.0,28.0,1.0,24.0,2.0,1.0,19.0,1.0,8.0,1.0,7.0,4.0,3.0,7.0,4.0,1.0,82.0,12.0,15.0,4.0,1.0,0.5151515151515151,0.53125,1.0,0.3,0.25,0.3,0.3793103448275862,0.4444444444444444,0.4166666666666667,0.3925233644859813,0.4230769230769231,0.35714285714285715,0.4267241379310345,0.5,0.4,0.18691588785046728,0.09195402298850575,0.17647058823529413,0.07142857142857142,0.55,1.0,0.7272727272727273,0.3018867924528302,0.6666666666666666,0.711864406779661,0.23880597014925373,0.3333333333333333,0.4117647058823529,0.16666666666666666,0.5,0.6428571428571429,0.9,0.5,1.0,0.03333333333333333,85.77946768060836,0.5714285714285714,15.297520661157025,18.36842105263158,14.330578512396695,17.289473684210527,0.3177570093457944,0.4411764705882353,0.5357142857142857,0.5333333333333333,0.2616822429906542,0.39285714285714285,0.4230769230769231,0.36363636363636365,0.2336448598130841,0.28,0.28,0.7142857142857143,0.009345794392523364,0.17757009345794392,0.3157894736842105,0.3157894736842105,1.0,0.46153846153846156,0.3333333333333333,0.07692307692307693,0.23076923076923078,0.3333333333333333,1.0,0.21428571428571427,0.6666666666666666,0.14285714285714285,0.5046728971962616,0.3157894736842105,0.4511710280373832,0.49480384615384615,0.44085714285714284,0.06956521739130435,0.08421052631578947,0.1717171717171717,0.12121212121212122,8.528735632183908,24.465,0.12396694214876033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-201499-201502-202250-202259,1611661313,"Swin Cash, Candice Wiggins, Essence Carson, Tina Charles, Epiphanny Prince","Cash, Wiggins, Carson, Charles, Prince",100721-201499-201502-202250-202259,NYL,23.0,1,,,1.0,1.0,1.0,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.21739130434781,,17.0,6.0,17.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,0.6047,,0.6047,,,,,2.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-201499-202250-202259-203411,1611661313,"Swin Cash, Candice Wiggins, Tina Charles, Epiphanny Prince, Sugar Rodgers","Cash, Wiggins, Charles, Prince, Rodgers",100721-201499-202250-202259-203411,NYL,82.0,1,1.0,1.0,2.0,3.0,2.0,3.0,,5.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,0.25,,0.25,1.0,,,,,,0.6666666666666666,,,0.6666666666666666,,,,,,1.0,1.0,,,,87.80487804878048,0.5,23.0,12.0,23.0,11.333333333333334,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.52605,,0.52605,0.5,1.0,,1.0,,22.1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
101030-201499-201502-202670-204329,1611661313,"Tanisha Wright, Candice Wiggins, Essence Carson, Carolyn Swords, Kiah Stokes","Wright, Wiggins, Carson, Swords, Stokes",101030-201499-201502-202670-204329,NYL,175.0,3,3.0,1.0,6.0,4.0,4.0,,,10.0,1.0,1.0,,,,,,,,3.0,,,1.0,1.0,,,1.0,1.0,4.0,1.0,1.0,,5.0,4.0,,,,,,,,2.0,1.0,,3.0,2.0,,3.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,5.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,5.0,3.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,0.25,,,0.5,,0.5,0.5,,0.5,0.2,,,,,,1.0,,,1.0,,,,,,1.0,,,,,82.28571428571429,,16.333333333333332,19.25,16.333333333333332,19.25,0.2,1.0,1.0,1.0,,,,,0.6,,,,,0.2,1.0,1.0,1.0,,,,,,,,,0.3333333333333333,0.4,1.0,0.41502,,0.3888666666666667,,,,0.6,15.1,23.8,0.6666666666666666,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
101030-202250-202259-203411-204329,1611661313,"Tanisha Wright, Tina Charles, Epiphanny Prince, Sugar Rodgers, Kiah Stokes","Wright, Charles, Prince, Rodgers, Stokes",101030-202250-202259-203411-204329,NYL,3204.0,13,53.0,-22.0,95.0,99.0,22.0,50.0,12.0,194.0,12.0,27.0,2.0,5.0,1.0,4.0,2.0,14.0,10.0,18.0,2.0,,3.0,17.0,1.0,2.0,4.0,24.0,59.0,4.0,19.0,14.0,74.0,96.0,4.0,8.0,1.0,2.0,,11.0,3.0,11.0,6.0,6.0,15.0,26.0,22.0,9.0,2.0,17.0,3.0,7.0,13.0,3.0,16.0,2.0,7.0,,6.0,35.0,12.0,14.0,27.0,4.0,45.0,16.0,61.0,1.0,3.0,2.0,1.0,13.0,11.0,13.0,2.0,2.0,,2.0,26.0,4.0,5.0,13.0,39.0,2.0,14.0,,1.0,14.0,,5.0,3.0,5.0,3.0,1.0,5.0,2.0,,63.0,13.0,21.0,8.0,2.0,0.5416666666666666,0.5652173913043478,0.75,0.21052631578947367,0.5,0.21052631578947367,0.4067796610169492,0.5,0.2727272727272727,0.38461538461538464,0.55,0.2647058823529412,0.44047619047619047,0.55,0.375,0.24358974358974358,0.11864406779661017,0.2222222222222222,0.07142857142857142,0.5,0.8,0.6923076923076923,0.34285714285714286,0.9333333333333333,0.7592592592592593,0.32653061224489793,0.4666666666666667,0.3333333333333333,0.125,0.5714285714285714,0.5454545454545454,0.9285714285714286,0.9230769230769231,1.0,0.023809523809523808,87.19101123595506,0.4,16.16842105263158,16.848484848484848,15.273684210526316,15.757575757575758,0.34615384615384615,0.4444444444444444,0.5714285714285714,0.5833333333333334,0.1794871794871795,0.14285714285714285,0.15384615384615385,,0.23076923076923078,0.5555555555555556,0.5555555555555556,0.6,0.02564102564102564,0.21794871794871795,0.17647058823529413,0.17647058823529413,0.6666666666666666,0.5,0.4,,0.2,0.5,1.0,0.23529411764705882,0.25,0.23529411764705882,0.5897435897435898,0.17647058823529413,0.46073974358974357,0.5207571428571429,0.41605,0.06172839506172839,0.08064516129032258,0.14864864864864866,0.20270270270270271,8.577966101694916,24.26842105263158,0.23157894736842105,2.0,0.11764705882352941,,1.0,2.0,0.16666666666666666,,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,0.2857142857142857,0.3076923076923077,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
201499-201502-202250-202259-204329,1611661313,"Candice Wiggins, Essence Carson, Tina Charles, Epiphanny Prince, Kiah Stokes","Wiggins, Carson, Charles, Prince, Stokes",201499-201502-202250-202259-204329,NYL,2357.0,11,39.0,12.0,73.0,69.0,9.0,17.0,11.0,142.0,7.0,14.0,2.0,3.0,1.0,3.0,3.0,10.0,12.0,19.0,3.0,1.0,9.0,20.0,3.0,4.0,4.0,22.0,43.0,10.0,23.0,13.0,87.0,75.0,3.0,5.0,3.0,5.0,2.0,17.0,2.0,6.0,4.0,1.0,11.0,28.0,16.0,30.0,2.0,20.0,9.0,3.0,14.0,10.0,24.0,9.0,4.0,2.0,8.0,58.0,8.0,9.0,15.0,1.0,25.0,10.0,35.0,1.0,5.0,3.0,2.0,6.0,4.0,6.0,1.0,2.0,,,12.0,1.0,2.0,5.0,13.0,,13.0,,1.0,14.0,2.0,7.0,,4.0,4.0,,4.0,2.0,,70.0,11.0,9.0,1.0,,0.6363636363636364,0.6666666666666666,1.0,0.43478260869565216,0.6,0.43478260869565216,0.5116279069767442,0.6,0.3333333333333333,0.5606060606060606,0.75,0.5,0.5985915492957746,0.8,0.55,0.3484848484848485,0.06976744186046512,0.07142857142857142,0.1,0.5,1.0,0.5769230769230769,0.38095238095238093,0.8181818181818182,0.6486486486486487,0.3125,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.4,0.875,0.5,0.7777777777777778,1.0,0.037037037037037035,86.754348748409,0.5,16.397260273972602,16.81159420289855,15.438356164383562,15.55072463768116,0.21212121212121213,0.5,0.5384615384615384,0.5714285714285714,0.15151515151515152,0.3,0.3333333333333333,0.6666666666666666,0.2878787878787879,0.631578947368421,0.6666666666666666,0.6666666666666666,0.045454545454545456,0.30303030303030304,0.45,0.5,1.0,0.3,0.6666666666666666,0.1,0.4,0.75,1.0,0.3,0.3333333333333333,0.4,0.5606060606060606,0.45,0.4521681818181818,0.4956166666666666,0.48894000000000004,0.09859154929577464,0.14583333333333334,0.19540229885057472,0.12643678160919541,10.625581395348837,24.369565217391305,0.1232876712328767,,,2.0,2.0,,0.5,0.5,1.0,,,1.0,2.0,2.0,1.0,,2.0,,0.18181818181818182,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.5,,2.0,1.0,0.08695652173913043,0.05263157894736842,0.1,0.5,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-101030-201499-202670-204329,1611661313,"Swin Cash, Tanisha Wright, Candice Wiggins, Carolyn Swords, Kiah Stokes","Cash, Wright, Wiggins, Swords, Stokes",100721-101030-201499-202670-204329,NYL,45.0,1,1.0,6.0,2.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,6.0,,,,,,,,,,,,,2.0,,3.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,6.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.25,,,1.5,,,0.5,,,,,,,,,,,,,,,,,,,,96.0,,14.5,16.0,14.5,16.0,0.5,1.0,1.0,1.0,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,0.551175,,,0.5,1.0,,,1.9,22.8,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-101030-202250-202259-203069,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Avery Warley-Talbert","Cash, Wright, Charles, Prince, Warley-Talbert",100721-101030-202250-202259-203069,NYL,483.0,3,8.0,-4.0,16.0,17.0,6.0,5.0,2.0,33.0,2.0,3.0,1.0,1.0,,1.0,2.0,2.0,1.0,4.0,,,1.0,5.0,1.0,1.0,1.0,5.0,9.0,1.0,5.0,,13.0,17.0,1.0,1.0,1.0,1.0,,5.0,1.0,3.0,1.0,,5.0,8.0,2.0,3.0,,5.0,1.0,,4.0,1.0,5.0,1.0,1.0,2.0,1.0,11.0,1.0,1.0,4.0,,5.0,2.0,7.0,,2.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,3.0,,1.0,3.0,8.0,,3.0,,,2.0,,,1.0,1.0,1.0,,1.0,1.0,,8.0,5.0,6.0,2.0,1.0,0.8,0.8,1.0,0.2,1.0,0.2,0.5555555555555556,1.0,0.3333333333333333,0.4642857142857143,1.25,0.625,0.43333333333333335,1.25,0.5,0.35714285714285715,,,,0.6666666666666666,,0.5,0.25,0.3333333333333333,0.45454545454545453,0.25,,,0.3333333333333333,0.5,0.5,0.5,,0.5,,98.38509316770185,1.0,13.5,15.705882352941176,12.625,13.294117647058824,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.25,0.25,1.0,,0.35714285714285715,0.2,0.2,1.0,0.5,1.0,,0.5,1.0,1.0,0.25,,0.25,0.5714285714285714,0.2,0.4640857142857143,0.54795,0.4869625,,,0.38461538461538464,0.38461538461538464,11.277777777777779,24.080000000000002,0.375,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,0.25,0.25,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-201499-201502-203411-204329,1611661313,"Swin Cash, Candice Wiggins, Essence Carson, Sugar Rodgers, Kiah Stokes","Cash, Wiggins, Carson, Rodgers, Stokes",100721-201499-201502-203411-204329,NYL,18.0,1,,2.0,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,80.0,,16.0,,16.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.3384,,0.3384,,,,1.0,12.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
100721-201499-202259-203411-204329,1611661313,"Swin Cash, Candice Wiggins, Epiphanny Prince, Sugar Rodgers, Kiah Stokes","Cash, Wiggins, Prince, Rodgers, Stokes",100721-201499-202259-203411-204329,NYL,11.0,1,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,True
