EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,BlockedAtRim,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,FTDefRebounds,DefFTReboundPct,BlockedLongMidRange,PenaltyCorner3FGM,PenaltyCorner3FGA,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,OffCorner3ReboundPct,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Charge Fouls Drawn,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,3SecondViolations,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
100952-200674-202634-202658-203825,1611661319,"Jia Perkins, Sophia Young-Malcolm, Danielle Adams, Danielle Robinson, Kayla McBride","Perkins, Young-Malcolm, Adams, Robinson, McBride",100952-200674-202634-202658-203825,SAN,2252.0,11,38.0,-4.0,77.0,73.0,18.0,25.0,9.0,150.0,15.0,18.0,2.0,2.0,4.0,4.0,3.0,10.0,8.0,19.0,1.0,4.0,3.0,9.0,1.0,1.0,2.0,4.0,26.0,47.0,4.0,13.0,9.0,73.0,77.0,3.0,4.0,1.0,1.0,3.0,12.0,7.0,11.0,2.0,4.0,2.0,22.0,28.0,24.0,12.0,2.0,9.0,3.0,3.0,14.0,4.0,18.0,3.0,1.0,8.0,6.0,40.0,2.0,6.0,15.0,12.0,27.0,8.0,35.0,2.0,6.0,4.0,2.0,10.0,3.0,8.0,8.0,2.0,1.0,18.0,2.0,4.0,9.0,1.0,24.0,1.0,3.0,3.0,18.0,1.0,2.0,1.0,12.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,61.0,21.0,17.0,2.0,2.0,0.5384615384615384,0.56,1.0,0.3076923076923077,1.0,0.5,0.3076923076923077,0.5531914893617021,0.75,0.6363636363636364,0.5333333333333333,0.9,0.6666666666666666,0.5615384615384615,1.0,0.6875,0.21666666666666667,0.06382978723404255,0.05555555555555555,0.2,0.5555555555555556,0.7058823529411765,0.2857142857142857,0.8823529411764706,0.2222222222222222,0.7941176470588235,0.26666666666666666,0.6666666666666666,0.14285714285714285,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.8,0.7777777777777778,0.9230769230769231,0.75,0.07407407407407407,95.91474245115454,1.0,15.181818181818182,14.835616438356164,14.636363636363637,14.315068493150685,0.3,0.8333333333333334,0.8823529411764706,0.5333333333333333,0.16666666666666666,0.3,0.375,0.31666666666666665,0.42105263157894735,0.42105263157894735,0.75,0.06666666666666667,0.25,0.25,1.0,0.15,0.3333333333333333,0.3333333333333333,1.0,0.4,1.0,0.2,1.0,1.0,0.26666666666666666,1.0,0.26666666666666666,0.5,0.5166666666666667,0.3333333333333333,0.473515,0.5394125,0.4819733333333333,0.09375,0.11764705882352941,0.1643835616438356,0.3013698630136986,9.212765957446809,23.361538461538462,0.23376623376623376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
200674-202634-202641-202658-204328,1611661319,"Sophia Young-Malcolm, Danielle Adams, Sydney Colson, Danielle Robinson, Samantha Logic","Young-Malcolm, Adams, Colson, Robinson, Logic",200674-202634-202641-202658-204328,SAN,457.0,4,8.0,-4.0,14.0,13.0,7.0,4.0,2.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,2.0,,,,2.0,3.0,5.0,,2.0,3.0,9.0,13.0,2.0,2.0,,,,4.0,2.0,3.0,,2.0,,4.0,2.0,4.0,,2.0,2.0,,,1.0,,1.0,,,,,2.0,,1.0,,4.0,4.0,1.0,5.0,,3.0,2.0,1.0,3.0,,2.0,3.0,1.0,,6.0,,3.0,4.0,1.0,9.0,,,1.0,3.0,1.0,,1.0,4.0,,2.0,,3.0,1.0,3.0,,5.0,4.0,7.0,1.0,,0.3333333333333333,0.5,,,,,,0.6,1.0,0.6666666666666666,0.42857142857142855,1.0,0.4,0.5,1.0,0.4,0.2857142857142857,,,,0.5,0.5,0.5,,,0.5,0.25,,0.5,,,0.3333333333333333,0.5,1.0,,,,85.0765864332604,,13.714285714285714,20.384615384615383,13.0,17.846153846153847,0.14285714285714285,1.0,1.0,,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.14285714285714285,1.0,1.0,,,,,,0.2857142857142857,,,,0.5,1.0,,,,0.2,1.0,0.4,,0.42857142857142855,,0.40907857142857146,0.37245,0.45575,0.2222222222222222,0.2857142857142857,0.4444444444444444,0.4444444444444444,9.98,23.45,0.5,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
100952-200674-202251-202641-203405,1611661319,"Jia Perkins, Sophia Young-Malcolm, Jayne Appel Marinelli, Sydney Colson, Kayla Alexander","Perkins, Young-Malcolm, Appel Marinelli, Colson, Alexander",100952-200674-202251-202641-203405,SAN,68.0,1,1.0,3.0,3.0,2.0,,1.0,1.0,5.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,5.0,2.0,,,,,,,,,,,,,2.0,,3.0,,,,,1.0,1.0,2.0,,1.0,1.0,,5.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,5.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.25,,,1.25,,,0.5,,,,1.0,0.3333333333333333,,,,0.3333333333333333,,,,,,1.0,,,,,,105.88235294117648,,5.0,26.5,5.0,20.0,0.5,1.0,1.0,1.0,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,0.67525,,,,,,,2.6,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
100952-200674-202251-202652-202658,1611661319,"Jia Perkins, Sophia Young-Malcolm, Jayne Appel Marinelli, Alex Montgomery, Danielle Robinson","Perkins, Young-Malcolm, Appel Marinelli, Montgomery, Robinson",100952-200674-202251-202652-202658,SAN,260.0,2,4.0,-1.0,8.0,7.0,3.0,,1.0,15.0,2.0,2.0,,,1.0,1.0,,1.0,,2.0,,,,1.0,,1.0,,,2.0,5.0,,1.0,2.0,6.0,7.0,,,,1.0,,,1.0,2.0,,,2.0,4.0,4.0,,,,1.0,,,2.0,,2.0,,,2.0,,4.0,,1.0,2.0,2.0,4.0,1.0,5.0,,,,,2.0,,,1.0,2.0,,3.0,1.0,,2.0,,2.0,,,,2.0,,,,2.0,,1.0,,2.0,,2.0,,6.0,4.0,3.0,,,1.0,1.0,,,,,,0.4,,0.5,0.3333333333333333,,0.5,0.42857142857142855,,0.6666666666666666,0.16666666666666666,,,,0.6666666666666666,0.5,0.3333333333333333,1.0,,0.6666666666666666,0.3333333333333333,,,0.5,,0.3333333333333333,1.0,,1.0,,,83.07692307692308,,19.25,15.142857142857142,16.25,14.714285714285714,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,,,0.3333333333333333,,,,,,,,0.16666666666666666,,,,,,1.0,,,0.5,1.0,,,0.5,,0.47058333333333335,0.5121,0.4789,0.14285714285714285,0.16666666666666666,,0.6666666666666666,8.92,24.1,0.375,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
100952-200674-202251-202658-204324,1611661319,"Jia Perkins, Sophia Young-Malcolm, Jayne Appel Marinelli, Danielle Robinson, Dearica Hamby","Perkins, Young-Malcolm, Appel Marinelli, Robinson, Hamby",100952-200674-202251-202658-204324,SAN,63.0,1,1.0,-1.0,2.0,2.0,,,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,2.0,3.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,91.42857142857143,,10.5,21.0,10.5,21.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.4353,,,,,,,13.9,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
100952-200674-202253-202658-204324,1611661319,"Jia Perkins, Sophia Young-Malcolm, Kalana Greene, Danielle Robinson, Dearica Hamby","Perkins, Young-Malcolm, Greene, Robinson, Hamby",100952-200674-202253-202658-204324,SAN,37.0,1,1.0,-2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,77.83783783783784,,18.0,19.0,18.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
100952-200674-202634-202652-202658,1611661319,"Jia Perkins, Sophia Young-Malcolm, Danielle Adams, Alex Montgomery, Danielle Robinson","Perkins, Young-Malcolm, Adams, Montgomery, Robinson",100952-200674-202634-202652-202658,SAN,399.0,3,7.0,-3.0,14.0,14.0,6.0,6.0,1.0,28.0,1.0,2.0,1.0,2.0,,,1.0,2.0,2.0,6.0,,,,1.0,,,,1.0,4.0,10.0,,1.0,3.0,11.0,14.0,1.0,2.0,,,,2.0,1.0,3.0,,1.0,1.0,3.0,4.0,4.0,,2.0,1.0,,1.0,2.0,,2.0,,,,1.0,4.0,,2.0,1.0,3.0,4.0,2.0,6.0,,2.0,2.0,,3.0,,1.0,,2.0,,3.0,,1.0,3.0,,5.0,,,,2.0,,,,4.0,,1.0,1.0,,,,,9.0,3.0,6.0,1.0,1.0,0.5,0.6666666666666666,,,,,,0.4,0.5,0.3333333333333333,0.36363636363636365,0.5,0.25,0.4230769230769231,0.5,0.3,0.09090909090909091,0.1,0.5,,1.0,1.0,0.3333333333333333,1.0,,1.0,0.2857142857142857,1.0,,0.25,,,,1.0,1.0,,,101.05263157894737,,16.5,12.0,16.357142857142858,12.0,0.18181818181818182,0.5,1.0,,0.18181818181818182,0.5,0.5,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.5,,,,,0.09090909090909091,,,,1.0,0.5,,,,,,0.25,,0.2727272727272727,,0.4202363636363637,0.71515,0.36825,0.08333333333333333,0.09090909090909091,0.18181818181818182,0.2727272727272727,11.27,23.7,0.42857142857142855,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
100952-200674-202634-202658-204324,1611661319,"Jia Perkins, Sophia Young-Malcolm, Danielle Adams, Danielle Robinson, Dearica Hamby","Perkins, Young-Malcolm, Adams, Robinson, Hamby",100952-200674-202634-202658-204324,SAN,88.0,1,1.0,4.0,3.0,4.0,,,,7.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,2.0,3.0,,,,4.0,,,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,1.0,,2.0,,,2.0,1.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,0.5,0.5,,,,,,0.6666666666666666,,,0.6666666666666666,,,0.6666666666666666,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,114.54545454545455,,9.666666666666666,14.75,9.666666666666666,14.75,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.44273333333333337,,,,,,,8.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
100952-200674-202634-202652-203825,1611661319,"Jia Perkins, Sophia Young-Malcolm, Danielle Adams, Alex Montgomery, Kayla McBride","Perkins, Young-Malcolm, Adams, Montgomery, McBride",100952-200674-202634-202652-203825,SAN,56.0,1,1.0,2.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,102.85714285714286,,17.0,11.0,17.0,11.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.3654,,0.3654,,,,1.0,5.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
100952-200674-202634-202658-204468,1611661319,"Jia Perkins, Sophia Young-Malcolm, Danielle Adams, Danielle Robinson, Valeriane Ayayi","Perkins, Young-Malcolm, Adams, Robinson, Ayayi",100952-200674-202634-202658-204468,SAN,131.0,1,2.0,7.0,4.0,4.0,,,1.0,8.0,1.0,1.0,,,,,,,,,,,2.0,4.0,1.0,1.0,,,1.0,1.0,2.0,4.0,,8.0,1.0,,,1.0,1.0,,3.0,,,,,,,,2.0,6.0,,4.0,2.0,,,2.0,2.0,2.0,,,,6.0,1.0,,,1.0,1.0,1.0,2.0,,2.0,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,5.0,,,,,,,1.0,0.5,1.0,,0.5,1.0,,,0.8,1.5,,0.8,1.5,,0.8,,,,,1.0,,,0.5,1.0,0.5,,,,0.5,1.0,,,,,,87.93893129770993,1.0,16.25,16.5,11.5,16.5,0.2,1.0,1.0,,,,,,,,,,,,,0.8,0.5,0.5,1.0,,,1.0,1.0,1.0,,,,,1.0,0.5,0.46789,,,,,0.375,,2.4,25.575,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2015,2015,True
