EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Charge Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimPctAssisted,HeaveAttempts,LongMidRangePctBlocked,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3FGM,BlockingFouls,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,PenaltyCorner3FGM,PenaltyCorner3FGA,DefCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Offensive Fouls Drawn,Technical Free Throw Trips,team_id,year,season,team_vs
100721-101030-201499-202259-203411,1611661313,"Swin Cash, Tanisha Wright, Candice Wiggins, Epiphanny Prince, Sugar Rodgers","Cash, Wright, Wiggins, Prince, Rodgers",100721-101030-201499-202259-203411,NYL,3.0,1,1.0,1.0,1,480.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
100721-101030-202250-202259-202670,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Carolyn Swords","Cash, Wright, Charles, Prince, Swords",100721-101030-202250-202259-202670,NYL,3474.0,5,98.0,3.0,195,80.82901554404145,18.551020408163264,17.602040816326532,58.0,10.0,97.0,11.0,20.0,19.0,30.0,3.0,8.0,1.0,2.0,9.0,20.0,15.0,31.0,2.0,5.0,1.0,2.0,3.0,8.0,1.0,2.0,43.0,81.0,5.0,13.0,13.0,114.0,104.0,6.0,13.0,1.0,2.0,3.0,18.0,1.0,5.0,1.0,2.0,4.0,9.0,48.0,38.0,12.0,3.0,6.0,8.0,3.0,5.0,24.0,4.0,28.0,2.0,2.0,10.0,4.0,10.0,60.0,4.0,18.0,1.0,8.0,31.0,1.0,40.0,23.0,63.0,4.0,7.0,4.0,3.0,11.0,2.0,7.0,8.0,1.0,4.0,2.0,19.0,5.0,3.0,12.0,29.0,1.0,2.0,23.0,1.0,3.0,19.0,4.0,1.0,8.0,1.0,3.0,6.0,3.0,1.0,2.0,6.0,6.0,1.0,96.0,9.0,11.0,3.0,0.5581395348837209,0.6,0.8,0.38461538461538464,0.5,0.5,0.38461538461538464,0.5308641975308642,0.46153846153846156,0.2,0.5372340425531915,0.5,0.35714285714285715,0.5643564356435643,0.5294117647058824,0.45,0.13829787234042554,0.06172839506172839,0.13333333333333333,0.05,0.5789473684210527,0.5,0.25,0.8157894736842105,0.47368421052631576,0.7272727272727273,0.5,0.7959183673469388,0.4782608695652174,0.6363636363636364,0.36363636363636365,0.4375,0.6,0.3333333333333333,0.9090909090909091,0.8333333333333334,0.7333333333333333,0.7272727272727273,0.0975609756097561,1.0,17.072164948453608,15.422680412371134,0.3191489361702128,0.6333333333333333,0.7307692307692307,0.5263157894736842,0.2127659574468085,0.45,0.47368421052631576,0.4444444444444444,0.32978723404255317,0.4838709677419355,0.4838709677419355,0.6666666666666666,0.05319148936170213,0.4,0.4,1.0,0.0851063829787234,0.375,0.375,0.6666666666666666,0.5333333333333333,0.375,0.13333333333333333,0.5,1.0,0.2857142857142857,0.5,0.2857142857142857,0.5,0.4574468085106383,0.375,0.4665340425531915,0.5295291666666667,0.4659785714285714,0.09183673469387756,0.09411764705882353,0.07692307692307693,0.15789473684210525,0.07894736842105263,9.534567901234567,23.884615384615383,0.1134020618556701,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
100721-101030-202250-202259-203069,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Avery Warley-Talbert","Cash, Wright, Charles, Prince, Warley-Talbert",100721-101030-202250-202259-203069,NYL,424.0,1,10.0,,20,67.9245283018868,23.2,19.7,7.0,-6.0,10.0,,2.0,1.0,3.0,,,,,,1.0,2.0,4.0,,,,,1.0,2.0,,,3.0,8.0,1.0,2.0,2.0,11.0,17.0,1.0,2.0,,,,2.0,,,,,,,4.0,2.0,,3.0,,2.0,1.0,2.0,2.0,,2.0,,,,,2.0,4.0,,2.0,,1.0,2.0,,3.0,2.0,5.0,,,,,,1.0,,1.0,,,,1.0,,,1.0,4.0,2.0,,2.0,,,2.0,,,1.0,,,,,,,,,1.0,9.0,,,,0.6666666666666666,0.6666666666666666,,0.5,,,0.5,0.375,0.5,,0.45,0.5,,0.5,0.5,,0.2,0.25,0.6666666666666666,,,,,0.4,0.4,1.0,,0.5,0.3333333333333333,1.0,,,,,1.0,,0.25,1.0,,,19.2,17.3,0.3,0.3333333333333333,1.0,,0.1,,,,0.4,0.5,0.5,1.0,,,,,0.2,0.5,0.5,,,,,,,,,,,0.5,0.5,0.50335,0.3685,,0.09090909090909091,0.1111111111111111,,0.18181818181818182,,9.9875,23.2,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
100721-101030-202250-202259-203411,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Sugar Rodgers","Cash, Wright, Charles, Prince, Rodgers",100721-101030-202250-202259-203411,NYL,29.0,2,1.0,1.0,3,148.9655172413793,3.0,3.0,,2.0,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.2055,,0.2055,,,,,1.0,15.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
100721-101030-202250-202259-204329,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Epiphanny Prince, Kiah Stokes","Cash, Wright, Charles, Prince, Stokes",100721-101030-202250-202259-204329,NYL,2020.0,5,51.0,11.0,105,74.85148514851485,20.176470588235293,17.84313725490196,34.0,-3.0,54.0,21.0,8.0,3.0,10.0,2.0,2.0,2.0,6.0,6.0,17.0,5.0,11.0,1.0,1.0,,,3.0,6.0,,,14.0,38.0,4.0,7.0,10.0,50.0,53.0,4.0,5.0,,,3.0,11.0,6.0,16.0,,,4.0,16.0,16.0,12.0,9.0,3.0,2.0,6.0,3.0,3.0,8.0,3.0,11.0,2.0,1.0,2.0,4.0,2.0,25.0,,8.0,,4.0,10.0,1.0,15.0,8.0,23.0,1.0,8.0,5.0,3.0,7.0,,4.0,5.0,,3.0,,12.0,1.0,6.0,2.0,11.0,2.0,2.0,14.0,1.0,,14.0,2.0,,7.0,,1.0,1.0,1.0,,,1.0,,,39.0,16.0,21.0,1.0,0.5714285714285714,0.6153846153846154,0.75,0.5714285714285714,,,0.5714285714285714,0.3684210526315789,0.8,0.375,0.4444444444444444,0.8,0.375,0.49019607843137253,0.7857142857142857,0.4444444444444444,0.15555555555555556,0.07894736842105263,0.2,0.058823529411764705,0.5833333333333334,1.0,,0.5882352941176471,0.3333333333333333,0.8,,0.6363636363636364,0.3076923076923077,0.7142857142857143,0.09090909090909091,0.3333333333333333,,,0.8,0.5714285714285714,0.4,0.8,0.043478260869565216,,18.35185185185185,17.24074074074074,0.2222222222222222,0.3,0.375,0.6666666666666666,0.37777777777777777,0.35294117647058826,0.375,0.6666666666666666,0.24444444444444444,0.45454545454545453,0.45454545454545453,0.4,0.022222222222222223,1.0,1.0,1.0,0.13333333333333333,0.5,0.5,0.6666666666666666,0.4,1.0,,,,0.375,0.3333333333333333,,,0.37777777777777777,0.5,0.42501555555555554,0.46571999999999997,0.436175,0.14,0.16279069767441862,,0.22,0.32,8.831578947368422,23.62857142857143,0.3888888888888889,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
100721-101030-202250-203411-204329,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Sugar Rodgers, Kiah Stokes","Cash, Wright, Charles, Rodgers, Stokes",100721-101030-202250-203411-204329,NYL,15.0,1,1.0,1.0,1,96.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
100721-101030-202259-202670-204329,1611661313,"Swin Cash, Tanisha Wright, Epiphanny Prince, Carolyn Swords, Kiah Stokes","Cash, Wright, Prince, Swords, Stokes",100721-101030-202259-202670-204329,NYL,119.0,1,5.0,3.0,9,108.90756302521008,14.0,14.0,2.0,-4.0,4.0,4.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,,1.0,,1.0,2.0,4.0,,1.0,,4.0,8.0,,,,,,,2.0,4.0,,1.0,,4.0,2.0,2.0,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,0.5,0.5,,,,,,0.5,,0.5,0.4,,0.4,0.4,,0.4,0.2,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,12.25,12.25,0.2,1.0,1.0,,0.2,1.0,1.0,1.0,0.4,,,,,,,,0.2,,,,,,,,,0.2,1.0,0.2,,0.4,,0.415525,,0.415525,,,,,1.0,10.125,60.7,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
100721-101030-202259-203411-204329,1611661313,"Swin Cash, Tanisha Wright, Epiphanny Prince, Sugar Rodgers, Kiah Stokes","Cash, Wright, Prince, Rodgers, Stokes",100721-101030-202259-203411-204329,NYL,14.0,1,1.0,1.0,2,205.71428571428572,11.0,11.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
100721-201499-201502-202259-204329,1611661313,"Swin Cash, Candice Wiggins, Essence Carson, Epiphanny Prince, Kiah Stokes","Cash, Wiggins, Carson, Prince, Stokes",100721-201499-201502-202259-204329,NYL,37.0,1,1.0,1.0,2,77.83783783783784,13.0,13.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
100721-201499-201502-203411-204329,1611661313,"Swin Cash, Candice Wiggins, Essence Carson, Sugar Rodgers, Kiah Stokes","Cash, Wiggins, Carson, Rodgers, Stokes",100721-201499-201502-203411-204329,NYL,64.0,2,3.0,3.0,4,90.0,13.0,13.0,1.0,-1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,25.0,25.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,0.1026,,0.1026,,,,,,,31.4,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1611661313,2015,2015,False
