EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,ShortMidRangeFGA,FG2A,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,ShootingFouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefShortMidRangeReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyOffPoss,ShortMidRangeFGM,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,BlockingFoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,BlockingFouls,LongMidRangePctBlocked,PenaltyTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,Clear Path Fouls,Corner3PctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,BlockedLongMidRange,SecondChanceCorner3FGM,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,3SecondViolations,team_id,year,season,team_vs
201518-202249-202252-204317-204321,1611661328,"Crystal Langhorne, Abby Bishop, Alysha Clark, Ramu Tokashiki, Kaleena Mosqueda-Lewis","Langhorne, Bishop, Clark, Tokashiki, Mosqueda-Lewis",201518-202249-202252-204317-204321,SEA,5.0,1,1.0,1.0,1.0,288.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
100720-201518-201895-201904-204319,1611661328,"Sue Bird, Crystal Langhorne, Quanitra Hollingsworth, Renee Montgomery, Jewell Loyd","Bird, Langhorne, Hollingsworth, Montgomery, Loyd",100720-201518-201895-201904-204319,SEA,70.0,1,3.0,,5.0,102.85714285714285,11.0,7.333333333333333,1.0,-4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.5,18.5,1.0,0.3824,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
100720-201518-201904-203832-204319,1611661328,"Sue Bird, Crystal Langhorne, Renee Montgomery, Markeisha Gatling, Jewell Loyd","Bird, Langhorne, Montgomery, Gatling, Loyd",100720-201518-201904-203832-204319,SEA,83.0,1,2.0,1.0,5.0,86.74698795180723,17.0,14.5,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,0.5,0.5,,16.333333333333332,16.333333333333332,0.6666666666666666,0.42358333333333337,8.1,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
100720-201518-201904-204317-204319,1611661328,"Sue Bird, Crystal Langhorne, Renee Montgomery, Ramu Tokashiki, Jewell Loyd","Bird, Langhorne, Montgomery, Tokashiki, Loyd",100720-201518-201904-204317-204319,SEA,84.0,2,3.0,2.0,6.0,102.85714285714286,14.0,8.666666666666666,1.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,0.5,1.0,14.0,14.0,0.5,0.418275,4.3,1.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,,7.0,1.0,1.0,1.0,1.25,1.1666666666666667,0.5,,0.5,1.0,1.0,1.0,0.5,1.0,24.3,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.1666666666666667,1.0,1.0,1.0,0.5,1.0,0.418275,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
100720-201518-202249-202252-202626,1611661328,"Sue Bird, Crystal Langhorne, Abby Bishop, Alysha Clark, Jenna O'Hea","Bird, Langhorne, Bishop, Clark, O'Hea",100720-201518-202249-202252-202626,SEA,6299.0,10,174.0,13.0,354.0,80.92713129068106,18.189655172413794,16.885057471264368,105.0,-5.0,180.0,34.0,109.0,185.0,48.0,71.0,88.0,14.0,27.0,44.0,3.0,48.0,0.676056338028169,0.71875,0.7105263157894737,17.41111111111111,16.738888888888887,0.2138364779874214,0.46348481012658227,9.454128440366972,13.0,44.0,15.0,50.0,180.0,39.0,43.0,13.0,13.0,47.0,11.0,107.0,15.0,164.0,0.8666666666666667,0.3,0.30612244897959184,0.48742138364779874,0.5145348837209303,0.31446540880503143,0.7,0.27672955974842767,0.29545454545454547,0.29545454545454547,0.8461538461538461,0.5660377358490566,0.3023255813953488,24.144000000000002,7.0,12.0,,1.0,55.0,25.0,1.0,2.0,,1.0,4.0,6.0,68.0,34.0,6.0,1.0,35.0,3.0,6.0,6.0,2.0,0.6181818181818182,0.6296296296296297,,0.5045871559633027,0.5,0.3333333333333333,0.42857142857142855,0.35294117647058826,0.42857142857142855,0.5,0.3333333333333333,,0.3523,0.03333333333333333,0.03888888888888889,14.0,28.0,40.0,2.0,2.0,1.0,1.0,15.0,35.0,2.0,6.0,1.0,2.0,5.0,8.0,1.0,2.0,3.0,16.0,42.0,6.0,2.0,1.0,11.0,2.0,19.0,9.0,5.0,12.0,21.0,2.0,17.0,2.0,11.0,7.0,4.0,13.0,3.0,7.0,6.0,4.0,3.0,4.0,1.0,2.0,3.0,6.0,3.0,16.0,11.0,7.0,4.0,11.0,5.0,2.0,2.0,0.5,0.625,0.65,0.6666666666666666,0.10091743119266056,0.125,0.17647058823529413,0.48148148148148145,1.0,0.22641509433962265,0.84,0.14705882352941177,0.19540229885057472,0.25,0.2727272727272727,0.15789473684210525,0.16666666666666666,0.5384615384615384,0.8695652173913043,0.5,0.02631578947368421,0.45454545454545453,0.25157232704402516,0.7,0.8,0.6785714285714286,0.22012578616352202,0.42857142857142855,0.42857142857142855,0.6,0.03773584905660377,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,0.2,0.5,1.0,0.3333333333333333,1.0,0.42817142857142854,0.09467455621301775,0.13445378151260504,0.08888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
100720-201518-201904-204317-204321,1611661328,"Sue Bird, Crystal Langhorne, Renee Montgomery, Ramu Tokashiki, Kaleena Mosqueda-Lewis","Bird, Langhorne, Montgomery, Tokashiki, Mosqueda-Lewis",100720-201518-201904-204317-204321,SEA,160.0,1,7.0,7.0,13.0,117.0,12.142857142857142,12.142857142857142,3.0,,6.0,,3.0,6.0,2.0,3.0,3.0,,2.0,1.0,,2.0,1.0,1.0,,12.5,12.5,,0.6432375,1.5999999999999999,,1.0,,1.0,6.0,,1.0,,,3.0,,6.0,,6.0,,,,0.75,0.75,0.25,1.0,0.25,,,,1.0,,24.8,,,,,3.0,,,,,,,,6.0,3.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,2.0,,,2.0,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,0.75,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
100720-201518-202249-202252-204321,1611661328,"Sue Bird, Crystal Langhorne, Abby Bishop, Alysha Clark, Kaleena Mosqueda-Lewis","Bird, Langhorne, Bishop, Clark, Mosqueda-Lewis",100720-201518-202249-202252-204321,SEA,62.0,1,1.0,1.0,3.0,69.6774193548387,18.0,18.0,1.0,-2.0,2.0,1.0,1.0,2.0,,1.0,1.0,,1.0,2.0,,,,,,22.0,22.0,1.0,0.2809,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
100720-201518-202249-202626-203426,1611661328,"Sue Bird, Crystal Langhorne, Abby Bishop, Jenna O'Hea, Angel Goodrich","Bird, Langhorne, Bishop, O'Hea, Goodrich",100720-201518-202249-202626-203426,SEA,557.0,3,20.0,11.0,40.0,103.41113105924596,12.9,12.9,9.0,-4.0,20.0,2.0,13.0,20.0,3.0,7.0,7.0,,3.0,6.0,,4.0,1.0,1.0,,14.95,14.95,0.125,0.487615625,7.507692307692308,,3.0,,3.0,16.0,,3.0,,,4.0,,8.0,3.0,16.0,,,,0.4375,0.47058823529411764,0.1875,1.0,0.1875,,,,0.625,,23.866666666666664,,1.0,,,7.0,2.0,,,,,,,8.0,4.0,1.0,1.0,3.0,,,,,0.5714285714285714,0.5714285714285714,,0.5384615384615384,,,,0.5,1.0,1.0,,,,,,,5.0,7.0,,,,,1.0,4.0,,,,,,,,,,,6.0,,,,2.0,,2.0,1.0,,,3.0,1.0,,,2.0,1.0,1.0,3.0,,3.0,,,,1.0,,,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,2.0,,,,,0.15384615384615385,0.14285714285714285,0.5,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,0.4375,0.7142857142857143,0.8333333333333334,0.4,0.25,0.25,0.25,1.0,,,,,,,,,,,,,0.11764705882352941,0.14285714285714285,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
100720-201518-203426-204317-204321,1611661328,"Sue Bird, Crystal Langhorne, Angel Goodrich, Ramu Tokashiki, Kaleena Mosqueda-Lewis","Bird, Langhorne, Goodrich, Tokashiki, Mosqueda-Lewis",100720-201518-203426-204317-204321,SEA,182.0,1,4.0,,9.0,71.20879120879121,20.75,19.25,3.0,5.0,5.0,2.0,5.0,2.0,1.0,1.0,3.0,,,1.0,,,0.5,0.5,,19.8,18.6,0.2857142857142857,0.4099,9.620000000000001,1.0,2.0,1.0,2.0,7.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,4.0,1.0,0.5,0.5,0.5,0.5,0.2857142857142857,0.5,0.2857142857142857,0.5,0.5,1.0,0.42857142857142855,0.5,24.55,,1.0,,,2.0,,,,,,,,2.0,1.0,,,1.0,,,,,0.5,0.5,,0.4,,,,0.5,0.5,,,,,,,2.0,1.0,1.0,,,,,,2.0,,,1.0,2.0,,,1.0,2.0,,3.0,2.0,,,,,,1.0,,,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,0.5,,0.75,0.75,,,,,,0.6666666666666666,,,0.5,,1.0,0.5,,,,,0.25,1.0,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,,,,,,,,,,1.0,0.5,1.0,,,0.4509,,,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
100720-201895-202252-202626-204321,1611661328,"Sue Bird, Quanitra Hollingsworth, Alysha Clark, Jenna O'Hea, Kaleena Mosqueda-Lewis","Bird, Hollingsworth, Clark, O'Hea, Mosqueda-Lewis",100720-201895-202252-202626-204321,SEA,102.0,2,2.0,,6.0,84.70588235294117,22.0,22.0,2.0,6.0,4.0,1.0,4.0,,,1.0,3.0,1.0,1.0,1.0,,2.0,,1.0,,14.5,13.5,0.25,0.4541,9.525,,,,,6.0,,,,,2.0,,4.0,,4.0,,,,0.5,0.6,,,,,,,0.25,,,2.0,,,,2.0,2.0,1.0,3.0,,,2.0,4.0,4.0,2.0,,,3.0,,4.0,2.0,,1.0,1.0,,0.5,0.3333333333333333,0.3333333333333333,0.5,,,,,,0.38386666666666663,0.6666666666666666,0.5,1.0,1.0,1.0,,,,,1.0,2.0,,,,,1.0,2.0,,,,2.0,,,,,1.0,,1.0,1.0,,2.0,1.0,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,0.5,0.5,0.5,0.25,,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,0.25,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,0.3933,0.2,0.2,0.3333333333333333,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,False
