EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Offensive Fouls Drawn,SecondChanceFg2Pct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,ShortMidRangeAssists,FTOffRebounds,SelfOReb,DeadBallTurnovers,LostBallTurnovers,Travels,Charge Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffFTReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,PenaltyFG3M,LongMidRangeAssists,2pt And 1 Free Throw Trips,PenaltyFg3Pct,LongMidRangePctAssisted,PenaltyArc3Accuracy,Corner3FGA,SecondChanceCorner3FGA,ShootingFouls,OffAtRimReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,Corner3FGM,PenaltyFtPoints,Corner3Assists,OffThreePtRebounds,FTDefRebounds,BlockedLongMidRange,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsPutbacks,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Charge Fouls Drawn,ShortMidRangePctBlocked,DefAtRimReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PtsUnassisted3s,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,Defensive 3 Seconds Violations,OffCorner3ReboundPct,DefCorner3ReboundPct,LostBallOutOfBoundsTurnovers,BlockingFoulsDrawn,Blocked3s,BlockedCorner3,HeaveAttempts,StepOutOfBoundsTurnovers,3SecondViolations,BlockingFouls,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedArc3,LongMidRangePctBlocked,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
201518-201904-202252-204317-204321,1611661328,"Crystal Langhorne, Renee Montgomery, Alysha Clark, Ramu Tokashiki, Kaleena Mosqueda-Lewis","Langhorne, Montgomery, Clark, Tokashiki, Mosqueda-Lewis",201518-201904-202252-204317-204321,SEA,161.0,2,3.0,4.0,6.0,5.0,2.0,1.0,11.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,8.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,0.5,0.5,1.0,0.5,1.0,0.5,0.6666666666666666,1.0,0.7,1.5,0.5,0.6666666666666666,1.5,0.5,0.4,0.3333333333333333,0.5,1.0,1.0,1.0,98.38509316770187,12.166666666666666,17.6,9.5,17.6,0.4,0.5,1.0,1.0,0.2,1.0,1.0,0.4,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.8,0.5,0.53494,0.40085,0.16666666666666666,0.25,0.375,0.25,7.033333333333334,23.35,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
100720-201895-202626-203832-204321,1611661328,"Sue Bird, Quanitra Hollingsworth, Jenna O'Hea, Markeisha Gatling, Kaleena Mosqueda-Lewis","Bird, Hollingsworth, O'Hea, Gatling, Mosqueda-Lewis",100720-201895-202626-203832-204321,SEA,139.0,1,2.0,4.0,5.0,6.0,2.0,1.0,11.0,1.0,1.0,1.0,2.0,,1.0,,,,3.0,4.0,,1.0,,6.0,2.0,,,2.0,2.0,2.0,,4.0,,6.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,5.0,,,4.0,4.0,2.0,,,,,,,0.75,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.2,,,,,,113.95683453237409,18.4,7.833333333333333,17.6,7.833333333333333,0.2,1.0,1.0,,0.4,0.5,0.5,0.2,,,,,,,,0.4,,0.43735999999999997,0.442,,,0.3333333333333333,0.6666666666666666,11.725,23.3,0.4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.2,1.0,1.0,0.5,1.0,0.4208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
100720-201904-202249-202252-203832,1611661328,"Sue Bird, Renee Montgomery, Abby Bishop, Alysha Clark, Markeisha Gatling","Bird, Montgomery, Bishop, Clark, Gatling",100720-201904-202249-202252-203832,SEA,248.0,1,4.0,1.0,8.0,7.0,,2.0,15.0,2.0,2.0,,,,1.0,,,,3.0,4.0,,1.0,3.0,9.0,8.0,,,4.0,,,,,4.0,2.0,,1.0,,,2.0,,2.0,,1.0,4.0,1.0,1.0,3.0,1.0,1.0,,1.0,3.0,4.0,2.0,5.0,,,0.6666666666666666,0.6666666666666666,,,,,0.75,,0.6,1.0,,0.6428571428571429,1.0,,0.2,,,0.3333333333333333,0.3333333333333333,,87.09677419354838,18.0,14.857142857142858,16.25,13.857142857142858,0.4,1.0,1.0,0.5,,,,0.2,,,,,,,,0.6,,0.47293,,0.2857142857142857,0.3333333333333333,0.4444444444444444,,6.9,24.6,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,3.0,,1.0,0.3333333333333333,1.0,0.5,,0.4,0.5,0.5,,,0.5696,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
100720-202249-203426-203832-204321,1611661328,"Sue Bird, Abby Bishop, Angel Goodrich, Markeisha Gatling, Kaleena Mosqueda-Lewis","Bird, Bishop, Goodrich, Gatling, Mosqueda-Lewis",100720-202249-203426-203832-204321,SEA,92.0,1,2.0,6.0,4.0,3.0,3.0,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,1.0,1.0,10.0,4.0,,,,2.0,2.0,1.0,7.0,4.0,2.0,3.0,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,7.0,,,,1.0,1.0,,,1.0,1.0,1.0,10.0,7.0,3.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,1.0,1.0,1.0,1.125,,1.1666666666666667,1.25,,1.1666666666666667,0.25,,,,,,109.56521739130434,11.75,15.0,11.75,15.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,,,,0.3333333333333333,0.5,1.0,0.533225,0.5918,0.25,0.3333333333333333,,0.7,8.533333333333333,23.3,0.75,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,0.25,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
100720-202252-202626-203832-204317,1611661328,"Sue Bird, Alysha Clark, Jenna O'Hea, Markeisha Gatling, Ramu Tokashiki","Bird, Clark, O'Hea, Gatling, Tokashiki",100720-202252-202626-203832-204317,SEA,138.0,2,2.0,-1.0,4.0,4.0,1.0,2.0,8.0,1.0,3.0,,1.0,,,,,,1.0,4.0,,1.0,2.0,4.0,5.0,,1.0,2.0,1.0,1.0,,2.0,2.0,,,,,1.0,1.0,,1.0,,1.0,2.0,,,3.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,0.25,1.0,0.2,,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.25,0.3333333333333333,,,,83.47826086956522,21.5,13.0,18.75,9.0,0.6,0.3333333333333333,0.5,1.0,0.2,,,,,,,,,,,0.8,,0.42712000000000006,0.6458,0.16666666666666666,0.2,0.5,0.5,5.675,23.3,0.25,1.0,1.0,1.0,,,,1.0,3.0,3.0,1.0,,1.0,,,1.0,1.0,0.75,1.0,,,,1.0,1.0,0.3823,,1.0,2.0,,,1.0,,1.0,,,,,,,,,,,0.3333333333333333,,,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
201518-201895-202252-202626-204319,1611661328,"Crystal Langhorne, Quanitra Hollingsworth, Alysha Clark, Jenna O'Hea, Jewell Loyd","Langhorne, Hollingsworth, Clark, O'Hea, Loyd",201518-201895-202252-202626-204319,SEA,377.0,2,6.0,9.0,12.0,11.0,3.0,1.0,23.0,2.0,2.0,1.0,3.0,,3.0,,,1.0,3.0,6.0,1.0,4.0,3.0,12.0,3.0,,,,1.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,,,2.0,1.0,3.0,,1.0,7.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,12.0,3.0,3.0,0.6666666666666666,0.6666666666666666,1.0,0.25,,0.25,0.5,0.5,0.45,,0.3333333333333333,0.5454545454545454,,0.5,0.4,,,0.75,0.75,0.6666666666666666,87.85145888594164,12.916666666666666,20.181818181818183,12.5,17.0,0.2,1.0,1.0,0.5,0.3,0.3333333333333333,0.3333333333333333,0.3,,,,,,,0.3333333333333333,0.6,,0.45126999999999995,0.52055,0.18181818181818182,0.2857142857142857,,0.25,11.25,24.75,0.25,3.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,0.16666666666666666,,0.1,,,0.3333333333333333,1.0,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,2.0,,0.1,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
201518-201895-202626-203426-204319,1611661328,"Crystal Langhorne, Quanitra Hollingsworth, Jenna O'Hea, Angel Goodrich, Jewell Loyd","Langhorne, Hollingsworth, O'Hea, Goodrich, Loyd",201518-201895-202626-203426-204319,SEA,612.0,2,10.0,-11.0,18.0,19.0,8.0,3.0,37.0,1.0,1.0,1.0,6.0,,3.0,,,1.0,2.0,11.0,1.0,4.0,6.0,13.0,24.0,,,2.0,1.0,5.0,2.0,7.0,,4.0,3.0,3.0,,1.0,,1.0,1.0,,,3.0,6.0,6.0,9.0,1.0,1.0,,6.0,4.0,6.0,3.0,11.0,7.0,8.0,,,1.0,0.25,,0.25,0.18181818181818182,0.2,0.23333333333333334,0.3333333333333333,0.35714285714285715,0.3611111111111111,0.3333333333333333,0.4375,0.26666666666666666,0.09090909090909091,,0.8571428571428571,0.8571428571428571,1.0,87.05882352941177,17.055555555555557,16.05263157894737,15.944444444444445,15.68421052631579,0.06666666666666667,1.0,1.0,,0.4,0.16666666666666666,0.16666666666666666,0.2,,,,,,,0.14285714285714285,0.3333333333333333,,0.3839533333333333,0.4152857142857143,0.16666666666666666,0.21428571428571427,0.15384615384615385,0.5384615384615384,12.1,23.975,0.4444444444444444,7.0,,,,4.0,1.0,3.0,2.0,3.0,2.0,,3.0,,0.3333333333333333,0.6666666666666666,0.25,0.2727272727272727,0.25,0.26666666666666666,,,,,0.3411,1.0,1.0,,,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,,0.25,0.8,,1.0,,0.3333333333333333,1.0,,,1.0,,,0.5,,,1.0,,3.0,,0.06666666666666667,,1.0,2.0,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
201518-201904-202249-202626-204321,1611661328,"Crystal Langhorne, Renee Montgomery, Abby Bishop, Jenna O'Hea, Kaleena Mosqueda-Lewis","Langhorne, Montgomery, Bishop, O'Hea, Mosqueda-Lewis",201518-201904-202249-202626-204321,SEA,76.0,1,1.0,6.0,3.0,2.0,3.0,1.0,5.0,2.0,3.0,,,,,,,,2.0,3.0,,,2.0,6.0,,,,2.0,2.0,3.0,,6.0,4.0,,,,,,2.0,,2.0,,2.0,4.0,2.0,2.0,3.0,,,,2.0,2.0,2.0,,4.0,6.0,3.0,1.0,1.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.75,1.0,0.75,,,,1.0,1.0,1.0,94.73684210526316,9.333333333333334,24.0,9.333333333333334,24.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,1.0,,0.6412666666666667,0.6412666666666667,,,0.3333333333333333,1.0,1.0666666666666667,,1.0,,2.0,3.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,0.6666666666666666,0.7435,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
201518-202252-202626-204319-204321,1611661328,"Crystal Langhorne, Alysha Clark, Jenna O'Hea, Jewell Loyd, Kaleena Mosqueda-Lewis","Langhorne, Clark, O'Hea, Loyd, Mosqueda-Lewis",201518-202252-202626-204319-204321,SEA,117.0,1,2.0,4.0,3.0,3.0,,1.0,6.0,,,,1.0,2.0,2.0,1.0,1.0,,,1.0,2.0,2.0,,6.0,2.0,1.0,1.0,3.0,,,,,,,3.0,2.0,2.0,,,1.0,1.0,1.0,,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,3.0,,,,,0.5,1.0,1.0,1.0,,,1.0,1.5,,1.0,1.5,,0.6666666666666666,,,1.0,1.0,1.0,73.84615384615385,18.666666666666668,20.333333333333332,13.0,20.333333333333332,,,,,0.3333333333333333,,,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,,0.6666666666666666,1.0,0.4416166666666667,,,,0.5,,17.9,25.15,,2.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,0.5316,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
201518-202252-203426-203832-204319,1611661328,"Crystal Langhorne, Alysha Clark, Angel Goodrich, Markeisha Gatling, Jewell Loyd","Langhorne, Clark, Goodrich, Gatling, Loyd",201518-202252-203426-203832-204319,SEA,1245.0,4,21.0,21.0,37.0,34.0,4.0,4.0,71.0,5.0,11.0,6.0,7.0,4.0,8.0,,1.0,,18.0,28.0,5.0,11.0,3.0,54.0,33.0,,1.0,2.0,1.0,2.0,,3.0,18.0,18.0,6.0,8.0,4.0,1.0,9.0,2.0,11.0,1.0,,24.0,9.0,10.0,16.0,3.0,2.0,1.0,4.0,6.0,4.0,1.0,52.0,3.0,4.0,0.5,0.5,0.4,0.45454545454545453,,0.45454545454545453,0.6428571428571429,0.5,0.6538461538461539,0.2,0.5,0.6585365853658537,0.2,0.5,0.28205128205128205,0.03571428571428571,0.09090909090909091,0.8181818181818182,0.7692307692307693,0.6666666666666666,82.12048192771084,17.0,18.11764705882353,15.91891891891892,17.323529411764707,0.28205128205128205,0.45454545454545453,0.5,,0.1794871794871795,0.8571428571428571,0.8571428571428571,0.20512820512820512,0.5,0.5,0.25,0.2,,,,0.5641025641025641,0.5,0.4701525641025641,0.50245,0.025,0.034482758620689655,0.037037037037037035,0.05555555555555555,8.617857142857144,23.863636363636363,0.10810810810810811,4.0,,1.0,7.0,10.0,1.0,4.0,5.0,6.0,2.0,2.0,2.0,1.0,0.25,1.0,0.5,0.375,,0.2564102564102564,0.7,0.7,0.5,,0.539225,1.0,4.0,,4.0,,2.0,,,,,,,,,,,0.6666666666666666,1.0,0.13333333333333333,,0.5714285714285714,0.8,0.25,,,,5.0,,,0.8333333333333334,,3.0,,2.0,0.5,0.07692307692307693,,1.0,1.0,1.0,1.0,,,,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,1.0,,,,,1.0,,,0.8333333333333334,,,,1.0,,9.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2015,2015,True
