EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,SecondChanceFG2A,PtsUnassisted3s,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,AtRimFrequency,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,AtRimAssists,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,BlockingFouls,Offensive Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,SecondChanceFg2Pct,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,PenaltyTurnovers,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,BadPassOutOfBoundsTurnovers,FTDefRebounds,SelfOReb,Travels,BlockedLongMidRange,DefFTReboundPct,SelfORebPct,BlockedAtRim,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Charge Fouls Drawn,Loose Ball Fouls Drawn,LostBallTurnovers,Loose Ball Fouls,SecondChanceTurnovers,PtsPutbacks,Blocked3s,BlockedArc3,SecondChanceFtPoints,DefCorner3ReboundPct,Charge Fouls,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Arc3PctBlocked,LongMidRangePctBlocked,Clear Path Fouls,team_id,year,season,team_vs
100874-201048-201056-201506-201913,1611661322,"Kara Lawson, Armintie Herrington, Ivory Latta, LaToya Sanders, Kia Vaughn","Lawson, Herrington, Latta, Sanders, Vaughn",100874-201048-201056-201506-201913,WAS,361.0,1,6.0,12.0,10.0,12.0,4.0,5.0,1.0,22.0,2.0,2.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,7.0,3.0,3.0,3.0,24.0,12.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,10.0,8.0,4.0,9.0,3.0,3.0,4.0,3.0,7.0,3.0,1.0,3.0,17.0,1.0,5.0,5.0,1.0,6.0,1.0,1.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,10.0,4.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.6666666666666666,1.05,1.5,0.875,1.0909090909090908,1.5,1.0,0.3,0.8333333333333334,1.0,0.7142857142857143,1.0,1.0,1.0,0.75,87.75623268698061,1.0,16.8,16.083333333333332,16.3,15.25,0.2,1.0,1.0,0.5,0.5,0.8,0.8,0.75,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.3,1.0,0.41550000000000004,0.54375,0.3958625,0.1,0.14285714285714285,0.125,0.4166666666666667,14.485714285714286,23.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
100874-201048-201056-201506-203828,1611661322,"Kara Lawson, Armintie Herrington, Ivory Latta, LaToya Sanders, Stefanie Dolson","Lawson, Herrington, Latta, Sanders, Dolson",100874-201048-201056-201506-203828,WAS,80.0,1,1.0,-4.0,2.0,2.0,2.0,2.0,,4.0,,1.0,,1.0,,,,,,,,2.0,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,17.5,22.5,17.5,22.0,0.5,,,,0.5,,,,,,,,,,,,,,,0.38205,,0.38205,,,,,16.35,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
100874-201048-201056-203828-203866,1611661322,"Kara Lawson, Armintie Herrington, Ivory Latta, Stefanie Dolson, Kayla Thornton","Lawson, Herrington, Latta, Dolson, Thornton",100874-201048-201056-203828-203866,WAS,110.0,1,2.0,1.0,3.0,3.0,,,1.0,6.0,,1.0,,1.0,1.0,1.0,,,,,,3.0,1.0,1.0,,3.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,1.0,,,0.375,,,0.375,,,0.25,0.5,0.3333333333333333,0.5,0.3333333333333333,,1.0,,78.54545454545455,,20.333333333333332,16.333333333333332,16.333333333333332,15.333333333333334,0.25,,,,0.25,,,,0.25,1.0,1.0,,,,,,,0.5,1.0,0.479925,0.4233,,,,,,7.3999999999999995,25.3,,1.0,1.0,3.0,1.0,0.3333333333333333,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
100874-201048-201506-203401-203828,1611661322,"Kara Lawson, Armintie Herrington, LaToya Sanders, Tayler Hill, Stefanie Dolson","Lawson, Herrington, Sanders, Hill, Dolson",100874-201048-201506-203401-203828,WAS,331.0,2,6.0,-1.0,9.0,10.0,2.0,3.0,1.0,19.0,,2.0,1.0,3.0,1.0,1.0,,,1.0,1.0,3.0,7.0,1.0,1.0,1.0,10.0,11.0,,,2.0,1.0,1.0,1.0,1.0,,5.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,7.0,1.0,3.0,3.0,1.0,4.0,1.0,,,3.0,3.0,,2.0,1.0,1.0,,,,,,8.0,5.0,2.0,,,0.6666666666666666,0.6666666666666666,1.0,1.0,,1.0,1.0,0.42857142857142855,1.0,0.5625,1.0,1.25,0.5625,1.0,1.25,0.125,1.0,0.25,1.0,0.25,,1.0,1.0,82.65861027190333,,18.0,16.9,17.666666666666668,16.9,0.25,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,0.125,1.0,1.0,1.0,,,,0.5,1.0,0.375,1.0,0.43685625,0.5402,0.581925,0.125,0.14285714285714285,0.2,0.5,11.285714285714286,25.5,0.2222222222222222,2.0,1.0,,,,,,0.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
100874-201048-203401-203416-203828,1611661322,"Kara Lawson, Armintie Herrington, Tayler Hill, Emma Meesseman, Stefanie Dolson","Lawson, Herrington, Hill, Meesseman, Dolson",100874-201048-203401-203416-203828,WAS,138.0,2,2.0,-3.0,4.0,3.0,,,1.0,7.0,1.0,1.0,,1.0,,1.0,,,,,2.0,3.0,,1.0,,4.0,7.0,,,2.0,,,,,,,2.0,2.0,,1.0,,1.0,,1.0,,,,2.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,2.0,,,,,0.5,0.5,,,,,,0.6666666666666666,,0.5,1.0,,0.5,1.0,,0.25,,,,1.0,,,,73.04347826086958,,21.5,17.333333333333332,20.75,17.333333333333332,0.25,1.0,1.0,,0.25,,,,0.25,,,,,,,,,0.5,,0.434025,,,,,0.5,,8.933333333333334,24.6,,1.0,1.0,,,,,,0.25,1.0,,,,,1.0,1.0,,,,2.0,2.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
100874-201048-203416-203437-203866,1611661322,"Kara Lawson, Armintie Herrington, Emma Meesseman, Tierra Ruffin-Pratt, Kayla Thornton","Lawson, Herrington, Meesseman, Ruffin-Pratt, Thornton",100874-201048-203416-203437-203866,WAS,28.0,1,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,2.0,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,102.85714285714286,,17.0,11.0,17.0,11.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.3398,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
100874-201048-203416-203828-204333,1611661322,"Kara Lawson, Armintie Herrington, Emma Meesseman, Stefanie Dolson, Natasha Cloud","Lawson, Herrington, Meesseman, Dolson, Cloud",100874-201048-203416-203828-204333,WAS,150.0,1,2.0,3.0,5.0,5.0,5.0,,,10.0,,1.0,2.0,2.0,,,,,,,2.0,3.0,1.0,1.0,1.0,8.0,5.0,,,,2.0,3.0,1.0,1.0,1.0,8.0,2.0,2.0,3.0,,,1.0,1.0,2.0,,,1.0,5.0,,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,,,1.0,,,,,,,,8.0,8.0,5.0,,,0.5,0.5,1.0,1.0,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.875,,0.875,0.875,,0.875,0.25,1.0,,1.0,,,,,96.0,,13.8,16.2,13.8,16.2,0.25,,,,0.5,1.0,1.0,0.5,,,,,,,,,,0.25,,0.376625,,0.376625,,,,1.0,12.633333333333333,22.4,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
100874-201048-203416-203866-204333,1611661322,"Kara Lawson, Armintie Herrington, Emma Meesseman, Kayla Thornton, Natasha Cloud","Lawson, Herrington, Meesseman, Thornton, Cloud",100874-201048-203416-203866-204333,WAS,49.0,1,1.0,-2.0,2.0,2.0,,2.0,,4.0,,,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.55102040816327,,14.0,10.5,14.0,10.5,,,,,1.0,,,,,,,,,,,,,,,0.3752,,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
100874-201056-201506-203416-203437,1611661322,"Kara Lawson, Ivory Latta, LaToya Sanders, Emma Meesseman, Tierra Ruffin-Pratt","Lawson, Latta, Sanders, Meesseman, Ruffin-Pratt",100874-201056-201506-203416-203437,WAS,255.0,2,4.0,-6.0,8.0,8.0,6.0,5.0,2.0,16.0,1.0,1.0,1.0,2.0,,4.0,,2.0,,2.0,2.0,4.0,,4.0,2.0,6.0,12.0,,2.0,,1.0,3.0,,2.0,2.0,4.0,4.0,,,4.0,,2.0,,2.0,,1.0,1.0,4.0,1.0,1.0,3.0,2.0,5.0,,,2.0,2.0,3.0,,2.0,,1.0,,,,,,6.0,4.0,6.0,,,1.0,1.0,,,,,,0.5,0.3333333333333333,0.25,,0.2,0.3333333333333333,,0.3333333333333333,0.5,1.0,0.5,1.0,0.3333333333333333,,,,90.3529411764706,,17.0,14.875,16.0,14.0,0.125,1.0,1.0,1.0,0.25,0.5,0.5,1.0,0.5,,,,1.0,,,0.4,,0.625,,0.48545625,0.5751,0.48928000000000005,0.1111111111111111,0.2,,0.6666666666666666,11.6,25.1,0.75,1.0,,,,,,1.0,0.125,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,0.2,,1.0,,0.25,0.25,,,,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
100874-201056-201506-203416-203829,1611661322,"Kara Lawson, Ivory Latta, LaToya Sanders, Emma Meesseman, Bria Hartley","Lawson, Latta, Sanders, Meesseman, Hartley",100874-201056-201506-203416-203829,WAS,35.0,1,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,82.28571428571428,,11.0,24.0,11.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2015,2015,False
