EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,PenaltyArc3FGA,PenaltyFG3A,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,PenaltyArc3Frequency,PenaltyShotQualityAvg,DefThreePtRebounds,PenaltyTurnovers,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFGA,PenaltyCorner3FGA,PenaltyFG2A,Loose Ball Fouls,OffShortMidRangeReboundPct,ShortMidRangeFrequency,PenaltyCorner3Frequency,Fg2aBlocked,Blocked2s,BlockedShortMidRange,FG2APctBlocked,ShortMidRangePctBlocked,PtsAssisted2s,TwoPtAssists,AtRimAssists,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2A,LongMidRangeAssists,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,AtRimPctBlocked,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,3SecondViolations,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,PenaltyFG2M,PtsPutbacks,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,ShortMidRangeFGM,ShortMidRangeAssists,Offensive Fouls,Charge Fouls Drawn,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,BlockingFouls,BlockedAtRim,Corner3FGM,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,FTDefRebounds,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,DefFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Travels,team_id,year,season,team_vs
100874-200673-201056-201913-203416,1611661322,"Kara Lawson, Monique Currie, Ivory Latta, Kia Vaughn, Emma Meesseman","Lawson, Currie, Latta, Vaughn, Meesseman",100874-200673-201056-201913-203416,WAS,343.0,2,6.0,2.0,11,10.0,1.0,3.0,21,1.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,5.0,3.0,8.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,6.0,2.0,1.0,1.0,0.2,0.2,0.16666666666666666,0.22727272727272727,0.3076923076923077,0.3333333333333333,1.0,0.45454545454545453,1.0,1.0,1.0,0.4,1.0,0.2222222222222222,0.5,0.3333333333333333,1.0,1.0,88.16326530612244,18.181818181818183,14.3,15.363636363636363,14.3,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.25,0.25,1.0,0.5,0.5,0.7272727272727273,0.25,0.5011636363636364,0.577575,0.15384615384615385,0.25,0.25,0.25,9.85,24.94,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
100874-200673-201056-203403-203828,1611661322,"Kara Lawson, Monique Currie, Ivory Latta, Tianna Hawkins, Stefanie Dolson","Lawson, Currie, Latta, Hawkins, Dolson",100874-200673-201056-203403-203828,WAS,92.0,1,2.0,-1.0,2,2.0,,,4,,,,,,1.0,2.0,,,,1.0,2.0,,3.0,4.0,,,,,,,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,1.0,,,,3.0,,,1.0,0.5,0.5,,0.75,0.75,,,1.0,,,,,,,,,,,62.60869565217391,24.0,22.0,24.0,22.0,,,,,,1.0,0.5,0.5,1.0,,,1.0,0.5,0.51375,,,,,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
100874-200673-201056-203416-203828,1611661322,"Kara Lawson, Monique Currie, Ivory Latta, Emma Meesseman, Stefanie Dolson","Lawson, Currie, Latta, Meesseman, Dolson",100874-200673-201056-203416-203828,WAS,138.0,1,2.0,1.0,4,5.0,2.0,1.0,9,,1.0,,,,,1.0,,,1.0,,1.0,4.0,4.0,3.0,,2.0,2.0,4.0,4.0,,,1.0,,,,,,,,2.0,2.0,1.0,3.0,1.0,1.0,,,,1.0,,2.0,2.0,1.0,4.0,,2.0,4.0,2.0,,,,,,0.5,1.0,0.6666666666666666,0.5,,,0.6666666666666666,,0.5,0.5,,,,0.5,93.91304347826087,7.5,21.6,7.5,19.4,0.5,,,,,0.5,,,,,,1.0,,0.575275,,,,0.5,1.0,2.5,25.1,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.48735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
100874-200673-201056-203416-203829,1611661322,"Kara Lawson, Monique Currie, Ivory Latta, Emma Meesseman, Bria Hartley","Lawson, Currie, Latta, Meesseman, Hartley",100874-200673-201056-203416-203829,WAS,29.0,1,,-2.0,3,4.0,3.0,1.0,7,,,,,,,,,,,,,3.0,3.0,5.0,,2.0,2.0,3.0,3.0,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,3.0,,6.0,,1.0,2.0,2.0,,,,,,0.5,1.0,0.5,,1.0,0.5,,,1.0,,,,,,347.58620689655174,3.0,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,,,1.0,4.0,,,,,,3.0,,,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
100874-200673-201913-203416-203829,1611661322,"Kara Lawson, Monique Currie, Kia Vaughn, Emma Meesseman, Bria Hartley","Lawson, Currie, Vaughn, Meesseman, Hartley",100874-200673-201913-203416-203829,WAS,71.0,1,1.0,-1.0,2,2.0,2.0,1.0,4,,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,,2.0,1.0,1.0,1.0,2.0,,,,,,0.16666666666666666,,0.16666666666666666,0.5,,,,1.0,,0.5,,,,,81.12676056338029,21.0,14.5,18.0,9.0,,,,,0.5,,,,,1.0,,0.5,,0.50835,0.6225,0.3333333333333333,0.5,,1.0,9.8,23.8,1.0,,,1.0,,,,,,,,,,,,,0.50835,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
100874-200673-203401-203403-203828,1611661322,"Kara Lawson, Monique Currie, Tayler Hill, Tianna Hawkins, Stefanie Dolson","Lawson, Currie, Hill, Hawkins, Dolson",100874-200673-203401-203403-203828,WAS,55.0,1,1.0,-3.0,2,2.0,,,4,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.72727272727273,13.0,14.5,13.0,3.0,,,,,,,,,,,,,,0.36685,,,,,,6.9,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
100874-201056-201913-202253-203416,1611661322,"Kara Lawson, Ivory Latta, Kia Vaughn, Kalana Greene, Emma Meesseman","Lawson, Latta, Vaughn, Greene, Meesseman",100874-201056-201913-202253-203416,WAS,140.0,1,2.0,1.0,5,4.0,1.0,,9,2.0,2.0,,,,1.0,2.0,,2.0,2.0,1.0,2.0,,7.0,6.0,,,,,,,3.0,2.0,1.0,1.0,3.0,1.0,7.0,,,2.0,2.0,,2.0,,,,,,1.0,,1.0,1.0,,,,7.0,,1.0,1.0,0.5,0.5,1.0,0.875,0.875,,,0.5,,,1.0,,1.0,,,,1.0,1.0,92.57142857142857,17.6,13.0,17.6,13.0,0.5,1.0,1.0,,,0.5,0.5,0.5,1.0,,,1.0,0.5,0.5156,,,,,,1.45,24.05,0.2,3.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
100874-201056-201913-203416-203437,1611661322,"Kara Lawson, Ivory Latta, Kia Vaughn, Emma Meesseman, Tierra Ruffin-Pratt","Lawson, Latta, Vaughn, Meesseman, Ruffin-Pratt",100874-201056-201913-203416-203437,WAS,344.0,1,6.0,-1.0,9,10.0,,2.0,19,3.0,4.0,4.0,2.0,,,1.0,,5.0,8.0,,3.0,2.0,12.0,13.0,,2.0,2.0,,,8.0,,1.0,,,1.0,,2.0,3.0,,3.0,3.0,4.0,7.0,,,,1.0,,1.0,1.0,1.0,3.0,,2.0,1.0,10.0,,,,,,0.625,0.45454545454545453,0.5,0.3333333333333333,,0.2727272727272727,1.0,,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,,1.0,79.53488372093024,21.0,15.5,17.666666666666668,15.5,0.36363636363636365,0.75,1.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,,,,,,0.6363636363636364,,0.527909090909091,0.4257,0.08333333333333333,0.1111111111111111,0.16666666666666666,,9.7625,23.333333333333332,,,,,1.0,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,1.0,,,0.125,,2.0,1.0,,0.2,0.2,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.25,0.2,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
100874-201056-201913-203416-203829,1611661322,"Kara Lawson, Ivory Latta, Kia Vaughn, Emma Meesseman, Bria Hartley","Lawson, Latta, Vaughn, Meesseman, Hartley",100874-201056-201913-203416-203829,WAS,30.0,1,,2.0,2,3.0,2.0,,5,,,,,,,,,,,,,4.0,4.0,2.0,,,,4.0,4.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0,,4.0,,4.0,,,,,,,,1.0,,1.0,,,,,,0.3333333333333333,,,,,,240.0,1.0,9.333333333333334,1.0,8.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,3.0,,,,,,2.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
100874-201056-202253-203403-203828,1611661322,"Kara Lawson, Ivory Latta, Kalana Greene, Tianna Hawkins, Stefanie Dolson","Lawson, Latta, Greene, Hawkins, Dolson",100874-201056-202253-203403-203828,WAS,241.0,1,4.0,-2.0,6,6.0,2.0,1.0,12,2.0,4.0,,,,,,,2.0,5.0,,,2.0,6.0,8.0,,,,2.0,2.0,,,,,,2.0,,4.0,3.0,,1.0,2.0,3.0,5.0,,,,,,2.0,,1.0,3.0,1.0,2.0,1.0,6.0,2.0,2.0,,,,0.4,0.4,0.5,,1.0,,,,0.5,1.0,0.5,1.0,1.0,,,,71.70124481327801,15.666666666666666,24.5,13.833333333333334,19.5,0.8,0.5,0.5,,,,,,,,,0.8,,0.40942,0.3916,0.16666666666666666,0.16666666666666666,,0.3333333333333333,2.96,,0.3333333333333333,1.0,,,,,2.0,,,,,,,,1.0,,,1.0,,0.5,0.5,1.0,,,,1.0,0.2,,,,,,,4.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2014,2014,True
