EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,NonHeaveArc3FGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGM,FG2M,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,DefThreePtRebounds,LostBallTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGA,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,PenaltyTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,Corner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,Travels,ShootingFouls,BlockingFouls,Charge Fouls,Loose Ball Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LongMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,FTOffRebounds,Loose Ball Fouls Drawn,Defensive 3 Seconds Violations,OffFTReboundPct,OffCorner3ReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,BlockedLongMidRange,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Clear Path Fouls,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
100666-201904-202254-202263-202653,1611661323,"Katie Douglas, Renee Montgomery, Kelsey Griffin, Danielle McCray, Kayla Pedersen","Douglas, Montgomery, Griffin, McCray, Pedersen",100666-201904-202254-202263-202653,CON,196.0,1,3.0,8.0,7.0,2.0,15.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.16666666666666666,0.2,0.3333333333333333,0.8,0.25,0.8,0.2,0.3333333333333333,0.6666666666666666,1.0,110.20408163265306,12.0,14.285714285714286,10.125,13.857142857142858,0.6,0.2,0.2,1.0,0.8,0.48025,0.55365,0.16666666666666666,0.2,5.95,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2014,2014,False
100666-201904-202254-202263-203402,1611661323,"Katie Douglas, Renee Montgomery, Kelsey Griffin, Danielle McCray, Kelsey Bone","Douglas, Montgomery, Griffin, McCray, Bone",100666-201904-202254-202263-203402,CON,291.0,3,5.0,10.0,8.0,1.0,18.0,5.0,1.0,2.0,,7.0,2.0,1.0,13.0,5.0,,2.0,1.0,3.0,5.0,1.0,6.0,,,1.0,,,,1.0,1.0,2.0,,3.0,,1.0,1.0,,,,13.0,0.7222222222222222,0.2222222222222222,1.0,1.0,0.25,1.0,0.25,0.3333333333333333,,,89.07216494845362,13.3,19.75,13.1,19.75,0.5555555555555556,0.1111111111111111,0.2222222222222222,,0.7777777777777778,0.5495666666666668,,0.1111111111111111,0.14285714285714285,4.628571428571428,23.6,8.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,6.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.42857142857142855,1.0,0.6666666666666666,1.0,1.0,0.2857142857142857,0.2,1.0,1.0,1.0,1.0,0.4,0.5,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5765,0.15384615384615385,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2014,2014,False
100666-201904-202254-203020-203410,1611661323,"Katie Douglas, Renee Montgomery, Kelsey Griffin, Kelley Cain, Alex Bentley","Douglas, Montgomery, Griffin, Cain, Bentley",100666-201904-202254-203020-203410,CON,115.0,2,2.0,4.0,5.0,,9.0,3.0,,,,3.0,1.0,,2.0,6.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,2.0,0.25,0.25,,,0.5,,0.5,0.5,,,112.69565217391303,15.5,10.6,15.5,6.0,0.75,,,,1.0,0.5148,,,,1.9000000000000001,23.9,-4.0,2.0,5.0,1.0,,2.0,,,,1.0,,,2.0,,,,,1.0,,,,,,2.0,,,0.3333333333333333,,0.25,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.5,,,,,,1.0,,,0.593,,0.5,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2014,2014,False
100666-202254-203402-203410-203826,1611661323,"Katie Douglas, Kelsey Griffin, Kelsey Bone, Alex Bentley, Alyssa Thomas","Douglas, Griffin, Bone, Bentley, Thomas",100666-202254-203402-203410-203826,CON,3839.0,16,64.0,123.0,121.0,23.0,244.0,42.0,26.0,19.0,2.0,95.0,22.0,29.0,133.0,122.0,3.0,19.0,17.0,34.0,47.0,25.0,72.0,12.0,6.0,4.0,1.0,3.0,10.0,14.0,3.0,31.0,3.0,30.0,2.0,37.0,14.0,5.0,4.0,5.0,104.0,0.49624060150375937,0.18803418803418803,0.2857142857142857,0.85,0.3090909090909091,0.8653846153846154,0.36231884057971014,0.16666666666666666,0.7333333333333333,1.0,91.52383433185726,15.585365853658537,15.884297520661157,13.853658536585366,15.041322314049587,0.358974358974359,0.2222222222222222,0.1623931623931624,0.10526315789473684,0.5470085470085471,0.4698247863247863,0.43244999999999995,0.11627906976744186,0.1320754716981132,8.258947368421053,24.495454545454546,11.0,36.0,40.0,24.0,5.0,8.0,27.0,8.0,5.0,40.0,8.0,11.0,24.0,41.0,48.0,,5.0,4.0,11.0,1.0,,3.0,41.0,36.0,0.36363636363636365,0.36363636363636365,0.42105263157894735,0.4583333333333333,0.4444444444444444,0.5384615384615384,0.5882352941176471,0.042105263157894736,0.07142857142857142,,0.9166666666666666,0.8571428571428571,0.875,0.5714285714285714,0.6153846153846154,0.23076923076923078,0.3076923076923077,0.32,0.2631578947368421,0.2631578947368421,0.3076923076923077,0.625,0.2631578947368421,0.42428653846153846,0.3082706766917293,0.2926829268292683,3.0,32.0,16.0,24.0,9.0,56.0,6.0,0.4,0.43243243243243246,0.375,0.02564102564102564,5.0,7.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,16.0,2.0,5.0,29.0,2.0,2.0,13.0,24.0,6.0,8.0,5.0,3.0,4.0,3.0,8.0,2.0,2.0,6.0,2.0,2.0,14.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,6.0,4.0,1.0,0.6666666666666666,1.0,0.5625,0.631578947368421,0.6590909090909091,0.038461538461538464,0.5,0.5714285714285714,0.3157894736842105,0.4444444444444444,0.5714285714285714,1.0,0.03076923076923077,0.8,0.2962962962962963,0.2962962962962963,0.5,0.375,1.0,1.0,1.0,1.0,0.3684210526315789,0.7142857142857143,0.2,0.05263157894736842,1.0,1.0,0.5,1.0,0.038461538461538464,1.0,0.038461538461538464,1.0,0.043478260869565216,0.21804511278195488,,,,,,,,,,,,,,,,,1611661323,2014,2014,False
100666-202254-203410-203823-203826,1611661323,"Katie Douglas, Kelsey Griffin, Alex Bentley, Chiney Ogwumike, Alyssa Thomas","Douglas, Griffin, Bentley, Ogwumike, Thomas",100666-202254-203410-203823-203826,CON,4216.0,16,70.0,136.0,135.0,23.0,271.0,35.0,34.0,18.0,2.0,98.0,22.0,34.0,154.0,143.0,2.0,18.0,22.0,26.0,45.0,28.0,73.0,16.0,10.0,17.0,2.0,9.0,9.0,26.0,3.0,36.0,2.0,32.0,1.0,46.0,17.0,4.0,2.0,4.0,123.0,0.5425531914893617,0.18333333333333332,0.6538461538461539,0.65,0.44,0.7068965517241379,0.42857142857142855,0.5,0.6923076923076923,0.6666666666666666,92.56166982922201,16.21323529411765,14.896296296296295,15.014705882352942,14.148148148148149,0.2916666666666667,0.2833333333333333,0.15,0.09090909090909091,0.475,0.45311958333333335,0.4889710526315789,0.12686567164179105,0.15178571428571427,8.979591836734693,23.99090909090909,11.0,54.0,49.0,23.0,5.0,10.0,29.0,11.0,8.0,48.0,8.0,13.0,31.0,52.0,62.0,9.0,8.0,7.0,15.0,8.0,,3.0,44.0,50.0,0.36363636363636365,0.36363636363636365,0.4897959183673469,0.41935483870967744,0.5,0.4268292682926829,0.5098039215686274,0.07142857142857142,0.14285714285714285,0.034482758620689655,0.8333333333333334,0.5833333333333334,0.8823529411764706,0.6571428571428571,0.7666666666666667,0.24166666666666667,0.3235294117647059,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.24390243902439024,0.5,0.4444444444444444,0.4413109756097561,0.33766233766233766,0.39705882352941174,4.0,34.0,17.0,22.0,13.0,49.0,10.0,0.3541666666666667,0.3953488372093023,0.5652173913043478,0.03333333333333333,7.0,12.0,14.0,,,,,4.0,1.0,3.0,6.0,11.0,20.0,1.0,6.0,31.0,3.0,10.0,17.0,15.0,10.0,5.0,5.0,,1.0,3.0,5.0,4.0,3.0,6.0,1.0,1.0,16.0,2.0,,3.0,1.0,1.0,,7.0,2.0,2.0,7.0,3.0,0.625,0.5,0.3,0.55,0.5681818181818182,0.5740740740740741,0.029411764705882353,0.8,0.38461538461538464,0.6666666666666666,0.2608695652173913,0.4444444444444444,,0.05357142857142857,0.5,0.4827586206896552,0.5,0.07142857142857142,0.2727272727272727,,,,0.625,0.5454545454545454,0.5833333333333334,0.14285714285714285,,,,0.5,1.0,0.0975609756097561,,0.14634146341463414,0.5,,0.2012987012987013,1.0,1.0,1.0,0.3333333333333333,0.25,,,,,,,,,,,,1611661323,2014,2014,False
201904-202254-202263-203402-203826,1611661323,"Renee Montgomery, Kelsey Griffin, Danielle McCray, Kelsey Bone, Alyssa Thomas","Montgomery, Griffin, McCray, Bone, Thomas",201904-202254-202263-203402-203826,CON,290.0,3,5.0,10.0,11.0,1.0,21.0,1.0,1.0,2.0,1.0,6.0,2.0,,5.0,16.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,2.0,3.0,,7.0,,1.0,,,,,,,2.0,0.3125,0.25,0.3333333333333333,1.0,0.2,1.0,0.16666666666666666,,,,104.27586206896552,13.8,13.818181818181818,13.3,12.909090909090908,0.125,0.125,0.25,1.0,0.375,0.41709375,0.483,,,9.066666666666666,27.15,-11.0,,,,,,4.0,,1.0,1.0,1.0,,,,2.0,,1.0,1.0,1.0,,,,,,0.5,0.5,0.16666666666666666,,0.3125,,,0.16666666666666666,,0.25,1.0,1.0,1.0,,,0.5,,,0.5,0.5,,,0.5,,,,,,,1.0,,3.0,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,3.0,,,,3.0,,1.0,1.0,,,,,,,1.0,,,4.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.5,1.5,,,,0.3333333333333333,,,,,,0.25,0.3333333333333333,,,,,,1.0,,,,,,,1.0,1.0,,,,,,0.6,,,,,,,,,,,,,,,,,1611661323,2014,2014,False
100928-202263-203402-203408-203410,1611661323,"Ebony Hoffman, Danielle McCray, Kelsey Bone, Kelly Faris, Alex Bentley","Hoffman, McCray, Bone, Faris, Bentley",100928-202263-203402-203408-203410,CON,110.0,1,2.0,3.0,4.0,,7.0,1.0,,,,2.0,,,2.0,4.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,2.0,0.5,,,1.0,,1.0,,,,1.0,91.63636363636364,12.0,18.5,12.0,18.5,0.5,,,,0.5,0.53935,,,,7.1,,-2.0,3.0,4.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,2.0,2.0,,,,,,,,2.0,3.0,,,0.5,0.5,0.5,0.5,0.5,,,,,,,1.0,1.0,0.5,,,,,0.5,1.0,,0.53935,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2014,2014,False
100928-202263-203402-203410-203826,1611661323,"Ebony Hoffman, Danielle McCray, Kelsey Bone, Alex Bentley, Alyssa Thomas","Hoffman, McCray, Bone, Bentley, Thomas",100928-202263-203402-203410-203826,CON,169.0,1,3.0,6.0,6.0,2.0,12.0,2.0,3.0,,,5.0,,,4.0,4.0,,,2.0,,2.0,2.0,4.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,2.0,0.4,,0.5,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,,,102.24852071005917,10.166666666666666,18.0,7.333333333333333,17.5,0.4,0.6,,,0.4,0.50412,0.532,,,10.18,,,,4.0,1.0,,,,1.0,,2.0,,,,,2.0,,,,2.0,,,,,,,,0.4,,0.4,,,,,,1.0,,1.0,0.5,0.5,,0.3333333333333333,0.3333333333333333,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,,0.5,0.5,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,0.5,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,0.5,,,1.0,,,,,,,,,,,,,,1611661323,2014,2014,False
100666-100928-201904-203402-203826,1611661323,"Katie Douglas, Ebony Hoffman, Renee Montgomery, Kelsey Bone, Alyssa Thomas","Douglas, Hoffman, Montgomery, Bone, Thomas",100666-100928-201904-203402-203826,CON,428.0,3,7.0,13.0,13.0,1.0,26.0,4.0,3.0,1.0,,10.0,1.0,1.0,11.0,17.0,,1.0,1.0,4.0,5.0,1.0,6.0,,,1.0,1.0,1.0,1.0,2.0,,2.0,,1.0,,2.0,1.0,,,,9.0,0.4583333333333333,0.09090909090909091,0.5,0.8,0.2,0.8333333333333334,0.16666666666666666,,0.6666666666666666,1.0,87.47663551401868,17.615384615384617,15.307692307692308,17.076923076923077,15.0,0.36363636363636365,0.2727272727272727,0.09090909090909091,,0.45454545454545453,0.4179227272727273,0.6388,0.08333333333333333,0.09090909090909091,9.370000000000001,23.6,-6.0,6.0,6.0,4.0,2.0,2.0,3.0,,,5.0,,3.0,5.0,7.0,4.0,,,,1.0,,,,7.0,6.0,,,0.5,0.6,0.45454545454545453,0.6,0.5833333333333334,,,,1.0,1.0,1.0,1.0,1.0,0.2727272727272727,,,,,0.4,1.0,,0.38527999999999996,0.6363636363636364,0.46153846153846156,,6.0,3.0,3.0,3.0,6.0,,0.6,0.6,0.75,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,0.5,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,1.0,1.0,1.0,,,,,,,,,,,0.18181818181818182,,,,,,,,,,,,,,,,,1611661323,2014,2014,False
100666-201904-202254-202653-203410,1611661323,"Katie Douglas, Renee Montgomery, Kelsey Griffin, Kayla Pedersen, Alex Bentley","Douglas, Montgomery, Griffin, Pedersen, Bentley",100666-201904-202254-202653-203410,CON,188.0,2,3.0,7.0,6.0,1.0,13.0,3.0,,1.0,,3.0,3.0,2.0,2.0,6.0,,1.0,,2.0,3.0,1.0,4.0,,,,1.0,,1.0,1.0,,2.0,,2.0,,2.0,1.0,,,,2.0,0.14285714285714285,0.5,,0.6666666666666666,,0.75,0.16666666666666666,,1.0,0.5,99.57446808510639,14.142857142857142,14.833333333333334,13.571428571428571,14.833333333333334,0.5,,0.16666666666666666,,1.0,0.5470916666666666,,0.14285714285714285,0.25,1.8333333333333333,23.766666666666666,-4.0,4.0,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,4.0,,,,,,,,0.3333333333333333,0.3333333333333333,,1.0,,1.0,,,,,,,,0.25,,,0.5159625,,0.5714285714285714,2.0,,,,,,1.0,,,,0.3333333333333333,,1.0,,,,,,2.0,,,1.0,,1.0,,,,,3.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,0.25,,,,,,,,0.5,,,,,,,,,,,,1611661323,2014,2014,False
