EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,PenaltyOffPossPct,PenaltyDefPoss,Arc3FGA,FG3A,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,Rebounds,BadPassTurnovers,Loose Ball Fouls Drawn,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,Steals,BadPassSteals,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,DefTwoPtRebounds,DefRebounds,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,FtPoints,PenaltyFtPoints,FTA,NonShootingFoulsDrawn,Fg2aBlocked,FTDefRebounds,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,SecondChanceOffPoss,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,LostBallSteals,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,DeadBallTurnovers,Offensive Fouls,BlockedLongMidRange,RecoveredBlocks,FG3APctBlocked,Arc3PctBlocked,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,SecondChancePoints,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceTsPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChancePointsPct,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,BadPassOutOfBoundsTurnovers,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,Corner3PctBlocked,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceTurnovers,SelfOReb,Blocked3s,BlockedArc3,SelfORebPct,Technical Free Throw Trips,Travels,team_id,year,season,team_vs
100949-201046-201058-201496-201911,1611661320,"Alana Beard, Lindsey Harding, Sandrine Gruda, Candace Parker, Kristi Toliver","Beard, Harding, Gruda, Parker, Toliver",100949-201046-201058-201496-201911,LAS,52.0,1,1.0,-2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,83.07692307692308,21.0,15.5,21.0,15.5,1.0,1.0,1.0,0.391,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
100949-201046-201058-201496-202650,1611661320,"Alana Beard, Lindsey Harding, Sandrine Gruda, Candace Parker, Jantel Lavender","Beard, Harding, Gruda, Parker, Lavender",100949-201046-201058-201496-202650,LAS,28.0,1,,,1.0,1.0,2.0,,,,,,,,,,,,,,,102.85714285714286,4.0,24.0,4.0,24.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
100949-201048-201058-201496-201911,1611661320,"Alana Beard, Armintie Herrington, Sandrine Gruda, Candace Parker, Kristi Toliver","Beard, Herrington, Gruda, Parker, Toliver",100949-201048-201058-201496-201911,LAS,52.0,1,1.0,-2.0,1.0,1.0,2.0,,,,,,2.0,,1.0,1.0,1.0,,,,,55.38461538461538,35.0,17.0,35.0,8.0,,,,0.483,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
100949-201048-201058-201911-202650,1611661320,"Alana Beard, Armintie Herrington, Sandrine Gruda, Kristi Toliver, Jantel Lavender","Beard, Herrington, Gruda, Toliver, Lavender",100949-201048-201058-201911-202650,LAS,90.0,1,2.0,4.0,4.0,3.0,7.0,,,3.0,3.0,6.0,2.0,4.0,,1.0,,6.0,1.0,1.0,1.0,112.0,13.75,11.666666666666666,13.75,11.666666666666666,,,,0.5049666666666667,3.8000000000000003,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,0.6666666666666666,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
100949-201048-201496-201911-203014,1611661320,"Alana Beard, Armintie Herrington, Candace Parker, Kristi Toliver, Nneka Ogwumike","Beard, Herrington, Parker, Toliver, Ogwumike",100949-201048-201496-201911-203014,LAS,35.0,1,1.0,2.0,1.0,1.0,2.0,,,1.0,1.0,2.0,,2.0,,1.0,,2.0,1.0,1.0,1.0,82.28571428571428,5.0,30.0,5.0,30.0,,,,0.668,2.6,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.668,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
100949-201048-201496-202650-203014,1611661320,"Alana Beard, Armintie Herrington, Candace Parker, Jantel Lavender, Nneka Ogwumike","Beard, Herrington, Parker, Lavender, Ogwumike",100949-201048-201496-202650-203014,LAS,2.0,1,,2.0,1.0,,1.0,,,,,2.0,,,,,1.0,2.0,,,1.0,720.0,2.0,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
100949-201058-201496-201499-201911,1611661320,"Alana Beard, Sandrine Gruda, Candace Parker, Candice Wiggins, Kristi Toliver","Beard, Gruda, Parker, Wiggins, Toliver",100949-201058-201496-201499-201911,LAS,66.0,1,1.0,-2.0,2.0,2.0,4.0,,1.0,,2.0,,2.0,,1.0,1.0,,,,,,87.27272727272727,17.0,16.0,17.0,16.0,0.5,,,0.45725,10.95,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
100949-201058-201496-201911-202650,1611661320,"Alana Beard, Sandrine Gruda, Candace Parker, Kristi Toliver, Jantel Lavender","Beard, Gruda, Parker, Toliver, Lavender",100949-201058-201496-201911-202650,LAS,560.0,1,9.0,-3.0,16.0,16.0,32.0,,1.0,3.0,9.0,14.0,17.0,4.0,1.0,2.0,5.0,14.0,0.3333333333333333,0.4,0.4375,82.28571428571428,18.8125,16.1875,18.5,14.9375,0.06666666666666667,,,0.4310733333333333,8.433333333333334,4.0,1.0,,1.0,,4.0,1.0,0.25,,5.0,6.0,5.0,,1.0,6.0,1.0,1.0,0.4,,0.1,,0.3333333333333333,0.4666666666666667,23.583333333333332,1.0,1.0,2.0,7.0,2.0,1.0,3.0,,8.0,1.0,,0.3333333333333333,0.3333333333333333,0.06666666666666667,1.0,1.0,0.4666666666666667,0.2857142857142857,0.4,,,,,1.0,5.0,3.0,5.0,5.0,,0.5,0.625,0.6,0.7142857142857143,0.5,,,0.4470166666666667,0.35714285714285715,2.0,2.0,2.0,,2.0,,0.2222222222222222,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.2857142857142857,0.16666666666666666,1.0,0.2,1.0,0.5,1.0,1.0,0.06666666666666667,0.4,0.4,1.0,1.0,0.6666666666666666,0.5,0.4,0.3882,0.0625,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
100949-201058-201496-201911-203014,1611661320,"Alana Beard, Sandrine Gruda, Candace Parker, Kristi Toliver, Nneka Ogwumike","Beard, Gruda, Parker, Toliver, Ogwumike",100949-201058-201496-201911-203014,LAS,442.0,2,7.0,5.0,15.0,17.0,32.0,3.0,4.0,6.0,9.0,23.0,18.0,6.0,2.0,4.0,3.0,23.0,0.6666666666666666,0.8076923076923077,0.8214285714285714,104.25339366515837,13.066666666666666,14.470588235294118,12.866666666666667,13.882352941176471,0.3076923076923077,0.75,0.75,0.4964458333333333,10.744444444444445,10.0,1.0,,2.0,2.0,10.0,0.5,0.6666666666666666,,2.0,4.0,1.0,,,6.0,1.0,,0.3076923076923077,,,,0.15384615384615385,0.5384615384615384,36.075,2.0,3.0,1.0,2.0,6.0,3.0,5.0,,12.0,2.0,1.0,0.5,0.5,0.23076923076923078,0.6666666666666666,1.0,0.15384615384615385,0.5,0.5,,,1.0,3.0,6.0,12.0,4.0,6.0,12.0,0.5,0.75,0.75,1.0,0.8,,0.125,,0.48828125,0.5217391304347826,2.0,,2.0,,1.0,2.0,0.1111111111111111,0.3333333333333333,1.0,,2.0,1.0,,,,3.0,,2.0,2.0,6.0,1.0,2.0,,1.0,,,1.0,,1.0,1.0,,1.0,0.6666666666666666,0.75,1.0,1.0,,,,,1.0,1.0,,0.5,0.15384615384615385,0.5,1.0,,,,,1.0,,0.07142857142857142,0.1,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
100949-201496-201499-201911-203014,1611661320,"Alana Beard, Candace Parker, Candice Wiggins, Kristi Toliver, Nneka Ogwumike","Beard, Parker, Wiggins, Toliver, Ogwumike",100949-201496-201499-201911-203014,LAS,206.0,2,3.0,-2.0,7.0,9.0,16.0,,3.0,1.0,4.0,8.0,10.0,2.0,1.0,3.0,3.0,7.0,0.25,0.4166666666666667,0.5,111.84466019417476,18.428571428571427,8.555555555555555,18.0,8.555555555555555,0.5,,,0.3269916666666667,15.5,1.0,,,,,,,0.14285714285714285,3.0,2.0,2.0,2.0,,1.0,5.0,,,0.3333333333333333,,0.25,,0.3333333333333333,0.3333333333333333,26.15,,,1.0,1.0,,,1.0,,3.0,,,,,,,,0.16666666666666666,1.0,1.0,,,,,,2.0,2.0,4.0,,,,1.0,1.0,0.75,1.0,,,,0.25,3.0,2.0,4.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,3.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,0.5,,0.5,,0.3333333333333333,0.5,,1.0,,,,,0.5,0.5,1.0,,,,0.5,,0.14285714285714285,0.2,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.125,,,,,,,,,,,,,,,,,,,,,1611661320,2014,2014,True
