EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyTurnovers,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsAssisted3s,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockingFoulsDrawn,RecoveredBlocks,3SecondViolations,Assisted3sPct,SecondChanceFg3Pct,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimFGM,Travels,SecondChanceTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,PenaltyAtRimAccuracy,LostBallTurnovers,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,SecondChanceCorner3FGA,PtsPutbacks,Corner3Assists,LostBallSteals,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,Technical Free Throw Trips,BlockedShortMidRange,Offensive Fouls,ShortMidRangePctBlocked,PenaltyCorner3FGM,Blocked3s,BlockedArc3,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Fg3aBlocked,BlockingFouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,BlockedLongMidRange,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,HeaveAttempts,DefensiveGoaltends,team_id,year,season,team_vs
100940-101039-200676-201869-202318,1611661317,"Diana Taurasi, Erin Phillips, Candice Dupree, Anete Jekabsone-Zogota, Ewelina Kobryn","Taurasi, Phillips, Dupree, Jekabsone-Zogota, Kobryn",100940-101039-200676-201869-202318,PHO,132.0,2,2.0,3.0,5.0,3.0,3.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,0.5,0.5,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.5,1.0,87.27272727272727,13.6,21.333333333333332,13.6,13.666666666666666,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5699,0.3333333333333333,0.3333333333333333,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
100940-200676-200691-201869-201886,1611661317,"Diana Taurasi, Candice Dupree, Mistie Bass, Anete Jekabsone-Zogota, DeWanna Bonner","Taurasi, Dupree, Bass, Jekabsone-Zogota, Bonner",100940-200676-200691-201869-201886,PHO,493.0,7,8.0,-7.0,16.0,18.0,3.0,34.0,,2.0,3.0,5.0,3.0,9.0,6.0,15.0,22.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,8.0,1.0,1.0,2.0,3.0,5.0,,4.0,6.0,3.0,11.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32142857142857145,0.4411764705882353,0.3333333333333333,1.0,0.5,1.0,,99.3103448275862,16.3125,12.88888888888889,14.375,10.777777777777779,0.14285714285714285,,,0.35714285714285715,0.6,0.6,0.3333333333333333,0.5,0.4395535714285714,0.17647058823529413,0.25,11.866666666666667,7.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,3.0,4.0,9.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,1.0,0.2,0.3333333333333333,0.2,0.5,0.25,0.3333333333333333,0.35714285714285715,0.5,0.5,0.35714285714285715,0.1111111111111111,0.5,1.0,0.25,0.16666666666666666,0.75,0.4,0.5,0.6666666666666666,1.0,0.5,0.1111111111111111,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.25,0.25,0.3333333333333333,0.14285714285714285,0.2857142857142857,0.5,0.25,0.443675,0.4151214285714286,0.26666666666666666,0.6,23.98,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
100940-200676-201886-203398-203839,1611661317,"Diana Taurasi, Candice Dupree, DeWanna Bonner, Brittney Griner, Tiffany Bias","Taurasi, Dupree, Bonner, Griner, Bias",100940-200676-201886-203398-203839,PHO,35.0,1,1.0,-2.0,2.0,2.0,,4.0,,,,,,,2.0,2.0,4.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,2.0,,,,,1.0,1.0,,,,,164.57142857142856,16.0,1.5,16.0,1.5,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
101039-200676-201062-201869-203398,1611661317,"Erin Phillips, Candice Dupree, Shay Murphy, Anete Jekabsone-Zogota, Brittney Griner","Phillips, Dupree, Murphy, Jekabsone-Zogota, Griner",101039-200676-201062-201869-203398,PHO,77.0,1,1.0,-6.0,2.0,3.0,,5.0,,,,,,1.0,,,6.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,93.5064935064935,24.0,9.666666666666666,24.0,9.666666666666666,,,,,,,,,0.3757,,,12.2,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.3757,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
101039-200691-201062-201869-203398,1611661317,"Erin Phillips, Mistie Bass, Shay Murphy, Anete Jekabsone-Zogota, Brittney Griner","Phillips, Bass, Murphy, Jekabsone-Zogota, Griner",101039-200691-201062-201869-203398,PHO,598.0,6,10.0,4.0,19.0,20.0,,39.0,2.0,5.0,1.0,3.0,4.0,10.0,9.0,20.0,16.0,8.0,,4.0,5.0,1.0,11.0,4.0,7.0,10.0,2.0,2.0,3.0,5.0,4.0,1.0,11.0,10.0,5.0,13.0,1.0,1.0,0.4,0.4583333333333333,0.5882352941176471,0.4,0.8,0.7,0.5,1.0,93.91304347826087,14.368421052631579,16.25,13.368421052631579,14.85,0.4166666666666667,0.4,0.4,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5833333333333334,0.4401625,0.29411764705882354,0.3333333333333333,8.66,5.0,3.0,2.0,,,1.0,2.0,1.0,,,1.0,2.0,,,1.0,4.0,7.0,1.0,2.0,,,4.0,6.0,,2.0,1.0,,,2.0,3.0,,3.0,,2.0,2.0,,2.0,,,1.0,1.0,1.0,6.0,5.0,,0.5,,0.5,,0.5,1.5,0.5,1.1666666666666667,0.75,0.16666666666666666,,,,0.6,0.3333333333333333,,0.2857142857142857,,,,1.0,,0.16666666666666666,,0.16666666666666666,0.5,0.5,1.0,,,,0.5,0.16425,0.4611,0.35,0.3,25.0,0.2631578947368421,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
101039-200676-201062-201886-203398,1611661317,"Erin Phillips, Candice Dupree, Shay Murphy, DeWanna Bonner, Brittney Griner","Phillips, Dupree, Murphy, Bonner, Griner",101039-200676-201062-201886-203398,PHO,889.0,5,15.0,-8.0,27.0,28.0,4.0,55.0,5.0,8.0,1.0,2.0,8.0,15.0,5.0,30.0,38.0,6.0,10.0,3.0,4.0,1.0,9.0,2.0,8.0,10.0,1.0,1.0,3.0,4.0,6.0,,5.0,5.0,3.0,30.0,0.375,0.375,0.5333333333333333,0.5434782608695652,0.6,0.25,1.0,0.6666666666666666,1.0,1.0,89.0888638920135,17.59259259259259,14.785714285714286,17.14814814814815,14.178571428571429,0.34782608695652173,0.625,0.7142857142857143,0.08695652173913043,0.5,0.5,1.0,0.6956521739130435,0.5084478260869565,0.12,0.17647058823529413,6.36,5.0,1.0,5.0,1.0,,3.0,7.0,,,1.0,3.0,8.0,,,,,,2.0,4.0,,1.0,,4.0,6.0,7.0,3.0,1.0,2.0,,6.0,,2.0,,2.0,2.0,1.0,5.0,,,1.0,1.0,1.0,4.0,5.0,,0.375,,0.375,,0.5,,0.4,,0.4,0.34782608695652173,0.06666666666666667,0.125,,0.6,,0.4,0.16666666666666666,,0.5,,0.5,,0.21739130434782608,0.043478260869565216,0.30434782608695654,0.42857142857142855,0.42857142857142855,,,0.2,,0.42857142857142855,,0.52668,,0.13333333333333333,24.1375,0.18518518518518517,,3.0,2.0,,,3.0,1.0,1.0,2.0,,,,,,1.0,,0.3333333333333333,,,,,1.0,0.4,0.4,0.4,,0.3333333333333333,,,0.6,2.0,1.0,1.0,1.0,1.0,0.8,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
101039-201869-201886-202318-203398,1611661317,"Erin Phillips, Anete Jekabsone-Zogota, DeWanna Bonner, Ewelina Kobryn, Brittney Griner","Phillips, Jekabsone-Zogota, Bonner, Kobryn, Griner",101039-201869-201886-202318-203398,PHO,169.0,1,3.0,-8.0,4.0,5.0,,9.0,,,,,1.0,1.0,,2.0,10.0,2.0,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,2.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,,76.68639053254438,23.0,15.4,21.25,14.0,,,,,,,,0.6666666666666666,0.4982333333333333,,,7.0,,1.0,1.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,0.5,0.5,,,0.5,,,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,23.35,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
101039-200691-201062-202318-203839,1611661317,"Erin Phillips, Mistie Bass, Shay Murphy, Ewelina Kobryn, Tiffany Bias","Phillips, Bass, Murphy, Kobryn, Bias",101039-200691-201062-202318-203839,PHO,690.0,4,12.0,15.0,25.0,26.0,3.0,51.0,6.0,8.0,1.0,5.0,8.0,15.0,9.0,34.0,19.0,8.0,8.0,4.0,6.0,1.0,14.0,3.0,7.0,13.0,2.0,1.0,1.0,3.0,2.0,,6.0,9.0,3.0,28.0,0.5,0.6666666666666666,0.5333333333333333,0.5434782608695652,0.6296296296296297,0.6666666666666666,1.0,0.7777777777777778,1.0,1.0,106.43478260869566,13.88,13.192307692307692,11.84,12.538461538461538,0.34782608695652173,0.75,0.75,0.21739130434782608,0.2,0.2,1.0,0.6956521739130435,0.4967108695652174,0.12,0.17647058823529413,8.306666666666667,17.0,4.0,2.0,2.0,,2.0,6.0,1.0,2.0,5.0,3.0,8.0,3.0,4.0,2.0,,6.0,6.0,10.0,2.0,5.0,6.0,24.0,3.0,6.0,2.0,,2.0,4.0,4.0,,6.0,,6.0,5.0,,1.0,,1.0,,,,22.0,16.0,1.0,0.375,0.4,0.375,0.75,0.6,0.5,0.6,0.5,0.6666666666666666,0.34782608695652173,,,,0.6666666666666666,0.5714285714285714,0.4,0.5,0.5,0.25,1.0,1.0,,0.08695652173913043,0.08695652173913043,0.2608695652173913,0.3333333333333333,0.3333333333333333,0.16666666666666666,,0.3333333333333333,0.4,0.3333333333333333,0.42675,0.48978333333333335,0.17647058823529413,0.7058823529411765,24.0375,0.68,1.0,5.0,1.0,,,6.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,0.6666666666666666,,,,0.75,,0.3333333333333333,0.5,0.5,1.0,0.5,,,0.3333333333333333,4.0,,,,1.0,1.0,0.3333333333333333,0.8,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
200691-201062-201869-203398-203839,1611661317,"Mistie Bass, Shay Murphy, Anete Jekabsone-Zogota, Brittney Griner, Tiffany Bias","Bass, Murphy, Jekabsone-Zogota, Griner, Bias",200691-201062-201869-203398-203839,PHO,248.0,2,4.0,4.0,6.0,7.0,,13.0,3.0,3.0,,1.0,3.0,4.0,2.0,8.0,4.0,,6.0,,,,,1.0,4.0,5.0,,,,,2.0,,2.0,2.0,1.0,6.0,,,0.75,0.5,0.5714285714285714,,1.0,0.8,1.0,,75.48387096774192,14.833333333333334,22.714285714285715,14.666666666666666,20.142857142857142,0.5,1.0,1.0,0.16666666666666666,,,,0.8333333333333334,0.5068666666666667,0.14285714285714285,0.2,5.975,1.0,1.0,,,,,2.0,,,1.0,,2.0,1.0,1.0,,,2.0,,,,1.0,,,,2.0,,,,1.0,3.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,0.3333333333333333,,,,0.75,1.0,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,1.0,,,0.5212,0.33315,0.25,,22.9,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.6666666666666666,,,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
200691-201062-201869-201886-203398,1611661317,"Mistie Bass, Shay Murphy, Anete Jekabsone-Zogota, DeWanna Bonner, Brittney Griner","Bass, Murphy, Jekabsone-Zogota, Bonner, Griner",200691-201062-201869-201886-203398,PHO,78.0,1,1.0,-5.0,4.0,4.0,,8.0,,,,1.0,,2.0,,,5.0,,,,,,,,,,1.0,1.0,,1.0,,,2.0,2.0,1.0,,,,,,,1.0,,,,,147.69230769230768,11.5,8.0,11.5,6.25,,,,0.5,,,,,0.3402,0.3333333333333333,0.3333333333333333,15.95,4.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.3402,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,False
