EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsUnassisted2s,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyDefPoss,Corner3FGA,FtPoints,DefTwoPtRebounds,Steals,LostBallSteals,FTA,TwoPtShootingFoulsDrawn,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyCorner3FGA,PenaltyFG3A,OffCorner3ReboundPct,PenaltyCorner3Frequency,Charge Fouls Drawn,PenaltyTurnovers,Loose Ball Fouls,BlockedLongMidRange,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3FGA,Fg3aBlocked,Blocked3s,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,PenaltyArc3Frequency,3SecondViolations,LongMidRangePctBlocked,BlockedArc3,PtsUnassisted3s,team_id,year,season,team_vs
100915-100944-101019-101020-200671,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Tan White, Seimone Augustus","Whalen, Brunson, McCarville, White, Augustus",100915-100944-101019-101020-200671,MIN,62.0,1,1.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,92.9032258064516,13.5,17.5,13.5,17.5,1.0,1.0,1.0,0.3612,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,False
100915-100944-101019-101020-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Tan White, Maya Moore","Whalen, Brunson, McCarville, White, Moore",100915-100944-101019-101020-202632,MIN,159.0,1,3.0,-2.0,5.0,6.0,11.0,,1.0,1.0,5.0,5.0,2.0,,,2.0,0.2,0.4166666666666667,0.4166666666666667,99.62264150943396,15.2,13.833333333333334,14.2,13.666666666666666,0.16666666666666666,,,0.6039666666666667,5.46,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.16666666666666666,0.2,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,0.7174,0.6,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,False
100915-100944-101019-200671-202257,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Seimone Augustus, Monica Wright","Whalen, Brunson, McCarville, Augustus, Wright",100915-100944-101019-200671-202257,MIN,153.0,2,3.0,,5.0,6.0,11.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,,4.0,0.3333333333333333,0.25,0.4,103.52941176470588,10.4,16.833333333333332,10.4,15.666666666666666,0.5,0.5,0.5,0.4427125,11.633333333333333,,,,,1.0,,,,,,1.0,4.0,,,,,,,,1.0,,,,,,1.0,3.0,,3.0,,,,1.0,2.0,,,,,,,0.25,0.3333333333333333,,,0.5,0.75,,,,0.5,,,,0.25,,,,,,,,,0.25,,,,23.1,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,False
100915-100944-101019-200671-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Seimone Augustus, Maya Moore","Whalen, Brunson, McCarville, Augustus, Moore",100915-100944-101019-200671-202632,MIN,4840.0,5,81.0,8.0,149.0,150.0,299.0,24.0,58.0,62.0,122.0,188.0,52.0,39.0,5.0,144.0,0.5081967213114754,0.5392857142857143,0.5854430379746836,88.9586776859504,16.335570469798657,16.04,14.93288590604027,15.246666666666666,0.4142857142857143,0.41379310344827586,0.41379310344827586,0.4550139285714285,10.644262295081967,29.0,29.0,35.0,7.0,29.0,8.0,16.0,2.0,4.0,9.0,18.0,180.0,18.0,3.0,5.0,44.0,27.0,16.0,8.0,7.0,9.0,45.0,8.0,99.0,26.0,11.0,42.0,30.0,72.0,10.0,,20.0,17.0,36.0,1.0,0.5,0.6,0.5,0.7608695652173914,0.7962962962962963,0.12857142857142856,0.05737704918032787,0.08571428571428572,0.43333333333333335,0.7333333333333333,0.6896551724137931,0.4057971014492754,0.55,0.3235294117647059,0.6666666666666666,0.25,0.8285714285714286,0.90625,0.20714285714285716,0.11428571428571428,0.5,0.5,1.0,0.30434782608695654,0.17391304347826086,0.5,1.0,0.37857142857142856,0.5,0.4943714285714286,0.23404255319148937,23.422222222222224,22.0,2.0,37.0,29.0,15.0,4.0,43.0,16.0,0.13793103448275862,0.6744186046511628,0.6923076923076923,0.6428571428571429,0.014285714285714285,0.10526315789473684,0.11940298507462686,12.0,6.0,1.0,1.0,9.0,1.0,1.0,1.0,13.0,9.0,5.0,9.0,11.0,21.0,72.0,8.0,36.0,1.0,15.0,4.0,17.0,2.0,2.0,2.0,6.0,11.0,10.0,4.0,7.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,5.0,4.0,3.0,6.0,5.0,3.0,2.0,5.0,3.0,13.0,8.0,1.0,2.0,0.5806451612903226,0.6206896551724138,0.7222222222222222,0.5555555555555556,0.5555555555555556,0.75,0.5,0.6666666666666666,0.4,0.2222222222222222,0.6666666666666666,0.25,0.6875,1.0,0.0967741935483871,0.6,0.5172413793103449,0.3103448275862069,0.36,0.4444444444444444,0.7083333333333334,0.5,0.5,1.0,0.8571428571428571,0.16666666666666666,0.043478260869565216,1.0,1.0,0.1111111111111111,1.0,0.38583333333333336,0.11170212765957446,0.08053691275167785,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,False
100915-100944-101019-202257-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Monica Wright, Maya Moore","Whalen, Brunson, McCarville, Wright, Moore",100915-100944-101019-202257-202632,MIN,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,False
100915-100944-101020-200671-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Tan White, Seimone Augustus, Maya Moore","Whalen, Brunson, White, Augustus, Moore",100915-100944-101020-200671-202632,MIN,112.0,1,2.0,-6.0,3.0,4.0,7.0,,1.0,1.0,3.0,2.0,,,,,0.3333333333333333,0.2,0.2,90.0,20.333333333333332,12.75,18.666666666666668,12.75,0.2,,,0.50777,6.8,2.0,1.0,2.0,2.0,,,,,,,2.0,8.0,2.0,,,2.0,,,,,,1.0,,2.0,1.0,,,2.0,2.0,,,,1.0,2.0,,,,,0.5,0.5,0.4,,,0.5,,,0.5,,1.0,,0.4,0.5,0.5,,,,,,1.0,,,,0.8,,0.638,1.0,23.15,4.0,2.0,,,,,,,,,,,0.4,,,3.0,1.0,1.0,2.0,,,,,1.0,,1.0,3.0,,2.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,,1.0,1.0,0.5,0.3333333333333333,0.2,0.2,,,,0.5,,,,,,,1.0,,,,,,,,0.5,1.0,,,,0.4,0.5,0.50777,1.0,1.0,2.0,2.0,0.5,0.4,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,False
100915-100944-101020-202257-203016,1611661324,"Lindsay Whalen, Rebekkah Brunson, Tan White, Monica Wright, Devereaux Peters","Whalen, Brunson, White, Wright, Peters",100915-100944-101020-202257-203016,MIN,79.0,1,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,0.5,0.5,0.5,72.9113924050633,17.5,22.0,17.5,22.0,1.0,0.5,0.5,0.37375,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,2.0,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.37375,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,False
100915-100944-101020-202257-203024,1611661324,"Lindsay Whalen, Rebekkah Brunson, Tan White, Monica Wright, Damiris Dantas","Whalen, Brunson, White, Wright, Dantas",100915-100944-101020-202257-203024,MIN,186.0,1,3.0,4.0,9.0,9.0,18.0,,2.0,4.0,8.0,8.0,4.0,2.0,,8.0,0.5,0.5,0.5,139.3548387096774,10.11111111111111,10.555555555555555,9.222222222222221,10.555555555555555,0.25,,,0.5333875,6.05,1.0,4.0,4.0,,2.0,,,,,,,4.0,,,,,,,,2.0,,2.0,,4.0,1.0,1.0,3.0,1.0,4.0,,,2.0,,3.0,,,,,,,,0.25,,0.25,0.5,0.75,0.25,0.5,,1.0,0.5,1.0,1.0,0.25,,,,,,,,,0.5,,,,,9.0,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,0.125,0.125,5.0,,3.0,3.0,,,,,,,3.0,4.0,,6.0,4.0,,2.0,,2.0,,,,,,,1.0,2.0,,2.0,,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,6.0,5.0,3.0,,0.5,0.5,,0.75,0.75,0.75,1.0,,,,,,1.0,,,1.0,0.5,,,,,,,,,,,,,0.75,1.0,0.646975,0.75,0.5555555555555556,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1611661324,2014,2014,False
100915-100944-101020-202632-203016,1611661324,"Lindsay Whalen, Rebekkah Brunson, Tan White, Maya Moore, Devereaux Peters","Whalen, Brunson, White, Moore, Peters",100915-100944-101020-202632-203016,MIN,18.0,1,,3.0,1.0,1.0,2.0,,,,,3.0,,,,3.0,,1.5,1.5,160.0,15.0,3.0,15.0,3.0,,,,0.53775,,,,,,,,,,,1.0,1.0,,,,,,3.0,,,,1.0,1.0,,3.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,23.3,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,1.5,1.5,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,0.53775,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1611661324,2014,2014,False
100915-100944-200671-202257-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Monica Wright, Maya Moore","Whalen, Brunson, Augustus, Wright, Moore",100915-100944-200671-202257-202632,MIN,539.0,3,9.0,,19.0,17.0,36.0,4.0,7.0,8.0,14.0,22.0,10.0,3.0,,20.0,0.5714285714285714,0.475,0.5,96.17810760667905,13.210526315789474,16.941176470588236,12.68421052631579,16.58823529411765,0.35,0.5714285714285714,0.5714285714285714,0.4619375,11.12857142857143,3.0,1.0,3.0,,4.0,1.0,6.0,,1.0,1.0,6.0,22.0,2.0,,1.0,2.0,3.0,6.0,1.0,,1.0,4.0,1.0,9.0,3.0,1.0,3.0,3.0,6.0,,,,4.0,8.0,1.0,0.16666666666666666,,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3,,,0.6,0.3333333333333333,0.375,0.3,,0.6666666666666666,0.5,0.15,0.3333333333333333,0.3333333333333333,0.2,0.3,0.16666666666666666,0.2,1.0,,0.3333333333333333,,,0.45,0.16666666666666666,0.4129833333333333,0.09090909090909091,23.133333333333336,6.0,,3.0,2.0,2.0,1.0,4.0,2.0,,0.4,,1.0,,0.09090909090909091,0.125,11.0,,,2.0,3.0,,,,1.0,,5.0,10.0,,10.0,6.0,2.0,3.0,,,1.0,2.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,,10.0,11.0,2.0,,0.375,0.42857142857142855,0.5,0.5,0.35714285714285715,0.35714285714285715,,,,,0.5,,0.5,,,,,0.75,0.75,0.3333333333333333,0.5,,,,,,,,,0.14285714285714285,,0.44960000000000006,0.45454545454545453,0.5789473684210527,,4.0,,,,,,,,,,,4.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,,,,,1611661324,2014,2014,False
