EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,FTDefRebounds,DefRebounds,Rebounds,Fouls,Loose Ball Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,ShortMidRangeFGM,Corner3FGM,Corner3FGA,FG2M,FG3M,FG3A,Points,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,AtRimFG3AFrequency,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,PenaltyCorner3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,FTOffRebounds,OffRebounds,Steals,LostBallSteals,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Arc3FGA,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,FG2APctBlocked,LongMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,Arc3Frequency,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,DefThreePtRebounds,Loose Ball Fouls Drawn,Assisted3sPct,PenaltyFg3Pct,DefThreePtReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeFGM,SecondChanceCorner3FGA,SecondChanceFG3A,PtsPutbacks,Corner3Assists,LongMidRangeAssists,SelfOReb,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3PctAssisted,SecondChanceCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,BlockingFouls,Offensive Fouls,BlockingFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Blocked3s,BlockedArc3,HeaveAttempts,Clear Path Fouls,Arc3PctBlocked,team_id,year,season,team_vs
100384-100729-200673-201518-203021,1611661322,"Dominique Canty, Michelle Snow, Monique Currie, Crystal Langhorne, Natalie Novosel","Canty, Snow, Currie, Langhorne, Novosel",100384-100729-200673-201518-203021,WAS,17.0,1,-2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,254.11764705882354,17.0,17.0,1.0,0.3852,0.3852,9.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2012,2012,True
100729-100796-201049-201918-202662,1611661322,"Michelle Snow, Iziane Castro Marques, Noelle Quinn, Lindsay Wisdom-Hylton, Jasmine Thomas","Snow, Castro Marques, Quinn, Wisdom-Hylton, Thomas",100729-100796-201049-201918-202662,WAS,130.0,1,3.0,3.0,4.0,,,7.0,1.0,1.0,2.0,,,2.0,2.0,,,,,,77.53846153846155,20.666666666666668,20.666666666666668,0.5,0.425775,,4.2,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,1.0,1.0,1.0,1.0,1.0,17.0,17.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2012,2012,True
100796-100942-200673-201049-201497,1611661322,"Iziane Castro Marques, Ashley Robinson, Monique Currie, Noelle Quinn, Shannon Bobbitt","Castro Marques, Robinson, Currie, Quinn, Bobbitt",100796-100942-200673-201049-201497,WAS,119.0,1,2.0,5.0,4.0,5.0,3.0,9.0,1.0,3.0,2.0,3.0,,1.0,2.0,1.0,,5.0,,,108.90756302521008,13.2,12.0,0.25,0.3831875,0.3831875,7.566666666666666,1.0,2.0,,,1.0,1.0,,1.0,4.0,,,,,,,1.0,,,,1.0,2.0,,,,,0.3333333333333333,0.25,0.4,0.25,,1.0,1.0,1.0,,13.25,13.25,,,,0.25,,,0.5,23.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0.3333333333333333,1.0,0.25,1.0,0.4,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.25,1.0,0.25,0.4587,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2012,2012,True
100942-200673-201490-201497-201518,1611661322,"Ashley Robinson, Monique Currie, Natasha Lacy, Shannon Bobbitt, Crystal Langhorne","Robinson, Currie, Lacy, Bobbitt, Langhorne",100942-200673-201490-201497-201518,WAS,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2012,2012,True
100942-200673-201490-201497-201918,1611661322,"Ashley Robinson, Monique Currie, Natasha Lacy, Shannon Bobbitt, Lindsay Wisdom-Hylton","Robinson, Currie, Lacy, Bobbitt, Wisdom-Hylton",100942-200673-201490-201497-201918,WAS,161.0,1,-2.0,6.0,4.0,,1.0,10.0,1.0,3.0,4.0,,,2.0,4.0,1.0,,,,,89.44099378881988,12.5,11.333333333333334,0.2,0.3942,,12.299999999999999,,3.0,1.0,,1.0,1.0,,2.0,2.0,,,,,,,2.0,,,3.0,,2.0,,,,,0.3333333333333333,0.2,0.2,0.4,,1.0,1.0,1.0,1.0,21.5,21.5,1.0,1.0,,0.2,,,0.4,35.5,2.0,,,,,,,2.0,,,,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,0.4,,,,,,0.3242,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.5,0.6666666666666666,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2012,2012,True
201049-201490-201497-201518-201918,1611661322,"Noelle Quinn, Natasha Lacy, Shannon Bobbitt, Crystal Langhorne, Lindsay Wisdom-Hylton","Quinn, Lacy, Bobbitt, Langhorne, Wisdom-Hylton",201049-201490-201497-201518-201918,WAS,297.0,4,-1.0,8.0,10.0,7.0,4.0,18.0,1.0,4.0,9.0,3.0,,3.0,4.0,1.0,,7.0,,,87.27272727272727,17.875,16.625,0.125,0.41008125,0.4202785714285714,7.5,0.875,5.0,,,,2.0,1.0,4.0,8.0,2.0,,1.0,2.0,,5.0,2.0,,,,1.0,5.0,0.5,0.5,0.25,0.25,0.5,0.4375,0.4444444444444444,0.5,,0.6666666666666666,0.75,,0.5,15.4,14.3,,,,,,,0.75,23.8,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,1.0,6.0,2.0,,1.0,,,2.0,1.0,6.0,1.0,1.0,0.3333333333333333,1.0,0.35714285714285715,0.75,0.375,,0.25,1.0,1.0,0.125,1.0,1.0,0.14285714285714285,1.0,,0.4741,0.375,0.75,4.0,4.0,,1.0,,,,,,1.0,,,,0.5,0.25,,0.5,0.5,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,0.25,0.25,1.0,0.5714285714285714,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2012,2012,True
100729-200673-201492-201497-201518,1611661322,"Michelle Snow, Monique Currie, Matee Ajavon, Shannon Bobbitt, Crystal Langhorne","Snow, Currie, Ajavon, Bobbitt, Langhorne",100729-200673-201492-201497-201518,WAS,3309.0,12,13.0,97.0,100.0,10.0,10.0,197.0,20.0,65.0,98.0,8.0,1.0,30.0,41.0,24.0,1.0,10.0,1.0,1.0,85.7298277425204,14.907216494845361,14.11340206185567,0.23809523809523808,0.5118589285714286,0.5427125,6.889230769230769,0.10309278350515463,55.0,8.0,4.0,12.0,37.0,7.0,19.0,111.0,40.0,3.0,20.0,26.0,6.0,58.0,17.0,11.0,4.0,17.0,21.0,103.0,0.5405405405405406,0.5714285714285714,0.3684210526315789,0.3684210526315789,0.5692307692307692,0.5654761904761905,0.5967741935483871,0.2261904761904762,0.6470588235294118,0.6071428571428571,0.6904761904761905,0.7,0.5833333333333334,18.63,17.6,0.4,0.47058823529411764,0.75,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.6071428571428571,21.978947368421053,9.0,24.0,32.0,3.0,6.0,3.0,6.0,13.0,,16.0,4.0,10.0,8.0,5.0,,1.0,11.0,34.0,,11.0,14.0,7.0,19.0,1.0,11.0,1.0,0.4,0.625,0.36363636363636365,0.625,0.36363636363636365,0.6111111111111112,,0.38095238095238093,0.75,0.7741935483870968,0.15476190476190477,0.5454545454545454,0.5,0.75,0.5,,0.5047999999999999,0.07207207207207207,0.0990990990990991,7.0,7.0,4.0,3.0,8.0,3.0,6.0,1.0,2.0,13.0,0.06153846153846154,,0.2962962962962963,0.25,0.28205128205128205,0.125,0.25,0.08333333333333333,3.0,,,,,18.0,3.0,6.0,3.0,12.0,12.0,,0.8571428571428571,,0.8571428571428571,0.5,0.75,0.5,0.42857142857142855,0.42857142857142855,1.0,,,0.42857142857142855,5.0,1.0,1.0,4.0,3.0,2.0,1.0,7.0,1.0,7.0,3.0,3.0,1.0,9.0,3.0,1.0,1.0,1.0,3.0,1.0,0.03125,0.15,0.375,0.36363636363636365,0.25,0.9,0.027777777777777776,0.3333333333333333,0.38461538461538464,0.38461538461538464,0.4,0.75,0.09090909090909091,0.09782608695652174,0.1232876712328767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2012,2012,True
100729-201049-201497-201918-203021,1611661322,"Michelle Snow, Noelle Quinn, Shannon Bobbitt, Lindsay Wisdom-Hylton, Natalie Novosel","Snow, Quinn, Bobbitt, Wisdom-Hylton, Novosel",100729-201049-201497-201918-203021,WAS,410.0,3,5.0,13.0,12.0,7.0,6.0,25.0,2.0,11.0,6.0,7.0,2.0,8.0,11.0,3.0,,7.0,,1.0,87.8048780487805,14.692307692307692,12.615384615384615,0.16666666666666666,0.4819291666666667,0.49243125,3.9181818181818184,0.5384615384615384,7.0,,,,3.0,1.0,1.0,11.0,4.0,3.0,2.0,2.0,,4.0,6.0,1.0,1.0,3.0,2.0,11.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.2727272727272727,0.375,0.4230769230769231,0.08333333333333333,0.3333333333333333,0.75,0.75,0.75,1.0,18.25,16.416666666666668,,,,,,,0.8333333333333334,21.8,3.0,3.0,9.0,,3.0,2.0,6.0,,,2.0,,4.0,,2.0,1.0,,7.0,2.0,,3.0,1.0,,2.0,,7.0,,,0.2857142857142857,,0.4375,,0.4375,,0.75,0.3333333333333333,0.3333333333333333,,0.75,,0.75,0.3333333333333333,,0.39945,,0.6363636363636364,1.0,1.0,,,3.0,,2.0,,1.0,2.0,,,0.375,,0.375,,,0.08333333333333333,1.0,1.0,1.0,,1.0,,1.0,,,2.0,,,,1.0,,0.5,,0.6666666666666666,1.0,1.0,,0.125,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,,1.0,1.0,,,1.0,1.0,1.0,,,0.3333333333333333,0.5,,,0.125,1.0,,,,,,0.07692307692307693,0.08333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2012,2012,True
100796-200673-201497-201918-202662,1611661322,"Iziane Castro Marques, Monique Currie, Shannon Bobbitt, Lindsay Wisdom-Hylton, Jasmine Thomas","Castro Marques, Currie, Bobbitt, Wisdom-Hylton, Thomas",100796-200673-201497-201918-202662,WAS,203.0,1,-3.0,5.0,7.0,2.0,2.0,12.0,1.0,3.0,12.0,,,1.0,1.0,2.0,,2.0,,,85.1231527093596,20.2,20.2,0.25,0.450825,0.5175,10.666666666666666,0.4,3.0,,1.0,1.0,2.0,1.0,1.0,9.0,2.0,,1.0,2.0,,5.0,1.0,,,1.0,1.0,9.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.875,0.9,0.25,,1.0,0.5,1.0,,14.571428571428571,14.0,,,,0.25,1.0,1.0,0.5,23.0,,1.0,1.0,,,,,1.0,1.0,2.0,,,,,1.0,2.0,5.0,2.0,,,,,2.0,1.0,5.0,1.0,,,,1.5,,1.25,,0.25,1.0,1.0,0.25,,,,,1.0,,,0.5555555555555556,,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,3.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2012,2012,True
100942-200673-201049-201518-202662,1611661322,"Ashley Robinson, Monique Currie, Noelle Quinn, Crystal Langhorne, Jasmine Thomas","Robinson, Currie, Quinn, Langhorne, Thomas",100942-200673-201049-201518-202662,WAS,4336.0,11,16.0,134.0,133.0,6.0,13.0,267.0,16.0,91.0,140.0,3.0,3.0,38.0,53.0,29.0,3.0,6.0,3.0,1.0,88.67158671586716,15.350746268656716,14.529850746268657,0.14035087719298245,0.5250807017543859,0.5923125,6.530769230769231,0.04477611940298507,72.0,6.0,4.0,8.0,53.0,9.0,23.0,156.0,62.0,,31.0,40.0,2.0,89.0,28.0,16.0,10.0,21.0,25.0,139.0,0.5849056603773585,0.62,0.391304347826087,0.391304347826087,0.5824175824175825,0.5833333333333334,0.6141732283464567,0.20175438596491227,0.7619047619047619,0.6829268292682927,0.6730769230769231,0.8333333333333334,0.5294117647058824,17.13533834586466,16.44360902255639,0.375,0.375,0.3333333333333333,0.07017543859649122,0.5,0.5,0.6666666666666666,22.48695652173913,14.0,36.0,53.0,4.0,4.0,2.0,2.0,22.0,,23.0,4.0,5.0,17.0,2.0,1.0,1.0,5.0,44.0,2.0,15.0,14.0,7.0,29.0,,5.0,,0.8,0.6666666666666666,0.875,0.5,0.85,0.5,0.5,0.4649122807017544,0.6792452830188679,0.7058823529411765,0.19298245614035087,0.5,1.0,0.5,1.0,,0.5649857142857143,0.10897435897435898,0.03205128205128205,15.0,15.0,2.0,4.0,9.0,1.0,5.0,,4.0,17.0,0.02197802197802198,,0.23684210526315788,0.2857142857142857,0.25,0.09090909090909091,0.3,0.13157894736842105,5.0,,1.0,3.0,,27.0,5.0,9.0,5.0,21.0,7.0,1.0,1.0,,0.6363636363636364,0.75,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.3333333333333333,1.0,0.25,,0.3333333333333333,11.0,1.0,3.0,6.0,4.0,8.0,6.0,7.0,2.0,6.0,1.0,2.0,3.0,16.0,8.0,4.0,1.0,3.0,8.0,5.0,0.03773584905660377,,0.47058823529411764,,0.25,0.4,0.12,0.625,0.5,0.5,0.7272727272727273,1.0,0.125,0.12598425196850394,0.15384615384615385,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.6666666666666666,1.0,1.0,0.25,0.5,1.0,,,,,,,,,,,,,,,,1611661322,2012,2012,True
