EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,Fouls,Offensive Fouls,Charge Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,SelfOReb,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,Corner3FGA,SecondChanceCorner3FGA,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceCorner3Frequency,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,FTDefRebounds,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,DefFTReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Fg3aBlocked,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,Travels,PenaltyCorner3Accuracy,BlockingFouls,Blocked3s,BlockedCorner3,DefCorner3ReboundPct,HeaveAttempts,3SecondViolations,ShortMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,Charge Fouls,Loose Ball Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedArc3,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
100556-201487-201501-202663-203019,1611661317,"Nakia Sanford, Alexis Hornbuckle, Charde Houston, Krystal Thomas, Samantha Prahalis","Sanford, Hornbuckle, Houston, Thomas, Prahalis",100556-201487-201501-202663-203019,PHO,248.0,2,4.0,3.0,7.0,7.0,3.0,14.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,10.0,7.0,1.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,10.0,4.0,3.0,0.5,0.5,0.5,1.0,0.875,0.75,0.8333333333333334,0.6666666666666666,0.5,0.4,1.0,0.5,0.6666666666666666,1.0,81.29032258064515,15.571428571428571,19.857142857142858,15.571428571428571,17.428571428571427,0.25,1.0,1.0,0.25,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.75,0.5,0.4396,0.48555,0.3333333333333333,0.5,0.4,4.35,23.8,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
100556-201487-201886-202280-203041,1611661317,"Nakia Sanford, Alexis Hornbuckle, DeWanna Bonner, Alexis Gray-Lawson, Lynetta Kizer","Sanford, Hornbuckle, Bonner, Gray-Lawson, Kizer",100556-201487-201886-202280-203041,PHO,267.0,1,4.0,-8.0,8.0,8.0,2.0,16.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,3.0,,2.0,,2.0,10.0,,1.0,,2.0,,,2.0,,,1.0,1.0,3.0,,,4.0,5.0,3.0,,,,,,2.0,2.0,2.0,,,,0.3333333333333333,0.2,0.3333333333333333,0.2,0.3333333333333333,0.4,1.0,,1.0,1.0,,86.29213483146067,20.5,12.875,18.125,12.875,0.2,1.0,1.0,0.2,,,0.4,,,0.3333333333333333,,0.6,,0.50038,0.5163,,,1.0,7.666666666666667,21.85,0.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.2,0.5,0.5,0.5,1.0,0.5,1.0,0.2,1.0,0.3333333333333333,1.0,0.6291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
100556-201886-202280-203019-203041,1611661317,"Nakia Sanford, DeWanna Bonner, Alexis Gray-Lawson, Samantha Prahalis, Lynetta Kizer","Sanford, Bonner, Gray-Lawson, Prahalis, Kizer",100556-201886-202280-203019-203041,PHO,72.0,1,1.0,3.0,2.0,2.0,,4.0,2.0,6.0,,,,,,,2.0,7.0,,,,4.0,1.0,,,,,4.0,,,,,1.0,1.0,6.0,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,,,,,,0.2857142857142857,0.2857142857142857,,0.2857142857142857,,,1.0,,1.0,,,80.0,20.5,15.5,20.0,15.5,0.8571428571428571,0.3333333333333333,0.5,,,,,,,,,0.8571428571428571,,0.6553714285714286,,,,,3.2857142857142856,,,1.0,,,1.0,,,,,,,,,,,5.0,5.0,,,,,,,,,,,1.0,,1.0,,,,0.14285714285714285,,,,0.676275,2.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,0.25,0.25,0.25,0.2857142857142857,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
100940-201487-202663-203046-203069,1611661317,"Diana Taurasi, Alexis Hornbuckle, Krystal Thomas, Briana Butler, Avery Warley-Talbert","Taurasi, Hornbuckle, Thomas, Butler, Warley-Talbert",100940-201487-202663-203046-203069,PHO,200.0,2,3.0,-1.0,7.0,7.0,,14.0,,2.0,1.0,2.0,,2.0,,,1.0,4.0,,3.0,2.0,4.0,5.0,,,,,,,2.0,,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,4.0,,,,,,0.25,0.14285714285714285,,0.25,,0.42857142857142855,1.0,1.0,1.0,,1.0,100.8,15.142857142857142,13.428571428571429,12.571428571428571,13.428571428571429,0.2857142857142857,,,0.2857142857142857,0.5,0.5,0.2857142857142857,,,,,0.7142857142857143,,0.5265857142857143,,0.125,0.2,,6.5,22.766666666666666,,2.0,,,,,1.0,,,2.0,1.0,1.0,,2.0,,2.0,2.0,,,1.0,,,,1.0,1.0,,,0.6666666666666666,,0.3333333333333333,1.0,,,,,,,0.56565,,,,,,,,,,,,,,,,0.5,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
100556-200676-201501-201886-203019,1611661317,"Nakia Sanford, Candice Dupree, Charde Houston, DeWanna Bonner, Samantha Prahalis","Sanford, Dupree, Houston, Bonner, Prahalis",100556-200676-201501-201886-203019,PHO,3827.0,10,64.0,5.0,123.0,133.0,10.0,256.0,24.0,39.0,8.0,30.0,7.0,16.0,,,38.0,91.0,9.0,26.0,25.0,128.0,123.0,,1.0,5.0,9.0,38.0,3.0,16.0,7.0,10.0,31.0,44.0,72.0,21.0,19.0,7.0,19.0,33.0,33.0,16.0,6.0,2.0,6.0,100.0,9.0,10.0,0.34615384615384615,,0.34615384615384615,0.4175824175824176,0.44017094017094016,0.25,0.4810606060606061,0.4090909090909091,0.2222222222222222,0.6078431372549019,0.6666666666666666,0.6212121212121212,0.6111111111111112,0.6666666666666666,96.3261039979096,14.926829268292684,14.969924812030076,13.439024390243903,14.165413533834586,0.3333333333333333,0.6153846153846154,0.6666666666666666,0.2564102564102564,0.26666666666666666,0.26666666666666666,0.13675213675213677,0.4375,0.4375,,,0.5555555555555556,0.4375,0.4932619658119658,0.50235625,0.12213740458015267,0.1523809523809524,0.0703125,8.013186813186813,22.157692307692308,0.08130081300813008,21.0,1.0,3.0,22.0,2.0,4.0,2.0,7.0,38.0,19.0,27.0,11.0,62.0,5.0,23.0,28.0,12.0,3.0,1.0,28.0,1.0,1.0,0.5,0.59375,0.2857142857142857,0.631578947368421,0.4423076923076923,0.29411764705882354,0.4057971014492754,0.42857142857142855,0.2222222222222222,0.4583333333333333,0.18803418803418803,0.08333333333333333,0.375,0.3333333333333333,0.5091675,2.0,7.0,12.0,9.0,20.0,28.0,12.0,3.0,5.0,1.0,0.45,0.5,0.54,0.03296703296703297,0.07692307692307693,0.5333333333333333,0.375,0.7,0.07575757575757576,0.16666666666666666,0.5,0.5833333333333334,0.21875,10.0,2.0,5.0,1.0,1.0,0.625,0.08547008547008547,0.08333333333333333,6.0,2.0,1.0,1.0,1.0,2.0,4.0,24.0,8.0,6.0,2.0,3.0,3.0,2.0,9.0,2.0,1.0,1.0,14.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.8888888888888888,0.5,1.0,0.375,0.46153846153846156,0.2727272727272727,0.2727272727272727,0.5,0.2,0.2,1.0,0.8571428571428571,0.5,1.0,0.5,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
201501-201886-202663-203019-203041,1611661317,"Charde Houston, DeWanna Bonner, Krystal Thomas, Samantha Prahalis, Lynetta Kizer","Houston, Bonner, Thomas, Prahalis, Kizer",201501-201886-202663-203019-203041,PHO,96.0,2,2.0,5.0,3.0,5.0,3.0,8.0,2.0,2.0,,2.0,,,,,2.0,4.0,,,1.0,5.0,,,,1.0,5.0,4.0,,,,1.0,2.0,3.0,4.0,1.0,1.0,,,1.0,2.0,1.0,,,,3.0,5.0,3.0,,,,0.5,0.5,0.5,0.5,0.5,,0.6666666666666666,0.5,0.6,0.5,0.5,120.0,11.333333333333334,12.4,11.0,7.2,0.5,1.0,1.0,0.5,,,,,,,,0.5,,0.522,0.522,0.2,0.2,1.0,5.075,,1.0,1.0,2.0,2.0,,,,2.0,4.0,,,,,,,1.0,1.0,,,,,,,,,0.5,,0.5,,0.5,0.5,,,,,0.5,1.0,0.6744,,1.0,1.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
100556-201886-203019-203046-203069,1611661317,"Nakia Sanford, DeWanna Bonner, Samantha Prahalis, Briana Butler, Avery Warley-Talbert","Sanford, Bonner, Prahalis, Butler, Warley-Talbert",100556-201886-203019-203046-203069,PHO,227.0,2,4.0,4.0,8.0,9.0,,17.0,,,1.0,2.0,1.0,3.0,,,1.0,3.0,2.0,4.0,2.0,10.0,6.0,,,,,2.0,,3.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,3.0,2.0,,,,,10.0,,,0.5,,0.5,0.3333333333333333,0.5714285714285714,,0.625,,0.5714285714285714,,1.0,1.0,,1.0,107.84140969162996,15.125,11.777777777777779,13.375,11.666666666666666,,,,0.2857142857142857,0.5,0.5,0.42857142857142855,0.3333333333333333,0.5,,,0.5714285714285714,0.3333333333333333,0.49345714285714287,,,,,13.866666666666667,22.975,,1.0,,,1.0,,,,,,,2.0,,6.0,,,,,,,2.0,,,,,,,,,,,,,0.14285714285714285,,,,0.3663,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.14285714285714285,,,1.0,,,,,,6.0,2.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
100556-201501-201886-203019-203041,1611661317,"Nakia Sanford, Charde Houston, DeWanna Bonner, Samantha Prahalis, Lynetta Kizer","Sanford, Houston, Bonner, Prahalis, Kizer",100556-201501-201886-203019-203041,PHO,196.0,2,3.0,7.0,7.0,8.0,2.0,15.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,10.0,3.0,2.0,2.0,,6.0,2.0,,1.0,1.0,1.0,4.0,5.0,5.0,,,2.0,3.0,2.0,2.0,1.0,,,,10.0,6.0,2.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.5,1.25,1.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,110.20408163265306,10.142857142857142,15.625,10.142857142857142,15.625,,,,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.48008333333333336,0.554175,0.25,0.5,0.6,6.2,22.15,0.2857142857142857,,,,,,,,,,,2.0,,6.0,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,0.3333333333333333,,,1.0,,1.0,,,,6.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,0.5,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
100940-200676-200705-201501-202280,1611661317,"Diana Taurasi, Candice Dupree, Zane Tamane, Charde Houston, Alexis Gray-Lawson","Taurasi, Dupree, Tamane, Houston, Gray-Lawson",100940-200676-200705-201501-202280,PHO,53.0,1,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,5.0,2.0,1.0,1.0,,3.0,2.0,,,,,,,,,,,,1.0,,,,,,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.25,1.5,0.5,,,,,,81.50943396226415,15.5,22.0,15.5,22.0,0.5,1.0,1.0,,,,,,,,,1.0,,0.570225,0.52245,,,0.6,1.5,21.1,0.5,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.5,,,1.0,,1.0,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
100940-201487-201886-202663-203069,1611661317,"Diana Taurasi, Alexis Hornbuckle, DeWanna Bonner, Krystal Thomas, Avery Warley-Talbert","Taurasi, Hornbuckle, Bonner, Thomas, Warley-Talbert",100940-201487-201886-202663-203069,PHO,353.0,3,6.0,2.0,11.0,10.0,3.0,21.0,1.0,2.0,2.0,3.0,,1.0,,,4.0,7.0,,1.0,3.0,11.0,9.0,,,2.0,2.0,6.0,,1.0,,2.0,4.0,6.0,6.0,,,1.0,2.0,3.0,3.0,2.0,1.0,,1.0,11.0,2.0,3.0,,,,0.5714285714285714,0.5,,0.6111111111111112,0.3333333333333333,0.125,0.8,0.6666666666666666,0.75,1.0,0.6666666666666666,85.6657223796034,18.0,15.5,18.0,14.4,0.25,0.5,0.5,0.375,0.6666666666666666,0.6666666666666666,0.125,,,,,0.375,,0.40078125,0.37765,0.2222222222222222,0.25,0.18181818181818182,10.071428571428571,20.9,0.2727272727272727,,,,2.0,,,,2.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,,,0.25,0.25,,0.5,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1611661317,2012,2012,True
