EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,LostBallSteals,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,LongMidRangeAssists,FTDefRebounds,SecondChanceTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,Corner3Assists,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,LostBallTurnovers,PenaltyFg3Pct,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,Travels,ShortMidRangePctBlocked,SelfOReb,StepOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls,OffCorner3ReboundPct,SelfORebPct,Blocked3s,BlockedArc3,SecondChanceArc3PctAssisted,Charge Fouls,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,team_id,year,season,team_vs
100723-100874-101020-200691-201904,1611661323,"Asjha Jones, Kara Lawson, Tan White, Mistie Bass, Renee Montgomery","Jones, Lawson, White, Bass, Montgomery",100723-100874-101020-200691-201904,CON,366.0,2,6.0,-7.0,11,11.0,1.0,2.0,22,3.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,10.0,2.0,1.0,7.0,14.0,1.0,2.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,0.3,0.5,0.25,0.5,0.2916666666666667,0.75,0.16666666666666666,0.5,0.6666666666666666,0.2857142857142857,0.5,0.25,0.5,1.0,0.5,86.55737704918033,19.181818181818183,14.090909090909092,18.363636363636363,13.272727272727273,0.3333333333333333,0.75,0.75,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,1.0,0.5,0.4621636363636364,0.5204,0.16666666666666666,0.2,0.42857142857142855,9.290000000000001,36.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100723-100874-101020-201904-202250,1611661323,"Asjha Jones, Kara Lawson, Tan White, Renee Montgomery, Tina Charles","Jones, Lawson, White, Montgomery, Charles",100723-100874-101020-201904-202250,CON,1220.0,4,20.0,1.0,32,33.0,4.0,7.0,65,7.0,12.0,5.0,6.0,6.0,6.0,7.0,10.0,24.0,9.0,8.0,34.0,33.0,5.0,7.0,,10.0,14.0,4.0,,7.0,6.0,5.0,8.0,8.0,16.0,3.0,2.0,2.0,,2.0,,2.0,3.0,6.0,1.0,11.0,1.0,10.0,,5.0,24.0,,0.4166666666666667,0.7142857142857143,0.3939393939393939,0.625,0.4473684210526316,0.625,0.2727272727272727,1.0,0.7142857142857143,0.42857142857142855,0.6153846153846154,0.3333333333333333,0.3333333333333333,,1.0,76.72131147540983,19.1875,18.363636363636363,17.4375,17.333333333333332,0.36363636363636365,0.5833333333333334,0.7777777777777778,0.18181818181818182,0.18181818181818182,0.21212121212121213,0.75,0.8333333333333334,0.6363636363636364,0.4772954545454545,0.5418428571428572,0.13157894736842105,0.1724137931034483,0.29411764705882354,7.7625,22.433333333333334,3.0,2.0,2.0,1.0,2.0,1.0,6.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.375,0.5,0.2222222222222222,0.2222222222222222,0.125,0.25,1.0,0.5,0.14285714285714285,0.8,0.2,0.8,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.5,0.5,0.6666666666666666,0.06060606060606061,0.2857142857142857,0.2857142857142857,0.5,0.125,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100723-100874-101020-202250-202255,1611661323,"Asjha Jones, Kara Lawson, Tan White, Tina Charles, Allison Hightower","Jones, Lawson, White, Charles, Hightower",100723-100874-101020-202250-202255,CON,1254.0,5,21.0,7.0,34,34.0,15.0,4.0,68,4.0,12.0,,2.0,6.0,6.0,6.0,11.0,24.0,7.0,8.0,42.0,35.0,,2.0,,3.0,12.0,,,6.0,5.0,6.0,11.0,5.0,16.0,3.0,2.0,2.0,,2.0,1.0,3.0,3.0,7.0,,11.0,2.0,9.0,1.0,4.0,39.0,2.0,0.4583333333333333,,0.5483870967741935,0.375,0.6,0.375,0.22580645161290322,0.6666666666666666,0.75,0.38461538461538464,0.7142857142857143,0.3125,,1.0,0.6,78.08612440191388,18.147058823529413,18.735294117647058,16.852941176470587,17.11764705882353,0.3870967741935484,0.3333333333333333,0.36363636363636365,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.5,,0.6129032258064516,0.4991774193548387,0.609025,0.11764705882352941,0.14814814814814814,0.07142857142857142,7.208333333333333,22.785714285714285,2.0,1.0,4.0,2.0,4.0,2.0,10.0,3.0,9.0,4.0,1.0,5.0,1.0,6.0,1.0,3.0,1.0,13.0,,,4.0,1.0,,,2.0,,,,0.45454545454545453,0.45454545454545453,0.25,0.5714285714285714,0.5714285714285714,0.041666666666666664,0.08333333333333333,,0.6666666666666666,,0.5,,1.0,1.0,,0.75,0.3333333333333333,0.3333333333333333,0.5,0.03225806451612903,0.6666666666666666,0.6666666666666666,0.25,0.5,0.6666666666666666,9.0,3.0,7.0,5.0,1.0,1.0,1.0,3.0,7.0,1.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,0.5,0.42857142857142855,0.375,0.5,1.0,0.25,0.8333333333333334,0.8333333333333334,0.2,0.5,0.875,0.42857142857142855,0.125,0.6195875,0.21428571428571427,0.2647058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100723-100874-200691-201904-202255,1611661323,"Asjha Jones, Kara Lawson, Mistie Bass, Renee Montgomery, Allison Hightower","Jones, Lawson, Bass, Montgomery, Hightower",100723-100874-200691-201904-202255,CON,268.0,1,4.0,3.0,9,8.0,2.0,,17,4.0,4.0,,,,,1.0,4.0,4.0,4.0,,17.0,14.0,,,,,4.0,,,1.0,,2.0,2.0,,2.0,,,,,,,,,1.0,,,,,,,17.0,,1.0,,1.0625,,1.0625,,0.5,,1.0,,0.5,,,1.0,1.0,91.34328358208955,17.22222222222222,14.125,17.22222222222222,13.5,0.5,1.0,1.0,,,0.125,,,1.0,0.55940625,,,,,1.125,22.425,,3.0,1.0,,3.0,,4.0,9.0,,1.0,,2.0,3.0,5.0,1.0,2.0,,13.0,,,,,,,,1.0,,1.0,0.5,0.5,1.0,0.75,0.75,,,,,,,,,,,0.5,,,,0.375,1.0,1.0,1.0,,1.0,6.0,4.0,4.0,,1.0,,,4.0,4.0,1.0,,8.0,,,,,,8.0,6.0,,,1.0,0.8,0.8,,,,,,,0.8,1.0,0.2,0.57603,0.47058823529411764,0.6666666666666666,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100723-100874-201904-202250-202253,1611661323,"Asjha Jones, Kara Lawson, Renee Montgomery, Tina Charles, Kalana Greene","Jones, Lawson, Montgomery, Charles, Greene",100723-100874-201904-202250-202253,CON,402.0,1,7.0,-4.0,9,9.0,,1.0,18,3.0,3.0,,,,3.0,1.0,3.0,6.0,1.0,5.0,11.0,15.0,,1.0,,,6.0,,,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,3.0,,5.0,1.0,2.0,11.0,,0.5,,0.42857142857142855,,0.6111111111111112,,0.14285714285714285,1.0,0.4,,0.2857142857142857,0.25,,,0.5,64.4776119402985,18.22222222222222,26.444444444444443,16.22222222222222,18.555555555555557,0.42857142857142855,1.0,1.0,,0.42857142857142855,0.14285714285714285,,,0.5714285714285714,0.4356642857142857,,0.25,0.2857142857142857,,9.883333333333333,22.4,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100723-100874-201904-202250-202255,1611661323,"Asjha Jones, Kara Lawson, Renee Montgomery, Tina Charles, Allison Hightower","Jones, Lawson, Montgomery, Charles, Hightower",100723-100874-201904-202250-202255,CON,1152.0,4,19.0,-1.0,32,32.0,6.0,4.0,64,5.0,10.0,1.0,2.0,5.0,9.0,5.0,11.0,24.0,7.0,6.0,37.0,38.0,1.0,3.0,2.0,4.0,16.0,,,5.0,5.0,8.0,9.0,6.0,15.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,6.0,11.0,1.0,6.0,1.0,8.0,,1.0,33.0,,0.4583333333333333,0.3333333333333333,0.5,0.25,0.5285714285714286,0.4,0.22580645161290322,0.4,0.6666666666666666,0.4166666666666667,0.6,0.375,0.4,1.0,0.6666666666666666,80.0,20.09375,15.90625,18.1875,14.6875,0.3225806451612903,0.5,0.5555555555555556,0.16129032258064516,0.2903225806451613,0.16129032258064516,0.5,0.5,0.5483870967741935,0.4586,0.503175,0.03125,0.04,0.10810810810810811,9.075000000000001,22.714285714285715,2.0,2.0,2.0,1.0,3.0,1.0,6.0,6.0,3.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,,12.0,1.0,,1.0,1.0,,,,,,,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.041666666666666664,0.1,,0.3333333333333333,0.25,0.6,0.3333333333333333,0.6,0.5,,0.2,0.4,0.4,,0.06451612903225806,0.4,0.4,0.5,0.25,0.4,16.0,2.0,4.0,4.0,1.0,,,6.0,10.0,3.0,6.0,24.0,2.0,,1.0,2.0,3.0,24.0,16.0,4.0,,0.6,0.6923076923076923,0.7058823529411765,,,0.4444444444444444,0.4444444444444444,0.5,,0.3076923076923077,0.5,0.07692307692307693,0.4636192307692308,0.6486486486486487,0.5,1.0,1.0,,,,0.5,0.5,1.0,2.0,2.0,2.0,1.0,0.6666666666666666,1.0,0.15384615384615385,1.0,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100723-100874-201904-202250-202263,1611661323,"Asjha Jones, Kara Lawson, Renee Montgomery, Tina Charles, Danielle McCray","Jones, Lawson, Montgomery, Charles, McCray",100723-100874-201904-202250-202263,CON,256.0,2,4.0,3.0,6,6.0,,2.0,12,,1.0,,,2.0,2.0,2.0,2.0,5.0,2.0,2.0,9.0,6.0,1.0,2.0,,2.0,4.0,,,2.0,2.0,2.0,3.0,3.0,6.0,,,,,,1.0,1.0,,1.0,1.0,2.0,,2.0,,1.0,7.0,,0.4,0.5,0.5,0.5,0.5625,0.5,0.2857142857142857,,1.0,0.6666666666666666,1.0,0.75,1.0,,,67.5,23.833333333333332,18.833333333333332,17.833333333333332,18.833333333333332,0.14285714285714285,,,0.2857142857142857,0.2857142857142857,0.2857142857142857,,,0.42857142857142855,0.4038642857142857,0.2916,0.125,0.16666666666666666,0.2222222222222222,12.9,22.5,1.0,,1.0,,1.0,,,3.0,,1.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,,1.0,,,,,,,,,,1.0,0.5,0.5,0.2,,,1.0,1.0,,1.0,1.0,,1.0,,0.5,1.0,,,0.5,0.5,1.0,,0.5,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100723-100874-202250-202253-202255,1611661323,"Asjha Jones, Kara Lawson, Tina Charles, Kalana Greene, Allison Hightower","Jones, Lawson, Charles, Greene, Hightower",100723-100874-202250-202253-202255,CON,2565.0,5,43.0,-7.0,76,79.0,,10.0,155,14.0,26.0,4.0,8.0,17.0,16.0,12.0,26.0,59.0,18.0,5.0,72.0,79.0,5.0,11.0,,10.0,32.0,2.0,,12.0,9.0,24.0,30.0,12.0,42.0,12.0,9.0,6.0,1.0,5.0,4.0,10.0,8.0,13.0,1.0,9.0,1.0,7.0,3.0,5.0,62.0,,0.4406779661016949,0.45454545454545453,0.43506493506493504,0.45454545454545453,0.45569620253164556,0.45454545454545453,0.23376623376623376,0.6,0.7058823529411765,0.2727272727272727,0.6904761904761905,0.26666666666666666,0.375,0.6666666666666666,0.6923076923076923,87.01754385964912,16.55263157894737,16.544303797468356,15.131578947368421,15.417721518987342,0.33766233766233766,0.5384615384615384,0.5833333333333334,0.22077922077922077,0.2077922077922078,0.15584415584415584,0.7272727272727273,0.5,0.5714285714285714,0.49682012987012986,0.444825,0.06329113924050633,0.08196721311475409,0.1388888888888889,8.079661016949153,22.533333333333335,4.0,6.0,2.0,,5.0,,20.0,15.0,,2.0,4.0,10.0,5.0,15.0,2.0,4.0,2.0,35.0,3.0,,5.0,3.0,,,,3.0,1.0,3.0,0.38461538461538464,0.4,1.0,0.2777777777777778,0.2777777777777778,0.06779661016949153,0.07692307692307693,,0.625,0.25,0.08333333333333333,0.2222222222222222,0.75,0.8333333333333334,,0.2857142857142857,0.23529411764705882,0.26666666666666666,0.5,0.07792207792207792,0.16666666666666666,0.16666666666666666,1.0,,0.16666666666666666,1.0,,,8.0,,,,,,,,,4.0,1.0,,1.0,,,1.0,,,,,,1.0,0.38461538461538464,0.5,0.5,0.5,,,,,,,0.013157894736842105,3.0,3.0,2.0,3.0,1.0,0.5,0.5,1.0,,,,1.0,,,,,,0.11764705882352941,2.0,1.0,1.0,1.0,0.3333333333333333,0.04878048780487805,,,,,,,,,,1611661323,2012,2012,True
100723-100874-202250-202255-202263,1611661323,"Asjha Jones, Kara Lawson, Tina Charles, Allison Hightower, Danielle McCray","Jones, Lawson, Charles, Hightower, McCray",100723-100874-202250-202255-202263,CON,274.0,2,5.0,-4.0,10,10.0,5.0,1.0,20,,1.0,,,4.0,2.0,1.0,1.0,7.0,3.0,,2.0,6.0,,1.0,,,2.0,,,1.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,2.0,1.0,0.14285714285714285,,0.1,,0.1,,0.3,,0.6666666666666666,0.16666666666666666,0.6,0.1111111111111111,,0.5,1.0,105.1094890510949,16.2,11.2,15.8,9.6,0.1,,,0.4,0.2,0.1,,,0.4,0.439065,0.2723,,,,8.72857142857143,22.5,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,0.14285714285714285,,,0.5,,,,,,1.0,,,,,0.2,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,0.25,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,1.0,1.0,,,,,,,,1611661323,2012,2012,True
100723-101020-200691-201904-202255,1611661323,"Asjha Jones, Tan White, Mistie Bass, Renee Montgomery, Allison Hightower","Jones, White, Bass, Montgomery, Hightower",100723-101020-200691-201904-202255,CON,204.0,2,3.0,-5.0,5,7.0,2.0,1.0,12,,1.0,,,,2.0,2.0,,3.0,2.0,,3.0,8.0,,,,3.0,,,,2.0,,2.0,2.0,1.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,0.3,1.5,0.3,1.5,0.4,,1.0,,0.6666666666666666,0.25,,,,84.70588235294117,17.2,16.857142857142858,16.8,16.0,0.2,,,,0.4,0.4,,,0.6,0.51467,,,,1.0,12.266666666666666,22.9,,,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,1.0,0.5,0.5,0.3333333333333333,1.0,,,1.0,,1.0,1.0,,,,,,,,0.5,0.5,1.0,1.0,0.5,3.0,,1.0,,,1.0,1.0,,2.0,2.0,,3.0,,,,,,3.0,3.0,,1.0,,0.375,0.375,,,,,,1.0,0.25,,,0.5442125,1.0,0.6,,,,,,,,,1.0,2.0,1.0,,0.5,,0.5,0.5,,,,,1.0,,,,,,1.0,,,,,,,1611661323,2012,2012,True
