EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,PenaltyArc3FGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,FoulsDrawn,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,DefTwoPtRebounds,DefRebounds,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFGM,PtsPutbacks,Charge Fouls,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctBlocked,DefAtRimReboundPct,DefLongMidRangeReboundPct,FtPoints,PenaltyFtPoints,DefThreePtRebounds,FTDefRebounds,PenaltyTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,StepOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,Offensive Fouls,BlockedShortMidRange,AtRimPctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,BlockedLongMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,team_id,year,season,team_vs
100412-100835-100915-200671-202632,1611661324,"Taj McWilliams-Franklin, Erin Thorn, Lindsay Whalen, Seimone Augustus, Maya Moore","McWilliams-Franklin, Thorn, Whalen, Augustus, Moore",100412-100835-100915-200671-202632,MIN,152.0,1,3.0,-4.0,4.0,4.0,2.0,8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,75.78947368421053,19.5,18.5,19.5,10.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.5088,7.0,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100835-100915-202257-202632,1611661324,"Taj McWilliams-Franklin, Erin Thorn, Lindsay Whalen, Monica Wright, Maya Moore","McWilliams-Franklin, Thorn, Whalen, Wright, Moore",100412-100835-100915-202257-202632,MIN,188.0,1,3.0,-2.0,8.0,7.0,2.0,15,1.0,1.0,,2.0,5.0,1.0,3.0,9.0,11.0,3.0,2.0,,1.0,2.0,,5.0,,,2.0,1.0,4.0,7.0,1.0,0.3333333333333333,0.3333333333333333,0.5625,0.5625,0.375,,114.8936170212766,13.75,11.142857142857142,12.25,11.142857142857142,0.125,0.125,0.25,,,,0.625,,0.44361875,7.959999999999999,22.666666666666668,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.6,0.5,0.5,0.5,0.25,0.5,0.25,0.3333333333333333,0.2,1.0,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.25,1.0,1.0,0.5,0.25,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.5,0.6519,0.4208125,0.2222222222222222,0.2222222222222222,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100835-100944-200671-202257,1611661324,"Taj McWilliams-Franklin, Erin Thorn, Rebekkah Brunson, Seimone Augustus, Monica Wright","McWilliams-Franklin, Thorn, Brunson, Augustus, Wright",100412-100835-100944-200671-202257,MIN,57.0,1,1.0,-2.0,1.0,2.0,,3,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,75.78947368421053,18.0,19.5,18.0,19.5,1.0,,,,,,,,0.4056,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100835-200671-201882-202257,1611661324,"Taj McWilliams-Franklin, Erin Thorn, Seimone Augustus, Jessica Adair, Monica Wright","McWilliams-Franklin, Thorn, Augustus, Adair, Wright",100412-100835-200671-201882-202257,MIN,91.0,1,2.0,-3.0,3.0,3.0,3.0,6,2.0,,,,4.0,,,2.0,5.0,,,,,,,,,,1.0,,1.0,,,,,0.25,0.25,,,94.94505494505495,19.666666666666668,10.666666666666666,12.666666666666666,10.666666666666666,0.5,,,,,,0.5,,0.39195,5.175,,1.0,2.0,,2.0,,,,,,,,,1.0,1.0,2.0,2.0,,1.0,,,,2.0,,,,,,,2.0,2.0,2.0,,,,1.0,1.0,,,1.0,,,,0.25,0.5,,0.5,,0.5,,,,,,0.6666666666666666,,0.6666666666666666,,,0.5,,,,,,,,,,,,,,,,0.3138,0.3493,1.0,,0.3333333333333333,,,,,,1.0,2.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100835-200671-202257-202632,1611661324,"Taj McWilliams-Franklin, Erin Thorn, Seimone Augustus, Monica Wright, Maya Moore","McWilliams-Franklin, Thorn, Augustus, Wright, Moore",100412-100835-200671-202257-202632,MIN,110.0,1,2.0,,4.0,3.0,,7,,,,2.0,2.0,,2.0,2.0,2.0,,2.0,,,,,,,,,,,2.0,,,,0.25,0.25,0.5,,91.63636363636364,12.0,20.666666666666668,12.0,20.666666666666668,,,0.5,,,,0.5,,0.381625,17.05,21.45,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,2.0,1.0,,,,,,,,2.0,,,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100915-100944-200671-201499,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Candice Wiggins","McWilliams-Franklin, Whalen, Brunson, Augustus, Wiggins",100412-100915-100944-200671-201499,MIN,224.0,2,4.0,5.0,8.0,7.0,4.0,15,2.0,,,,6.0,,,11.0,6.0,,,,,,,,,,1.0,,1.0,9.0,,,,0.5,0.6875,,,96.42857142857143,17.375,12.142857142857142,16.5,12.0,0.3333333333333333,,,,,,0.3333333333333333,,0.42060000000000003,9.116666666666667,,2.0,1.0,1.0,2.0,,,,,1.0,2.0,,,3.0,1.0,1.0,2.0,,,,2.0,,6.0,,,,,,,1.0,1.0,5.0,,,,1.0,3.0,,2.0,2.0,,,,0.5,1.0,,1.0,,1.0,1.0,,,,,0.3333333333333333,,0.3333333333333333,,,0.3333333333333333,0.5,0.5,,0.3333333333333333,0.5,0.5,,,,,,,,,,0.3895,,0.18181818181818182,0.18181818181818182,0.25,2.0,4.0,1.0,1.0,,1.0,,1.0,1.0,0.5,0.5,,1.0,,5.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100915-100944-200671-202257,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Monica Wright","McWilliams-Franklin, Whalen, Brunson, Augustus, Wright",100412-100915-100944-200671-202257,MIN,1065.0,6,18.0,-5.0,32.0,34.0,11.0,66,10.0,1.0,,1.0,27.0,1.0,2.0,28.0,33.0,3.0,1.0,,1.0,6.0,,13.0,1.0,1.0,5.0,4.0,9.0,26.0,1.0,0.5,0.5,0.43103448275862066,0.45161290322580644,0.06896551724137931,0.2,89.2394366197183,16.125,16.147058823529413,14.8125,15.294117647058824,0.3448275862068966,0.034482758620689655,0.034482758620689655,,,,0.3793103448275862,,0.4530948275862069,9.062962962962963,21.15,1.0,4.0,6.0,9.0,,,,,3.0,8.0,1.0,,11.0,1.0,3.0,2.0,1.0,2.0,,2.0,10.0,12.0,1.0,,5.0,1.0,2.0,,3.0,4.0,18.0,2.0,2.0,2.0,4.0,4.0,,2.0,1.0,2.0,0.45454545454545453,0.45454545454545453,0.4074074074074074,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,,0.037037037037037035,,,0.1875,,0.17647058823529413,0.125,,0.3103448275862069,0.6666666666666666,0.75,0.3333333333333333,0.27586206896551724,0.375,0.375,1.0,1.0,1.0,,,,,,,0.37953333333333333,0.3113,0.07142857142857142,0.07142857142857142,0.03125,10.0,14.0,0.7692307692307693,0.6842105263157895,0.3333333333333333,2.0,,,0.3333333333333333,0.2,0.2,,0.8888888888888888,1.0,3.0,,3.0,1.0,,4.0,,2.0,,3.0,1.0,3.0,2.0,,1.0,0.5,0.6,0.6666666666666666,0.06451612903225806,0.06896551724137931,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1111111111111111,1.0,0.2,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100915-100944-200671-202632,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Maya Moore","McWilliams-Franklin, Whalen, Brunson, Augustus, Moore",100412-100915-100944-200671-202632,MIN,8198.0,9,137.0,7.0,244.0,241.0,15.0,485,59.0,13.0,11.0,27.0,195.0,14.0,40.0,264.0,257.0,30.0,27.0,11.0,10.0,60.0,7.0,130.0,27.0,17.0,48.0,22.0,51.0,207.0,0.7142857142857143,0.35,0.35,0.4851063829787234,0.5177165354330708,0.1702127659574468,0.5625,85.19151012442059,16.647540983606557,17.16182572614108,15.311475409836065,16.008298755186722,0.251063829787234,0.05531914893617021,0.1148936170212766,0.4074074074074074,0.4074074074074074,0.6363636363636364,0.502127659574468,0.4074074074074074,0.48066914893617024,8.477435897435896,22.1175,24.0,43.0,44.0,78.0,12.0,26.0,1.0,5.0,20.0,58.0,3.0,4.0,93.0,22.0,44.0,57.0,4.0,14.0,4.0,20.0,100.0,86.0,13.0,,50.0,3.0,23.0,9.0,46.0,55.0,141.0,20.0,15.0,8.0,21.0,49.0,3.0,19.0,23.0,3.0,0.5376344086021505,0.5882352941176471,0.47692307692307695,0.5,0.2857142857142857,0.5638297872340425,0.3055555555555556,0.5816326530612245,0.4166666666666667,,0.06666666666666667,0.05084745762711865,,0.45544554455445546,0.36,0.4365079365079365,0.5517241379310345,0.375,0.33191489361702126,0.5641025641025641,0.6470588235294118,0.5227272727272727,0.24680851063829787,0.3448275862068966,0.3448275862068966,0.23076923076923078,0.23076923076923078,1.0,0.5531914893617021,0.46153846153846156,0.25,0.2777777777777778,0.2,0.2222222222222222,0.49445975609756093,0.44710000000000005,0.2159090909090909,0.07575757575757576,0.09836065573770492,50.0,86.0,0.5813953488372093,0.6171875,0.75,29.0,16.0,2.0,0.5,0.4915254237288136,0.5178571428571429,,0.4883720930232558,0.6086956521739131,36.0,9.0,29.0,7.0,7.0,41.0,3.0,17.0,5.0,20.0,15.0,20.0,11.0,3.0,1.0,0.6904761904761905,0.7407407407407407,0.55,0.06827309236947791,0.08133971291866028,15.0,12.0,,,5.0,3.0,1.0,4.0,0.1282051282051282,,0.34210526315789475,0.5172413793103449,0.6,3.0,3.0,1.0,3.0,3.0,4.0,1.0,12.0,7.0,5.0,1.0,10.0,3.0,6.0,4.0,4.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.6,0.061946902654867256,0.06382978723404255,1.0,1.0,0.25,,,,,,,,,,,1611661324,2012,2012,False
100412-100915-100944-201499-202632,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Rebekkah Brunson, Candice Wiggins, Maya Moore","McWilliams-Franklin, Whalen, Brunson, Wiggins, Moore",100412-100915-100944-201499-202632,MIN,144.0,1,2.0,4.0,5.0,4.0,,9,,,,2.0,1.0,,2.0,5.0,1.0,,2.0,,,1.0,,2.0,,,,1.0,1.0,5.0,,,,0.3333333333333333,0.5,0.6666666666666666,,90.0,16.4,15.5,16.4,15.5,,,0.6666666666666666,,,,1.0,,0.607,2.3,21.65,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,1.0,,1.0,,,,3.0,1.0,1.0,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,3.0,,1.0,1.0,,4.0,,2.0,,,,,,,1.0,1.0,1.0,,0.4,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100915-100944-202257-202632,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Rebekkah Brunson, Monica Wright, Maya Moore","McWilliams-Franklin, Whalen, Brunson, Wright, Moore",100412-100915-100944-202257-202632,MIN,365.0,3,6.0,-11.0,8.0,10.0,1.0,18,2.0,1.0,1.0,1.0,7.0,1.0,2.0,6.0,17.0,,1.0,1.0,,,,,2.0,1.0,3.0,2.0,3.0,4.0,,0.5,0.5,0.2777777777777778,0.3,0.2222222222222222,0.6666666666666666,71.01369863013699,22.75,18.3,20.25,15.4,0.2222222222222222,0.1111111111111111,0.1111111111111111,1.0,1.0,,0.4444444444444444,1.0,0.4481555555555556,10.328571428571427,21.75,,1.0,1.0,2.0,1.0,1.0,,,,3.0,,,1.0,1.0,2.0,2.0,,,,,,2.0,2.0,,,,,1.0,2.0,3.0,5.0,,,,1.0,2.0,,,,,,,0.14285714285714285,0.5,,0.3333333333333333,,0.3333333333333333,,,0.2857142857142857,,,0.4,1.0,0.5,,,0.2222222222222222,0.5,1.0,,0.3333333333333333,,,,,,0.3333333333333333,1.0,,,,,0.6321,,0.3333333333333333,,,2.0,2.0,0.5,0.4,1.0,,,,1.0,,,0.3333333333333333,0.5,,1.0,,,,,2.0,,1.0,,,,,,,,,,,0.1,0.125,,,,,,,,,0.5,,0.5,,,,,,,1.0,,,3.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,0.3333333333333333,,,,,,,,,1611661324,2012,2012,False
