EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PtsAssisted2s,TwoPtAssists,AtRimAssists,DefThreePtRebounds,Steals,BadPassSteals,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,OffThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,BlockingFouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffLongMidRangeReboundPct,LongMidRangeFGM,Corner3FGA,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedAtRim,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,LostBallSteals,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,PtsPutbacks,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,BlockedLongMidRange,RecoveredBlocks,3SecondViolations,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,team_id,year,season,team_vs
100666-101033-201047-201503-202656,1611661325,"Katie Douglas, Roneeka Hodges, Jessica Davenport, Erlana Larkins, Jeanette Pohlen-Mavunga","Douglas, Hodges, Davenport, Larkins, Pohlen-Mavunga",100666-101033-201047-201503-202656,IND,151.0,2,3.0,5.0,5.0,5.0,5.0,2.0,10.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,7.0,7.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,7.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,5.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.5,0.5833333333333334,1.0,0.5833333333333334,0.4,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,95.36423841059603,14.2,16.0,13.8,14.6,0.4,0.5,0.5,0.2,0.4,0.5,0.5,1.0,1.0,1.0,0.4,0.5,0.4,0.5,0.8,0.5,0.50676,0.6934,0.50676,0.5714285714285714,1.0,3.1999999999999997,22.55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-101039-201896-201919,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Erin Phillips, Briann January, Shavonte Zellous","Sutton-Brown, Catchings, Phillips, January, Zellous",100628-100646-101039-201896-201919,IND,341.0,2,6.0,9.0,8.0,5.0,,,17.0,4.0,4.0,,,2.0,2.0,1.0,,2.0,,1.0,4.0,5.0,,2.0,4.0,12.0,10.0,,,,,2.0,3.0,,1.0,2.0,6.0,6.0,,2.0,,1.0,,1.0,,2.0,,,1.0,,1.0,,,,,1.0,1.0,3.0,,4.0,,,,,,,12.0,6.0,5.0,,,,,,,0.8,,0.6666666666666666,0.5714285714285714,,0.5,0.6666666666666666,,0.6,0.2857142857142857,0.2,1.0,,,0.14285714285714285,,,,,71.78885630498533,16.88888888888889,23.625,16.88888888888889,18.5,0.5714285714285714,1.0,1.0,0.14285714285714285,0.2857142857142857,,,,,,0.5,1.0,0.25,,0.8571428571428571,,0.5805714285714286,,0.55025,,0.5,2.48,22.5,0.5555555555555556,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.25,0.25,0.25,0.5,0.25,0.2222222222222222,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100646-100666-101039-201047-202640,1611661325,"Tamika Catchings, Katie Douglas, Erin Phillips, Jessica Davenport, Karima Christmas-Kelly","Catchings, Douglas, Phillips, Davenport, Christmas-Kelly",100646-100666-101039-201047-202640,IND,311.0,3,5.0,10.0,10.0,,,1.0,20.0,4.0,4.0,,,,,2.0,2.0,3.0,,,5.0,7.0,2.0,3.0,1.0,17.0,6.0,,,,3.0,,,,,,,8.0,6.0,3.0,2.0,,2.0,3.0,2.0,8.0,,2.0,5.0,1.0,6.0,,,1.0,,1.0,1.0,4.0,,1.0,,,,,,,14.0,,,,,1.0,0.6666666666666666,,0.6666666666666666,0.7142857142857143,,,0.8,1.5,,0.85,1.5,,0.3,,,0.6666666666666666,,0.8333333333333334,0.3333333333333333,,,,92.60450160771704,15.7,15.4,15.1,14.8,0.4,1.0,1.0,0.2,0.3,0.6666666666666666,0.6666666666666666,1.0,,,,,,,0.7,0.6666666666666666,0.537235,,,0.17647058823529413,,6.242857142857143,22.46666666666667,,11.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,0.25,0.1,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100646-201503-201896-202656-203067,1611661325,"Tamika Catchings, Erlana Larkins, Briann January, Jeanette Pohlen-Mavunga, Sasha Goodlett","Catchings, Larkins, January, Pohlen-Mavunga, Goodlett",100646-201503-201896-202656-203067,IND,105.0,1,2.0,4.0,4.0,4.0,,1.0,8.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,,3.0,3.0,,1.0,,,,4.0,1.0,1.0,,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,3.0,3.0,4.0,,,1.0,1.0,1.0,1.0,,,,0.3,,0.3,0.3,,0.3,0.2,0.25,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,109.71428571428571,16.5,9.75,16.25,9.75,0.2,,,0.4,0.2,1.0,1.0,1.0,1.0,,0.2,,0.2,1.0,0.4,1.0,0.37042,0.3057,0.37042,,1.0,6.675,22.9,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,0.2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-100666-101039-201503,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Erin Phillips, Erlana Larkins","Sutton-Brown, Catchings, Douglas, Phillips, Larkins",100628-100646-100666-101039-201503,IND,158.0,1,3.0,5.0,6.0,,5.0,2.0,11.0,,,,,,,,,,,,1.0,3.0,,1.0,2.0,4.0,11.0,1.0,1.0,,2.0,,,,,,,2.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,2.0,,1.0,,,,1.0,2.0,,,,,,,,,0.3333333333333333,1.0,,0.25,1.0,,0.4,1.0,,0.25,,,,0.5,,0.3333333333333333,,,,100.25316455696202,17.0,12.166666666666666,14.8,10.666666666666666,,,,,,,,,,,,,,,0.25,,0.4455375,0.3324,,0.5,,16.633333333333333,22.0,,-7.0,,,,,,,1.0,,,,,,0.2,0.25,,3.0,,,,,,,,,,,,,,,,,,0.75,,,,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-100666-101039-202640,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Erin Phillips, Karima Christmas-Kelly","Sutton-Brown, Catchings, Douglas, Phillips, Christmas-Kelly",100628-100646-100666-101039-202640,IND,32.0,1,1.0,2.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,11.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-100666-201896-201919,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Briann January, Shavonte Zellous","Sutton-Brown, Catchings, Douglas, January, Zellous",100628-100646-100666-201896-201919,IND,15800.0,28,263.0,494.0,501.0,44.0,19.0,56.0,995.0,75.0,160.0,14.0,23.0,7.0,14.0,69.0,34.0,87.0,2.0,5.0,118.0,310.0,54.0,127.0,99.0,497.0,469.0,18.0,38.0,16.0,73.0,8.0,28.0,5.0,8.0,16.0,47.0,118.0,144.0,87.0,34.0,38.0,48.0,107.0,28.0,262.0,45.0,114.0,171.0,65.0,236.0,34.0,1.0,74.0,11.0,35.0,85.0,134.0,7.0,117.0,4.0,40.0,1.0,1.0,9.0,41.0,424.0,47.0,44.0,,3.0,0.8888888888888888,0.4251968503937008,0.625,0.4251968503937008,0.38064516129032255,0.47368421052631576,0.2857142857142857,0.45537757437070936,0.57,0.4305555555555556,0.5081967213114754,0.6293103448275862,0.5340909090909091,0.2906178489702517,0.12258064516129032,0.11594202898550725,0.6551724137931034,0.2356020942408377,0.6694214876033058,0.24334600760456274,0.20238095238095238,0.2,0.7076923076923077,90.68354430379748,15.463562753036438,16.289421157684632,14.607287449392713,15.499001996007983,0.36613272311212813,0.46875,0.5639097744360902,0.15789473684210525,0.19908466819221968,0.39080459770114945,0.3953488372093023,0.8235294117647058,0.46,0.6086956521739131,0.3888888888888889,0.5,0.1388888888888889,0.4,0.6567505720823799,0.39080459770114945,0.5057765446224256,0.540782894736842,0.47030972222222217,0.14688128772635814,0.09456740442655935,7.40741935483871,22.209448818897638,0.08906882591093117,28.0,118.0,59.0,36.0,48.0,61.0,39.0,60.0,0.5,0.5267857142857143,0.7058823529411765,0.7169811320754716,0.48,0.12396694214876033,0.16806722689075632,14.0,81.0,5.0,9.0,7.0,12.0,19.0,40.0,14.0,4.0,9.0,13.0,0.5833333333333334,0.5405405405405406,0.2638888888888889,0.28846153846153844,0.717391304347826,0.2028985507246377,0.22950819672131148,0.1853546910755149,0.18,0.5555555555555556,1.0,0.3269230769230769,29.0,40.0,12.0,7.0,30.0,0.35802469135802467,0.3717948717948718,0.09153318077803203,22.0,20.0,2.0,3.0,3.0,3.0,18.0,12.0,1.0,20.0,5.0,18.0,1.0,9.0,10.0,26.0,4.0,5.0,1.0,4.0,3.0,5.0,10.0,2.0,1.0,24.0,1.0,0.007874015748031496,0.16875,0.037037037037037035,0.011494252873563218,1.0,0.125,0.2,0.5555555555555556,0.6666666666666666,0.044642857142857144,0.5853658536585366,0.35714285714285715,0.6206896551724138,0.5,0.5,1.0,0.14285714285714285,0.06,0.6666666666666666,1.0,0.08333333333333333,1.0,,,,,,,1611661325,2012,2012,False
100628-100646-100666-201896-202640,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Briann January, Karima Christmas-Kelly","Sutton-Brown, Catchings, Douglas, January, Christmas-Kelly",100628-100646-100666-201896-202640,IND,203.0,2,3.0,7.0,5.0,,,1.0,12.0,,2.0,,1.0,,,,,1.0,,,2.0,5.0,,1.0,3.0,7.0,6.0,,1.0,2.0,2.0,,,,,,,2.0,,1.0,,2.0,,1.0,,2.0,1.0,,,2.0,2.0,1.0,,1.0,,,,2.0,,4.0,,,,,,,5.0,,,,,,,,,0.4,,,0.3333333333333333,,,0.4375,0.5,,0.16666666666666666,0.4,,,0.3333333333333333,,0.5,0.5,,,85.1231527093596,17.571428571428573,16.0,15.714285714285714,15.6,0.3333333333333333,,,,0.16666666666666666,,,,1.0,,,,,,0.5,,0.4554833333333333,0.5242,,0.2857142857142857,,10.74,23.2,,1.0,2.0,1.0,,,2.0,2.0,2.0,0.5,0.5,,,,0.25,0.2857142857142857,,3.0,,,,,1.0,,,,,,,,1.0,1.0,,,,0.5,,,,,2.0,,1.0,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-101039-201896-202656,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Erin Phillips, Briann January, Jeanette Pohlen-Mavunga","Sutton-Brown, Catchings, Phillips, January, Pohlen-Mavunga",100628-100646-101039-201896-202656,IND,199.0,3,3.0,6.0,6.0,,,1.0,12.0,1.0,4.0,,1.0,,,2.0,,1.0,,,1.0,6.0,,2.0,,2.0,5.0,,1.0,,,,,,,,,,,1.0,,2.0,,1.0,,2.0,3.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,0.16666666666666666,,,0.125,,,0.125,,,0.25,0.3333333333333333,,1.0,0.6,1.0,0.42857142857142855,0.6666666666666666,0.5,,86.83417085427135,19.833333333333332,13.333333333333334,19.0,13.333333333333334,0.5,0.25,0.5,0.25,0.125,,,,1.0,,,,,,0.75,,0.5269125,0.5334,,,,5.266666666666667,22.8,,-3.0,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-201896-201919-202656,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Briann January, Shavonte Zellous, Jeanette Pohlen-Mavunga","Sutton-Brown, Catchings, January, Zellous, Pohlen-Mavunga",100628-100646-201896-201919-202656,IND,494.0,3,8.0,17.0,18.0,1.0,4.0,2.0,35.0,3.0,6.0,,,,,2.0,1.0,1.0,,,5.0,9.0,1.0,4.0,1.0,14.0,20.0,,,,,,,,,,,2.0,3.0,1.0,1.0,,1.0,5.0,1.0,11.0,1.0,3.0,5.0,1.0,6.0,1.0,,4.0,1.0,1.0,4.0,3.0,,2.0,,1.0,,,1.0,1.0,14.0,,1.0,1.0,,1.0,0.25,,0.25,0.5555555555555556,,,0.5,,,0.5,,,0.3076923076923077,,,0.75,0.25,0.8,0.14285714285714285,0.3333333333333333,,1.0,102.02429149797572,16.176470588235293,12.166666666666666,14.941176470588236,12.11111111111111,0.46153846153846156,0.5,0.5,0.15384615384615385,0.07692307692307693,1.0,1.0,1.0,,,,,,,0.7692307692307693,1.0,0.5597692307692308,0.5457,,,,5.4,22.525,0.058823529411764705,-6.0,8.0,4.0,3.0,1.0,3.0,3.0,1.0,0.8,0.8,1.0,1.0,1.0,0.07142857142857142,0.1,1.0,1.0,,,,1.0,,3.0,,,,,,0.75,,,1.0,0.5,0.5,0.07692307692307693,,,,,1.0,3.0,,1.0,,1.0,1.0,0.23076923076923078,,,,1.0,,,,,,,,1.0,,1.0,,3.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1611661325,2012,2012,False
