EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,OpponentPoints,DeadBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyAtRimFGM,SecondChanceCorner3FGA,PenaltyArc3FGA,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ThreePtShootingFoulsDrawnPct,ShortMidRangeAssists,Offensive Fouls Drawn,ShortMidRangePctAssisted,PenaltyArc3FGM,HeaveAttempts,Charge Fouls,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,ShortMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,team_id,year,season,team_vs
100812-101023-101049-201046-203026,1611661330,"Erika de Souza, Sancho Lyttle, Cathrine Kraayeveld, Lindsey Harding, Tiffany Hayes","de Souza, Lyttle, Kraayeveld, Harding, Hayes",100812-101023-101049-201046-203026,ATL,33.0,1,1.0,-2.0,1.0,1,1.0,2,2.0,1.0,1.0,1.0,1.0,87.27272727272727,24.0,9.0,24.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,True
100812-101023-201046-201048-201881,1611661330,"Erika de Souza, Sancho Lyttle, Lindsey Harding, Armintie Herrington, Angel McCoughtry","de Souza, Lyttle, Harding, Herrington, McCoughtry",100812-101023-201046-201048-201881,ATL,2949.0,3,49.0,13.0,93.0,91,3.0,184,88.0,7.0,21.0,1.0,3.0,89.84740590030519,15.290322580645162,16.78021978021978,14.580645161290322,15.043956043956044,0.03225806451612903,5.0,14.0,18.0,31.0,4.0,8.0,5.0,14.0,5.0,11.0,3.0,3.0,4.0,17.0,3.0,28.0,56.0,7.0,20.0,24.0,101.0,5.0,9.0,3.0,4.0,14.0,1.0,1.0,1.0,3.0,20.0,36.0,15.0,6.0,2.0,17.0,4.0,4.0,1.0,10.0,5.0,15.0,3.0,2.0,9.0,1.0,35.0,3.0,12.0,1.0,6.0,27.0,2.0,35.0,16.0,51.0,5.0,9.0,5.0,4.0,14.0,2.0,11.0,1.0,3.0,2.0,5.0,1.0,22.0,1.0,2.0,24.0,1.0,2.0,27.0,2.0,1.0,13.0,1.0,9.0,1.0,1.0,5.0,1.0,3.0,10.0,8.0,87.0,3.0,3.0,1.0,0.35714285714285715,0.37037037037037035,0.7142857142857143,0.35,0.35,0.5,0.5555555555555556,1.0,0.506578947368421,0.4166666666666667,1.0,0.5681818181818182,0.5,0.75,0.2631578947368421,0.05,0.07142857142857142,0.12903225806451613,0.058823529411764705,0.6666666666666666,1.0,0.3333333333333333,0.574468085106383,0.42857142857142855,0.6666666666666666,0.25,0.5892857142857143,0.375,0.46153846153846156,0.5555555555555556,0.16666666666666666,0.25,0.631578947368421,0.5625,0.5,0.75,0.1388888888888889,0.8,0.40789473684210525,0.5806451612903226,0.6666666666666666,0.5,0.18421052631578946,0.35714285714285715,0.35714285714285715,0.14473684210526316,0.45454545454545453,0.45454545454545453,0.2,0.039473684210526314,1.0,1.0,0.6666666666666666,0.2236842105263158,0.23529411764705882,0.25,0.75,0.6666666666666666,0.5,0.25,0.6710526315789473,0.23529411764705882,0.5129756578947369,0.5864666666666667,0.318,0.14942528735632185,0.19402985074626866,0.13861386138613863,0.0297029702970297,6.7375,22.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,True
100812-101023-201046-201048-203026,1611661330,"Erika de Souza, Sancho Lyttle, Lindsey Harding, Armintie Herrington, Tiffany Hayes","de Souza, Lyttle, Harding, Herrington, Hayes",100812-101023-201046-201048-203026,ATL,492.0,2,8.0,-1.0,15.0,16,4.0,31,13.0,3.0,6.0,1.0,4.0,90.73170731707317,15.133333333333333,16.5625,14.666666666666666,13.1875,0.26666666666666666,5.0,2.0,2.0,5.0,,,1.0,1.0,,1.0,1.0,1.0,,2.0,,3.0,7.0,1.0,3.0,3.0,12.0,,,,,,1.0,2.0,1.0,6.0,2.0,4.0,3.0,,,2.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,5.0,1.0,1.0,,,7.0,,7.0,2.0,9.0,,2.0,,2.0,3.0,2.0,3.0,,,2.0,2.0,,4.0,1.0,,3.0,,,3.0,1.0,,2.0,,2.0,,,2.0,,,2.0,1.0,12.0,6.0,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.5,0.45,,0.8333333333333334,0.5454545454545454,,1.0,0.3,,0.14285714285714285,0.2,,0.5,,,0.5833333333333334,0.25,,0.5,0.5833333333333334,0.3333333333333333,,,1.0,0.5,0.5,0.8,0.3333333333333333,,,0.5,0.5,0.4,0.5,0.5,0.1,1.0,1.0,0.1,,,,0.1,1.0,1.0,1.0,0.2,,,,,,,0.8,,0.5811499999999999,,0.5213833333333333,0.18181818181818182,0.25,,0.5,4.514285714285714,21.766666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,True
100812-101023-201046-201881-203026,1611661330,"Erika de Souza, Sancho Lyttle, Lindsey Harding, Angel McCoughtry, Tiffany Hayes","de Souza, Lyttle, Harding, McCoughtry, Hayes",100812-101023-201046-201881-203026,ATL,1079.0,3,18.0,-4.0,36.0,37,18.0,73,34.0,3.0,11.0,5.0,18.0,97.42354031510658,16.166666666666668,13.432432432432432,14.694444444444445,11.972972972972974,0.5,13.0,8.0,6.0,11.0,2.0,4.0,,2.0,3.0,5.0,,3.0,1.0,5.0,,9.0,18.0,1.0,8.0,9.0,30.0,2.0,4.0,1.0,2.0,6.0,5.0,10.0,4.0,14.0,12.0,6.0,3.0,,2.0,5.0,1.0,,,6.0,1.0,7.0,1.0,,3.0,3.0,15.0,3.0,3.0,2.0,4.0,11.0,,15.0,8.0,23.0,,3.0,2.0,1.0,8.0,3.0,7.0,,1.0,2.0,3.0,,9.0,1.0,,12.0,1.0,1.0,18.0,2.0,1.0,5.0,3.0,2.0,,,2.0,,,2.0,2.0,24.0,14.0,2.0,3.0,0.6666666666666666,0.75,1.0,0.125,0.125,0.5,0.5,0.5,0.40384615384615385,0.4,0.3333333333333333,0.4393939393939394,0.5,0.3684210526315789,0.3076923076923077,,,,,0.7272727272727273,,0.5,0.7333333333333333,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.7142857142857143,0.375,0.4,0.5,,0.5,0.7142857142857143,0.8333333333333334,0.5,0.6666666666666666,,1.0,0.4230769230769231,0.5454545454545454,0.5454545454545454,0.5,0.07692307692307693,,,0.19230769230769232,0.6,0.6,1.0,0.11538461538461539,,,,0.19230769230769232,0.2,0.2,1.0,0.8,0.5,,0.7307692307692307,0.2,0.5429423076923077,0.58235,0.5610566666666668,0.2,0.23809523809523808,0.2,0.4666666666666667,6.955555555555556,21.675,7.0,,3.0,,5.0,,0.4666666666666667,0.2,,4.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.2,0.5714285714285714,0.13333333333333333,0.1111111111111111,,,,,,,,,,,,,,1611661330,2012,2012,True
100812-101023-201484-201881-203026,1611661330,"Erika de Souza, Sancho Lyttle, Ketia Swanier, Angel McCoughtry, Tiffany Hayes","de Souza, Lyttle, Swanier, McCoughtry, Hayes",100812-101023-201484-201881-203026,ATL,145.0,1,2.0,3.0,4.0,3,1.0,7,4.0,,,,1.0,69.51724137931035,22.25,18.666666666666668,22.25,15.666666666666666,0.25,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,2.0,3.0,1.0,1.0,,7.0,,,,,,,1.0,,,,4.0,3.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,3.0,,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,7.0,,,,,,1.0,1.0,1.0,0.6666666666666666,,,0.875,,,0.875,,,0.25,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,0.25,1.0,1.0,,0.25,1.0,1.0,0.25,,,,,,,,0.25,1.0,1.0,1.0,,,,0.5,1.0,0.4013875,,0.2241,,,,,8.833333333333334,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,True
100812-101049-201046-201048-201881,1611661330,"Erika de Souza, Cathrine Kraayeveld, Lindsey Harding, Armintie Herrington, Angel McCoughtry","de Souza, Kraayeveld, Harding, Herrington, McCoughtry",100812-101049-201046-201048-201881,ATL,366.0,1,6.0,8.0,12.0,13,,25,11.0,,2.0,,,98.36065573770492,13.75,15.461538461538462,12.666666666666666,14.76923076923077,,,1.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,,,,8.0,11.0,1.0,1.0,,19.0,1.0,1.0,,,2.0,,,,,8.0,8.0,3.0,,,,,1.0,,4.0,1.0,5.0,,1.0,2.0,1.0,11.0,,1.0,,2.0,4.0,,6.0,1.0,7.0,,1.0,1.0,,2.0,,2.0,,,,2.0,,3.0,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,17.0,,,,0.5,0.5,1.0,1.0,1.0,0.7272727272727273,1.0,,0.7916666666666666,1.0,,0.7916666666666666,1.0,,0.08333333333333333,,0.09090909090909091,0.16666666666666666,,1.0,,,0.6666666666666666,0.3333333333333333,1.0,,0.75,0.3333333333333333,1.0,,,,0.5,1.0,0.6666666666666666,1.0,,,0.5,0.8333333333333334,1.0,0.4,0.08333333333333333,1.0,1.0,0.3333333333333333,0.5,0.5,0.5,0.08333333333333333,1.0,1.0,1.0,,,,,1.0,1.0,,0.5833333333333334,,0.5493083333333334,0.5387,,0.08333333333333333,0.09090909090909091,0.10526315789473684,,7.1909090909090905,23.7,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1611661330,2012,2012,True
100812-101049-201048-201484-203026,1611661330,"Erika de Souza, Cathrine Kraayeveld, Armintie Herrington, Ketia Swanier, Tiffany Hayes","de Souza, Kraayeveld, Herrington, Swanier, Hayes",100812-101049-201048-201484-203026,ATL,56.0,1,1.0,6.0,3.0,2,,5,,,,,,128.57142857142856,6.333333333333333,18.5,6.333333333333333,18.5,,,,1.0,1.0,,,,,1.0,1.0,,,,,,2.0,2.0,,,2.0,6.0,,,,,,,,,,2.0,2.0,,,,,,,,1.0,,1.0,,,1.0,,2.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,6.0,,,,0.5,0.5,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,0.5,1.0,1.0,1.0,,,,0.5,1.0,1.0,,,,,,,,,,,,,0.5,,0.52295,,,0.3333333333333333,0.3333333333333333,,,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,True
100812-201046-201048-201881-202623,1611661330,"Erika de Souza, Lindsey Harding, Armintie Herrington, Angel McCoughtry, Aneika Morello","de Souza, Harding, Herrington, McCoughtry, Morello",100812-201046-201048-201881-202623,ATL,109.0,1,2.0,-2.0,4.0,4,,8,4.0,,1.0,,,105.68807339449542,15.5,11.75,13.25,9.75,,,2.0,1.0,3.0,,,,,,,,,,,,1.0,3.0,,,,2.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,1.0,,,0.5,0.5,,,0.3333333333333333,0.5,0.5,,,,1.0,,,,,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,1.0,,0.5420666666666667,,,,,,,1.9000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,True
100812-201046-201881-202623-203026,1611661330,"Erika de Souza, Lindsey Harding, Angel McCoughtry, Aneika Morello, Tiffany Hayes","de Souza, Harding, McCoughtry, Morello, Hayes",100812-201046-201881-202623-203026,ATL,104.0,1,2.0,-2.0,2.0,3,,5,6.0,,,,,69.23076923076923,30.0,14.666666666666666,29.5,14.666666666666666,,,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,,,,,,2.0,4.0,,,,4.0,1.0,1.0,,,2.0,,,,,,4.0,,,2.0,,,,,,,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,0.5,1.0,,0.5,1.0,,0.4,0.5,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,0.25,1.0,1.0,,,,,0.75,0.3333333333333333,0.3333333333333333,,,,,,,,,,1.0,1.0,,0.25,,0.43585,0.6138,,0.2,0.2,0.5,,13.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,True
101023-101049-201046-201048-203026,1611661330,"Sancho Lyttle, Cathrine Kraayeveld, Lindsey Harding, Armintie Herrington, Tiffany Hayes","Lyttle, Kraayeveld, Harding, Herrington, Hayes",101023-101049-201046-201048-203026,ATL,228.0,1,4.0,1.0,8.0,9,7.0,17,9.0,,1.0,1.0,7.0,107.36842105263159,16.875,10.333333333333334,15.75,10.333333333333334,0.875,6.0,3.0,2.0,2.0,1.0,1.0,,,,3.0,,,,1.0,,2.0,5.0,,1.0,6.0,10.0,1.0,1.0,,3.0,5.0,2.0,5.0,4.0,8.0,,4.0,,,2.0,1.0,,,,,,,,,,,,1.0,2.0,,,1.0,,1.0,3.0,4.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,2.0,,,6.0,1.0,,8.0,,,2.0,2.0,,,,,,,,,5.0,8.0,1.0,2.0,,,,,,0.4,1.0,0.4,0.3333333333333333,1.0,0.3333333333333333,0.5,0.8333333333333334,0.4444444444444444,0.16666666666666666,,,,,1.0,,,0.3333333333333333,0.6666666666666666,,1.0,0.3333333333333333,0.75,,,0.6666666666666666,1.0,,,1.0,,,,0.3333333333333333,1.0,1.0,,,,,0.5,,,,,,,,0.16666666666666666,,,,1.0,1.0,,0.5,,0.46665833333333334,,0.46665833333333334,0.25,0.2857142857142857,0.5,0.8,11.14,22.6,2.0,,,,1.0,,0.3333333333333333,,,2.0,,1.0,,,,,1.0,0.16666666666666666,,,,,,,,,,,,,,,1611661330,2012,2012,True
