EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,OffRebounds,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FtPoints,SecondChanceFtPoints,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,OffThreePtRebounds,BlockingFouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefAtRimReboundPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,HeaveAttempts,Fg2aBlocked,Steals,BadPassSteals,LostBallTurnovers,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,Blocks,3SecondViolations,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Corner3FGM,PtsUnassisted3s,Corner3Assists,AtRimAssists,SelfOReb,LostBallSteals,StepOutOfBoundsTurnovers,Offensive Fouls,Charge Fouls Drawn,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyFG3A,PenaltyFtPoints,FTDefRebounds,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,DefFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,LongMidRangeAssists,LongMidRangePctAssisted,Travels,Blocked3s,BlockedArc3,RecoveredBlocks,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,PenaltyArc3FGA,Loose Ball Fouls,ShortMidRangePctBlocked,PenaltyArc3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Offensive Fouls Drawn,team_id,year,season,team_vs
100533-100919-101025-200665-201502,1611661313,"DeMya Walker, Nicole Powell, Kara Braxton, Cappie Pondexter, Essence Carson","Walker, Powell, Braxton, Pondexter, Carson",100533-100919-101025-200665-201502,NYL,255.0,2,4.0,-9.0,7.0,7,14,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,11,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.3333333333333333,0.2,0.2,0.4,0.5,0.3333333333333333,1.0,0.5,0.5,1.0,79.05882352941177,19.0,17.428571428571427,19.0,14.142857142857142,0.2,0.4,0.5,0.5,0.4,0.6,0.46935000000000004,7.766666666666667,24.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2012,2012,False
100533-100919-101025-200665-201507,1611661313,"DeMya Walker, Nicole Powell, Kara Braxton, Cappie Pondexter, Leilani Mitchell","Walker, Powell, Braxton, Pondexter, Mitchell",100533-100919-101025-200665-201507,NYL,65.0,1,1.0,3.0,2.0,2,4,1.0,,,2.0,,1.0,2.0,6.0,3,,2.0,,1.0,1.0,2.0,,,,,,1.0,1.0,3.0,,1.0,1.0,0.6666666666666666,,1.0,,1.0,1.0,,88.61538461538463,18.0,14.5,11.0,14.5,0.3333333333333333,,,,0.6666666666666666,1.0,0.6086833333333334,1.7,22.55,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6306,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2012,2012,False
100533-100919-200665-201507-201913,1611661313,"DeMya Walker, Nicole Powell, Cappie Pondexter, Leilani Mitchell, Kia Vaughn","Walker, Powell, Pondexter, Mitchell, Vaughn",100533-100919-200665-201507-201913,NYL,287.0,2,5.0,-4.0,9.0,8,17,,1.0,3.0,3.0,2.0,5.0,4.0,7.0,11,2.0,3.0,1.0,2.0,3.0,4.0,,,,,,1.0,3.0,6.0,0.4,0.2222222222222222,0.3181818181818182,0.4444444444444444,,0.6666666666666666,1.0,0.75,,1.0,85.29616724738676,18.0,15.625,17.88888888888889,15.625,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4231888888888889,14.3,22.325,,,,,,,,1.0,,,,1.0,,2.0,,1.0,,,,,,0.5,,0.14285714285714285,,,,,,,,,,0.14285714285714285,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,0.5,0.5,0.25,0.3333333333333333,0.6666666666666666,1.0,0.2222222222222222,0.5,0.5,0.1111111111111111,0.18181818181818182,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2012,2012,False
100533-100919-201502-201507-201913,1611661313,"DeMya Walker, Nicole Powell, Essence Carson, Leilani Mitchell, Kia Vaughn","Walker, Powell, Carson, Mitchell, Vaughn",100533-100919-201502-201507-201913,NYL,199.0,1,3.0,-4.0,6.0,7,13,,1.0,2.0,,1.0,3.0,,2.0,6,2.0,,1.0,2.0,3.0,3.0,,2.0,,2.0,2.0,,1.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,1.0,0.75,0.5,1.0,94.07035175879396,14.833333333333334,15.714285714285714,14.666666666666666,15.714285714285714,,0.6666666666666666,0.5,0.5,,,0.3867333333333333,8.566666666666666,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,0.3333333333333333,,,,,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3761,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2012,2012,False
100533-201502-201507-201913-202652,1611661313,"DeMya Walker, Essence Carson, Leilani Mitchell, Kia Vaughn, Alex Montgomery","Walker, Carson, Mitchell, Vaughn, Montgomery",100533-201502-201507-201913-202652,NYL,355.0,2,6.0,-3.0,8.0,8,16,4.0,,2.0,3.0,1.0,9.0,3.0,2.0,5,2.0,2.0,1.0,3.0,4.0,11.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.25,0.5,0.6,1.0,0.6666666666666666,,1.0,64.90140845070422,28.625,15.75,21.25,15.25,0.3333333333333333,0.16666666666666666,,,0.25,0.5833333333333334,0.4788636363636364,7.877777777777778,32.03333333333333,5.0,,,,,,,2.0,,,,,,,5.0,7.0,,,,,0.2,0.2,0.625,0.7,0.6666666666666666,,,,,,,,0.503975,1.0,,,3.0,,,,,,,2.0,,2.0,,,,,,1.0,1.0,1.0,,0.25,,,,,,,,,,,,,,,,,0.6666666666666666,,,,1.0,1.0,3.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,0.2222222222222222,0.5,1.0,0.25,0.5,0.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2012,2012,False
100888-100919-101025-200665-201502,1611661313,"Plenette Pierson, Nicole Powell, Kara Braxton, Cappie Pondexter, Essence Carson","Pierson, Powell, Braxton, Pondexter, Carson",100888-100919-101025-200665-201502,NYL,958.0,2,16.0,2.0,30.0,32,62,14.0,1.0,4.0,4.0,10.0,23.0,7.0,29.0,27,10.0,4.0,1.0,8.0,9.0,14.0,1.0,,,2.0,3.0,1.0,5.0,25.0,0.43478260869565216,0.43333333333333335,0.453125,0.23333333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6,0.5,1.0,93.19415448851774,15.2,15.6875,14.2,14.46875,0.4666666666666667,0.13333333333333333,0.25,0.25,0.13333333333333333,0.7,0.5367099999999999,6.034782608695653,21.942857142857143,5.0,1.0,,,2.0,,,4.0,3.0,1.0,1.0,6.0,,13.0,3.0,5.0,0.5,0.2857142857142857,,0.2857142857142857,0.4,0.4,0.23076923076923078,0.2777777777777778,,0.25,0.25,,,,,0.25,0.5092,0.13793103448275862,,,5.0,3.0,3.0,,10.0,5.0,1.0,2.0,1.0,4.0,4.0,2.0,,0.5,0.5555555555555556,0.4,0.3333333333333333,0.75,1.0,0.16666666666666666,,,0.1,0.0625,0.08,,,,,,,,,,,,0.75,,,,9.0,2.0,5.0,2.0,5.0,2.0,,,8.0,7.0,1.0,,,,,,0.4,,,0.4,0.6428571428571429,0.6428571428571429,1.0,0.4,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.05555555555555555,0.4444444444444444,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2012,2012,False
100888-100919-101025-200665-201507,1611661313,"Plenette Pierson, Nicole Powell, Kara Braxton, Cappie Pondexter, Leilani Mitchell","Pierson, Powell, Braxton, Pondexter, Mitchell",100888-100919-101025-200665-201507,NYL,81.0,1,1.0,2.0,4.0,3,7,3.0,,,,2.0,4.0,,4.0,2,2.0,,,1.0,1.0,2.0,,,,1.0,1.0,,2.0,2.0,0.5,0.5,0.5,,,0.5,,0.5,,,124.44444444444444,8.5,15.666666666666666,8.25,14.666666666666666,0.75,,,,,0.75,0.572675,4.475,,1.0,,,,,,,2.0,,,,1.0,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.6755,0.5,3.0,,1.0,,,,2.0,1.0,,,1.0,1.0,,,1.0,0.5,1.0,,,,,0.25,,,,,,2.0,,1.0,,1.0,,2.0,,,,,0.5,0.2509,,0.5,2.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,1.0,,,,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,1.0,1.0,,,1.0,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2012,2012,False
100888-100919-101025-200665-202652,1611661313,"Plenette Pierson, Nicole Powell, Kara Braxton, Cappie Pondexter, Alex Montgomery","Pierson, Powell, Braxton, Pondexter, Montgomery",100888-100919-101025-200665-202652,NYL,211.0,1,4.0,6.0,6.0,7,13,4.0,,,,2.0,5.0,1.0,8.0,2,4.0,,1.0,1.0,3.0,5.0,,,,,,1.0,1.0,8.0,0.4,0.3333333333333333,0.5,0.16666666666666666,,0.5,1.0,0.6666666666666666,1.0,1.0,88.72037914691943,11.666666666666666,20.142857142857142,10.666666666666666,17.571428571428573,0.6666666666666666,,,,,0.8333333333333334,0.5761,4.46,22.4,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,0.6666666666666666,0.5,0.6666666666666666,,,,,,,,0.6515,,7.0,1.0,1.0,1.0,4.0,,,,,,,3.0,5.0,2.0,,,,,,,,0.16666666666666666,1.0,1.0,0.16666666666666666,0.2857142857142857,0.3333333333333333,5.0,2.0,5.0,7.0,,7.0,5.0,1.0,0.4,0.3333333333333333,0.5,,0.5761,0.875,0.8333333333333334,1.0,,2.0,,2.0,,,1.0,,,,,,,,,,0.2,0.25,,0.25,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.25,0.16666666666666666,,,,,,,,,,,,,,,,,,,1611661313,2012,2012,False
100888-100919-101025-201507-202652,1611661313,"Plenette Pierson, Nicole Powell, Kara Braxton, Leilani Mitchell, Alex Montgomery","Pierson, Powell, Braxton, Mitchell, Montgomery",100888-100919-101025-201507-202652,NYL,122.0,1,2.0,-2.0,3.0,4,7,,,1.0,,2.0,3.0,,4.0,6,2.0,,,,,,,,,,,,1.0,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,82.62295081967214,18.333333333333332,16.75,18.333333333333332,13.0,,0.3333333333333333,,,,,0.3974,12.866666666666667,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,,,,2.0,1.0,,,,1.0,,,,0.5,0.5,,,,,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,1611661313,2012,2012,False
100888-100919-200665-201502-201913,1611661313,"Plenette Pierson, Nicole Powell, Cappie Pondexter, Essence Carson, Kia Vaughn","Pierson, Powell, Pondexter, Carson, Vaughn",100888-100919-200665-201502-201913,NYL,885.0,2,15.0,5.0,28.0,28,56,6.0,3.0,3.0,3.0,9.0,22.0,4.0,25.0,20,6.0,3.0,2.0,14.0,16.0,20.0,3.0,,2.0,2.0,5.0,3.0,7.0,18.0,0.4090909090909091,0.40384615384615385,0.46296296296296297,0.15384615384615385,0.6,0.9333333333333333,0.4,0.8,1.0,0.25,91.11864406779661,14.857142857142858,16.75,13.642857142857142,15.285714285714286,0.23076923076923078,0.11538461538461539,1.0,1.0,0.11538461538461539,0.38461538461538464,0.4558673076923077,11.781818181818181,23.0,3.0,,,,1.0,,,7.0,3.0,,1.0,7.0,,15.0,4.0,4.0,1.0,0.25,,0.25,0.75,0.875,0.3076923076923077,0.25,0.25,,,,,,,,0.55925,0.28,,4.0,13.0,1.0,4.0,1.0,12.0,6.0,1.0,,,4.0,4.0,3.0,,0.6666666666666666,0.75,,,1.0,0.3333333333333333,0.5,0.3076923076923077,0.3076923076923077,0.038461538461538464,0.1111111111111111,0.13043478260869565,,,,,,,,,,,,0.6666666666666666,,,,2.0,2.0,3.0,3.0,4.0,2.0,,1.0,2.0,2.0,1.0,,1.0,1.0,2.0,,0.75,0.045454545454545456,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.75,0.6666666666666666,1.0,,1.0,1.0,,,1.0,,,,,,0.5,1.0,1.0,1.0,,,,,,,,2.0,,,,,,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,,,,,,,,,,1611661313,2012,2012,False
