EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,Offensive Fouls,Loose Ball Fouls Drawn,PenaltyArc3FGA,PenaltyFG3A,FTDefRebounds,LostBallTurnovers,DefFTReboundPct,PenaltyArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,PenaltyFg3Pct,OffFTReboundPct,PenaltyArc3Accuracy,LongMidRangePctBlocked,team_id,year,season,team_vs
100720-1628886-1628920-1629496-203855,1611661328,"Sue Bird, Jordin Canada, Mercedes Russell, Ezi Magbegor, Stephanie Talbot","Bird, Canada, Russell, Magbegor, Talbot",100720-1628886-1628920-1629496-203855,SEA,121.0,1,2,-2.0,4,4,4.0,4.0,8,1.0,1.0,1.0,2.0,1.0,3,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,95.20661157024794,18.0,12.25,18.0,12.25,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5233666666666666,0.5233666666666666,1.0,6.233333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2021,2021,True
100720-1628920-1629478-1629496-204319,1611661328,"Sue Bird, Mercedes Russell, Katie Lou Samuelson, Ezi Magbegor, Jewell Loyd","Bird, Russell, Lou Samuelson, Magbegor, Loyd",100720-1628920-1629478-1629496-204319,SEA,1398.0,1,23,6.0,44,43,6.0,4.0,87,17.0,1.0,1.0,5.0,15.0,23,53.0,47.0,1.0,2.0,6.0,18.0,9.0,11.0,,24.0,6.0,20.0,28.0,2.0,2.0,3.0,5.0,,45.0,6.0,6.0,0.6,0.75,0.6521739130434783,0.5,0.5487804878048781,0.5,0.5520833333333334,0.5,0.75,0.7407407407407407,0.7142857142857143,89.6137339055794,15.454545454545455,16.697674418604652,14.5,16.0,0.4146341463414634,0.12195121951219512,0.2,0.25,,0.5,0.8536585365853658,0.5352170731707316,0.4442,0.11320754716981132,4.134782608695652,0.13636363636363635,8.0,13.0,4.0,6.0,1.0,1.0,1.0,2.0,3.0,3.0,15.0,2.0,5.0,18.0,8.0,4.0,6.0,2.0,8.0,4.0,12.0,6.0,9.0,6.0,15.0,3.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,5.0,3.0,14.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,13.0,16.0,2.0,6.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,3.0,0.4,0.2777777777777778,0.2777777777777778,0.6666666666666666,0.5,0.5,0.43902439024390244,0.05555555555555555,0.08695652173913043,0.058823529411764705,0.2,0.06666666666666667,0.4,0.7368421052631579,0.5,0.38461538461538464,0.42105263157894735,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.8,0.75,0.6666666666666666,1.0,0.1111111111111111,0.75,0.7647058823529411,0.8125,0.6153846153846154,0.024390243902439025,1.0,1.0,1.0,0.07317073170731707,0.6666666666666666,0.6666666666666666,0.5,0.36585365853658536,0.2,0.21428571428571427,0.3333333333333333,0.75,0.6666666666666666,0.25,0.25,1.0,0.2,0.5475375,0.13333333333333333,0.2222222222222222,0.1509433962264151,24.194444444444443,,,,,,,,,,,,,,,,,,,,,,,1611661328,2021,2021,True
100720-1628920-1629478-1629568-204319,1611661328,"Sue Bird, Mercedes Russell, Katie Lou Samuelson, Kennedy Burke, Jewell Loyd","Bird, Russell, Lou Samuelson, Burke, Loyd",100720-1628920-1629478-1629568-204319,SEA,115.0,1,2,2.0,4,4,,,8,3.0,,,,2.0,3,4.0,2.0,,,,4.0,2.0,2.0,,4.0,1.0,2.0,2.0,1.0,1.0,,,,4.0,,,1.0,1.0,0.6666666666666666,,0.5,,0.5,,1.0,1.0,1.0,100.17391304347825,17.0,11.75,17.0,11.75,0.75,,,,,,1.0,0.568625,,,2.8000000000000003,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,0.3333333333333333,0.3333333333333333,,,,1.0,,,,,,,,,1.0,,,,,0.6666666666666666,1.0,1.0,,,,,0.25,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,,,,,,,,,,,,,,1611661328,2021,2021,True
100720-1628920-1629478-202259-204319,1611661328,"Sue Bird, Mercedes Russell, Katie Lou Samuelson, Epiphanny Prince, Jewell Loyd","Bird, Russell, Lou Samuelson, Prince, Loyd",100720-1628920-1629478-202259-204319,SEA,149.0,1,2,,4,4,,,8,1.0,,,3.0,1.0,5,2.0,2.0,,,,,,,,,,2.0,6.0,,,1.0,2.0,,,,,,,0.2,,0.16666666666666666,,0.16666666666666666,,,0.6666666666666666,,77.31543624161074,19.75,17.5,13.75,17.5,0.16666666666666666,0.5,,,,,0.3333333333333333,0.47658333333333336,,,8.16,,2.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,3.0,1.0,2.0,,2.0,,,2.0,1.0,,,,,,,,,1.0,3.0,2.0,4.0,,1.0,,1.0,,,2.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,0.3333333333333333,0.25,0.25,0.16666666666666666,,,,,,0.5,0.6666666666666666,0.75,1.0,0.8,,1.0,1.0,,0.5,,1.0,,,,1.0,1.0,,0.16666666666666666,,,,,,,,0.16666666666666666,,,,0.25,1.0,,0.25,,,0.44036666666666663,,,1.0,24.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1611661328,2021,2021,True
100720-1628920-1629478-203855-204319,1611661328,"Sue Bird, Mercedes Russell, Katie Lou Samuelson, Stephanie Talbot, Jewell Loyd","Bird, Russell, Lou Samuelson, Talbot, Loyd",100720-1628920-1629478-203855-204319,SEA,285.0,1,5,-13.0,7,9,1.0,3.0,16,,,,3.0,,3,,13.0,,,,,,,,,3.0,5.0,5.0,,,,1.0,1.0,,,1.0,,,,,,,,,0.75,0.6666666666666666,1.0,80.84210526315789,18.285714285714285,17.444444444444443,18.285714285714285,16.0,,0.42857142857142855,,,,,0.5714285714285714,0.45165,0.546,,7.933333333333334,0.14285714285714285,,,,,,,,,1.0,,3.0,,,4.0,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,1.0,,,,2.0,3.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,0.5714285714285714,,,,,,1.0,0.5,,,,,,,,0.5,,,0.5,,1.0,,,,,,,,0.14285714285714285,,,,0.42857142857142855,,,,,,,,,,,,,,23.725,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1611661328,2021,2021,True
100720-1628920-1629496-203855-204319,1611661328,"Sue Bird, Mercedes Russell, Ezi Magbegor, Stephanie Talbot, Jewell Loyd","Bird, Russell, Magbegor, Talbot, Loyd",100720-1628920-1629496-203855-204319,SEA,84.0,1,1,,3,3,3.0,3.0,6,1.0,1.0,,1.0,,2,2.0,2.0,,2.0,2.0,,,,,,1.0,1.0,2.0,,,,,,2.0,2.0,3.0,,,,,,,0.25,0.25,1.0,1.0,,102.85714285714286,18.0,10.0,16.333333333333332,10.0,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,0.6666666666666666,0.4959166666666666,0.4959166666666666,1.0,3.1,1.0,1.0,,,1.0,,,,,,,1.0,,,1.0,2.0,,1.0,,,2.0,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,0.3333333333333333,,0.5,,1.0,,,,,1.0,0.3333333333333333,,,1.0,,,,,1.0,0.5,,,,,,,,,,,,,0.3333333333333333,,,,1.0,,,,,,,,,,24.0,,,1.0,1.0,,,,0.3333333333333333,,,,,,,,,,,,,,,1611661328,2021,2021,True
100720-1628920-1629568-203855-204319,1611661328,"Sue Bird, Mercedes Russell, Kennedy Burke, Stephanie Talbot, Jewell Loyd","Bird, Russell, Burke, Talbot, Loyd",100720-1628920-1629568-203855-204319,SEA,51.0,1,1,,3,2,,,5,1.0,,,1.0,,2,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,141.1764705882353,13.666666666666666,5.0,13.666666666666666,5.0,0.5,0.5,,,,,0.5,0.49025,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2021,2021,True
1628886-1628920-1629478-202259-203855,1611661328,"Jordin Canada, Mercedes Russell, Katie Lou Samuelson, Epiphanny Prince, Stephanie Talbot","Canada, Russell, Lou Samuelson, Prince, Talbot",1628886-1628920-1629478-202259-203855,SEA,142.0,1,2,7.0,5,4,,,9,2.0,,,1.0,2.0,3,9.0,2.0,,,,4.0,2.0,3.0,,7.0,,1.0,2.0,2.0,2.0,,,,6.0,,,1.0,1.0,0.6666666666666666,,0.875,,0.9,,,1.0,,91.26760563380282,11.0,21.75,10.6,21.75,0.5,0.25,,,,,0.75,0.5594,,,4.733333333333333,,1.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,3.0,,,3.0,,,1.0,1.0,,,1.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,,1.0,1.0,1.0,,1.5,1.5,0.25,,,,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,0.25,1.0,1.0,1.0,,,,1.0,,1.0,0.6288,0.2,,0.3333333333333333,24.6,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,1611661328,2021,2021,True
1628886-1628920-1629496-202259-203855,1611661328,"Jordin Canada, Mercedes Russell, Ezi Magbegor, Epiphanny Prince, Stephanie Talbot","Canada, Russell, Magbegor, Prince, Talbot",1628886-1628920-1629496-202259-203855,SEA,240.0,1,4,3.0,7,8,2.0,3.0,15,1.0,,,1.0,1.0,2,9.0,6.0,,,4.0,2.0,1.0,3.0,,8.0,1.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,9.0,4.0,2.0,1.0,1.0,0.5,,0.8,1.5,0.75,1.0,1.0,1.0,1.0,90.0,16.857142857142858,15.25,15.285714285714286,15.25,0.2,0.2,,,,,0.8,0.5535599999999999,0.53595,0.4444444444444444,7.45,0.2857142857142857,1.0,1.0,,,,,,,,2.0,3.0,,2.0,3.0,1.0,,,,,1.0,,6.0,,,3.0,2.0,,1.0,2.0,2.0,,1.0,,,,3.0,1.0,,1.0,,1.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,0.6,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,0.6,0.6666666666666666,1.0,1.0,,,,,,0.6666666666666666,,0.2,0.5,,24.266666666666666,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1611661328,2021,2021,True
1628886-1628920-1629568-202259-203855,1611661328,"Jordin Canada, Mercedes Russell, Kennedy Burke, Epiphanny Prince, Stephanie Talbot","Canada, Russell, Burke, Prince, Talbot",1628886-1628920-1629568-202259-203855,SEA,35.0,1,1,,2,2,2.0,,4,1.0,1.0,,1.0,1.0,2,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,164.57142857142856,12.0,5.5,12.0,4.0,0.5,0.5,,,,0.5,0.5,0.5818,0.5818,1.0,3.8,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2021,2021,True
