EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,OpponentPoints,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,DefLongMidRangeReboundPct,PenaltyShotQualityAvg,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,FTDefRebounds,2pt And 1 Free Throw Trips,DefFTReboundPct,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,SecondChanceFtPoints,PtsPutbacks,ShortMidRangeAssists,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyFG2M,Offensive Fouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,HeaveAttempts,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Fg3aBlocked,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffCorner3ReboundPct,SecondChanceCorner3FGM,PtsUnassisted3s,Blocked3s,BlockedCorner3,SecondChanceCorner3Accuracy,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls Drawn,Technical Free Throw Trips,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceCorner3PctAssisted,Corner3PctBlocked,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
1628277-1630112-1630386-1630440-203866,1611661321,"Allisha Gray, Tyasha Harris, Awak Kuier, Chelsea Dungee, Kayla Thornton","Gray, Harris, Kuier, Dungee, Thornton",1628277-1630112-1630386-1630440-203866,DAL,81.0,1,1.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.88888888888889,12.333333333333334,22.0,12.333333333333334,22.0,1.0,1.0,1.0,1.0,0.3311,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
1627669-1629497-1630112-1630386-204330,1611661321,"Moriah Jefferson, Marina Mabrey, Tyasha Harris, Awak Kuier, Isabelle Harrison","Jefferson, Mabrey, Harris, Kuier, Harrison",1627669-1629497-1630112-1630386-204330,DAL,47.0,1,1.0,-2.0,2.0,2.0,,4.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,122.55319148936171,9.0,14.5,9.0,14.5,1.0,,,,0.3672,17.8,2.0,2.0,1.0,2.0,1.0,0.3672,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
1629481-1629497-1630093-1630112-1630149,1611661321,"Arike Ogunbowale, Marina Mabrey, Bella Alarie, Tyasha Harris, Satou Sabally","Ogunbowale, Mabrey, Alarie, Harris, Sabally",1629481-1629497-1630093-1630112-1630149,DAL,529.0,4,9.0,-4.0,12.0,16.0,3.0,28.0,,,3.0,10.0,11.0,4.0,2.0,3.0,,7.0,2.0,3.0,5.0,11.0,3.0,,3.0,6.0,0.6666666666666666,0.6666666666666666,0.3,0.32142857142857145,0.36666666666666664,0.75,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.5,76.21928166351607,23.25,15.625,21.5,15.125,,,,,0.5392214285714286,3.97,2.0,15.0,,2.0,1.0,,0.16666666666666666,2.0,2.0,6.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.25,0.5,0.25,0.3333333333333333,0.5,0.5,1.0,0.2857142857142857,0.2,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.6,0.75,0.3333333333333333,0.6666666666666666,1.0,0.42857142857142855,0.3333333333333333,0.5,1.0,0.2857142857142857,0.25,0.25,0.2857142857142857,0.25,0.25,1.0,0.4,0.5,1.0,0.4,0.5,1.0,0.7142857142857143,0.25,0.6121,0.06666666666666667,0.09090909090909091,0.45454545454545453,0.18181818181818182,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
1627669-1628277-1630149-203866-204330,1611661321,"Moriah Jefferson, Allisha Gray, Satou Sabally, Kayla Thornton, Isabelle Harrison","Jefferson, Gray, Sabally, Thornton, Harrison",1627669-1628277-1630149-203866-204330,DAL,116.0,2,2.0,5.0,4.0,4.0,,8.0,1.0,1.0,2.0,4.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,3.0,,,,5.0,0.5,0.5,0.5,0.5,0.7,,1.0,1.0,,1.0,99.3103448275862,17.25,11.75,15.0,11.75,0.25,1.0,1.0,1.0,0.4654,8.5,,2.0,,,,,,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,3.0,1.0,1.0,,,2.0,,,2.0,,,,1.0,,,,,1.0,1.0,,,,,1.0,2.0,,2.0,,3.0,2.0,,,,,,,1.0,1.0,1.0,,,0.25,0.5,0.5,,0.5,1.0,,,,0.5,0.5,1.0,,0.25,,,,,,,1.0,1.0,,,,,0.5,,0.5834,0.4,0.4,0.2857142857142857,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
1627669-1629481-1629485-1629497-1630112,1611661321,"Moriah Jefferson, Arike Ogunbowale, Kristine Anigwe, Marina Mabrey, Tyasha Harris","Jefferson, Ogunbowale, Anigwe, Mabrey, Harris",1627669-1629481-1629485-1629497-1630112,DAL,44.0,1,1.0,,2.0,1.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,98.18181818181819,14.5,15.0,14.5,15.0,0.5,,,,0.4569,15.5,2.0,,1.0,2.0,,0.4569,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,,,,,24.2,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
1629481-1630112-1630149-1630454-203866,1611661321,"Arike Ogunbowale, Tyasha Harris, Satou Sabally, Charli Collier, Kayla Thornton","Ogunbowale, Harris, Sabally, Collier, Thornton",1629481-1630112-1630149-1630454-203866,DAL,1114.0,6,19.0,-2.0,34.0,33.0,2.0,67.0,,4.0,8.0,21.0,32.0,10.0,5.0,9.0,,22.0,5.0,4.0,10.0,15.0,2.0,,6.0,28.0,0.625,0.7142857142857143,0.38095238095238093,0.45161290322580644,0.48484848484848486,0.5,0.7142857142857143,0.6,0.5,0.6666666666666666,86.6068222621185,16.529411764705884,16.727272727272727,15.411764705882353,15.969696969696969,0.12903225806451613,,,,0.5136419354838709,7.1571428571428575,,34.0,,,0.3333333333333333,,,5.0,6.0,11.0,1.0,1.0,2.0,6.0,4.0,10.0,,,4.0,10.0,4.0,1.0,4.0,,,4.0,,,6.0,12.0,10.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,5.0,6.0,4.0,1.0,,4.0,11.0,,6.0,,4.0,2.0,,,1.0,0.4,,0.4,0.25,0.25,0.4,,0.3225806451612903,0.09523809523809523,0.18181818181818182,0.3076923076923077,0.16666666666666666,0.2631578947368421,0.4,0.25,0.16666666666666666,1.0,0.3548387096774194,0.5454545454545454,0.6666666666666666,0.5,0.1935483870967742,0.3333333333333333,0.3333333333333333,0.3225806451612903,0.4,0.4,1.0,0.25,1.0,,,,,0.6774193548387096,0.4,0.4949333333333333,0.06060606060606061,0.08695652173913043,0.125,,24.31,1.0,,1.0,,,,2.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.6666666666666666,0.25,0.6666666666666666,0.058823529411764705,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
1627669-1628277-1629497-1630093-204330,1611661321,"Moriah Jefferson, Allisha Gray, Marina Mabrey, Bella Alarie, Isabelle Harrison","Jefferson, Gray, Mabrey, Alarie, Harrison",1627669-1628277-1629497-1630093-204330,DAL,133.0,1,2.0,3.0,5.0,4.0,3.0,9.0,1.0,2.0,2.0,4.0,6.0,4.0,2.0,2.0,1.0,4.0,,1.0,1.0,3.0,2.0,,2.0,2.0,1.0,1.0,0.5,0.5,0.6,1.0,,1.0,,,97.44360902255639,15.6,13.75,11.0,13.75,0.5,0.5,0.5,1.0,0.331575,14.1,3.0,3.0,3.0,3.0,1.0,0.3529,0.6,2.0,,,,,1.0,2.0,,,,,,,2.0,1.0,2.0,,,4.0,,4.0,,,,,,,,,,2.0,2.0,,,,1.0,1.0,3.0,,1.0,,2.0,1.0,4.0,,,,,,0.5,0.5,0.6666666666666666,0.6666666666666666,,,,1.0,,1.0,,1.0,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,0.31885,0.2,0.2,0.6666666666666666,0.6666666666666666,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,2.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
1627669-1629481-1630112-203866-204330,1611661321,"Moriah Jefferson, Arike Ogunbowale, Tyasha Harris, Kayla Thornton, Isabelle Harrison","Jefferson, Ogunbowale, Harris, Thornton, Harrison",1627669-1629481-1630112-203866-204330,DAL,643.0,2,11.0,18.0,21.0,18.0,6.0,39.0,,1.0,4.0,10.0,29.0,,,3.0,,9.0,7.0,4.0,11.0,16.0,4.0,,4.0,25.0,,,0.4,0.5,0.6304347826086957,0.8,0.7777777777777778,0.7857142857142857,1.0,0.75,87.34059097978226,13.904761904761905,19.5,12.952380952380953,17.11111111111111,0.058823529411764705,,,,0.485803125,5.88,15.0,11.0,8.0,15.0,1.0,0.48233461538461536,0.7142857142857143,4.0,2.0,5.0,,1.0,2.0,4.0,3.0,5.0,,,3.0,7.0,12.0,1.0,2.0,,1.0,4.0,6.0,20.0,8.0,9.0,4.0,3.0,3.0,3.0,3.0,,,5.0,5.0,1.0,1.0,1.0,2.0,,3.0,1.0,6.0,,12.0,4.0,20.0,,1.0,0.42857142857142855,,0.5,0.5,0.3333333333333333,0.5,0.5882352941176471,0.4117647058823529,0.3,0.6,0.8333333333333334,,0.5555555555555556,1.0,0.5,,1.0,0.29411764705882354,0.4,1.0,,0.23529411764705882,0.5,0.5,0.29411764705882354,0.6,0.6,1.0,0.3333333333333333,,,,,,0.7058823529411765,0.75,0.4176166666666667,0.19047619047619047,0.2857142857142857,0.13793103448275862,0.6896551724137931,28.62857142857143,,,,4.0,6.0,0.2857142857142857,2.0,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,0.6666666666666666,,1.0,,4.0,,0.5,0.5,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.11764705882352941,0.3333333333333333,0.2857142857142857,0.5,0.14285714285714285,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
1628277-1630093-1630112-1630149-203866,1611661321,"Allisha Gray, Bella Alarie, Tyasha Harris, Satou Sabally, Kayla Thornton","Gray, Alarie, Harris, Sabally, Thornton",1628277-1630093-1630112-1630149-203866,DAL,139.0,1,2.0,1.0,5.0,4.0,1.0,9.0,,,2.0,4.0,5.0,,,,,,1.0,,1.0,3.0,2.0,,2.0,2.0,,,0.5,0.5,0.5,,1.0,0.5,,1.0,93.23741007194243,17.2,13.25,15.4,13.0,,,,,0.61535,2.85,1.0,4.0,1.0,1.0,,0.4139,0.2,2.0,2.0,3.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,3.0,1.0,1.0,4.0,,,,1.0,,,,,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,1.0,1.0,0.75,0.25,,0.25,0.3333333333333333,1.0,,1.0,1.0,1.0,,,0.75,0.6666666666666666,1.0,,0.25,,,,,,,1.0,1.0,,,,,0.75,,0.605,0.2,0.2,0.6,0.2,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
1629481-1629497-1630093-1630112-204330,1611661321,"Arike Ogunbowale, Marina Mabrey, Bella Alarie, Tyasha Harris, Isabelle Harrison","Ogunbowale, Mabrey, Alarie, Harris, Harrison",1629481-1629497-1630093-1630112-204330,DAL,1246.0,8,21.0,1.0,44.0,40.0,11.0,84.0,1.0,5.0,16.0,31.0,49.0,16.0,8.0,10.0,1.0,22.0,4.0,10.0,14.0,23.0,4.0,,6.0,40.0,0.5,0.6153846153846154,0.5161290322580645,0.4418604651162791,0.5212765957446809,0.7692307692307693,0.8,0.7777777777777778,0.6666666666666666,0.8,97.07865168539327,15.318181818181818,14.3,14.5,13.575,0.11627906976744186,0.2,0.2,1.0,0.5452581395348838,5.838709677419355,5.0,48.0,5.0,5.0,1.0,0.4270416666666667,0.11363636363636363,8.0,10.0,17.0,3.0,5.0,5.0,9.0,2.0,10.0,,,2.0,12.0,11.0,4.0,7.0,,,9.0,2.0,6.0,16.0,6.0,10.0,2.0,2.0,2.0,2.0,6.0,3.0,6.0,9.0,2.0,2.0,1.0,,4.0,5.0,,9.0,,12.0,7.0,6.0,,1.0,0.16666666666666666,,0.16666666666666666,0.5714285714285714,0.5714285714285714,0.5625,0.42857142857142855,0.27906976744186046,0.06451612903225806,0.058823529411764705,0.4,0.3333333333333333,0.375,0.42857142857142855,0.25,0.42857142857142855,,0.3953488372093023,0.5882352941176471,0.625,0.6,0.20930232558139536,0.5555555555555556,0.625,0.23255813953488372,0.2,0.2222222222222222,1.0,0.7142857142857143,0.6,0.3333333333333333,,,,0.6744186046511628,0.2,0.6063799999999999,0.15217391304347827,0.20588235294117646,0.1836734693877551,0.12244897959183673,24.808333333333334,,4.0,,1.0,1.0,0.16666666666666666,1.0,6.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,0.3333333333333333,0.5,0.8,0.047619047619047616,,0.2,2.0,1.0,0.4,0.3333333333333333,1.0,2.0,2.0,,,,,,1.0,,1.0,,0.046511627906976744,,0.3333333333333333,0.5,,,1.0,0.08333333333333333,0.1111111111111111,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,False
