EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG2M,FG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,Corner3Assists,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceFg3Pct,Fg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFGM,ShortMidRangeFGA,Steals,BadPassSteals,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,BadPassOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,OffRebounds,LostBallSteals,TwoPtShootingFoulsDrawn,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsAssisted2s,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LostBallTurnovers,PenaltyTurnovers,Travels,3SecondViolations,OffCorner3ReboundPct,Loose Ball Fouls Drawn,SelfOReb,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,LongMidRangePctBlocked,SelfORebPct,HeaveAttempts,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Technical Free Throw Trips,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
100940-1628915-1629482-1629488-201913,1611661317,"Diana Taurasi, Kia Nurse, Sophie Cunningham, Brianna Turner, Kia Vaughn","Taurasi, Nurse, Cunningham, Turner, Vaughn",100940-1628915-1629482-1629488-201913,PHO,84.0,1,1.0,1.0,2.0,3.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.75,0.75,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,85.71428571428572,19.0,15.333333333333334,19.0,10.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.492825,0.492825,1.0,25.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
100940-1628915-1629482-1629488-203398,1611661317,"Diana Taurasi, Kia Nurse, Sophie Cunningham, Brianna Turner, Brittney Griner","Taurasi, Nurse, Cunningham, Turner, Griner",100940-1628915-1629482-1629488-203398,PHO,61.0,1,1.0,3.0,3.0,2.0,,,5.0,,,,,1.0,1.0,5.0,2.0,,,,3.0,,,,1.0,1.0,,3.0,1.0,,1.0,1.0,,,,,,2.0,,,,,1.0,1.0,,1.0,1.25,,1.25,,0.5,,,,1.0,1.0,,118.03278688524591,8.333333333333334,18.0,7.0,18.0,,,,,,,0.5,,0.5107,,,23.4,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6225,0.6,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
100940-1628915-1629482-203398-203400,1611661317,"Diana Taurasi, Kia Nurse, Sophie Cunningham, Brittney Griner, Skylar Diggins-Smith","Taurasi, Nurse, Cunningham, Griner, Diggins-Smith",100940-1628915-1629482-203398-203400,PHO,5.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,288.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
100940-1628915-1629488-201913-203035,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Kia Vaughn, Shey Peddy","Taurasi, Nurse, Turner, Vaughn, Peddy",100940-1628915-1629488-201913-203035,PHO,91.0,1,2.0,,4.0,4.0,,,8.0,1.0,2.0,,,1.0,2.0,7.0,7.0,,,,3.0,2.0,1.0,,1.0,1.0,1.0,3.0,,,,,1.0,1.0,,,,7.0,,,,,1.0,0.5,,0.5,0.875,,0.875,,0.5,,,,,,,126.5934065934066,10.0,12.75,10.0,12.75,0.5,0.5,0.5,1.0,,,0.5,0.5,0.519925,,,25.5,,,,,,,,,2.0,2.0,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,4.85,,,,2.0,2.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
100940-1628915-1629488-201913-203400,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Kia Vaughn, Skylar Diggins-Smith","Taurasi, Nurse, Turner, Vaughn, Diggins-Smith",100940-1628915-1629488-201913-203400,PHO,43.0,2,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,66.97674418604652,6.0,37.0,6.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
100940-1628915-1629488-201913-203829,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Kia Vaughn, Bria Hartley","Taurasi, Nurse, Turner, Vaughn, Hartley",100940-1628915-1629488-201913-203829,PHO,115.0,1,2.0,2.0,3.0,3.0,,,6.0,1.0,2.0,,,1.0,2.0,6.0,4.0,,,,3.0,2.0,1.0,,1.0,1.0,1.0,3.0,,,,3.0,,,2.0,2.0,,2.0,,,,,1.0,0.5,,0.5,0.5,,0.5,,0.4,,,,,,,75.13043478260869,21.0,17.333333333333332,15.333333333333334,17.0,0.4,0.5,0.5,1.0,,,0.4,0.5,0.50144,,,27.2,,2.0,1.0,1.0,,,,,1.0,3.0,1.0,1.0,4.0,2.0,,,,,1.0,0.3333333333333333,0.75,0.6666666666666666,,0.2,1.0,1.0,,,,,,,,0.587475,0.6666666666666666,11.966666666666667,,,,,2.0,1.0,,0.4,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,1.0,0.5,1.0,1.0,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
100940-1628915-1629488-203035-203398,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Shey Peddy, Brittney Griner","Taurasi, Nurse, Turner, Peddy, Griner",100940-1628915-1629488-203035-203398,PHO,10.0,1,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
100940-1628915-1629488-203398-203400,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Brittney Griner, Skylar Diggins-Smith","Taurasi, Nurse, Turner, Griner, Diggins-Smith",100940-1628915-1629488-203398-203400,PHO,3998.0,5,67.0,-19.0,133.0,136.0,12.0,13.0,269.0,8.0,25.0,1.0,2.0,8.0,27.0,141.0,160.0,1.0,2.0,15.0,21.0,25.0,8.0,,7.0,41.0,7.0,89.0,17.0,3.0,45.0,58.0,10.0,25.0,28.0,27.0,1.0,123.0,15.0,12.0,4.0,1.0,0.875,0.2962962962962963,0.5,0.2962962962962963,0.4573643410852713,0.5625,0.5071942446043165,0.6818181818181818,0.20930232558139536,,,1.0,0.5666666666666667,0.7241379310344828,,96.88844422211105,14.819548872180452,14.904411764705882,14.421052631578947,14.308823529411764,0.1937984496124031,0.32,0.32,0.875,0.25,0.5,0.4186046511627907,0.32,0.46222403100775195,0.42200625,0.10638297872340426,24.45925925925926,0.09022556390977443,12.0,10.0,30.0,,2.0,,,47.0,102.0,2.0,4.0,18.0,26.0,,6.0,,7.0,0.5,0.46078431372549017,0.8,0.8181818181818182,0.7894736842105263,0.23255813953488372,0.3333333333333333,0.3333333333333333,0.015503875968992248,,,,,,,0.5794375,0.1276595744680851,9.059803921568628,25.0,0.8928571428571429,0.88,19.0,45.0,14.0,10.0,0.3488372093023256,0.4222222222222222,0.5428571428571428,3.0,2.0,4.0,23.0,6.0,2.0,4.0,9.0,,13.0,4.0,14.0,,0.16666666666666666,0.21052631578947367,0.1780821917808219,0.15384615384615385,0.23529411764705882,0.4,0.5,0.5,0.10144927536231885,0.12612612612612611,18.0,27.0,5.0,6.0,5.0,3.0,6.0,6.0,68.0,3.0,2.0,12.0,34.0,14.0,14.0,6.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,0.723404255319149,0.7391304347826086,0.8333333333333334,0.5,0.11764705882352941,0.07407407407407407,0.2222222222222222,0.14285714285714285,0.2222222222222222,0.15789473684210525,0.2222222222222222,1.0,0.14285714285714285,0.20930232558139536,0.6666666666666666,0.72,0.7777777777777778,0.7368421052631579,0.6,0.6,0.8333333333333334,0.6,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
100940-1628915-201913-203035-203398,1611661317,"Diana Taurasi, Kia Nurse, Kia Vaughn, Shey Peddy, Brittney Griner","Taurasi, Nurse, Vaughn, Peddy, Griner",100940-1628915-201913-203035-203398,PHO,176.0,1,3.0,-2.0,7.0,7.0,6.0,7.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,12.0,1.0,1.0,10.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,2.0,2.0,4.0,2.0,10.0,10.0,6.0,1.0,2.0,,1.0,1.0,1.0,0.9,0.9,0.7142857142857143,0.7142857142857143,0.2,,,,0.5,0.5,1.0,114.54545454545455,9.285714285714286,15.857142857142858,9.285714285714286,15.285714285714286,0.2,1.0,1.0,,0.2,1.0,0.2,1.0,0.5182,0.5182,1.0,26.2,0.8571428571428571,,,,,,,,3.0,4.0,,,,6.0,,,,,,0.75,,,,,,,,,,,,,,,,6.8,,,,3.0,4.0,1.0,1.0,0.8,0.75,0.75,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,,3.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
100940-1628915-201913-203398-203400,1611661317,"Diana Taurasi, Kia Nurse, Kia Vaughn, Brittney Griner, Skylar Diggins-Smith","Taurasi, Nurse, Vaughn, Griner, Diggins-Smith",100940-1628915-201913-203398-203400,PHO,226.0,1,4.0,-5.0,7.0,7.0,2.0,,14.0,1.0,2.0,,,1.0,2.0,7.0,12.0,,,4.0,3.0,2.0,1.0,,1.0,1.0,1.0,3.0,,,1.0,3.0,2.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,,1.0,1.0,0.5,,0.5,0.35714285714285715,1.0,0.4375,1.0,0.2857142857142857,,,,,0.3333333333333333,,89.20353982300885,18.714285714285715,13.571428571428571,17.142857142857142,11.714285714285714,0.2857142857142857,0.5,0.5,1.0,,,0.5714285714285714,0.5,0.5041142857142857,0.656,0.5714285714285714,24.0,0.2857142857142857,2.0,,1.0,,,,,1.0,5.0,1.0,2.0,3.0,2.0,,,,1.0,0.5,0.2,0.75,0.75,,0.14285714285714285,,,,,,,,,,0.57225,0.42857142857142855,7.82,1.0,0.5,0.5,,2.0,1.0,1.0,0.2857142857142857,,,,1.0,2.0,2.0,,,,2.0,,2.0,,,,0.5,,0.4,0.5,,1.0,0.5,1.0,,,1.0,2.0,,,,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,0.2857142857142857,0.5,0.5,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,True
