EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,PtsUnassisted2s,PtsPutbacks,Corner3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,BlockedAtRim,AtRimPctBlocked,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallTurnovers,Offensive Fouls,PenaltyAtRimFGM,PenaltyFG2M,Steals,BadPassSteals,LostBallSteals,PenaltyFg2Pct,PenaltyAtRimAccuracy,LongMidRangeFGM,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,OffAtRimReboundPct,AtRimAssists,AtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,OffThreePtRebounds,Offensive Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,Defensive 3 Seconds Violations,FTDefRebounds,DefFTReboundPct,StepOutOfBoundsTurnovers,LongMidRangeAssists,LongMidRangePctAssisted,SecondChanceCorner3FGA,SelfOReb,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,3SecondViolations,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Frequency,Charge Fouls Drawn,Charge Fouls,SecondChanceAtRimPctAssisted,HeaveAttempts,SecondChanceCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1627671-1629483-1630101-201480-203406,1611661324,"Rachel Banham, Napheesa Collier, Crystal Dangerfield, Sylvia Fowles, Layshia Clarendon","Banham, Collier, Dangerfield, Fowles, Clarendon",1627671-1629483-1630101-201480-203406,MIN,450.0,1,8.0,8.0,16.0,16.0,5.0,3.0,2.0,32,4.0,6.0,1.0,3.0,4.0,2.0,2.0,4.0,7.0,3.0,4.0,4.0,21.0,13.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,8.0,8.0,9.0,4.0,3.0,1.0,4.0,3.0,7.0,3.0,4.0,17.0,2.0,3.0,5.0,8.0,2.0,10.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,19.0,8.0,5.0,2.0,1.0,1.0,1.0,0.75,1.0,0.75,0.5714285714285714,1.0,0.7727272727272727,1.0,1.0,0.8076923076923077,1.0,1.0,0.36363636363636365,0.14285714285714285,0.16666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,102.4,1.0,12.8125,15.3125,12.125,15.3125,0.5454545454545454,0.6666666666666666,0.8,1.0,0.09090909090909091,0.36363636363636365,0.75,0.75,1.0,0.6666666666666666,1.0,0.36363636363636365,0.75,0.4374954545454546,0.5104,0.39876666666666666,0.15384615384615385,0.2222222222222222,0.09523809523809523,0.38095238095238093,7.671428571428572,25.1,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
1627671-1629483-1629524-1630101-203024,1611661324,"Rachel Banham, Napheesa Collier, Bridget Carleton, Crystal Dangerfield, Damiris Dantas","Banham, Collier, Carleton, Dangerfield, Dantas",1627671-1629483-1629524-1630101-203024,MIN,510.0,4,8.0,-2.0,18.0,16.0,3.0,5.0,2.0,34,1.0,4.0,2.0,2.0,4.0,,,2.0,9.0,3.0,6.0,1.0,14.0,16.0,1.0,2.0,3.0,2.0,1.0,1.0,,3.0,,9.0,4.0,2.0,2.0,,3.0,3.0,2.0,,9.0,2.0,2.0,7.0,9.0,2.0,11.0,1.0,1.0,5.0,,,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,11.0,3.0,3.0,1.0,,,1.0,0.5,1.0,0.5,0.2222222222222222,0.5,0.43333333333333335,0.5,0.5,0.4666666666666667,0.75,0.5,0.4,0.2222222222222222,,0.2,1.0,0.2857142857142857,1.0,1.0,0.2,0.6666666666666666,,1.0,1.0,1.0,,96.0,1.0,14.88888888888889,15.125,14.277777777777779,15.125,0.26666666666666666,0.25,0.25,,0.13333333333333333,0.26666666666666666,0.5,0.5,1.0,,,0.6,0.5,0.48641999999999996,0.52985,0.43515,0.06666666666666667,0.1111111111111111,0.21428571428571427,0.21428571428571427,8.422222222222222,24.383333333333336,0.16666666666666666,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.2,0.3333333333333333,1.0,0.13333333333333333,0.5,0.5,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
1629524-1630101-203024-203825-204332,1611661324,"Bridget Carleton, Crystal Dangerfield, Damiris Dantas, Kayla McBride, Cierra Burdick","Carleton, Dangerfield, Dantas, McBride, Burdick",1629524-1630101-203024-203825-204332,MIN,28.0,1,,,1.0,1.0,1.0,1.0,,2,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,102.85714285714286,,16.0,12.0,16.0,12.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
1627672-1630101-201480-203024-203406,1611661324,"Aerial Powers, Crystal Dangerfield, Sylvia Fowles, Damiris Dantas, Layshia Clarendon","Powers, Dangerfield, Fowles, Dantas, Clarendon",1627672-1630101-201480-203024-203406,MIN,75.0,1,1.0,-2.0,3.0,3.0,,,,6,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,,2.0,1.0,,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,0.5,1.0,,0.5,0.6666666666666666,,,,1.0,,0.5,,115.2,1.0,8.666666666666666,16.333333333333332,8.666666666666666,16.333333333333332,,,,,,1.0,,,,,,1.0,,0.516,,,,,,,,25.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
1627671-1629483-201480-203406-203825,1611661324,"Rachel Banham, Napheesa Collier, Sylvia Fowles, Layshia Clarendon, Kayla McBride","Banham, Collier, Fowles, Clarendon, McBride",1627671-1629483-201480-203406-203825,MIN,331.0,2,6.0,4.0,11.0,11.0,3.0,4.0,2.0,22,3.0,4.0,,1.0,3.0,,,5.0,6.0,1.0,3.0,,13.0,9.0,1.0,1.0,2.0,1.0,,,,2.0,4.0,3.0,3.0,1.0,,2.0,1.0,3.0,1.0,2.0,7.0,1.0,,3.0,3.0,1.0,4.0,1.0,,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,3.0,,0.4,0.5,1.0,0.3333333333333333,,0.3333333333333333,0.8333333333333334,1.0,0.7222222222222222,1.0,1.0,0.65,1.0,1.0,0.3333333333333333,,,0.5,0.75,1.0,,0.6,0.3333333333333333,1.0,,0.5,1.0,,,95.70996978851964,1.0,13.090909090909092,17.0,12.727272727272727,16.363636363636363,0.4444444444444444,0.75,0.75,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,,0.5555555555555556,0.3333333333333333,0.47872222222222227,0.5135,0.521,0.1,0.14285714285714285,0.15384615384615385,0.15384615384615385,5.3999999999999995,25.03333333333333,0.2727272727272727,2.0,2.0,1.0,1.0,1.0,,,,,,6.0,2.0,,,1.0,,2.0,,,,1.0,0.2222222222222222,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
1627671-1630101-201480-203024-203406,1611661324,"Rachel Banham, Crystal Dangerfield, Sylvia Fowles, Damiris Dantas, Layshia Clarendon","Banham, Dangerfield, Fowles, Dantas, Clarendon",1627671-1630101-201480-203024-203406,MIN,65.0,1,1.0,,2.0,2.0,2.0,2.0,,4,,,1.0,,,,,1.0,1.0,,,2.0,4.0,4.0,,,,1.0,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,4.0,4.0,2.0,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,88.61538461538463,,21.5,11.0,21.5,6.0,,,,,1.0,,,,,,,,,0.3036,,0.3036,,,,1.0,16.0,,1.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
1627671-1629524-1630101-203024-203825,1611661324,"Rachel Banham, Bridget Carleton, Crystal Dangerfield, Damiris Dantas, Kayla McBride","Banham, Carleton, Dangerfield, Dantas, McBride",1627671-1629524-1630101-203024-203825,MIN,140.0,1,2.0,1.0,4.0,3.0,,,1.0,7,1.0,1.0,,,1.0,,,2.0,3.0,,1.0,,4.0,3.0,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,1.0,,,1.0,2.0,2.0,,,,,,2.0,,,,,,,,,,0.6666666666666666,1.0,0.5,1.0,,0.5,1.0,,0.25,,,,1.0,1.0,,1.0,0.5,,,,1.0,,,72.0,,19.0,21.333333333333332,18.75,21.333333333333332,0.25,1.0,1.0,,,0.25,,,,,,0.75,,0.626975,0.7797,,,,0.5,,5.1000000000000005,26.1,,1.0,2.0,1.0,1.0,,,,,,,4.0,2.0,,,1.0,1.0,1.0,,,,,0.5,0.5,0.5,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
1627671-1629483-1629491-1629524-1630101,1611661324,"Rachel Banham, Napheesa Collier, Jessica Shepard, Bridget Carleton, Crystal Dangerfield","Banham, Collier, Shepard, Carleton, Dangerfield",1627671-1629483-1629491-1629524-1630101,MIN,36.0,1,1.0,1.0,2.0,1.0,1.0,1.0,,3,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,3.0,2.0,,,,,,1.0,,,2.0,,1.0,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,3.0,,1.0,,1.0,1.0,,,,,1.0,,0.5,,,0.75,,,0.5,,,,,,,,,,,,,,,120.0,,7.0,22.0,7.0,22.0,,,,,,0.5,,,,1.0,,1.0,,0.481625,,0.22305,0.5,1.0,,,0.4,24.9,0.5,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
1627671-1629483-201480-203024-203825,1611661324,"Rachel Banham, Napheesa Collier, Sylvia Fowles, Damiris Dantas, Kayla McBride","Banham, Collier, Fowles, Dantas, McBride",1627671-1629483-201480-203024-203825,MIN,593.0,4,10.0,-11.0,19.0,20.0,2.0,,1.0,39,2.0,4.0,2.0,2.0,5.0,,1.0,4.0,10.0,2.0,5.0,2.0,16.0,27.0,,,3.0,,,1.0,,,2.0,3.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,,5.0,,,5.0,5.0,,5.0,3.0,2.0,3.0,,1.0,5.0,5.0,5.0,1.0,,,,,13.0,,2.0,,0.25,0.25,0.5,0.4,,0.4,0.4,,0.4666666666666667,1.5,,0.47058823529411764,1.5,,0.3333333333333333,0.2,,1.0,0.7142857142857143,,,0.7142857142857143,,,,0.6666666666666666,1.0,,,94.70489038785836,,17.157894736842106,13.35,16.894736842105264,12.65,0.26666666666666666,0.5,0.5,,0.13333333333333333,0.3333333333333333,0.4,0.4,0.5,1.0,,0.6,0.4,0.49555666666666665,0.4665,0.5463,0.11764705882352941,0.09090909090909091,0.1875,,6.37,24.119999999999997,0.10526315789473684,2.0,4.0,,,,,,,,,6.0,,,,,,5.0,,,0.25,,0.26666666666666666,0.5,0.6666666666666666,,,,,,,,,,1.0,,,,2.0,,2.0,,,,,,,,,1.0,0.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
1627671-1629524-1630101-203024-203831,1611661324,"Rachel Banham, Bridget Carleton, Crystal Dangerfield, Damiris Dantas, Natalie Achonwa","Banham, Carleton, Dangerfield, Dantas, Achonwa",1627671-1629524-1630101-203024-203831,MIN,304.0,3,5.0,7.0,9.0,11.0,8.0,1.0,2.0,20,,1.0,1.0,1.0,4.0,,2.0,,3.0,2.0,5.0,4.0,10.0,3.0,,1.0,3.0,3.0,1.0,3.0,4.0,7.0,,6.0,4.0,1.0,,,2.0,2.0,1.0,,6.0,1.0,3.0,2.0,5.0,2.0,7.0,1.0,1.0,1.0,,1.0,2.0,3.0,4.0,1.0,,,,,7.0,7.0,8.0,,,,1.0,0.4,0.3333333333333333,0.4,,,0.375,0.75,0.25,0.5,0.75,0.4375,0.625,,,1.0,0.4,0.5,0.75,0.5555555555555556,0.4,1.0,,1.0,,0.75,,94.73684210526316,,10.88888888888889,18.727272727272727,10.555555555555555,17.0,0.125,,,,0.125,0.5,0.25,0.25,1.0,0.3333333333333333,,0.75,0.25,0.49896875,0.5362,0.47184166666666666,0.1111111111111111,0.25,0.3,0.7,10.533333333333333,23.880000000000003,0.8888888888888888,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,0.125,,,0.125,1.0,1.0,1.0,0.5,,0.16666666666666666,0.16666666666666666,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,,0.5,1.0,1.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2021,2021,False
