EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffShortMidRangeReboundPct,Charge Fouls,FTOffRebounds,OffFTReboundPct,Defensive 3 Seconds Violations,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,3pt And 1 Free Throw Trips,SecondChanceCorner3PctAssisted,3SecondViolations,Corner3PctBlocked,team_id,year,season,team_vs
1628280-1630097-201886-201896-202662,1611661323,"Brionna Jones, Kaila Charles, DeWanna Bonner, Briann January, Jasmine Thomas","Jones, Charles, Bonner, January, Thomas",1628280-1630097-201886-201896-202662,CON,5813.0,10,97.0,-18.0,183.0,183.0,20.0,40.0,13.0,366,32.0,53.0,6.0,6.0,3.0,3.0,10.0,27.0,10.0,23.0,3.0,9.0,1.0,1.0,2.0,2.0,11.0,39.0,1.0,1.0,6.0,52.0,103.0,14.0,48.0,23.0,169.0,187.0,9.0,10.0,1.0,2.0,1.0,22.0,5.0,6.0,3.0,8.0,8.0,27.0,68.0,36.0,36.0,6.0,8.0,39.0,11.0,7.0,1.0,34.0,12.0,46.0,10.0,2.0,21.0,7.0,6.0,104.0,8.0,6.0,16.0,44.0,3.0,63.0,14.0,77.0,1.0,14.0,12.0,2.0,20.0,6.0,11.0,16.0,2.0,9.0,3.0,36.0,2.0,4.0,17.0,52.0,6.0,4.0,33.0,1.0,2.0,3.0,26.0,2.0,10.0,4.0,9.0,2.0,1.0,6.0,1.0,1.0,2.0,11.0,5.0,147.0,23.0,18.0,7.0,2.0,0.6538461538461539,0.7083333333333334,0.8571428571428571,0.2916666666666667,0.5,0.375,0.2916666666666667,0.5048543689320388,0.9,0.8333333333333334,0.48344370860927155,0.875,0.6785714285714286,0.5184049079754601,0.8461538461538461,0.7105263157894737,0.31788079470198677,0.020833333333333332,0.06796116504854369,0.09433962264150944,0.07407407407407407,0.02564102564102564,0.5555555555555556,1.0,0.6984126984126984,0.11764705882352941,0.6153846153846154,0.24242424242424243,0.6741573033707865,0.16666666666666666,0.23809523809523808,0.07692307692307693,0.25925925925925924,0.16666666666666666,0.7307692307692307,0.6428571428571429,0.6956521739130435,0.6666666666666666,0.4,0.013157894736842105,90.66574918286598,0.45454545454545453,15.666666666666666,16.098360655737704,15.349726775956285,15.202185792349727,0.3509933774834437,0.6037735849056604,0.6666666666666666,0.65625,0.17880794701986755,0.37037037037037035,0.4,0.7,0.152317880794702,0.43478260869565216,0.43478260869565216,0.6,0.059602649006622516,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2582781456953642,0.28205128205128205,0.2894736842105263,0.9090909090909091,0.5,1.0,0.16666666666666666,0.08333333333333333,1.0,0.08333333333333333,0.21428571428571427,1.0,0.14285714285714285,1.0,0.42857142857142855,0.16666666666666666,0.6688741721854304,0.28205128205128205,0.5123274834437086,0.48885,0.46017857142857144,0.06289308176100629,0.09009009009009009,0.1301775147928994,0.15976331360946747,7.060194174757282,24.008333333333336,0.1092896174863388,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1628280-1629492-1629567-201886-202662,1611661323,"Brionna Jones, Beatrice Mompremier, Natisha Hiedeman, DeWanna Bonner, Jasmine Thomas","Jones, Mompremier, Hiedeman, Bonner, Thomas",1628280-1629492-1629567-201886-202662,CON,524.0,4,9.0,-5.0,17.0,18.0,,2.0,2.0,35,2.0,3.0,,,,,3.0,5.0,1.0,4.0,,2.0,,,,,1.0,1.0,,,,6.0,12.0,1.0,3.0,,15.0,20.0,1.0,1.0,,,,2.0,,,,,,,10.0,2.0,3.0,,,1.0,1.0,1.0,,5.0,1.0,6.0,1.0,,2.0,3.0,,13.0,,2.0,3.0,4.0,,7.0,2.0,9.0,,1.0,1.0,,,3.0,,3.0,,,,3.0,,,1.0,3.0,,,2.0,,1.0,,,,,,,,,,,,,,,13.0,,,,,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,,,0.3333333333333333,0.5,1.0,,0.5,1.0,,0.5,1.0,,0.2,,0.08333333333333333,0.3333333333333333,,,,,0.8,0.3333333333333333,0.75,,0.7777777777777778,0.25,,0.3333333333333333,,,0.6666666666666666,1.0,,1.0,0.6666666666666666,,96.18320610687024,,14.352941176470589,15.555555555555555,13.411764705882353,15.0,0.2,0.6666666666666666,1.0,1.0,0.3333333333333333,0.6,0.6,1.0,0.26666666666666666,0.25,0.25,,0.13333333333333333,,,,0.06666666666666667,1.0,1.0,1.0,,,,,,,,,,,,,0.4,1.0,0.4705833333333333,0.343,,,,0.13333333333333333,,9.075000000000001,23.633333333333336,,0.5,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1628280-1629567-1630096-1630120-202662,1611661323,"Brionna Jones, Natisha Hiedeman, DiJonai Carrington, Stephanie Jones, Jasmine Thomas","Jones, Hiedeman, Carrington, Jones, Thomas",1628280-1629567-1630096-1630120-202662,CON,294.0,2,5.0,,11.0,10.0,,3.0,,21,,1.0,,,,,,2.0,,,1.0,1.0,,,,,1.0,2.0,,,,,3.0,2.0,3.0,1.0,7.0,7.0,,,,,,,,,,,,,,,6.0,,,2.0,1.0,1.0,,,2.0,2.0,1.0,1.0,,,,6.0,,,1.0,2.0,1.0,4.0,,4.0,,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,,4.0,,,2.0,4.0,,1.0,2.0,1.0,,,2.0,,1.0,,1.0,,,1.0,,,,1.0,,7.0,,,,,,,1.0,0.6666666666666666,,,0.6666666666666666,,,,0.5,,,0.5,,,0.5,,0.3333333333333333,1.0,,,0.5,1.0,0.5,,0.5,,0.5,,,,,,0.3333333333333333,1.0,,,1.0,,102.85714285714285,,11.181818181818182,17.1,11.181818181818182,15.7,0.16666666666666666,,,,0.3333333333333333,,,,,,,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,0.6666666666666666,0.5,0.5092916666666667,,,0.14285714285714285,0.25,,,5.466666666666666,23.900000000000002,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1628242-1629492-1629567-201896-202662,1611661323,"Emma Cannon, Beatrice Mompremier, Natisha Hiedeman, Briann January, Jasmine Thomas","Cannon, Mompremier, Hiedeman, January, Thomas",1628242-1629492-1629567-201896-202662,CON,82.0,1,1.0,,2.0,3.0,,,,5,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,87.80487804878048,,19.0,14.666666666666666,19.0,14.666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6777,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1628242-1629567-1630097-201886-201896,1611661323,"Emma Cannon, Natisha Hiedeman, Kaila Charles, DeWanna Bonner, Briann January","Cannon, Hiedeman, Charles, Bonner, January",1628242-1629567-1630097-201886-201896,CON,457.0,3,8.0,-7.0,13.0,15.0,3.0,8.0,1.0,28,1.0,3.0,,,,1.0,1.0,1.0,1.0,4.0,,,,,,,1.0,2.0,,,,3.0,8.0,1.0,2.0,2.0,11.0,18.0,1.0,1.0,,,,2.0,,1.0,,,2.0,2.0,4.0,2.0,,3.0,,2.0,1.0,,,2.0,,2.0,,,1.0,,1.0,4.0,,1.0,1.0,4.0,,5.0,1.0,6.0,1.0,1.0,,1.0,,,,2.0,,,,2.0,,,4.0,8.0,1.0,1.0,3.0,,,,4.0,,1.0,1.0,2.0,,,1.0,,1.0,,2.0,2.0,9.0,2.0,3.0,,1.0,0.6666666666666666,0.6666666666666666,,0.5,,,0.5,0.375,1.0,,0.45,1.0,,0.4583333333333333,1.0,0.3333333333333333,0.2,,,,,,,,0.6666666666666666,0.2,0.5,,0.625,0.16666666666666666,,0.3333333333333333,,,0.6666666666666666,,1.0,0.5,,0.16666666666666666,88.22757111597375,1.0,15.0,17.466666666666665,14.76923076923077,15.666666666666666,0.3,0.3333333333333333,0.3333333333333333,1.0,0.1,1.0,1.0,,0.4,0.25,0.25,1.0,,,,,0.2,0.5,0.5,,,,,,,,1.0,,,,,,0.5,0.5,0.46698000000000006,0.4346,0.5767,0.09090909090909091,0.1111111111111111,0.18181818181818182,0.18181818181818182,9.3625,25.1,0.23076923076923078,,1.0,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1628280-1630096-1630097-201896,1611661323,"Jonquel Jones, Brionna Jones, DiJonai Carrington, Kaila Charles, Briann January","Jones, Jones, Carrington, Charles, January",1627673-1628280-1630096-1630097-201896,CON,230.0,3,4.0,-3.0,7.0,6.0,,,,13,,,,,,,1.0,2.0,,1.0,,,,,,,,2.0,,,,1.0,3.0,,2.0,1.0,3.0,6.0,,,,,,,,,,,,,2.0,,,,,2.0,,,,1.0,,1.0,,,,1.0,,2.0,,,,3.0,,3.0,1.0,4.0,,,,,2.0,,2.0,,,,,2.0,,,,,,,3.0,1.0,,,2.0,,1.0,,2.0,,,2.0,,,,2.0,2.0,3.0,,,,,1.0,1.0,,,,,,0.3333333333333333,,,0.2,,,0.25,,,0.4,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,81.39130434782608,1.0,16.857142857142858,18.666666666666668,16.857142857142858,18.666666666666668,,,,,0.4,0.5,0.5,1.0,0.2,,,,,,,,0.4,,,,,,,,,,,,,,,,0.4,,0.42729,,,0.16666666666666666,0.25,,,12.5,24.1,,,,1.0,1.0,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1628280-1629567-201896-203826,1611661323,"Jonquel Jones, Brionna Jones, Natisha Hiedeman, Briann January, Alyssa Thomas","Jones, Jones, Hiedeman, January, Thomas",1627673-1628280-1629567-201896-203826,CON,104.0,1,2.0,6.0,3.0,2.0,,,,5,1.0,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,1.0,2.0,2.0,,8.0,2.0,,,,,,,,,,,,,2.0,,3.0,3.0,,2.0,2.0,,,1.0,1.0,2.0,1.0,,1.0,,,5.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,1.0,1.0,0.5,1.0,,,1.0,1.0,,,1.3333333333333333,,,1.3333333333333333,,,0.6666666666666666,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,69.23076923076923,,15.666666666666666,28.5,15.666666666666666,28.5,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,1.0,1.0,0.5821,,,,,,,0.7,23.4,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1629492-1629567-1630097-202662,1611661323,"Jonquel Jones, Beatrice Mompremier, Natisha Hiedeman, Kaila Charles, Jasmine Thomas","Jones, Mompremier, Hiedeman, Charles, Thomas",1627673-1629492-1629567-1630097-202662,CON,323.0,3,5.0,-5.0,12.0,11.0,,,1.0,23,1.0,2.0,,,,,1.0,5.0,,2.0,,,,,,,,1.0,,,,2.0,9.0,,1.0,6.0,10.0,15.0,,,,,2.0,2.0,,,,,,,2.0,2.0,,,,1.0,,3.0,,1.0,,1.0,,,1.0,,,2.0,,1.0,1.0,3.0,,4.0,1.0,5.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,5.0,,,,6.0,2.0,4.0,,,,,,,,,,,8.0,,,,,0.5,0.5,,,,,,0.2222222222222222,,,0.2,,,0.4166666666666667,1.0,,0.1,,0.3333333333333333,0.5,0.4,,,,1.0,0.14285714285714285,1.0,,1.0,0.125,,,,,1.0,1.0,1.0,1.0,,,102.53869969040247,,16.25,11.636363636363637,16.083333333333332,11.636363636363637,0.2,0.5,1.0,1.0,0.5,0.2,0.3333333333333333,,0.2,,,,,,,,0.1,,,,,,,,,,,,,,,,0.3,,0.42330500000000004,,,0.3333333333333333,0.36363636363636365,0.2,,9.155555555555557,29.0,,0.25,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1628242-1628280-1629567-201886-202662,1611661323,"Emma Cannon, Brionna Jones, Natisha Hiedeman, DeWanna Bonner, Jasmine Thomas","Cannon, Jones, Hiedeman, Bonner, Thomas",1628242-1628280-1629567-201886-202662,CON,439.0,3,7.0,7.0,15.0,12.0,4.0,3.0,5.0,27,2.0,3.0,1.0,1.0,,,2.0,4.0,2.0,3.0,,,,,,,,,,,,6.0,10.0,,,5.0,17.0,10.0,3.0,3.0,,,1.0,7.0,,,,,4.0,4.0,10.0,2.0,,,2.0,,,,,5.0,,5.0,,,1.0,2.0,2.0,10.0,,2.0,3.0,4.0,,7.0,2.0,9.0,1.0,,,,1.0,2.0,,2.0,,1.0,,3.0,1.0,2.0,1.0,1.0,,,5.0,,,,6.0,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,10.0,4.0,4.0,,1.0,0.8333333333333334,1.0,,,,,,0.6,1.0,,0.6,1.0,,0.7083333333333334,1.1666666666666667,1.0,,,,,,,0.3333333333333333,,0.5714285714285714,0.5,0.75,,0.6363636363636364,0.5,,1.0,,,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.25,88.56492027334852,1.0,12.4,21.083333333333332,10.533333333333333,20.416666666666668,0.3,0.6666666666666666,0.6666666666666666,0.5,0.4,0.5,0.5,1.0,0.3,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,0.3,,0.49477000000000004,0.4805,,0.09090909090909091,0.09090909090909091,0.4117647058823529,0.23529411764705882,9.01,,0.26666666666666666,0.5,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1629567-1630096-1630120-202662,1611661323,"Jonquel Jones, Natisha Hiedeman, DiJonai Carrington, Stephanie Jones, Jasmine Thomas","Jones, Hiedeman, Carrington, Jones, Thomas",1627673-1629567-1630096-1630120-202662,CON,205.0,2,3.0,,7.0,6.0,1.0,,,13,1.0,5.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,7.0,,,,2.0,2.0,,,,,,,,1.0,,,,,2.0,,,,,,,2.0,,1.0,,1.0,,,1.0,,,2.0,,,1.0,3.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,,0.14285714285714285,,,0.14285714285714285,,,0.14285714285714285,,,,,0.2857142857142857,0.4,,,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,91.31707317073172,1.0,12.714285714285714,19.333333333333332,12.714285714285714,19.333333333333332,0.7142857142857143,0.2,0.3333333333333333,1.0,0.14285714285714285,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,,0.5824428571428572,,0.3248,,,,,6.0,,0.14285714285714285,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
