EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,SecondChanceArc3FGA,PtsPutbacks,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,3SecondViolations,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,team_id,year,season,team_vs
100236-100634-100940-101024-101025,1611661317,"Tangela Smith, Penny Taylor, Diana Taurasi, Temeka Johnson, Kara Braxton","Smith, Taylor, Taurasi, Johnson, Braxton",100236-100634-100940-101024-101025,PHO,439.0,3,7.0,-2.0,12.0,13.0,3.0,2.0,4.0,25.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,6.0,2.0,6.0,3.0,13.0,15.0,2.0,3.0,4.0,3.0,4.0,6.0,6.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,10.0,2.0,2.0,6.0,1.0,7.0,4.0,11.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.6666666666666666,0.4642857142857143,0.6666666666666666,0.5,0.25,1.0,1.0,0.5,0.6666666666666666,1.0,0.5714285714285714,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.14285714285714285,82.00455580865604,1.0,21.5,13.923076923076923,18.166666666666668,13.923076923076923,0.25,0.3333333333333333,0.3333333333333333,1.0,0.08333333333333333,0.16666666666666666,0.5,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.75,0.3333333333333333,0.5152625000000001,0.51345,0.4394,0.14285714285714285,0.25,0.3076923076923077,6.433333333333334,21.666666666666668,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2010,2010,True
100236-100634-100940-101024-200676,1611661317,"Tangela Smith, Penny Taylor, Diana Taurasi, Temeka Johnson, Candice Dupree","Smith, Taylor, Taurasi, Johnson, Dupree",100236-100634-100940-101024-200676,PHO,3643.0,4,61.0,-36.0,114.0,118.0,18.0,19.0,17.0,232.0,8.0,17.0,1.0,4.0,4.0,34.0,9.0,24.0,7.0,19.0,28.0,75.0,12.0,26.0,27.0,119.0,155.0,1.0,8.0,11.0,11.0,34.0,30.0,19.0,7.0,17.0,10.0,27.0,6.0,4.0,4.0,64.0,5.0,16.0,27.0,,38.0,22.0,60.0,3.0,13.0,7.0,8.0,21.0,3.0,1.0,15.0,27.0,1.0,30.0,34.0,16.0,4.0,1.0,4.0,2.0,108.0,18.0,0.6071428571428571,0.6071428571428571,0.8333333333333334,0.46153846153846156,0.46153846153846156,0.37333333333333335,0.125,0.45544554455445546,0.22727272727272727,0.5129310344827587,0.34375,0.25742574257425743,0.6190476190476191,,0.75,0.3404255319148936,0.38461538461538464,0.7450980392156863,0.35,0.4444444444444444,0.4666666666666667,0.45454545454545453,0.5,0.8823529411764706,0.7777777777777778,0.057692307692307696,91.70463903376339,0.5,18.333333333333332,13.161016949152541,17.342105263157894,12.516949152542374,0.16831683168316833,0.47058823529411764,0.6153846153846154,0.5,0.33663366336633666,0.2376237623762376,0.375,0.375,0.4444444444444444,0.18811881188118812,0.3684210526315789,0.3684210526315789,0.8571428571428571,0.36363636363636365,0.25,1.0,0.2857142857142857,0.42574257425742573,0.3684210526315789,0.45008514851485143,0.47810625,0.4421714285714286,0.1415929203539823,0.1839080459770115,0.09243697478991597,9.217333333333332,21.942307692307693,0.15789473684210525,4.0,11.0,5.0,7.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,6.0,8.0,1.0,3.0,12.0,31.0,22.0,6.0,8.0,4.0,9.0,1.0,11.0,7.0,3.0,4.0,2.0,1.0,6.0,3.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,31.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.7272727272727273,0.6785714285714286,0.7380952380952381,0.10666666666666667,0.23529411764705882,0.11764705882352941,0.2,0.7333333333333333,0.21739130434782608,0.8,0.6,0.3235294117647059,0.36666666666666664,0.8181818181818182,0.06930693069306931,0.7142857142857143,0.7142857142857143,0.8,0.2727272727272727,0.3333333333333333,1.0,1.0,0.07142857142857142,0.14285714285714285,0.5,0.2605042016806723,,,,,,,,,,,,,1611661317,2010,2010,True
100236-100634-100940-101025-201886,1611661317,"Tangela Smith, Penny Taylor, Diana Taurasi, Kara Braxton, DeWanna Bonner","Smith, Taylor, Taurasi, Braxton, Bonner",100236-100634-100940-101025-201886,PHO,486.0,2,8.0,8.0,16.0,15.0,,,3.0,31.0,3.0,3.0,1.0,1.0,,3.0,1.0,3.0,2.0,4.0,5.0,9.0,2.0,4.0,5.0,21.0,13.0,2.0,2.0,4.0,,6.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,9.0,1.0,1.0,4.0,,4.0,2.0,6.0,,1.0,1.0,2.0,3.0,,,,3.0,2.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,17.0,,0.6,0.75,0.5,0.5,0.5,0.5555555555555556,1.0,0.6153846153846154,0.6666666666666666,0.65625,0.6666666666666666,0.3076923076923077,0.3333333333333333,,0.8,0.25,0.5,0.6666666666666666,0.3333333333333333,,0.5,0.5,1.0,0.75,,,91.85185185185186,1.0,18.4375,12.733333333333333,16.4375,12.6,0.23076923076923078,1.0,1.0,0.3333333333333333,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.3076923076923077,0.5,0.5,0.5,0.3333333333333333,1.0,,,0.5384615384615384,0.5,0.45905,0.58395,,0.13333333333333333,0.18181818181818182,0.19047619047619047,8.333333333333334,22.85,,,1.0,,,,,,,,,1.0,,,,,,,4.0,3.0,2.0,,1.0,,,3.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,0.2222222222222222,,0.6666666666666666,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,1.0,2.0,0.3333333333333333,,,,,,,,,,1611661317,2010,2010,True
100236-100634-100940-200676-201886,1611661317,"Tangela Smith, Penny Taylor, Diana Taurasi, Candice Dupree, DeWanna Bonner","Smith, Taylor, Taurasi, Dupree, Bonner",100236-100634-100940-200676-201886,PHO,1138.0,4,19.0,3.0,38.0,36.0,10.0,6.0,2.0,74.0,2.0,4.0,,,1.0,14.0,,1.0,2.0,10.0,12.0,19.0,3.0,12.0,7.0,40.0,37.0,,,,5.0,14.0,9.0,10.0,2.0,7.0,3.0,10.0,2.0,1.0,,23.0,2.0,1.0,9.0,,10.0,3.0,13.0,1.0,4.0,2.0,3.0,7.0,2.0,1.0,3.0,8.0,,10.0,10.0,5.0,1.0,1.0,1.0,,40.0,10.0,0.5833333333333334,0.5833333333333334,1.0,0.25,0.25,0.631578947368421,,0.532258064516129,,0.5714285714285714,,0.3870967741935484,0.5714285714285714,,0.8181818181818182,0.14285714285714285,0.25,0.625,0.2,,,0.2857142857142857,1.0,0.7142857142857143,1.0,0.06666666666666667,93.63796133567664,,16.92105263157895,13.75,16.342105263157894,12.88888888888889,0.12903225806451613,0.5,0.5,0.5,0.45161290322580644,0.03225806451612903,,,,0.3225806451612903,0.2,0.2,1.0,,,,0.1,0.5161290322580645,0.2,0.42954516129032255,,0.42712500000000003,0.14705882352941177,0.22727272727272727,,7.526315789473684,22.358333333333334,0.2631578947368421,1.0,10.0,1.0,2.0,,,,2.0,5.0,,1.0,,5.0,2.0,5.0,3.0,19.0,10.0,,,1.0,6.0,,1.0,5.0,2.0,3.0,1.0,,2.0,1.0,,2.0,2.0,2.0,1.0,,,19.0,,1.0,,0.4,1.0,0.8,0.8636363636363636,,,,,0.2,0.25,,0.5,0.7142857142857143,0.7142857142857143,0.6,0.06451612903225806,0.5,0.5,1.0,,,,1.0,,0.5,0.4,0.475,1.0,,1.0,,,,,,,,,,1611661317,2010,2010,True
100236-100634-101024-101025-201886,1611661317,"Tangela Smith, Penny Taylor, Temeka Johnson, Kara Braxton, DeWanna Bonner","Smith, Taylor, Johnson, Braxton, Bonner",100236-100634-101024-101025-201886,PHO,274.0,3,5.0,6.0,11.0,9.0,7.0,5.0,1.0,20.0,,1.0,,1.0,1.0,4.0,,,3.0,4.0,1.0,5.0,3.0,4.0,6.0,17.0,11.0,,1.0,,5.0,2.0,6.0,4.0,3.0,1.0,2.0,3.0,2.0,,,8.0,,1.0,3.0,1.0,4.0,1.0,5.0,,,,,,,,,2.0,,3.0,6.0,2.0,,,,,17.0,7.0,1.0,1.0,0.6666666666666666,0.75,0.75,0.2,,0.6111111111111112,,0.7083333333333334,,0.4444444444444444,,1.0,0.75,0.3333333333333333,,0.75,0.25,,,,,0.5,1.0,,105.1094890510949,,13.363636363636363,14.11111111111111,13.363636363636363,13.777777777777779,0.1111111111111111,,,,0.4444444444444444,,,,,0.4444444444444444,0.75,0.75,0.6666666666666666,1.0,,,0.16666666666666666,0.5555555555555556,0.75,0.3703777777777778,0.2235,0.29711666666666664,0.18181818181818182,0.2857142857142857,,6.659999999999999,22.55,0.6363636363636364,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,4.0,9.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,9.0,2.0,1.0,,1.0,0.2,0.4166666666666667,0.5625,0.2,,0.25,,,0.3333333333333333,,,0.25,0.3333333333333333,1.0,,,,,,,,,,0.16666666666666666,1.0,0.5294117647058824,,,,,,,,,,,,,1611661317,2010,2010,True
100236-100634-101024-200676-201886,1611661317,"Tangela Smith, Penny Taylor, Temeka Johnson, Candice Dupree, DeWanna Bonner","Smith, Taylor, Johnson, Dupree, Bonner",100236-100634-101024-200676-201886,PHO,528.0,4,9.0,,18.0,16.0,5.0,11.0,1.0,34.0,4.0,4.0,1.0,1.0,,,,5.0,3.0,4.0,4.0,9.0,3.0,4.0,,17.0,17.0,1.0,1.0,2.0,1.0,6.0,9.0,4.0,3.0,3.0,3.0,6.0,3.0,3.0,,15.0,,1.0,4.0,,6.0,1.0,7.0,,2.0,2.0,1.0,3.0,,1.0,3.0,4.0,,2.0,2.0,1.0,,,,,15.0,5.0,0.75,0.75,1.0,0.75,0.75,0.4444444444444444,1.0,0.6538461538461539,1.0,0.6071428571428571,1.0,0.3076923076923077,0.6666666666666666,,0.6666666666666666,0.2,,0.6,0.16666666666666666,,0.2,,0.5,1.0,0.5,,92.72727272727272,,15.444444444444445,15.625,14.555555555555555,13.75,0.3076923076923077,1.0,1.0,0.75,,0.38461538461538464,,,,0.3076923076923077,0.75,0.75,1.0,1.0,1.0,1.0,,0.6153846153846154,0.75,0.5303923076923077,0.5399,0.3255,0.07142857142857142,0.1,0.11764705882352941,9.933333333333334,21.95,0.2777777777777778,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2010,2010,True
100236-100940-101024-101025-201886,1611661317,"Tangela Smith, Diana Taurasi, Temeka Johnson, Kara Braxton, DeWanna Bonner","Smith, Taurasi, Johnson, Braxton, Bonner",100236-100940-101024-101025-201886,PHO,251.0,3,4.0,-9.0,11.0,10.0,7.0,3.0,2.0,21.0,,2.0,,,,,,,,2.0,,2.0,,5.0,2.0,2.0,11.0,,,,,,,2.0,,,,,,,,,1.0,1.0,,,1.0,2.0,3.0,,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,,3.0,5.0,1.0,,,,,2.0,7.0,,,,,,,,,,0.1111111111111111,,0.7142857142857143,0.6666666666666666,,,0.5,0.2,0.5,0.2857142857142857,0.5,,0.5,,,,,120.47808764940238,,15.363636363636363,8.2,14.727272727272727,8.2,0.2857142857142857,,,,,,,,,0.2857142857142857,,,,,,,,1.0,,0.5493714285714286,,0.55836,0.2222222222222222,0.3333333333333333,,,22.82,0.6363636363636364,,,,3.0,,,3.0,,2.0,,,,,,5.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,0.08333333333333333,0.5,0.5,,,0.5,,1.0,,,,,0.42857142857142855,,,,,,,,0.6,0.4,,0.5,,,,1.0,0.16666666666666666,,,,,,,,1611661317,2010,2010,True
100236-100940-101024-200676-201886,1611661317,"Tangela Smith, Diana Taurasi, Temeka Johnson, Candice Dupree, DeWanna Bonner","Smith, Taurasi, Johnson, Dupree, Bonner",100236-100940-101024-200676-201886,PHO,970.0,4,16.0,4.0,35.0,35.0,9.0,7.0,7.0,70.0,6.0,10.0,2.0,5.0,2.0,6.0,,3.0,5.0,8.0,8.0,19.0,5.0,11.0,10.0,41.0,37.0,3.0,6.0,13.0,4.0,8.0,9.0,8.0,5.0,4.0,3.0,7.0,3.0,3.0,,17.0,3.0,4.0,8.0,,10.0,7.0,17.0,,4.0,3.0,4.0,8.0,,1.0,3.0,11.0,,10.0,12.0,5.0,,,,,28.0,9.0,0.5,0.6666666666666666,0.6,0.45454545454545453,0.45454545454545453,0.42105263157894735,0.5,0.5166666666666667,0.6428571428571429,0.5694444444444444,0.7222222222222222,0.36666666666666664,0.5,,0.7272727272727273,0.4,0.5,0.6666666666666666,0.4375,0.5,0.5,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,,103.91752577319586,,14.371428571428572,13.342857142857143,12.971428571428572,12.885714285714286,0.3333333333333333,0.6,1.0,0.5,0.2,0.1,,,,0.26666666666666666,0.625,0.625,0.6,0.7142857142857143,0.4,,0.2857142857142857,0.7,0.625,0.4957433333333333,0.404025,0.4968571428571429,0.14285714285714285,0.20833333333333334,0.3170731707317073,5.4526315789473685,21.89090909090909,0.2571428571428571,,2.0,,3.0,,,,2.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,6.0,14.0,8.0,6.0,6.0,,1.0,,2.0,5.0,5.0,,,,1.0,1.0,2.0,1.0,1.0,,1.0,,,14.0,,1.0,1.0,0.6666666666666666,0.25,0.5714285714285714,0.6363636363636364,0.3157894736842105,0.4,0.16666666666666666,,0.5,0.25,0.5,,0.3333333333333333,0.4,0.5,0.1,,,,,,,,,0.42857142857142855,0.6666666666666666,0.34146341463414637,1.0,4.0,0.14285714285714285,,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,,1611661317,2010,2010,True
100634-100940-101024-101025-200676,1611661317,"Penny Taylor, Diana Taurasi, Temeka Johnson, Kara Braxton, Candice Dupree","Taylor, Taurasi, Johnson, Braxton, Dupree",100634-100940-101024-101025-200676,PHO,39.0,1,1.0,-1.0,2.0,1.0,,1.0,,3.0,,,,,,1.0,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,110.76923076923076,,15.5,8.0,15.5,8.0,,,,,1.0,,,,,,,,,,,,,,,0.3116,,,0.5,0.5,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2010,2010,True
100634-100940-101025-200676-201886,1611661317,"Penny Taylor, Diana Taurasi, Kara Braxton, Candice Dupree, DeWanna Bonner","Taylor, Taurasi, Braxton, Dupree, Bonner",100634-100940-101025-200676-201886,PHO,161.0,2,3.0,-4.0,5.0,6.0,,,1.0,11.0,1.0,2.0,,,,1.0,,,,1.0,2.0,3.0,,1.0,1.0,5.0,9.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,1.0,2.0,,2.0,1.0,3.0,1.0,,,1.0,1.0,,,,1.0,,1.0,3.0,1.0,,,,,3.0,,,,,,,0.6666666666666666,1.0,0.5,1.0,0.5,1.0,0.25,,,0.5,1.0,,0.5,0.5,1.0,,,0.5,,1.0,0.5,98.38509316770187,,16.0,13.5,15.6,12.333333333333334,0.5,0.5,0.5,,0.25,,,,,0.25,,,,,,,,0.75,,0.4866625,0.3858,,0.2,0.25,0.4,2.8666666666666667,24.1,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,1611661317,2010,2010,True
