EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,PlusMinus,OffPoss,OpponentPoints,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,FoulsDrawn,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveMakes,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,ShortMidRangeFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,Travels,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,PtsPutbacks,Fg2aBlocked,Fg3aBlocked,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFouls,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Technical Free Throw Trips,LongMidRangePctBlocked,Arc3PctBlocked,BlockedCorner3,BlockedLongMidRange,team_id,year,season,team_vs
100412-100919-101019-200689-202253,1611661313,"Taj McWilliams-Franklin, Nicole Powell, Janel McCarville, Nikki Blue, Kalana Greene","McWilliams-Franklin, Powell, McCarville, Blue, Greene",100412-100919-101019-200689-202253,NYL,13.0,1,1.0,1.0,1.0,110.76923076923076,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2010,2010,False
100412-100919-101019-201086-201507,1611661313,"Taj McWilliams-Franklin, Nicole Powell, Janel McCarville, Sidney Spencer, Leilani Mitchell","McWilliams-Franklin, Powell, McCarville, Spencer, Mitchell",100412-100919-101019-201086-201507,NYL,29.0,1,1.0,,2.0,99.3103448275862,14.0,14.0,-2.0,1.0,2.0,1.0,1.0,1.0,1.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2010,2010,False
100412-200665-200689-201050-201507,1611661313,"Taj McWilliams-Franklin, Cappie Pondexter, Nikki Blue, Tiffany Jackson, Leilani Mitchell","McWilliams-Franklin, Pondexter, Blue, Jackson, Mitchell",100412-200665-200689-201050-201507,NYL,8.0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2010,2010,False
100888-100919-101019-200665-201502,1611661313,"Plenette Pierson, Nicole Powell, Janel McCarville, Cappie Pondexter, Essence Carson","Pierson, Powell, McCarville, Pondexter, Carson",100888-100919-101019-200665-201502,NYL,317.0,4,8.0,6.0,18.0,81.76656151419559,19.25,17.125,17.0,10.0,4.0,2.0,2.0,1.0,1.0,16.3,13.9,3.0,5.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,4.0,3.0,21.0,1.0,1.0,3.0,4.0,2.0,9.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,13.0,2.0,1.0,3.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,2.0,18.0,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,1.0,0.6,1.0,1.5,0.9545454545454546,1.5,0.4444444444444444,0.75,1.0,1.0,0.8,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2222222222222222,1.0,1.0,0.5,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.7777777777777778,2.0,0.49169375,0.54705,0.18181818181818182,0.2857142857142857,0.14285714285714285,6.659999999999999,27.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2010,2010,False
100888-200689-201502-201913-202253,1611661313,"Plenette Pierson, Nikki Blue, Essence Carson, Kia Vaughn, Kalana Greene","Pierson, Blue, Carson, Vaughn, Greene",100888-200689-201502-201913-202253,NYL,140.0,2,5.0,5.0,10.0,102.85714285714285,13.4,13.4,-2.0,5.0,4.0,1.0,1.0,,,14.6,14.2,1.0,2.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,3.0,,1.0,,2.0,,1.0,,2.0,,,,,,1.0,,1.0,,1.0,,,,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,,,,,,,2.0,1.0,1.0,,,,,0.3333333333333333,0.25,,0.25,,0.25,1.0,0.5,1.0,1.0,0.5,,1.0,,1.0,,,,,0.25,1.0,1.0,1.0,,,,,0.25,,,,1.0,,,0.25,,0.31745,0.1992,,,,10.733333333333334,21.7,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,0.5,0.5,0.5,0.5,0.5,0.27855,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2010,2010,False
100412-100888-100919-200665-201507,1611661313,"Taj McWilliams-Franklin, Plenette Pierson, Nicole Powell, Cappie Pondexter, Leilani Mitchell","McWilliams-Franklin, Pierson, Powell, Pondexter, Mitchell",100412-100888-100919-200665-201507,NYL,3565.0,20,104.0,18.0,217.0,87.65217391304348,17.951923076923077,16.432692307692307,45.0,113.0,109.0,7.0,14.0,32.0,1.0,15.026548672566372,13.920353982300885,35.0,59.0,13.0,21.0,38.0,9.0,20.0,4.0,9.0,13.0,21.0,2.0,3.0,34.0,68.0,17.0,30.0,35.0,154.0,2.0,4.0,16.0,38.0,30.0,42.0,9.0,,2.0,19.0,13.0,19.0,14.0,33.0,10.0,4.0,12.0,4.0,80.0,12.0,6.0,27.0,35.0,15.0,50.0,11.0,2.0,3.0,2.0,40.0,17.0,138.0,0.5588235294117647,0.59375,0.8235294117647058,0.5666666666666667,0.5,0.6071428571428571,0.5,0.6071428571428571,0.5384615384615384,0.6581196581196581,0.5714285714285714,0.30612244897959184,0.7105263157894737,0.35294117647058826,0.5454545454545454,0.673469387755102,0.3333333333333333,0.35294117647058826,0.6111111111111112,0.8181818181818182,1.0,0.3877551020408163,0.5526315789473685,0.6176470588235294,0.5714285714285714,0.20408163265306123,0.45,0.45,0.4444444444444444,0.09183673469387756,0.4444444444444444,0.5,1.0,0.21428571428571427,0.6190476190476191,0.6190476190476191,0.7692307692307693,0.23076923076923078,0.6666666666666666,1.0,0.6938775510204082,0.6842105263157895,0.48939322916666667,0.5189318181818181,0.1565217391304348,0.20238095238095238,0.1038961038961039,6.226470588235294,24.803333333333335,28.0,10.0,3.0,7.0,16.0,5.0,31.0,1.0,4.0,31.0,28.0,0.4375,0.47619047619047616,0.5535714285714286,0.6666666666666666,0.10204081632653061,0.14285714285714285,0.5130950000000001,0.2012987012987013,0.24778761061946902,3.0,6.0,6.0,12.0,4.0,1.0,1.0,2.0,1.0,4.0,9.0,2.0,2.0,11.0,4.0,5.0,1.0,3.0,3.0,2.0,1.0,9.0,7.0,4.0,1.0,3.0,5.0,13.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,0.4,0.4444444444444444,0.03333333333333333,0.07352941176470588,0.10526315789473684,0.1,0.1111111111111111,0.5,1.0,0.2727272727272727,0.18181818181818182,0.16666666666666666,0.4,0.7777777777777778,0.2857142857142857,0.02564102564102564,0.3333333333333333,0.4,0.4444444444444444,0.75,0.46153846153846156,0.5,0.07692307692307693,0.5714285714285714,0.5,0.09523809523809523,0.5,0.3333333333333333,0.03225806451612903,,,,,,,,,,,,,,,,1611661313,2010,2010,False
100412-100919-200665-201502-201913,1611661313,"Taj McWilliams-Franklin, Nicole Powell, Cappie Pondexter, Essence Carson, Kia Vaughn","McWilliams-Franklin, Powell, Pondexter, Carson, Vaughn",100412-100919-200665-201502-201913,NYL,81.0,1,2.0,2.0,5.0,88.88888888888889,14.5,14.5,,3.0,2.0,,,,,17.333333333333332,16.666666666666668,1.0,1.0,1.0,1.0,2.0,,,,,,2.0,,1.0,1.0,2.0,,2.0,,2.0,,1.0,,2.0,,,,,,2.0,,1.0,,1.0,,,1.0,,2.0,,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,2.0,1.0,1.0,,,,,0.5,0.25,,0.25,,0.5,1.0,,,1.0,0.5,,1.0,,,0.5,0.5,0.5,1.0,,,,,,,,,0.5,,,,1.0,,,1.0,,0.4674625,0.14145,0.25,0.5,,,21.8,1.0,,2.0,,,2.0,,,,,1.0,,,,,,1.0,0.335775,,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2010,2010,False
100412-101019-200665-201507-202253,1611661313,"Taj McWilliams-Franklin, Janel McCarville, Cappie Pondexter, Leilani Mitchell, Kalana Greene","McWilliams-Franklin, McCarville, Pondexter, Mitchell, Greene",100412-101019-200665-201507-202253,NYL,3785.0,19,117.0,36.0,238.0,90.54689564068691,16.58974358974359,15.487179487179487,29.0,121.0,105.0,9.0,22.0,30.0,2.0,15.239669421487603,13.826446280991735,30.0,63.0,16.0,20.0,37.0,14.0,24.0,2.0,7.0,8.0,20.0,1.0,1.0,38.0,77.0,10.0,27.0,28.0,134.0,1.0,1.0,16.0,42.0,34.0,15.0,15.0,,,20.0,8.0,21.0,5.0,26.0,3.0,2.0,12.0,9.0,57.0,15.0,11.0,25.0,36.0,21.0,57.0,19.0,11.0,4.0,2.0,34.0,9.0,118.0,0.5526315789473685,0.5833333333333334,0.5,0.37037037037037035,1.0,0.37037037037037035,0.4935064935064935,0.5096153846153846,0.36666666666666664,0.5583333333333333,0.47058823529411764,0.25961538461538464,0.6410256410256411,0.39473684210526316,0.7333333333333333,0.6666666666666666,0.37735849056603776,0.5882352941176471,0.5454545454545454,0.7142857142857143,0.4,0.3557692307692308,0.5405405405405406,0.6060606060606061,0.6,0.23076923076923078,0.5833333333333334,0.5833333333333334,0.6428571428571429,0.0673076923076923,0.2857142857142857,0.2857142857142857,1.0,0.19230769230769232,0.4,0.4,0.375,0.06666666666666667,1.0,,0.6153846153846154,0.4,0.47315288461538463,0.476725,0.08108108108108109,0.10714285714285714,0.11940298507462686,7.444155844155845,22.9037037037037,29.0,16.0,6.0,3.0,11.0,9.0,29.0,1.0,1.0,29.0,29.0,0.2727272727272727,0.3,0.48333333333333334,0.3333333333333333,0.15384615384615385,0.3,0.430345,0.21641791044776118,0.2396694214876033,4.0,10.0,,4.0,4.0,,,3.0,2.0,4.0,14.0,5.0,2.0,17.0,4.0,4.0,,,5.0,,3.0,8.0,13.0,7.0,,6.0,3.0,11.0,1.0,3.0,2.0,,9.0,4.0,4.0,,5.0,4.0,,11.0,0.2222222222222222,0.2857142857142857,,0.05194805194805195,0.10810810810810811,,,0.5909090909090909,,0.3333333333333333,0.1111111111111111,0.4,0.2,0.6428571428571429,0.9,0.061224489795918366,0.8,0.25,0.25,,0.6666666666666666,0.4,,0.2,,0.15,,0.3333333333333333,,1.0,1.0,1.0,5.0,0.25,0.5,,,,,,,,,,1611661313,2010,2010,False
100888-100919-101019-200665-201507,1611661313,"Plenette Pierson, Nicole Powell, Janel McCarville, Cappie Pondexter, Leilani Mitchell","Pierson, Powell, McCarville, Pondexter, Mitchell",100888-100919-101019-200665-201507,NYL,2189.0,14,65.0,9.0,136.0,89.46550936500685,17.415384615384614,16.076923076923077,18.0,71.0,61.0,7.0,17.0,19.0,3.0,14.887323943661972,13.380281690140846,12.0,36.0,15.0,11.0,21.0,4.0,14.0,1.0,6.0,6.0,9.0,1.0,1.0,20.0,46.0,7.0,15.0,18.0,79.0,2.0,2.0,15.0,10.0,30.0,18.0,3.0,,,9.0,6.0,5.0,6.0,11.0,5.0,1.0,2.0,1.0,28.0,11.0,6.0,20.0,27.0,17.0,44.0,8.0,4.0,,2.0,20.0,6.0,64.0,0.25,0.25,0.8571428571428571,0.4666666666666667,1.0,0.4666666666666667,0.43478260869565216,0.5,0.5,0.5642857142857143,0.5357142857142857,0.2459016393442623,0.6896551724137931,0.4230769230769231,0.5454545454545454,0.65,0.47058823529411764,0.4,0.75,0.8571428571428571,0.6,0.3442622950819672,0.5238095238095238,0.6470588235294118,0.18181818181818182,0.22950819672131148,0.2857142857142857,0.2857142857142857,0.25,0.09836065573770492,0.16666666666666666,0.16666666666666666,1.0,0.14754098360655737,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.08333333333333333,1.0,1.0,0.5901639344262295,0.6666666666666666,0.48501229508196725,0.5151722222222221,0.09230769230769231,0.12,0.189873417721519,7.067391304347827,22.466666666666665,23.0,11.0,4.0,7.0,10.0,6.0,34.0,3.0,2.0,34.0,23.0,0.7,0.8125,0.8095238095238095,0.3333333333333333,0.18032786885245902,0.25,0.49850625,0.43037974683544306,0.323943661971831,1.0,7.0,4.0,5.0,5.0,1.0,1.0,2.0,3.0,3.0,10.0,3.0,4.0,8.0,,5.0,,2.0,5.0,1.0,1.0,4.0,10.0,5.0,1.0,5.0,6.0,11.0,1.0,,2.0,,5.0,6.0,4.0,2.0,6.0,4.0,,3.0,0.6666666666666666,0.3,,0.10869565217391304,0.19047619047619047,0.09090909090909091,,0.5882352941176471,0.5,0.625,0.5,0.6666666666666666,0.6,0.5714285714285714,0.5,0.034482758620689655,0.6666666666666666,0.45454545454545453,0.5,0.4,0.5833333333333334,0.14285714285714285,0.08333333333333333,0.3125,0.8,0.125,0.5,0.75,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,1611661313,2010,2010,False
100888-101019-201086-201507-202253,1611661313,"Plenette Pierson, Janel McCarville, Sidney Spencer, Leilani Mitchell, Kalana Greene","Pierson, McCarville, Spencer, Mitchell, Greene",100888-101019-201086-201507-202253,NYL,341.0,4,9.0,2.0,19.0,80.23460410557185,14.777777777777779,14.0,-5.0,10.0,15.0,,1.0,2.0,,20.8,17.4,5.0,6.0,3.0,1.0,1.0,1.0,2.0,,,1.0,3.0,1.0,1.0,3.0,7.0,1.0,3.0,1.0,10.0,1.0,1.0,7.0,2.0,4.0,,3.0,,,3.0,1.0,1.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,,,,,2.0,1.0,3.0,0.3333333333333333,0.5,,0.3333333333333333,1.0,0.3333333333333333,0.42857142857142855,0.45,1.1666666666666667,0.45454545454545453,1.1666666666666667,0.3,0.5,0.25,1.0,0.6666666666666666,0.4,,0.5,,,0.1,1.0,1.0,,0.2,0.5,0.5,1.0,,,,,0.3,0.3333333333333333,0.3333333333333333,,0.3333333333333333,1.0,,0.4,0.3333333333333333,0.400865,0.40585,0.09090909090909091,0.125,0.7,9.5,22.8,3.0,4.0,,1.0,2.0,,3.0,,,3.0,3.0,0.5,0.5,0.5,,0.4,,0.4044,0.3,0.3,,,1.0,1.0,1.0,,,,,2.0,2.0,,,1.0,2.0,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,0.25,0.25,,,,,0.5,1.0,,,,,,,,1.0,,,,,,,,,,,,1611661313,2010,2010,False
