EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,ShootingFouls,Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,AtRimFGA,LongMidRangeFGA,FtPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,LongMidRangeFrequency,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFG2M,PenaltyFg2Pct,PenaltyEfgPct,AtRimAssists,DeadBallTurnovers,Travels,Blocked2s,BlockedAtRim,Blocks,AtRimPctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,DefCorner3ReboundPct,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100658-100682-100721-100973-202256,1611661328,"Svetlana Abrosimova, Lauren Jackson, Swin Cash, Le'coe Willingham, Alison Lacey","Abrosimova, Jackson, Cash, Willingham, Lacey",100658-100682-100721-100973-202256,SEA,87.0,1,1.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,82.75862068965517,19.5,16.0,19.5,16.0,1.0,1.0,1.0,0.3648,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100942-101030-201067,1611661328,"Svetlana Abrosimova, Lauren Jackson, Ashley Robinson, Tanisha Wright, Camille Little","Abrosimova, Jackson, Robinson, Wright, Little",100658-100682-100942-101030-201067,SEA,91.0,1,2.0,3.0,4.0,,7.0,,,,2.0,2.0,4.0,,,1.0,2.0,,,0.3333333333333333,110.76923076923077,10.0,15.25,10.0,13.75,,,,0.50285,7.8,-2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100682-100720-100721-201067-202256,1611661328,"Lauren Jackson, Sue Bird, Swin Cash, Camille Little, Alison Lacey","Jackson, Bird, Cash, Little, Lacey",100682-100720-100721-201067-202256,SEA,170.0,3,3.0,7.0,8.0,2.0,15.0,1.0,2.0,2.0,4.0,9.0,2.0,2.0,1.0,1.0,6.0,0.5,0.5,0.6428571428571429,127.05882352941175,9.857142857142858,12.625,9.714285714285714,12.5,0.5,0.5,0.5,0.47945,4.2,7.0,2.0,,5.0,3.0,5.0,7.0,1.0,,4.0,6.0,3.0,1.0,0.8333333333333334,1.0,0.5,,0.5,0.42857142857142855,0.42857142857142855,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.25,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5314,0.3282,0.3333333333333333,0.1111111111111111,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100682-100720-100942-101030-202239,1611661328,"Lauren Jackson, Sue Bird, Ashley Robinson, Tanisha Wright, Jana Vesela","Jackson, Bird, Robinson, Wright, Vesela",100682-100720-100942-101030-202239,SEA,14.0,1,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,2.0,1.0,1.0,1.0,102.85714285714286,13.0,,13.0,,1.0,1.0,1.0,0.1414,10.9,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,0.1414,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100682-100721-101030-201067-202249,1611661328,"Lauren Jackson, Swin Cash, Tanisha Wright, Camille Little, Abby Bishop","Jackson, Cash, Wright, Little, Bishop",100682-100721-101030-201067-202249,SEA,114.0,1,2.0,3.0,4.0,,7.0,,,2.0,2.0,4.0,1.0,2.0,,1.0,4.0,1.0,1.0,1.0,88.42105263157895,12.666666666666666,19.0,12.666666666666666,16.75,,,,0.5787,,3.0,2.0,,,1.0,1.0,1.0,1.0,,2.0,,,0.5,0.25,0.5,1.0,,1.0,,,,,2.0,,,,,,,,,,2.0,,1.0,1.0,,2.0,,,,,1.0,,,1.0,,,0.5,0.5,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100720-100721-201067,1611661328,"Svetlana Abrosimova, Lauren Jackson, Sue Bird, Swin Cash, Camille Little","Abrosimova, Jackson, Bird, Cash, Little",100658-100682-100720-100721-201067,SEA,3294.0,18,55.0,102.0,103.0,28.0,205.0,13.0,28.0,27.0,65.0,93.0,127.0,28.0,24.0,39.0,72.0,0.4153846153846154,0.4107142857142857,0.4696969696969697,89.61748633879782,16.215686274509803,15.922330097087379,15.0,14.78640776699029,0.3333333333333333,0.4642857142857143,0.52,0.4486018072289157,8.74,-34.0,19.0,18.0,24.0,14.0,37.0,58.0,6.0,2.0,34.0,35.0,15.0,0.7368421052631579,0.6470588235294118,0.7368421052631579,0.2261904761904762,0.21428571428571427,0.4523809523809524,0.15789473684210525,0.19736842105263158,37.0,16.0,10.0,3.0,5.0,6.0,8.0,6.0,21.0,18.0,8.0,23.0,26.0,6.0,13.0,17.0,5.0,38.0,13.0,19.0,21.0,2.0,4.0,12.0,7.0,23.0,23.0,37.0,0.48148148148148145,0.5416666666666666,0.75,0.75,0.8076923076923077,0.3709677419354839,0.5217391304347826,0.59375,0.3611111111111111,0.3877551020408163,0.6666666666666666,0.2857142857142857,0.6,0.04878048780487805,0.5263157894736842,0.6666666666666666,0.38461538461538464,0.5,0.6,0.49297142857142856,0.4582979166666667,0.22580645161290322,0.24731182795698925,0.3627450980392157,6.0,0.3333333333333333,0.3,6.0,11.0,2.0,4.0,2.0,4.0,0.6,2.0,6.0,4.0,2.0,5.0,1.0,1.0,2.0,3.0,14.0,1.0,1.0,5.0,5.0,19.0,1.0,2.0,1.0,7.0,12.0,3.0,1.0,13.0,3.0,7.0,1.0,4.0,2.0,2.0,2.0,6.0,2.0,4.0,2.0,1.0,5.0,3.0,11.0,3.0,3.0,2.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,0.8,0.2631578947368421,0.5,0.14285714285714285,0.2777777777777778,0.2261904761904762,0.05263157894736842,0.1076923076923077,0.21052631578947367,0.10714285714285714,0.2,0.6666666666666666,0.2857142857142857,0.46153846153846156,0.23076923076923078,0.4,0.6666666666666666,0.5625,0.6666666666666666,0.25,0.2222222222222222,0.2222222222222222,0.5,0.05952380952380952,0.4,0.5,1.0,0.16666666666666666,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.3333333333333333,0.1,1.0,1.0,0.1,0.24,0.3333333333333333,0.08,0.2,0.2,0.23076923076923078,22.92105263157895,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100720-100973-202256,1611661328,"Svetlana Abrosimova, Lauren Jackson, Sue Bird, Le'coe Willingham, Alison Lacey","Abrosimova, Jackson, Bird, Willingham, Lacey",100658-100682-100720-100973-202256,SEA,91.0,1,2.0,2.0,2.0,,4.0,,,1.0,2.0,5.0,5.0,,,1.0,2.0,0.5,0.8333333333333334,0.8333333333333334,63.2967032967033,19.0,26.5,17.0,26.5,,,,0.5432666666666667,10.0,,1.0,1.0,,,,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,2.0,1.0,,,,,,,3.0,2.0,,5.0,2.0,,1.0,2.0,,5.0,1.0,,1.0,,,,,,5.0,2.0,1.0,1.0,,1.5,1.5,0.8333333333333334,,,1.0,1.0,1.0,,,,,,,,,0.5937,0.5432666666666667,0.6,1.0,1.0,1.0,0.5,0.8333333333333334,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,1.0,0.3333333333333333,,,0.3333333333333333,1.0,1.0,22.5,1.0,1.0,1.0,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100721-201067-202239-202256,1611661328,"Svetlana Abrosimova, Swin Cash, Camille Little, Jana Vesela, Alison Lacey","Abrosimova, Cash, Little, Vesela, Lacey",100658-100721-201067-202239-202256,SEA,37.0,1,1.0,2.0,2.0,,4.0,,,,,,2.0,,1.0,1.0,,,,,155.67567567567568,7.5,11.0,7.5,11.0,,,,,,-2.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100973-201067-202239-202256,1611661328,"Svetlana Abrosimova, Le'coe Willingham, Camille Little, Jana Vesela, Alison Lacey","Abrosimova, Willingham, Little, Vesela, Lacey",100658-100973-201067-202239-202256,SEA,150.0,3,2.0,6.0,6.0,1.0,12.0,1.0,1.0,2.0,3.0,7.0,3.0,2.0,2.0,2.0,7.0,0.6666666666666666,0.7,0.7,115.2,10.333333333333334,14.666666666666666,10.333333333333334,14.166666666666666,0.2,1.0,1.0,0.45247000000000004,8.133333333333333,4.0,1.0,1.0,,,2.0,2.0,1.0,,,,,,0.6666666666666666,,0.2,0.2,0.6,,,2.0,,1.0,,,,,,,2.0,,2.0,2.0,,1.0,2.0,,5.0,,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,,,,0.5,1.0,0.6666666666666666,,,,,0.5,,1.0,1.0,,,,,0.29535,,0.2857142857142857,0.3333333333333333,1.0,0.5,0.5,1.0,,,,,,1.0,,,,,,,,,1.0,2.0,,,,1.0,2.0,,,,,3.0,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,0.5,0.4,,,,,,,,,,,,,1.0,,,,,,,,,0.4,0.5,0.5,1.0,,,,,,,,,,,0.5,23.4,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100682-100720-100721-100973-202256,1611661328,"Lauren Jackson, Sue Bird, Swin Cash, Le'coe Willingham, Alison Lacey","Jackson, Bird, Cash, Willingham, Lacey",100682-100720-100721-100973-202256,SEA,97.0,1,2.0,4.0,4.0,4.0,8.0,,1.0,1.0,4.0,4.0,5.0,2.0,,1.0,2.0,0.25,0.25,0.4,118.76288659793815,10.25,14.0,9.5,14.0,0.25,,,0.5129,7.475,-1.0,2.0,1.0,2.0,1.0,1.0,3.0,,,1.0,2.0,,1.0,1.0,,0.5,0.25,0.5,,,4.0,2.0,1.0,,1.0,,1.0,2.0,2.0,4.0,2.0,4.0,,,,,,,2.0,,2.0,1.0,,,,,4.0,4.0,,,,,0.5,0.4,,,0.6666666666666666,0.6666666666666666,1.0,,,0.3333333333333333,0.5,0.5,,1.0,,0.5799,0.5129,0.5,1.0,1.0,1.0,0.25,0.25,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1611661328,2010,2010,True
