EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Clear Path Fouls,Technical Free Throw Trips,StepOutOfBoundsTurnovers,HeaveAttempts,BlockedLongMidRange,Travels,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,team_id,year,season,team_vs
100236-100634-100940-101024-101025,1611661317,"Tangela Smith, Penny Taylor, Diana Taurasi, Temeka Johnson, Kara Braxton","Smith, Taylor, Taurasi, Johnson, Braxton",100236-100634-100940-101024-101025,PHO,439.0,3,7.0,2.0,13.0,12.0,2.0,3.0,25.0,5.0,7.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,6.0,12.0,1.0,1.0,15.0,13.0,1.0,2.0,2.0,10.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,5.0,13.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,15.0,2.0,2.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.5,0.5,0.5769230769230769,0.5,0.5769230769230769,0.5,0.07692307692307693,0.08333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.42857142857142855,0.5,1.0,0.3333333333333333,82.00455580865604,13.923076923076923,21.5,13.923076923076923,18.166666666666668,0.5384615384615384,0.7142857142857143,0.7142857142857143,1.0,0.23076923076923078,0.3333333333333333,0.5,0.15384615384615385,0.07692307692307693,1.0,1.0,1.0,1.0,0.5,0.6153846153846154,1.0,0.5058153846153846,0.5496,0.07692307692307693,0.08333333333333333,0.13333333333333333,5.141666666666667,22.2,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2010,2010,False
100236-100634-100940-101024-200676,1611661317,"Tangela Smith, Penny Taylor, Diana Taurasi, Temeka Johnson, Candice Dupree","Smith, Taylor, Taurasi, Johnson, Dupree",100236-100634-100940-101024-200676,PHO,3643.0,4,61.0,36.0,118.0,114.0,19.0,18.0,232.0,21.0,31.0,4.0,7.0,17.0,34.0,15.0,12.0,22.0,44.0,80.0,15.0,30.0,155.0,119.0,6.0,15.0,22.0,60.0,28.0,36.0,22.0,12.0,4.0,30.0,12.0,42.0,10.0,13.0,96.0,8.0,31.0,43.0,57.0,13.0,7.0,16.0,30.0,27.0,1.0,25.0,7.0,15.0,138.0,22.0,19.0,0.6818181818181818,0.6976744186046512,0.8,0.5,0.5,0.55,0.4,0.6045454545454545,0.46875,0.6512605042016807,0.5789473684210527,0.2727272727272727,0.05,0.029411764705882353,0.6595744680851063,0.6153846153846154,0.65,0.5555555555555556,0.782608695652174,0.5454545454545454,91.70463903376339,13.161016949152541,18.333333333333332,12.516949152542374,17.342105263157894,0.2818181818181818,0.6774193548387096,0.7241379310344828,0.6190476190476191,0.3090909090909091,0.5,0.5151515151515151,0.13636363636363635,0.2,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.4375,0.5714285714285714,0.5545454545454546,0.5454545454545454,0.4867772727272727,0.486625,0.1271186440677966,0.17045454545454544,0.14193548387096774,6.89375,21.903333333333332,0.16101694915254236,12.0,4.0,6.0,6.0,3.0,8.0,2.0,1.0,2.0,1.0,1.0,22.0,5.0,7.0,1.0,4.0,4.0,17.0,1.0,1.0,7.0,9.0,2.0,2.0,13.0,4.0,4.0,9.0,1.0,4.0,14.0,3.0,6.0,7.0,1.0,3.0,6.0,3.0,4.0,13.0,2.0,3.0,3.0,1.0,1.0,1.0,8.0,4.0,4.0,8.0,3.0,3.0,1.0,0.25,1.0,0.7142857142857143,0.5909090909090909,0.6538461538461539,0.06451612903225806,0.06666666666666667,0.5384615384615384,0.8,1.0,0.25,0.26666666666666666,0.2549019607843137,0.5,0.11764705882352941,0.2222222222222222,0.2,0.4,0.5333333333333333,1.0,0.06382978723404255,0.375,0.7647058823529411,0.4,0.42857142857142855,0.6666666666666666,0.07272727272727272,0.375,0.375,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.75,0.18181818181818182,0.18181818181818182,0.5,1.0,0.0625,1.0,0.5719857142857142,0.10967741935483871,,,,,,,,,,,,1611661317,2010,2010,False
100236-100634-100940-101025-201886,1611661317,"Tangela Smith, Penny Taylor, Diana Taurasi, Kara Braxton, DeWanna Bonner","Smith, Taylor, Taurasi, Braxton, Bonner",100236-100634-100940-101025-201886,PHO,486.0,2,8.0,-8.0,15.0,16.0,,,31.0,5.0,6.0,,,1.0,5.0,,,1.0,6.0,11.0,,1.0,13.0,21.0,,,,10.0,2.0,,1.0,,2.0,5.0,,5.0,,4.0,10.0,1.0,3.0,5.0,7.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,,,11.0,,,0.8333333333333334,1.0,,,,0.5454545454545454,,0.5,,0.5,,0.08333333333333333,0.18181818181818182,0.4,0.75,0.5,0.6666666666666666,,1.0,0.5,91.85185185185186,12.733333333333333,18.4375,12.6,16.4375,0.5,0.8333333333333334,0.8333333333333334,0.8,0.4166666666666667,0.2,0.3333333333333333,,0.08333333333333333,,,,,,0.5833333333333334,,0.5059291666666667,,,,,3.0181818181818185,22.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,2.0,,,,2.0,,,,,2.0,,1.0,,1.0,1.0,,1.0,2.0,1.0,,3.0,2.0,1.0,2.0,,2.0,5.0,,,,,,,2.0,,2.0,2.0,2.0,,,,,0.5,0.5,0.5,,,0.6,1.0,,0.2,1.0,0.3333333333333333,,0.25,,1.0,,0.5,,0.25,1.0,1.0,,,,,,,,0.5,1.0,,,,,,,,0.6008,0.15384615384615385,1.0,1.0,,,,,,,,,,1611661317,2010,2010,False
100236-100634-100940-200676-201886,1611661317,"Tangela Smith, Penny Taylor, Diana Taurasi, Candice Dupree, DeWanna Bonner","Smith, Taylor, Taurasi, Dupree, Bonner",100236-100634-100940-200676-201886,PHO,1138.0,4,19.0,-3.0,36.0,38.0,6.0,10.0,74.0,10.0,13.0,1.0,1.0,1.0,8.0,1.0,3.0,7.0,11.0,22.0,3.0,9.0,37.0,40.0,1.0,3.0,5.0,16.0,6.0,,7.0,3.0,1.0,8.0,,8.0,,7.0,16.0,6.0,6.0,13.0,19.0,4.0,2.0,5.0,10.0,8.0,,6.0,,3.0,33.0,5.0,6.0,0.7272727272727273,0.8,,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.625,0.5441176470588235,0.625,0.2903225806451613,0.045454545454545456,0.125,0.8571428571428571,0.75,0.8,1.0,0.75,0.7142857142857143,93.63796133567664,13.75,16.92105263157895,12.88888888888889,16.342105263157894,0.41935483870967744,0.7692307692307693,0.7692307692307693,0.7,0.25806451612903225,0.125,0.14285714285714285,0.03225806451612903,0.22580645161290322,0.42857142857142855,0.42857142857142855,,0.25,1.0,0.7096774193548387,0.42857142857142855,0.51505,0.42655,0.08823529411764706,0.12,0.13513513513513514,3.6636363636363636,22.177777777777777,0.16666666666666666,6.0,1.0,2.0,,,2.0,,,,1.0,1.0,6.0,1.0,3.0,,,2.0,4.0,1.0,1.0,,9.0,2.0,,1.0,,4.0,2.0,,1.0,6.0,,2.0,5.0,1.0,2.0,4.0,,3.0,9.0,2.0,3.0,2.0,2.0,,,,,,,,1.0,,,1.0,0.3333333333333333,0.3333333333333333,0.5,,,0.5555555555555556,1.0,,0.18181818181818182,0.8,0.375,,0.2857142857142857,,1.0,0.5,1.0,1.0,,,1.0,,,,0.06451612903225806,,,,0.6666666666666666,0.5,,,,,,0.25,1.0,0.2179,0.10810810810810811,,,1.0,,,,,,,,,1611661317,2010,2010,False
100236-100634-101024-101025-201886,1611661317,"Tangela Smith, Penny Taylor, Temeka Johnson, Kara Braxton, DeWanna Bonner","Smith, Taylor, Johnson, Braxton, Bonner",100236-100634-101024-101025-201886,PHO,274.0,3,5.0,-6.0,9.0,11.0,5.0,7.0,20.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,7.0,1.0,2.0,11.0,17.0,2.0,3.0,9.0,2.0,4.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,4.0,,,2.0,3.0,2.0,,4.0,,,10.0,9.0,5.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.42857142857142855,0.6666666666666666,0.5,0.7,0.5,0.6428571428571429,0.2222222222222222,,,0.6666666666666666,1.0,0.75,,0.6666666666666666,1.0,105.1094890510949,14.11111111111111,13.363636363636363,13.777777777777779,13.363636363636363,0.1111111111111111,1.0,1.0,1.0,0.4444444444444444,0.5,0.5,0.2222222222222222,0.2222222222222222,0.5,0.5,1.0,0.2,1.0,0.3333333333333333,1.0,0.41853125,0.4783375,,,0.8181818181818182,8.628571428571428,34.65,0.5555555555555556,1.0,,,,,,,,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,,1.0,2.0,,0.5,,,0.5,,,,,,0.25,,0.25,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,,0.09090909090909091,,,,1.0,,,,,,,,1611661317,2010,2010,False
100236-100634-101024-200676-201886,1611661317,"Tangela Smith, Penny Taylor, Temeka Johnson, Candice Dupree, DeWanna Bonner","Smith, Taylor, Johnson, Dupree, Bonner",100236-100634-101024-200676-201886,PHO,528.0,4,9.0,,16.0,18.0,11.0,5.0,34.0,1.0,3.0,1.0,2.0,3.0,5.0,2.0,1.0,5.0,4.0,10.0,1.0,5.0,17.0,17.0,2.0,5.0,10.0,4.0,4.0,3.0,5.0,1.0,,2.0,1.0,3.0,1.0,1.0,7.0,1.0,4.0,7.0,11.0,2.0,2.0,1.0,2.0,4.0,,6.0,,3.0,12.0,10.0,11.0,0.5,0.5,1.0,0.2,0.2,0.4,0.4,0.36666666666666664,0.25,0.4722222222222222,0.45454545454545453,0.3333333333333333,,,0.8,1.0,0.8333333333333334,,,1.0,92.72727272727272,15.625,15.444444444444445,13.75,14.555555555555555,0.2,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6,0.6,0.13333333333333333,0.3333333333333333,0.2,0.2,1.0,0.25,0.5,0.5333333333333333,0.2,0.49078,0.507275,0.16666666666666666,0.23076923076923078,0.5882352941176471,7.409999999999999,21.66,0.6875,2.0,,1.0,,,,,1.0,2.0,,3.0,6.0,,1.0,1.0,2.0,2.0,5.0,,3.0,6.0,,,,1.0,,2.0,2.0,,2.0,4.0,,,1.0,,1.0,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,0.5,,,0.5,0.625,,,0.5,1.0,,0.3333333333333333,0.5,0.4,0.5,,0.5,0.5,,0.8,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,0.6666666666666666,0.5,1.0,0.375,,0.609075,0.29411764705882354,,,,,,,,,,,,1611661317,2010,2010,False
100236-100940-101024-101025-201886,1611661317,"Tangela Smith, Diana Taurasi, Temeka Johnson, Kara Braxton, DeWanna Bonner","Smith, Taurasi, Johnson, Braxton, Bonner",100236-100940-101024-101025-201886,PHO,251.0,3,4.0,9.0,10.0,11.0,3.0,7.0,21.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,3.0,3.0,1.0,3.0,11.0,2.0,2.0,2.0,7.0,4.0,2.0,3.0,2.0,1.0,,2.0,1.0,3.0,1.0,2.0,7.0,4.0,1.0,7.0,8.0,2.0,2.0,2.0,3.0,2.0,,2.0,,1.0,11.0,7.0,3.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,1.1666666666666667,0.7857142857142857,1.1666666666666667,0.5,,,0.5,0.8,0.7142857142857143,0.5,,0.5,120.47808764940238,8.2,15.363636363636363,8.2,14.727272727272727,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,1.0,0.8333333333333334,0.5,0.6050583333333334,0.6859333333333333,0.14285714285714285,0.25,0.6363636363636364,4.3,22.066666666666666,0.3,1.0,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,,,2.0,1.0,,,1.0,1.0,1.0,3.0,,,4.0,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,0.25,1.0,,,0.5,0.5,,,,,1.0,,1.0,,1.0,,,,,0.16666666666666666,,,,,,,,,,,0.3333333333333333,1.0,,,,,1.0,,,,,,,,,1611661317,2010,2010,False
100236-100940-101024-200676-201886,1611661317,"Tangela Smith, Diana Taurasi, Temeka Johnson, Candice Dupree, DeWanna Bonner","Smith, Taurasi, Johnson, Dupree, Bonner",100236-100940-101024-200676-201886,PHO,970.0,4,16.0,-4.0,35.0,35.0,7.0,9.0,70.0,7.0,9.0,1.0,2.0,2.0,8.0,5.0,3.0,7.0,11.0,22.0,3.0,7.0,37.0,41.0,2.0,7.0,4.0,18.0,4.0,9.0,7.0,3.0,,9.0,3.0,12.0,3.0,5.0,27.0,3.0,6.0,10.0,15.0,4.0,3.0,5.0,10.0,11.0,,8.0,1.0,3.0,31.0,4.0,7.0,0.8181818181818182,0.9,1.0,0.42857142857142855,0.42857142857142855,0.5,0.2857142857142857,0.5344827586206896,0.2857142857142857,0.578125,0.2857142857142857,0.2413793103448276,,,0.6,0.5,0.5625,0.5,0.75,0.3333333333333333,103.91752577319586,13.342857142857143,14.371428571428572,12.885714285714286,12.971428571428572,0.3103448275862069,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.27586206896551724,0.25,0.25,0.1724137931034483,0.2413793103448276,0.42857142857142855,0.42857142857142855,1.0,0.2857142857142857,0.5,0.5517241379310345,0.42857142857142855,0.49702068965517243,0.4575142857142857,0.0967741935483871,0.125,0.10810810810810811,7.245454545454546,21.8,0.2,4.0,1.0,1.0,2.0,,,,,,,,6.0,2.0,3.0,,,2.0,6.0,,,,,2.0,,2.0,2.0,2.0,3.0,,1.0,5.0,,1.0,5.0,1.0,5.0,3.0,,,8.0,,2.0,1.0,1.0,2.0,1.0,6.0,4.0,1.0,6.0,3.0,1.0,,,,0.6666666666666666,0.6666666666666666,0.75,,,0.625,1.0,,0.2727272727272727,0.5,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,,0.5,0.6666666666666666,,0.5,1.0,0.4,0.4,1.0,,,,,0.3333333333333333,1.0,,,,,,,,0.4843,0.16216216216216217,,1.0,,,1.0,,,,,,,1611661317,2010,2010,False
100634-100940-101024-101025-200676,1611661317,"Penny Taylor, Diana Taurasi, Temeka Johnson, Kara Braxton, Candice Dupree","Taylor, Taurasi, Johnson, Braxton, Dupree",100634-100940-101024-101025-200676,PHO,39.0,1,1.0,1.0,1.0,2.0,1.0,,3.0,,,,,1.0,1.0,,,,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,2.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,110.76923076923076,8.0,15.5,8.0,15.5,,,,,1.0,1.0,1.0,,,,,,,,,,0.3895,0.3895,,,1.0,11.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2010,2010,False
100634-100940-101025-200676-201886,1611661317,"Penny Taylor, Diana Taurasi, Kara Braxton, Candice Dupree, DeWanna Bonner","Taylor, Taurasi, Braxton, Dupree, Bonner",100634-100940-101025-200676-201886,PHO,161.0,2,3.0,4.0,6.0,5.0,,,11.0,2.0,4.0,,,,1.0,2.0,1.0,1.0,3.0,7.0,1.0,1.0,9.0,5.0,,,,6.0,,,1.0,1.0,,3.0,,3.0,,2.0,6.0,1.0,,1.0,3.0,,,1.0,1.0,1.0,,,,,7.0,,,1.0,1.0,,1.0,1.0,0.42857142857142855,,0.5625,,0.5625,,0.125,,,,1.0,0.5,,,1.0,98.38509316770187,13.5,16.0,12.333333333333334,15.6,0.5,0.5,0.5,1.0,0.125,,,0.25,0.125,1.0,1.0,,,,0.625,1.0,0.4621625,,,,,5.442857142857143,22.2,,1.0,1.0,2.0,1.0,,,,,,,,,1.0,2.0,,,,2.0,,,,3.0,,,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,0.5,,0.5,0.5,1.0,,,,,,,,,0.5,0.5,1.0,,,,,1.0,0.5,1.0,,,,,,,0.42975,0.2222222222222222,,,,,,,,,,,,1611661317,2010,2010,False
