EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LostBallTurnovers,SecondChanceAtRimPctAssisted,HeaveAttempts,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,Travels,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyTurnovers,NonShootingFoulsDrawn,DefCorner3ReboundPct,PtsPutbacks,OffLongMidRangeReboundPct,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,FTDefRebounds,BlockedShortMidRange,DefFTReboundPct,SecondChanceArc3FGA,SelfOReb,SecondChanceTurnovers,SelfORebPct,SecondChanceArc3Frequency,Loose Ball Fouls,ShortMidRangeAssists,ShortMidRangePctAssisted,LostBallSteals,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,BlockedLongMidRange,Technical Free Throw Trips,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,HeaveMakes,Corner3PctBlocked,DefensiveGoaltends,team_id,year,season,team_vs
100651-100887-101080-201050-201483,1611661321,"Kiesha Brown, Marion Jones, Jennifer Lacy, Tiffany Jackson, Amber Holt","Brown, Jones, Lacy, Jackson, Holt",100651-100887-101080-201050-201483,TUL,730.0,2,12.0,12.0,22.0,21.0,5.0,2.0,43.0,5.0,8.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,5.0,7.0,15.0,3.0,6.0,2.0,25.0,13.0,1.0,3.0,2.0,10.0,4.0,9.0,5.0,2.0,1.0,5.0,3.0,8.0,2.0,1.0,4.0,1.0,19.0,3.0,3.0,7.0,10.0,3.0,13.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,23.0,1.0,0.7142857142857143,0.7142857142857143,1.0,0.5,0.5,0.4666666666666667,0.3333333333333333,0.5476190476190477,0.3333333333333333,0.5952380952380952,0.3333333333333333,0.2857142857142857,0.06666666666666667,0.125,0.5,0.875,0.42857142857142855,0.75,0.8333333333333334,0.3,0.6666666666666666,0.5,1.0,1.0,0.75,0.75,84.82191780821918,1.0,16.681818181818183,17.285714285714285,15.863636363636363,16.238095238095237,0.38095238095238093,0.625,0.7142857142857143,0.8,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.19047619047619047,0.25,0.25,1.0,0.047619047619047616,1.0,1.0,1.0,0.23809523809523808,0.4,0.4,1.0,1.0,0.3333333333333333,0.6666666666666666,0.4,0.46235476190476194,0.49756666666666666,0.09523809523809523,0.13333333333333333,0.08,6.246666666666667,22.46666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
100651-101080-200684-201050-201884,1611661321,"Kiesha Brown, Jennifer Lacy, Scholanda Dorrell, Tiffany Jackson, Chante Black","Brown, Lacy, Dorrell, Jackson, Black",100651-101080-200684-201050-201884,TUL,68.0,1,1.0,,2.0,3.0,,,5.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,105.88235294117648,,15.0,12.666666666666666,15.0,12.666666666666666,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,0.365,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
100887-200684-200686-201483-201919,1611661321,"Marion Jones, Scholanda Dorrell, Shanna Zolman, Amber Holt, Shavonte Zellous","Jones, Dorrell, Zolman, Holt, Zellous",100887-200684-200686-201483-201919,TUL,21.0,1,,-2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.57142857142857,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
100887-200684-200686-201050-201056,1611661321,"Marion Jones, Scholanda Dorrell, Shanna Zolman, Tiffany Jackson, Ivory Latta","Jones, Dorrell, Zolman, Jackson, Latta",100887-200684-200686-201050-201056,TUL,342.0,2,6.0,-6.0,11.0,10.0,3.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,,,1.0,2.0,3.0,8.0,1.0,2.0,1.0,10.0,16.0,1.0,2.0,3.0,2.0,4.0,,2.0,1.0,1.0,1.0,,1.0,,,,1.0,2.0,2.0,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,3.0,,1.0,1.0,1.0,,,,,7.0,,0.3333333333333333,0.3333333333333333,,0.5,0.5,0.375,0.5,0.45,0.5,0.5,0.75,0.2,0.125,,0.3333333333333333,1.0,0.4,,1.0,0.3333333333333333,,0.4,1.0,,,,88.42105263157895,,17.545454545454547,14.9,16.181818181818183,14.9,0.1,1.0,1.0,,0.6,0.16666666666666666,0.2,0.1,1.0,1.0,1.0,,,,,0.2,0.5,0.5,,0.5,1.0,0.3,0.5,0.408775,0.4404,0.1,0.125,0.3,6.65,24.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,0.5,0.5,0.75,0.16666666666666666,0.5,1.0,0.4404,0.3,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
101025-101080-200686-201056-201483,1611661321,"Kara Braxton, Jennifer Lacy, Shanna Zolman, Ivory Latta, Amber Holt","Braxton, Lacy, Zolman, Latta, Holt",101025-101080-200686-201056-201483,TUL,152.0,2,3.0,-4.0,6.0,6.0,,1.0,12.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,3.0,4.0,,,2.0,8.0,12.0,1.0,1.0,2.0,4.0,2.0,,,,,2.0,,2.0,,,2.0,,4.0,,,,,,,,,1.0,,,,1.0,2.0,2.0,,1.0,,2.0,,1.0,,,,,6.0,,0.6666666666666666,0.6666666666666666,,,,0.75,1.0,0.75,1.0,0.8,1.0,,,,1.0,,,,,,,,,,,,113.6842105263158,,13.833333333333334,11.5,12.166666666666666,10.833333333333334,0.75,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,1.0,,,,,,,,,,,,,1.0,1.0,0.75,,0.516975,0.5432,0.2,0.2,0.25,4.675,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
101025-201483-201490-201919-202269,1611661321,"Kara Braxton, Amber Holt, Natasha Lacy, Shavonte Zellous, Amanda Thompson","Braxton, Holt, Lacy, Zellous, Thompson",101025-201483-201490-201919-202269,TUL,36.0,1,1.0,-5.0,1.0,2.0,2.0,,3.0,,,,,,,,,,,,1.0,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,120.0,,15.0,10.5,15.0,8.5,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
101080-200684-200686-201050-201056,1611661321,"Jennifer Lacy, Scholanda Dorrell, Shanna Zolman, Tiffany Jackson, Ivory Latta","Lacy, Dorrell, Zolman, Jackson, Latta",101080-200684-200686-201050-201056,TUL,295.0,2,5.0,-8.0,9.0,9.0,1.0,1.0,18.0,2.0,2.0,1.0,1.0,,1.0,,,,2.0,,4.0,2.0,3.0,,6.0,,4.0,12.0,1.0,1.0,2.0,,4.0,,4.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,3.0,,2.0,2.0,,,,,,,,2.0,,,,,,,0.6666666666666666,1.0,0.2222222222222222,1.0,0.2222222222222222,1.0,0.6666666666666666,,,1.0,,,,,0.14285714285714285,,,,,,,87.86440677966101,,17.88888888888889,14.88888888888889,17.444444444444443,12.333333333333334,0.2222222222222222,1.0,1.0,,0.1111111111111111,,,,,,,0.2222222222222222,,,,0.4444444444444444,,,,1.0,1.0,0.8888888888888888,,0.46881111111111107,,,,0.5,3.5666666666666664,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
200684-200686-201483-201487-201884,1611661321,"Scholanda Dorrell, Shanna Zolman, Amber Holt, Alexis Hornbuckle, Chante Black","Dorrell, Zolman, Holt, Hornbuckle, Black",200684-200686-201483-201487-201884,TUL,519.0,3,9.0,2.0,17.0,16.0,,,33.0,5.0,6.0,,,,1.0,1.0,2.0,,,1.0,5.0,6.0,9.0,1.0,5.0,2.0,17.0,15.0,,,,6.0,6.0,,5.0,1.0,,3.0,,3.0,,,2.0,1.0,6.0,,1.0,5.0,6.0,,6.0,2.0,2.0,,,2.0,,2.0,,,,2.0,,2.0,,1.0,2.0,2.0,2.0,1.0,17.0,,0.5,0.5,,0.2,0.2,0.6666666666666666,,0.5357142857142857,,0.5666666666666667,,0.35714285714285715,,,,0.7142857142857143,,1.0,0.75,,,,0.75,,1.0,1.0,91.5606936416185,0.5,15.0,16.5,15.0,16.0625,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.4,0.07142857142857142,,,0.14285714285714285,0.5,0.5,1.0,,,,,0.35714285714285715,0.2,0.2,,,,0.7857142857142857,0.2,0.513,,0.06666666666666667,0.1,,4.111111111111111,21.98,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
200686-201056-201483-201884-201901,1611661321,"Shanna Zolman, Ivory Latta, Amber Holt, Chante Black, Rashanda McCants","Zolman, Latta, Holt, Black, McCants",200686-201056-201483-201884-201901,TUL,15.0,1,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,2.0,,1.0,,,,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,192.0,,3.0,12.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
101025-101080-200684-200686-201884,1611661321,"Kara Braxton, Jennifer Lacy, Scholanda Dorrell, Shanna Zolman, Chante Black","Braxton, Lacy, Dorrell, Zolman, Black",101025-101080-200684-200686-201884,TUL,31.0,1,1.0,,2.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.5,,,,1.0,,,,139.3548387096774,,6.5,18.0,6.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2010,2010,False
