EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2A,AtRimAssists,ShortMidRangeAssists,DefThreePtRebounds,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,PtsUnassisted3s,Corner3Assists,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,BadPassOutOfBoundsTurnovers,PenaltyArc3Frequency,OffShortMidRangeReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyTurnovers,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,PtsPutbacks,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedShortMidRange,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3FGM,Fg3aBlocked,StepOutOfBoundsTurnovers,Charge Fouls,BlockingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,PenaltyArc3Accuracy,BlockingFouls,Charge Fouls Drawn,Technical Free Throw Trips,Arc3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100384-100729-101049-201477-201480,1611661329,"Dominique Canty, Michelle Snow, Cathrine Kraayeveld, Tamera Young, Sylvia Fowles","Canty, Snow, Kraayeveld, Young, Fowles",100384-100729-101049-201477-201480,CHI,204.0,2,3.0,6.0,6.0,3.0,2.0,2.0,12.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,9.0,9.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,7.0,4.0,3.0,0.5,0.5,1.0,0.5,0.5,0.4,0.3333333333333333,0.5,0.3333333333333333,0.5625,1.0,0.5,0.2857142857142857,0.2,0.25,1.0,0.5,0.6666666666666666,1.0,0.5,0.75,0.6666666666666666,1.0,0.5,84.70588235294117,17.833333333333332,16.166666666666668,16.833333333333332,15.333333333333334,0.5714285714285714,0.25,0.3333333333333333,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,0.3333333333333333,0.8571428571428571,0.5,0.5485285714285715,0.6190666666666667,0.125,0.16666666666666666,0.2222222222222222,0.4444444444444444,5.16,22.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
100384-100835-101049-201480-202670,1611661329,"Dominique Canty, Erin Thorn, Cathrine Kraayeveld, Sylvia Fowles, Carolyn Swords","Canty, Thorn, Kraayeveld, Fowles, Swords",100384-100835-101049-201480-202670,CHI,264.0,1,4.0,8.0,7.0,,1.0,1.0,15.0,3.0,4.0,,,1.0,2.0,1.0,2.0,5.0,8.0,1.0,2.0,,13.0,9.0,,,,,,,10.0,,3.0,2.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,13.0,1.0,1.0,1.0,,2.0,2.0,4.0,1.0,1.0,,,,,1.0,,1.0,,,13.0,,,1.0,1.0,1.0,0.5,0.5,0.625,,0.65,,0.65,,,0.2,0.125,,,0.5,0.3333333333333333,1.0,0.6666666666666666,0.5,,1.0,0.5,81.81818181818181,18.375,16.714285714285715,17.75,16.714285714285715,0.4,0.75,0.75,0.2,0.5,0.5,1.0,0.2,0.5,0.5,1.0,,,0.6,0.5,0.44304,,,,,,7.3375,21.7,,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.2,0.5,1.0,1.0,1.0,0.4647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
100729-201480-202259-202664-202670,1611661329,"Michelle Snow, Sylvia Fowles, Epiphanny Prince, Courtney Vandersloot, Carolyn Swords","Snow, Fowles, Prince, Vandersloot, Swords",100729-201480-202259-202664-202670,CHI,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
100384-201477-201480-201918-202259,1611661329,"Dominique Canty, Tamera Young, Sylvia Fowles, Lindsay Wisdom-Hylton, Epiphanny Prince","Canty, Young, Fowles, Wisdom-Hylton, Prince",100384-201477-201480-201918-202259,CHI,502.0,5,8.0,16.0,15.0,,2.0,1.0,31.0,1.0,2.0,,,,1.0,2.0,5.0,4.0,7.0,3.0,7.0,1.0,18.0,16.0,,,,,,,6.0,2.0,6.0,5.0,2.0,,3.0,2.0,5.0,1.0,,12.0,,,4.0,1.0,6.0,,6.0,2.0,1.0,,2.0,,2.0,6.0,,1.0,1.0,1.0,18.0,,,0.75,0.75,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.5714285714285714,,0.6071428571428571,,0.6428571428571429,,,0.5,,,1.0,0.6666666666666666,,,0.7142857142857143,,,,0.5,88.92430278884461,14.25,18.266666666666666,14.0,17.4,0.14285714285714285,0.5,0.5,0.07142857142857142,,,,0.35714285714285715,0.4,0.4,0.5,,,0.6428571428571429,0.4,0.4850035714285714,,0.07142857142857142,0.14285714285714285,,,7.728571428571429,21.87142857142857,,2.0,,3.0,4.0,,1.0,2.0,1.0,,1.0,,1.0,,,1.0,0.2857142857142857,0.75,0.75,0.6666666666666666,,0.65355,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
100384-100729-100835-201918-202637,1611661329,"Dominique Canty, Michelle Snow, Erin Thorn, Lindsay Wisdom-Hylton, Angie Bjorklund","Canty, Snow, Thorn, Wisdom-Hylton, Bjorklund",100384-100729-100835-201918-202637,CHI,150.0,1,2.0,6.0,5.0,2.0,5.0,,11.0,,1.0,,,1.0,1.0,,1.0,2.0,3.0,,1.0,,4.0,8.0,,,1.0,1.0,,2.0,2.0,2.0,,,,,1.0,,1.0,,,2.0,,,1.0,1.0,2.0,,2.0,,,1.0,2.0,,2.0,3.0,,1.0,,,4.0,2.0,2.0,0.5,0.5,,,,0.6666666666666666,1.0,0.5,0.5,0.5,,0.5,0.25,,,1.0,1.0,,,1.0,,,,,105.6,13.833333333333334,13.4,13.833333333333334,13.4,0.25,,,0.25,1.0,1.0,,0.25,,,,,,0.5,,0.40066666666666667,0.3447,,,,0.5,9.333333333333334,41.6,0.3333333333333333,-4.0,,1.0,1.0,,,1.0,,,1.0,,,,,,0.25,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.5,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
100384-100729-101049-201477-202670,1611661329,"Dominique Canty, Michelle Snow, Cathrine Kraayeveld, Tamera Young, Carolyn Swords","Canty, Snow, Kraayeveld, Young, Swords",100384-100729-101049-201477-202670,CHI,102.0,1,2.0,3.0,3.0,3.0,3.0,1.0,6.0,,,,,,1.0,,,,4.0,,,,,4.0,,,,4.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,0.25,,,,0.25,,,0.25,,,,84.70588235294117,21.333333333333332,12.666666666666666,16.666666666666668,11.666666666666666,,,,0.25,,,,,,,,,,,,0.3723,0.3723,,,,,10.75,,1.0,-4.0,,,3.0,1.0,,,,,,0.3333333333333333,,,,,0.75,,,,,0.3543,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
100384-100835-101049-201062-201480,1611661329,"Dominique Canty, Erin Thorn, Cathrine Kraayeveld, Shay Murphy, Sylvia Fowles","Canty, Thorn, Kraayeveld, Murphy, Fowles",100384-100835-101049-201062-201480,CHI,191.0,1,3.0,7.0,7.0,7.0,,,14.0,1.0,2.0,1.0,2.0,,,,1.0,1.0,3.0,1.0,2.0,,5.0,3.0,,,1.0,3.0,,5.0,2.0,,3.0,1.0,,,1.0,1.0,2.0,,,5.0,,,3.0,,3.0,,3.0,1.0,1.0,1.0,2.0,,,1.0,,,,,5.0,5.0,7.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,,0.5,0.4,,,,1.0,,,0.75,,,,1.0,105.54973821989529,16.571428571428573,10.714285714285714,16.571428571428573,10.714285714285714,0.4,0.5,0.5,,,,,0.2,,,,0.4,0.5,0.8,,0.58594,0.58594,,,,1.0,4.8,20.85,1.0,2.0,,,1.0,,1.0,,,,,,,,,1.0,0.2,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,0.5,1.0,,,,0.2,1.0,1.0,1.0,,1.0,2.0,,,0.2,,1.0,1.0,1.0,2.0,0.5,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
100384-201480-202259-202664-202670,1611661329,"Dominique Canty, Sylvia Fowles, Epiphanny Prince, Courtney Vandersloot, Carolyn Swords","Canty, Fowles, Prince, Vandersloot, Swords",100384-201480-202259-202664-202670,CHI,139.0,1,2.0,5.0,5.0,4.0,1.0,,10.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,3.0,,1.0,1.0,5.0,4.0,,,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,,,1.0,,1.0,,1.0,2.0,,,2.0,,2.0,,2.0,1.0,,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,4.0,0.5,0.5,,,,0.6666666666666666,0.5,0.5,0.3333333333333333,0.625,,0.5,0.25,,,,1.0,,,1.0,,,,1.0,103.59712230215827,15.0,12.8,15.0,12.8,0.25,1.0,1.0,0.5,0.5,0.5,1.0,0.25,,,,0.3333333333333333,1.0,0.5,,0.5176875,0.57275,0.25,0.3333333333333333,,0.6,12.4,21.6,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
100835-101049-201477-201480-202259,1611661329,"Erin Thorn, Cathrine Kraayeveld, Tamera Young, Sylvia Fowles, Epiphanny Prince","Thorn, Kraayeveld, Young, Fowles, Prince",100835-101049-201477-201480-202259,CHI,2725.0,11,45.0,93.0,93.0,25.0,43.0,19.0,186.0,13.0,19.0,3.0,3.0,11.0,21.0,6.0,14.0,27.0,57.0,6.0,16.0,25.0,97.0,95.0,3.0,20.0,6.0,10.0,17.0,29.0,34.0,20.0,15.0,13.0,6.0,5.0,17.0,5.0,22.0,5.0,7.0,49.0,5.0,15.0,23.0,1.0,29.0,20.0,49.0,13.0,6.0,11.0,25.0,7.0,12.0,20.0,2.0,20.0,27.0,6.0,77.0,29.0,25.0,0.6296296296296297,0.7083333333333334,0.8333333333333334,0.375,0.4,0.47368421052631576,0.6,0.4931506849315068,0.5,0.563953488372093,0.7692307692307693,0.6904761904761905,0.2191780821917808,0.08771929824561403,0.15789473684210525,0.5,0.6571428571428571,0.5,0.5555555555555556,0.5957446808510638,0.5128205128205128,0.3333333333333333,0.5714285714285714,0.7142857142857143,98.28990825688074,15.376344086021506,13.924731182795698,13.946236559139784,13.526881720430108,0.2602739726027397,0.6842105263157895,0.8125,0.2876712328767123,0.5238095238095238,0.5238095238095238,0.6363636363636364,0.1917808219178082,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.25,1.0,0.4794520547945205,0.46153846153846156,0.4539173611111111,0.4508181818181818,0.07692307692307693,0.0967741935483871,0.20618556701030927,0.29896907216494845,9.128070175438596,23.65,0.26881720430107525,2.0,4.0,3.0,17.0,7.0,8.0,2.0,5.0,,2.0,0.11764705882352941,0.4166666666666667,0.6,0.36363636363636365,0.6153846153846154,0.2328767123287671,0.17647058823529413,0.2,0.6666666666666666,0.36363636363636365,0.50056875,,2.0,,4.0,3.0,,7.0,14.0,11.0,3.0,1.0,10.0,6.0,10.0,5.0,0.56,0.6153846153846154,0.6666666666666666,1.0,0.5,0.0273972602739726,,,,,2.0,2.0,1.0,1.0,0.16666666666666666,0.5,,,,6.0,,,,3.0,3.0,4.0,4.0,3.0,6.0,1.0,3.0,2.0,1.0,3.0,8.0,4.0,1.0,9.0,0.75,0.5714285714285714,0.7727272727272727,0.5,0.029411764705882353,0.75,0.36363636363636365,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
101049-201062-201480-201918-202664,1611661329,"Cathrine Kraayeveld, Shay Murphy, Sylvia Fowles, Lindsay Wisdom-Hylton, Courtney Vandersloot","Kraayeveld, Murphy, Fowles, Wisdom-Hylton, Vandersloot",101049-201062-201480-201918-202664,CHI,118.0,2,2.0,4.0,4.0,4.0,2.0,,8.0,,1.0,,1.0,,,,,,2.0,,,2.0,2.0,7.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,1.0,1.0,,1.0,2.0,,1.0,2.0,,2.0,2.0,4.0,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,0.5,,,0.3333333333333333,,,,,97.6271186440678,15.5,14.0,12.75,13.25,0.5,,,,,,,,,,,0.5,,0.5,,0.50435,0.50435,,,,1.0,6.3,,1.0,-5.0,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2011,2011,True
