EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Offensive Fouls,FoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FG2M,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,BadPassTurnovers,Travels,PenaltyTurnovers,ShootingFouls,BlockingFouls,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceFG2M,SecondChancePoints,Fg2aBlocked,ShortMidRangeAssists,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChancePointsPct,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,LostBallTurnovers,OffLongMidRangeReboundPct,BadPassOutOfBoundsTurnovers,PenaltyArc3FGM,FTDefRebounds,Loose Ball Fouls Drawn,TwoPtShootingFoulsDrawn,DefFTReboundPct,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3Assists,Arc3PctAssisted,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,team_id,year,season,team_vs
100723-100874-101020-101042-202255,1611661323,"Asjha Jones, Kara Lawson, Tan White, Jessica Moore, Allison Hightower","Jones, Lawson, White, Moore, Hightower",100723-100874-101020-101042-202255,CON,187.0,2,3.0,1.0,4.0,3,2.0,7,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.5,0.5,0.3,0.3,0.4,0.3333333333333333,1.0,0.5,1.0,1.0,0.25,53.903743315508024,22.75,32.0,19.25,25.0,0.2,0.2,0.2,0.2,1.0,1.0,1.0,0.2,0.6,0.45434,0.3802,8.6,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
100723-100874-101020-201904-202250,1611661323,"Asjha Jones, Kara Lawson, Tan White, Renee Montgomery, Tina Charles","Jones, Lawson, White, Montgomery, Charles",100723-100874-101020-201904-202250,CON,374.0,2,6.0,,17.0,16,1.0,33,4.0,1.0,3.0,1.0,2.0,2.0,8.0,1.0,4.0,17.0,17.0,1.0,3.0,2.0,1.0,3.0,1.0,7.0,1.0,,1.0,4.0,,2.0,1.0,1.0,1.0,3.0,,5.0,,4.0,17.0,1.0,0.25,0.25,0.5416666666666666,0.5666666666666667,0.3333333333333333,,0.3333333333333333,0.16666666666666666,,,,127.05882352941177,11.823529411764707,10.8125,11.470588235294118,10.6875,0.3333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.5,0.5,1.0,0.16666666666666666,0.6666666666666666,0.44369583333333334,,7.95,22.875,15.0,11.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,7.0,1.0,4.0,4.0,15.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,15.0,15.0,1.0,3.0,0.4,0.4,0.25,0.625,0.5714285714285714,0.5,0.5357142857142857,0.6666666666666666,0.6666666666666666,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.36363636363636365,0.75,0.18181818181818182,0.5,0.18181818181818182,0.4537409090909091,0.8823529411764706,0.8823529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
100723-100874-101020-202250-202255,1611661323,"Asjha Jones, Kara Lawson, Tan White, Tina Charles, Allison Hightower","Jones, Lawson, White, Charles, Hightower",100723-100874-101020-202250-202255,CON,311.0,2,5.0,-5.0,9.0,10,3.0,19,5.0,3.0,1.0,,,,9.0,,,6.0,11.0,2.0,,,,3.0,,6.0,,3.0,3.0,8.0,,,,,1.0,2.0,1.0,3.0,,,2.0,,,,0.3333333333333333,0.3333333333333333,,0.5,,0.5,0.5,,,87.97427652733118,14.11111111111111,18.4,12.444444444444445,16.2,0.5555555555555556,0.3333333333333333,0.1111111111111111,,,,,,0.5555555555555556,0.4967888888888889,0.38965,5.711111111111111,,,9.0,1.0,,,,1.0,1.0,,,,3.0,,,,,,,,6.0,,3.0,1.0,1.0,,5.0,5.0,1.0,1.0,1.0,,3.0,,,,1.0,,1.0,,,,,,1.0,1.0,,0.3333333333333333,,,,0.5,0.625,,0.625,,1.0,,,0.2,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.2,0.5,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
100723-100874-101020-202250-202263,1611661323,"Asjha Jones, Kara Lawson, Tan White, Tina Charles, Danielle McCray","Jones, Lawson, White, Charles, McCray",100723-100874-101020-202250-202263,CON,99.0,1,2.0,3.0,4.0,3,,7,,2.0,1.0,,,1.0,3.0,1.0,1.0,5.0,2.0,,,1.0,,1.0,,2.0,,,,2.0,,,,,,,,,,,5.0,,1.0,1.0,0.625,0.625,0.25,,,,,,,101.81818181818183,11.0,18.333333333333332,11.0,18.333333333333332,,0.5,0.25,,,,,0.25,0.25,0.4257375,,12.5,22.4,,3.0,,,,,,1.0,,,,1.0,,,,,,,,2.0,,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,0.3333333333333333,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
100723-100874-201904-202250-202253,1611661323,"Asjha Jones, Kara Lawson, Renee Montgomery, Tina Charles, Kalana Greene","Jones, Lawson, Montgomery, Charles, Greene",100723-100874-201904-202250-202253,CON,121.0,1,2.0,-2.0,3.0,4,,7,1.0,1.0,1.0,,,,3.0,,,4.0,6.0,,,,,2.0,,4.0,,,,,,,,,,,,,,1.0,4.0,,,,0.6666666666666666,0.6666666666666666,,,,,,,,83.30578512396694,23.0,13.0,23.0,10.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,0.4772,,8.966666666666667,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,4.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.6666666666666666,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
100723-100874-201904-202250-202255,1611661323,"Asjha Jones, Kara Lawson, Renee Montgomery, Tina Charles, Allison Hightower","Jones, Lawson, Montgomery, Charles, Hightower",100723-100874-201904-202250-202255,CON,153.0,1,3.0,-2.0,5.0,4,1.0,9,,1.0,3.0,,,,4.0,,,2.0,4.0,1.0,,,,1.0,,2.0,,1.0,1.0,3.0,,,,,1.0,2.0,,2.0,,,2.0,,,,0.25,0.25,,0.3333333333333333,,0.3333333333333333,,,,84.70588235294119,16.0,18.25,15.2,17.5,,0.25,0.75,,,,,,,0.413375,0.4302,14.7,,,,,,,,,1.0,,,,1.0,,,,,,,,2.0,,1.0,,1.0,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,0.25,,,,0.5,0.5,,0.5,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
100723-100874-201904-202250-202263,1611661323,"Asjha Jones, Kara Lawson, Renee Montgomery, Tina Charles, Danielle McCray","Jones, Lawson, Montgomery, Charles, McCray",100723-100874-201904-202250-202263,CON,145.0,1,2.0,-4.0,5.0,5,,10,,2.0,1.0,,,1.0,3.0,,1.0,4.0,8.0,,,1.0,,1.0,,2.0,,,,,,,,,1.0,1.0,,3.0,,1.0,4.0,,,,0.5,0.5,0.25,,,,,,,99.3103448275862,16.6,12.4,16.6,12.4,,0.5,0.25,,,,,0.25,0.25,0.3923625,,9.133333333333333,22.3,,1.0,,,,,2.0,,,,,2.0,,,,,,,,2.0,2.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,0.5,0.5,,0.6666666666666666,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
100723-100874-202250-202255-202263,1611661323,"Asjha Jones, Kara Lawson, Tina Charles, Allison Hightower, Danielle McCray","Jones, Lawson, Charles, Hightower, McCray",100723-100874-202250-202255-202263,CON,44.0,1,1.0,-2.0,2.0,1,1.0,3,,1.0,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,98.18181818181819,14.0,16.0,7.5,16.0,,1.0,,,,,,,,0.2711,0.2711,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
100723-101020-101042-201904-202255,1611661323,"Asjha Jones, Tan White, Jessica Moore, Renee Montgomery, Allison Hightower","Jones, White, Moore, Montgomery, Hightower",100723-101020-101042-201904-202255,CON,58.0,2,1.0,-1.0,2.0,3,,5,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,124.13793103448276,20.0,6.0,20.0,5.333333333333333,,1.0,,,,,,,,0.3609,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
100723-101020-201904-202250-202253,1611661323,"Asjha Jones, Tan White, Renee Montgomery, Tina Charles, Kalana Greene","Jones, White, Montgomery, Charles, Greene",100723-101020-201904-202250-202253,CON,909.0,2,15.0,4.0,30.0,30,2.0,60,7.0,4.0,9.0,1.0,1.0,4.0,20.0,2.0,5.0,29.0,25.0,3.0,3.0,4.0,1.0,6.0,1.0,13.0,1.0,3.0,4.0,19.0,,2.0,1.0,1.0,1.0,6.0,1.0,6.0,,6.0,27.0,0.5,0.4,0.4,0.48,0.5178571428571429,0.2,0.2727272727272727,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3333333333333333,,95.04950495049505,15.666666666666666,14.633333333333333,14.833333333333334,14.133333333333333,0.28,0.16,0.36,0.04,1.0,1.0,1.0,0.16,0.48,0.48090200000000005,0.56535,9.985,21.919999999999998,11.0,2.0,5.0,2.0,4.0,4.0,1.0,3.0,,,1.0,9.0,5.0,6.0,8.0,1.0,1.0,2.0,17.0,10.0,8.0,5.0,3.0,2.0,3.0,11.0,15.0,5.0,3.0,,1.0,3.0,1.0,6.0,2.0,3.0,2.0,3.0,1.0,17.0,11.0,,1.0,0.5555555555555556,0.5555555555555556,1.0,0.45,0.75,0.8333333333333334,0.85,0.8333333333333334,0.7857142857142857,1.0,0.8235294117647058,,0.8571428571428571,1.0,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.6,0.25,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,1.0,,,0.1111111111111111,0.48759444444444444,0.5862068965517241,0.36666666666666664,1.0,2.0,,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,1.0,0.5,1.0,,0.06896551724137931,1.0,3.0,1.0,0.25,0.25,0.25,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538464,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,1611661323,2011,2011,False
