EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3Assists,DefThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,Offensive Fouls Drawn,DefThreePtReboundPct,DefArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyDefPoss,ShortMidRangeFGA,SecondChanceFG2A,FTOffRebounds,SecondChanceTurnovers,OffFTReboundPct,ShortMidRangeFrequency,SecondChanceShotQualityAvg,AtRimFGM,AtRimFGA,ShortMidRangeFGM,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,ShootingFouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Fg3aBlocked,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG2M,SecondChanceFtPoints,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,LongMidRangeAssists,OffTwoPtRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Blocked3s,BlockedArc3,Corner3PctBlocked,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
100915-200671-201882-202257-202644,1611661324,"Lindsay Whalen, Seimone Augustus, Jessica Adair, Monica Wright, Amber Harris","Whalen, Augustus, Adair, Wright, Harris",100915-200671-201882-202257-202644,MIN,124.0,1,2.0,2.0,4.0,4,4.0,1.0,8,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,6.0,4.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.625,1.5,0.625,0.6,1.5,0.6,0.75,1.0,1.0,0.5,0.5,0.5,1.0,1.0,92.9032258064516,17.0,14.0,14.5,13.0,0.25,1.0,1.0,0.25,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.75,0.5,0.5716625,0.5716625,0.2,0.5,0.5,1.0,18.3,22.03333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2011,2011,True
100412-200671-201487-201501-202632,1611661324,"Taj McWilliams-Franklin, Seimone Augustus, Alexis Hornbuckle, Charde Houston, Maya Moore","McWilliams-Franklin, Augustus, Hornbuckle, Houston, Moore",100412-200671-201487-201501-202632,MIN,231.0,2,4.0,-2.0,7.0,8,2.0,,15,,1.0,1.0,,,1.0,,,,,,1.0,1.0,2.0,2.0,5.0,7.0,,,,,,,,2.0,2.0,,3.0,1.0,,1.0,1.0,,3.0,,1.0,,2.0,,2.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,0.5,,,0.5,,,0.5,,,0.625,,1.0,0.6666666666666666,,1.0,,1.0,,,1.0,93.5064935064935,16.571428571428573,14.375,16.571428571428573,14.375,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.6666666666666666,,0.5058833333333334,,0.25,0.5,,0.4,14.0,23.65,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2011,2011,True
100915-100944-201499-202257-202644,1611661324,"Lindsay Whalen, Rebekkah Brunson, Candice Wiggins, Monica Wright, Amber Harris","Whalen, Brunson, Wiggins, Wright, Harris",100915-100944-201499-202257-202644,MIN,55.0,1,1.0,-2.0,2.0,1,2.0,2.0,3,,,1.0,1.0,,,,,,,,1.0,,1.0,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,0.5,,,1.0,,1.0,1.0,,78.54545454545455,6.5,42.0,6.0,26.0,,,,0.5,,,,,,,,0.5,,,0.5,,0.36935,0.36935,,,,,13.3,23.2,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2011,2011,True
100412-100915-200671-202632-202644,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Seimone Augustus, Maya Moore, Amber Harris","McWilliams-Franklin, Whalen, Augustus, Moore, Harris",100412-100915-200671-202632-202644,MIN,456.0,4,8.0,2.0,13.0,12,,1.0,25,,2.0,,,,2.0,,,,,4.0,8.0,,2.0,2.0,10.0,8.0,,,,,,,,,,2.0,,2.0,,,3.0,,6.0,,5.0,1.0,8.0,1.0,9.0,6.0,5.0,4.0,10.0,,,,,,,,0.5,,0.4,,,0.45454545454545453,,,0.2,1.0,0.7142857142857143,,0.7777777777777778,,,1.0,78.94736842105263,18.384615384615383,18.083333333333332,17.0,17.583333333333332,0.2,,,,0.2,,,,,,,,,,0.3,,0.40654500000000005,,0.36363636363636365,0.4444444444444444,,,7.6,22.05,,,,2.0,,,3.0,3.0,3.0,,4.0,,,1.0,1.0,,,,,5.0,,1.0,1.0,0.5,0.5,,1.0,1.0,3.0,6.0,3.0,1.0,2.0,1.0,1.0,3.0,0.75,0.75,0.5,1.0,0.1,1.0,1.0,1.0,0.6,0.6,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2011,2011,True
100915-201499-201501-201882-202632,1611661324,"Lindsay Whalen, Candice Wiggins, Charde Houston, Jessica Adair, Maya Moore","Whalen, Wiggins, Houston, Adair, Moore",100915-201499-201501-201882-202632,MIN,43.0,1,1.0,3.0,1.0,1,,,2,,,1.0,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,3.0,,,1.0,1.0,,3.0,,,1.0,1.0,,1.0,,,,3.0,,,1.0,1.0,,,1.0,,,1.5,,,1.5,,,1.0,1.0,,,,,,,66.97674418604652,14.0,29.0,14.0,13.0,,,,1.0,,,,,,,,,,,1.0,,0.47715,,,,,,,22.5,,1.0,1.0,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2011,2011,True
100944-201499-201501-202257-202632,1611661324,"Rebekkah Brunson, Candice Wiggins, Charde Houston, Monica Wright, Maya Moore","Brunson, Wiggins, Houston, Wright, Moore",100944-201499-201501-202257-202632,MIN,40.0,1,1.0,-1.0,1.0,1,1.0,,2,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,72.0,16.0,24.0,16.0,24.0,,,,,1.0,,,,,,,,1.0,,1.0,,0.558,0.558,,,,,,21.3,1.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2011,2011,True
100412-100915-100944-200671-202632,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Maya Moore","McWilliams-Franklin, Whalen, Brunson, Augustus, Moore",100412-100915-100944-200671-202632,MIN,31986.0,34,533.0,-212.0,1011.0,1020,152.0,120.0,2031,47.0,152.0,55.0,6.0,56.0,167.0,2.0,10.0,9.0,28.0,291.0,649.0,73.0,222.0,168.0,969.0,1181.0,3.0,14.0,129.0,36.0,96.0,11.0,34.0,57.0,162.0,306.0,189.0,167.0,56.0,63.0,201.0,47.0,465.0,36.0,241.0,15.0,319.0,137.0,456.0,190.0,208.0,86.0,840.0,157.0,149.0,0.863013698630137,0.32882882882882886,0.21428571428571427,0.3235294117647059,0.32882882882882886,0.44838212634822805,0.375,0.4598163030998852,0.47641509433962265,0.40384615384615385,0.5015560165975104,0.5330578512396694,0.4938650306748466,0.25487944890929964,0.6818181818181818,0.6292428198433421,0.2482758620689655,0.6386554621848739,0.26,0.3684210526315789,0.7007299270072993,91.435002813731,15.874381800197824,15.624509803921569,15.09891196834817,14.413725490196079,0.17451205510907003,0.3092105263157895,0.3219178082191781,0.06314580941446613,0.19173363949483352,0.33532934131736525,0.3393939393939394,0.8392857142857143,0.09433962264150944,0.2,1.0,0.046153846153846156,0.2153846153846154,0.32142857142857145,0.5924225028702641,0.33532934131736525,0.48019206896551725,0.47885581395348836,0.09523809523809523,0.11961057023643949,0.13312693498452013,0.16718266253869968,7.513559322033899,22.313063063063062,0.1503461918892186,17.0,16.0,63.0,81.0,58.0,32.0,83.0,193.0,19.0,221.0,14.0,9.0,0.6774193548387096,0.6805555555555556,0.3090909090909091,0.3090909090909091,0.9411764705882353,149.0,203.0,92.0,7.0,13.0,0.35,0.2330654420206659,0.5180666666666667,172.0,294.0,72.0,276.0,138.0,85.0,34.0,81.0,14.0,16.0,0.4742268041237113,0.5207547169811321,0.5862068965517241,0.6666666666666666,0.3375430539609644,0.5850340136054422,0.6323529411764706,0.4941860465116279,0.35467980295566504,0.3870967741935484,0.4722222222222222,2.0,26.0,0.009009009009009009,0.011976047904191617,39.0,68.0,22.0,47.0,1.0,4.0,2.0,46.0,28.0,30.0,52.0,45.0,19.0,94.0,14.0,23.0,110.0,87.0,4.0,23.0,3.0,12.0,1.0,3.0,5.0,14.0,7.0,2.0,4.0,19.0,46.0,21.0,1.0,24.0,46.0,29.0,2.0,17.0,0.5,0.06933744221879815,0.07482993197278912,0.08374384236453201,0.039473684210526314,0.5699481865284974,0.2647887323943662,0.27049180327868855,0.24806201550387597,0.27884615384615385,0.205607476635514,0.594059405940594,0.030837004405286344,0.6304347826086957,0.40425531914893614,0.6415094339622641,0.5735294117647058,0.1794871794871795,0.03773584905660377,0.25,1.0,0.36153846153846153,0.46808510638297873,0.3333333333333333,0.017699115044247787,,,,,,,1611661324,2011,2011,True
100412-100915-200671-201499-201501,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Seimone Augustus, Candice Wiggins, Charde Houston","McWilliams-Franklin, Whalen, Augustus, Wiggins, Houston",100412-100915-200671-201499-201501,MIN,227.0,3,4.0,-4.0,8.0,8,,2.0,16,,,1.0,,,,,,,,4.0,5.0,,1.0,,8.0,12.0,,1.0,,,,,,,,4.0,,,,,2.0,,4.0,,2.0,,3.0,1.0,4.0,1.0,,,8.0,,,,,,,,0.8,,0.6666666666666666,,,0.6666666666666666,,,0.16666666666666666,,1.0,,1.0,0.5,,1.0,101.4977973568282,13.375,15.0,12.625,14.0,,,,0.16666666666666666,,,,,,,,,,,0.6666666666666666,,0.48446666666666666,,,,,,5.1,22.0,,,,1.0,,,1.0,1.0,3.0,,1.0,,,1.0,1.0,,,,,2.0,,,1.0,,0.3333333333333333,0.6354,2.0,3.0,2.0,4.0,2.0,2.0,,1.0,,,0.5,0.5,1.0,,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1611661324,2011,2011,True
100412-100915-200671-201882-202257,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Seimone Augustus, Jessica Adair, Monica Wright","McWilliams-Franklin, Whalen, Augustus, Adair, Wright",100412-100915-200671-201882-202257,MIN,110.0,1,2.0,1.0,3.0,4,,,7,,,2.0,,,1.0,,,,,,,1.0,3.0,,3.0,2.0,,,,,,,,,,,3.0,1.0,,1.0,1.0,,3.0,,1.0,,1.0,,1.0,,,,3.0,,,1.0,0.3333333333333333,,,0.3333333333333333,,,0.5,,,0.5,,,1.0,,0.5,,0.5,,,,91.63636363636364,14.0,17.0,14.0,13.5,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,,1.0,,0.615,,,,,,,21.866666666666664,,1.0,1.0,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1611661324,2011,2011,True
100412-100915-200671-202257-202632,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Seimone Augustus, Monica Wright, Maya Moore","McWilliams-Franklin, Whalen, Augustus, Wright, Moore",100412-100915-200671-202257-202632,MIN,,1,,-1.0,,1,,,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2011,2011,True
