EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Fouls,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,PenaltyFtPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangeAssists,PenaltyTurnovers,Offensive Fouls Drawn,BlockingFoulsDrawn,3SecondViolations,LongMidRangePctAssisted,PenaltyArc3FGM,PenaltyFG3M,ShortMidRangeAssists,DefTwoPtRebounds,Steals,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyFg3Pct,DefTwoPtReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PtsUnassisted3s,PtsPutbacks,Corner3Assists,FTOffRebounds,FTDefRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,Technical Free Throw Trips,HeaveAttempts,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
100720-1627668-201049-202252-204321,1611661328,"Sue Bird, Breanna Stewart, Noelle Quinn, Alysha Clark, Kaleena Mosqueda-Lewis","Bird, Stewart, Quinn, Clark, Mosqueda-Lewis",100720-1627668-201049-202252-204321,SEA,15.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2016,2016,True
100720-1627668-201049-201518-202252,1611661328,"Sue Bird, Breanna Stewart, Noelle Quinn, Crystal Langhorne, Alysha Clark","Bird, Stewart, Quinn, Langhorne, Clark",100720-1627668-201049-201518-202252,SEA,466.0,3,5.0,8.0,1.0,14.0,12.0,3.0,2.0,4.0,26.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,6.0,1.0,1.0,4.0,9.0,2.0,7.0,14.0,13.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,6.0,6.0,6.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,3.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,2.0,3.0,1.0,0.25,0.25,1.0,0.2857142857142857,0.2857142857142857,0.4444444444444444,0.6666666666666666,0.25,0.4375,0.5,0.2,0.4375,0.5,0.2,0.4375,0.1111111111111111,0.3333333333333333,0.5,0.6,1.0,0.2,0.6666666666666666,0.4,0.5,1.0,0.5,0.25,1.0,1.0,0.1111111111111111,80.34334763948497,19.785714285714285,15.75,18.357142857142858,15.25,0.1875,0.3333333333333333,0.5,1.0,0.1875,0.6666666666666666,0.6666666666666666,0.1875,0.3333333333333333,0.3333333333333333,0.0625,0.375,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,0.25,0.4,0.5,0.2,0.625,0.3333333333333333,0.4637,0.5315666666666666,0.51566,0.2857142857142857,0.14285714285714285,8.866666666666667,24.8,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2016,2016,True
100720-1627668-201049-202252-204319,1611661328,"Sue Bird, Breanna Stewart, Noelle Quinn, Alysha Clark, Jewell Loyd","Bird, Stewart, Quinn, Clark, Loyd",100720-1627668-201049-202252-204319,SEA,20.0,2,1.0,,,1.0,2.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,216.0,1.0,9.5,1.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2016,2016,True
100720-1627668-201518-202249-204319,1611661328,"Sue Bird, Breanna Stewart, Crystal Langhorne, Abby Bishop, Jewell Loyd","Bird, Stewart, Langhorne, Bishop, Loyd",100720-1627668-201518-202249-204319,SEA,74.0,1,,1.0,2.0,2.0,3.0,2.0,3.0,,5.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,,,,1.0,1.0,1.0,2.0,2.0,,,1.0,,,1.0,,1.0,,,2.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,,,,1.0,,1.0,0.5,,0.5,0.5,,0.5,0.5,,,,,1.0,,1.0,,,,,,1.0,,,97.29729729729729,17.5,13.0,17.5,13.0,,,,,,,,0.5,1.0,1.0,,0.5,,,,,,,,,,0.5,0.5,,0.2019,,0.2019,,1.0,15.9,25.3,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2016,2016,True
100720-1627668-201049-204317-204321,1611661328,"Sue Bird, Breanna Stewart, Noelle Quinn, Ramu Tokashiki, Kaleena Mosqueda-Lewis","Bird, Stewart, Quinn, Tokashiki, Mosqueda-Lewis",100720-1627668-201049-204317-204321,SEA,336.0,3,6.0,6.0,-5.0,12.0,12.0,1.0,9.0,1.0,24.0,2.0,3.0,,,,,1.0,2.0,2.0,4.0,,1.0,1.0,,1.0,5.0,9.0,1.0,1.0,13.0,18.0,,1.0,,,,,1.0,3.0,4.0,6.0,3.0,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,7.0,,1.0,1.0,3.0,1.0,4.0,,3.0,,3.0,,3.0,4.0,13.0,3.0,1.0,2.0,0.4,0.4,1.0,1.0,1.0,0.5555555555555556,,,0.65,,1.5,0.65,,1.5,0.1,,,1.0,0.25,0.5,,0.42857142857142855,0.25,1.0,,,,,1.0,,102.85714285714286,14.416666666666666,13.583333333333334,13.916666666666666,12.5,0.3,0.6666666666666666,0.6666666666666666,0.5,0.2,0.5,0.5,0.4,0.5,0.5,,0.1,1.0,1.0,1.0,,,,,,,1.0,0.4,1.0,0.45694999999999997,0.3946,0.4041,,0.23076923076923078,10.066666666666666,25.3,0.08333333333333333,,,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2016,2016,True
100720-1627668-201518-202252-204319,1611661328,"Sue Bird, Breanna Stewart, Crystal Langhorne, Alysha Clark, Jewell Loyd","Bird, Stewart, Langhorne, Clark, Loyd",100720-1627668-201518-202252-204319,SEA,30737.0,32,219.0,512.0,-60.0,963.0,966.0,99.0,166.0,124.0,1929.0,163.0,253.0,41.0,54.0,17.0,30.0,81.0,207.0,100.0,249.0,28.0,61.0,160.0,17.0,23.0,344.0,709.0,72.0,188.0,1014.0,1074.0,58.0,99.0,17.0,155.0,27.0,67.0,27.0,92.0,310.0,378.0,201.0,160.0,61.0,33.0,155.0,67.0,222.0,57.0,70.0,511.0,32.0,104.0,119.0,322.0,138.0,460.0,15.0,78.0,22.0,63.0,71.0,149.0,91.0,859.0,91.0,98.0,18.0,0.45058139534883723,0.48286604361370716,0.9305555555555556,0.3829787234042553,0.3829787234042553,0.48519040902679833,0.5858585858585859,0.40298507462686567,0.5039018952062431,0.603448275862069,0.39893617021276595,0.5275754422476587,0.62,0.4380952380952381,0.20958751393534003,0.0465444287729196,0.05533596837944664,0.5234899328859061,0.2905027932960894,0.8380281690140845,0.2857142857142857,0.7848101265822784,0.28936170212765955,0.3409090909090909,0.29365079365079366,0.2569444444444444,0.2736842105263158,0.8349514563106796,0.8461538461538461,0.03416856492027335,90.37186452809318,16.165109034267914,15.703933747412009,15.417445482866043,15.109730848861284,0.28205128205128205,0.6442687747035574,0.6820083682008368,0.4294478527607362,0.23076923076923078,0.391304347826087,0.421875,0.27759197324414714,0.40160642570281124,0.40816326530612246,0.03121516164994426,0.17837235228539577,0.38125,0.38125,0.9344262295081968,0.46551724137931033,0.7592592592592593,0.04878048780487805,0.14655172413793102,0.3191489361702128,0.5666666666666667,0.24468085106382978,0.4916387959866221,0.38125,0.46108152901785715,0.5017684782608696,0.4575643617021276,0.15285996055226825,0.09072978303747535,9.198166431593794,24.22340425531915,0.102803738317757,110.0,17.0,155.0,150.0,12.0,8.0,54.0,12.0,6.0,5.0,1.0,0.54,6.0,7.0,31.0,191.0,89.0,61.0,36.0,19.0,36.0,19.0,0.25925925925925924,0.7549407114624506,0.7349397590361446,0.5277777777777778,0.38271604938271603,0.2608695652173913,11.0,1.0,4.0,8.0,8.0,15.0,15.0,46.0,10.0,2.0,12.0,28.0,6.0,15.0,3.0,3.0,12.0,6.0,9.0,2.0,15.0,12.0,6.0,10.0,22.0,1.0,74.0,1.0,2.0,15.0,5.0,0.47058823529411764,0.07246376811594203,0.01606425702811245,0.8,0.10526315789473684,0.35294117647058826,0.7529411764705882,0.7764705882352941,0.39285714285714285,0.39285714285714285,0.9090909090909091,0.47058823529411764,1.0,0.0425531914893617,0.25,0.07903055848261328,0.09724047306176084,0.005319148936170213,,,,,,,,,,,,,,1611661328,2016,2016,True
100720-1627668-201518-202257-202626,1611661328,"Sue Bird, Breanna Stewart, Crystal Langhorne, Monica Wright, Jenna O'Hea","Bird, Stewart, Langhorne, Wright, O'Hea",100720-1627668-201518-202257-202626,SEA,400.0,2,4.0,7.0,5.0,12.0,12.0,7.0,8.0,4.0,24.0,5.0,6.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,2.0,,1.0,7.0,9.0,,3.0,20.0,15.0,4.0,4.0,,9.0,4.0,4.0,2.0,12.0,4.0,10.0,,2.0,,1.0,2.0,,2.0,,2.0,4.0,2.0,2.0,1.0,2.0,4.0,6.0,,1.0,,1.0,,1.0,2.0,11.0,12.0,7.0,1.0,0.2857142857142857,0.5,,,,0.7777777777777778,1.0,1.0,0.5833333333333334,1.0,0.6666666666666666,0.6666666666666666,1.125,0.75,0.25,0.1111111111111111,0.16666666666666666,1.0,1.0,0.3333333333333333,0.6666666666666666,0.4,0.8,1.0,,1.0,0.5,0.3333333333333333,,,86.39999999999999,14.416666666666666,18.916666666666668,13.75,17.5,0.5,0.8333333333333334,1.0,0.4,0.08333333333333333,1.0,1.0,0.16666666666666666,0.5,0.5,0.08333333333333333,0.16666666666666666,,,,0.75,1.0,,,0.5,1.0,0.16666666666666666,0.75,,0.47,0.5371,0.5077416666666666,0.45,0.6,6.344444444444445,24.099999999999998,0.5833333333333334,6.0,4.0,4.0,7.0,2.0,2.0,,1.0,,1.0,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,,0.5,,,,,,,1.0,,,1.0,,6.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,1.0,,,,,,0.16666666666666666,,0.15384615384615385,0.2,,,,,,,,,,,,,,,1611661328,2016,2016,True
100720-1627668-201518-204319-204321,1611661328,"Sue Bird, Breanna Stewart, Crystal Langhorne, Jewell Loyd, Kaleena Mosqueda-Lewis","Bird, Stewart, Langhorne, Loyd, Mosqueda-Lewis",100720-1627668-201518-204319-204321,SEA,2134.0,11,15.0,36.0,-35.0,69.0,68.0,4.0,9.0,4.0,137.0,9.0,19.0,1.0,2.0,,,7.0,15.0,3.0,14.0,,3.0,15.0,,1.0,19.0,48.0,3.0,15.0,49.0,84.0,1.0,4.0,,2.0,2.0,3.0,1.0,4.0,20.0,18.0,6.0,15.0,3.0,6.0,10.0,2.0,12.0,2.0,3.0,26.0,1.0,3.0,6.0,24.0,4.0,28.0,,2.0,3.0,1.0,7.0,9.0,8.0,47.0,4.0,4.0,1.0,0.5263157894736842,0.5555555555555556,0.6666666666666666,0.2,0.2,0.3958333333333333,0.25,0.6666666666666666,0.373015873015873,0.25,0.5,0.3828125,0.25,0.5,0.23809523809523808,0.125,0.15789473684210525,0.2222222222222222,0.10714285714285714,0.75,0.08333333333333333,0.8275862068965517,0.1,0.1,,0.2,0.08333333333333333,0.7142857142857143,1.0,,92.44611059044048,15.898550724637682,15.25,15.666666666666666,14.220588235294118,0.30158730158730157,0.47368421052631576,0.5625,0.3333333333333333,0.23809523809523808,0.4666666666666667,0.5,0.2222222222222222,0.21428571428571427,0.25,,0.23809523809523808,0.2,0.21428571428571427,0.6666666666666666,0.5,0.5,,,,,0.25,0.5396825396825397,0.2,0.46439444444444444,0.4143666666666667,0.41535,0.04081632653061224,0.08163265306122448,8.372916666666667,24.68,0.057971014492753624,2.0,,8.0,3.0,,,1.0,,1.0,,,0.3333333333333333,,,6.0,18.0,4.0,3.0,2.0,,3.0,1.0,,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.8571428571428571,,,,,,,,3.0,2.0,,,,1.0,,1.0,,,,,1.0,,,2.0,1.0,,1.0,,2.0,,,2.0,,,0.06666666666666667,0.14285714285714285,,,,0.8571428571428571,0.9090909090909091,,,,,,,,0.03125,0.04081632653061224,,1.0,1.0,1.0,0.06666666666666667,0.06666666666666667,,,,,,,,,1611661328,2016,2016,True
100720-1627668-202249-204319-204321,1611661328,"Sue Bird, Breanna Stewart, Abby Bishop, Jewell Loyd, Kaleena Mosqueda-Lewis","Bird, Stewart, Bishop, Loyd, Mosqueda-Lewis",100720-1627668-202249-204319-204321,SEA,39.0,1,1.0,1.0,1.0,2.0,2.0,1.0,,,4.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,1.0,1.0,,2.0,2.0,,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,1.0,2.0,2.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,147.69230769230768,3.5,16.0,3.5,16.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,0.7475,,0.7475,,1.0,1.0,,0.5,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2016,2016,True
100720-1627668-202252-202626-203832,1611661328,"Sue Bird, Breanna Stewart, Alysha Clark, Jenna O'Hea, Markeisha Gatling","Bird, Stewart, Clark, O'Hea, Gatling",100720-1627668-202252-202626-203832,SEA,210.0,2,1.0,4.0,9.0,8.0,8.0,,,1.0,16.0,1.0,2.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,,1.0,,,4.0,5.0,,1.0,11.0,2.0,1.0,1.0,,3.0,,,,,6.0,2.0,,1.0,,1.0,3.0,,3.0,,1.0,6.0,1.0,,1.0,2.0,1.0,3.0,,1.0,,1.0,1.0,2.0,1.0,8.0,,,,0.75,0.75,,,,0.8,1.0,,0.6666666666666666,1.0,,0.7857142857142857,1.5,,0.16666666666666666,0.2,0.5,0.5,,1.0,1.0,0.5,0.5,,,,1.0,1.0,,,109.71428571428571,12.625,13.625,12.0,13.625,0.3333333333333333,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,,0.16666666666666666,,,,1.0,1.0,1.0,,,,,0.5,,0.466075,,,0.2727272727272727,,9.6,22.7,,3.0,,3.0,3.0,,,1.0,,,,,0.5,,,1.0,,2.0,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,1611661328,2016,2016,True
