EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BlockedShortMidRange,LostBallTurnovers,BlockedAtRim,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFoulsDrawn,Technical Free Throw Trips,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Travels,Loose Ball Fouls,Charge Fouls Drawn,Defensive 3 Seconds Violations,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,Blocked3s,BlockedArc3,FTOffRebounds,OffFTReboundPct,HeaveAttempts,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100940-200676-201046-201886-203398,1611661317,"Diana Taurasi, Candice Dupree, Lindsey Harding, DeWanna Bonner, Brittney Griner","Taurasi, Dupree, Harding, Bonner, Griner",100940-200676-201046-201886-203398,PHO,2579.0,9,43.0,-19.0,76.0,77.0,31.0,34.0,12.0,153.0,18.0,34.0,5.0,9.0,8.0,13.0,3.0,9.0,9.0,19.0,1.0,2.0,3.0,16.0,1.0,1.0,9.0,30.0,62.0,4.0,18.0,12.0,84.0,103.0,6.0,11.0,1.0,3.0,15.0,10.0,20.0,1.0,9.0,8.0,31.0,30.0,30.0,9.0,3.0,4.0,16.0,3.0,8.0,15.0,3.0,18.0,2.0,1.0,9.0,1.0,5.0,39.0,2.0,12.0,6.0,17.0,1.0,24.0,14.0,38.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,10.0,1.0,18.0,2.0,20.0,1.0,3.0,14.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,69.0,31.0,31.0,4.0,2.0,0.5,0.5357142857142857,0.75,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4838709677419355,0.5454545454545454,0.5,0.45,0.5,0.39655172413793105,0.4883720930232558,0.5769230769230769,0.4696969696969697,0.225,0.12903225806451613,0.20588235294117646,0.1111111111111111,0.5,1.0,0.7083333333333334,0.375,0.75,0.14285714285714285,0.71875,0.30434782608695654,0.5,0.3333333333333333,0.2,0.07692307692307693,1.0,0.5,0.6923076923076923,0.8571428571428571,0.8,0.6666666666666666,0.07894736842105263,85.42846064366033,1.0,17.82894736842105,15.896103896103897,17.092105263157894,15.441558441558442,0.425,0.5294117647058824,0.6666666666666666,0.5,0.1125,0.3333333333333333,0.375,0.3333333333333333,0.2375,0.47368421052631576,0.47368421052631576,0.5555555555555556,0.025,0.5,0.5,1.0,0.2,0.1875,0.1875,0.6666666666666666,0.75,0.5555555555555556,0.4,0.08333333333333333,0.4482758620689655,0.6153846153846154,0.3103448275862069,0.1111111111111111,0.65,0.1875,0.48471000000000003,0.578515,0.4949396551724138,0.07142857142857142,0.09090909090909091,0.17857142857142858,0.36904761904761907,7.817741935483871,23.955555555555556,0.40789473684210525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
100634-100940-201909-203398-204330,1611661317,"Penny Taylor, Diana Taurasi, Sonja Petrovic, Brittney Griner, Isabelle Harrison","Taylor, Taurasi, Petrovic, Griner, Harrison",100634-100940-201909-203398-204330,PHO,205.0,1,3.0,2.0,6.0,7.0,,,2.0,13.0,1.0,5.0,1.0,2.0,,,,,1.0,2.0,,,1.0,1.0,,,,2.0,7.0,1.0,1.0,,7.0,5.0,1.0,2.0,,,2.0,,,,,,,,4.0,3.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,,2.0,,4.0,,4.0,2.0,6.0,,,,,,,,,,1.0,,1.0,,2.0,1.0,1.0,,,,,1.0,,1.0,,5.0,,,,,,,1.0,1.0,,1.0,0.2857142857142857,0.5,,0.4375,0.5,,0.4375,0.5,,0.125,0.14285714285714285,0.2,,,,0.8,0.4,,,0.8,0.4,0.5,,,,,1.0,0.6666666666666666,1.0,,,,91.31707317073172,,17.5,14.285714285714286,15.5,14.0,0.625,0.2,0.25,,,,,,0.25,0.5,0.5,,,,,,0.125,1.0,1.0,1.0,1.0,0.5,,,,,,,0.75,1.0,0.558675,0.63235,,,,0.2857142857142857,,6.257142857142857,22.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
100634-201049-201886-203398-204330,1611661317,"Penny Taylor, Noelle Quinn, DeWanna Bonner, Brittney Griner, Isabelle Harrison","Taylor, Quinn, Bonner, Griner, Harrison",100634-201049-201886-203398-204330,PHO,247.0,2,4.0,,8.0,9.0,1.0,1.0,,17.0,,,,,,,1.0,2.0,1.0,1.0,,,1.0,2.0,,,1.0,2.0,3.0,1.0,2.0,,7.0,7.0,,,,,,,,,1.0,,,2.0,2.0,3.0,,,2.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,5.0,,,,2.0,1.0,3.0,,3.0,,1.0,1.0,,3.0,2.0,,3.0,,,,4.0,,,,,,,,,1.0,,1.0,1.0,7.0,,1.0,1.0,,0.5,0.5,1.0,0.5,,0.5,0.6666666666666666,,,0.7,,,0.7,,,0.4,,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,99.1093117408907,1.0,16.125,13.11111111111111,16.125,13.11111111111111,,,,,0.4,0.5,0.5,,0.2,1.0,1.0,1.0,,,,,0.4,0.5,0.5,1.0,,,,,,,1.0,,0.4,0.5,0.39738,,0.3717,,,,,12.266666666666666,24.45,0.125,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
100940-200676-201886-203398-204300,1611661317,"Diana Taurasi, Candice Dupree, DeWanna Bonner, Brittney Griner, Marta Xargay","Taurasi, Dupree, Bonner, Griner, Xargay",100940-200676-201886-203398-204300,PHO,2687.0,12,45.0,-12.0,89.0,90.0,21.0,30.0,10.0,179.0,18.0,29.0,3.0,6.0,1.0,3.0,9.0,18.0,8.0,20.0,,1.0,4.0,16.0,3.0,1.0,2.0,35.0,67.0,4.0,17.0,18.0,100.0,112.0,4.0,10.0,3.0,1.0,9.0,2.0,10.0,1.0,2.0,14.0,21.0,36.0,34.0,9.0,3.0,2.0,16.0,4.0,7.0,18.0,3.0,21.0,3.0,,9.0,4.0,5.0,45.0,6.0,7.0,12.0,16.0,,28.0,13.0,41.0,,9.0,6.0,3.0,4.0,2.0,6.0,10.0,3.0,13.0,1.0,29.0,2.0,22.0,,1.0,23.0,2.0,5.0,7.0,4.0,1.0,4.0,3.0,91.0,17.0,19.0,3.0,5.0,0.5142857142857142,0.5294117647058824,0.75,0.23529411764705882,0.5,0.23529411764705882,0.5223880597014925,0.4,0.2,0.4880952380952381,0.3076923076923077,0.2916666666666667,0.526595744680851,0.32142857142857145,0.5,0.20238095238095238,0.1044776119402985,0.13793103448275862,0.1111111111111111,0.4,,0.7619047619047619,0.21875,0.8571428571428571,0.5,0.8,0.29545454545454547,0.18181818181818182,0.2222222222222222,0.25,0.45454545454545453,1.0,0.6,0.6666666666666666,0.9,0.9090909090909091,0.6666666666666666,,95.92854484555266,0.75,16.46067415730337,13.577777777777778,15.224719101123595,13.11111111111111,0.34523809523809523,0.6206896551724138,0.72,0.5,0.21428571428571427,0.5,0.5625,0.4444444444444444,0.23809523809523808,0.4,0.42105263157894735,0.625,0.011904761904761904,,,,0.19047619047619047,0.25,0.25,0.75,0.46153846153846156,0.5,,0.23076923076923078,0.25,0.3333333333333333,0.16666666666666666,0.5,0.5476190476190477,0.25,0.48129457831325306,0.552175,0.4351583333333333,0.05747126436781609,0.07142857142857142,0.09,0.21,8.3,24.429411764705883,0.23595505617977527,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
100634-100940-200676-201886-203398,1611661317,"Penny Taylor, Diana Taurasi, Candice Dupree, DeWanna Bonner, Brittney Griner","Taylor, Taurasi, Dupree, Bonner, Griner",100634-100940-200676-201886-203398,PHO,14614.0,23,244.0,8.0,469.0,478.0,78.0,118.0,57.0,947.0,84.0,147.0,13.0,21.0,9.0,19.0,27.0,79.0,35.0,83.0,7.0,18.0,35.0,102.0,14.0,7.0,17.0,146.0,309.0,42.0,120.0,104.0,522.0,514.0,21.0,43.0,14.0,10.0,58.0,16.0,39.0,9.0,24.0,28.0,87.0,146.0,146.0,102.0,24.0,22.0,102.0,35.0,26.0,73.0,34.0,107.0,28.0,6.0,38.0,14.0,21.0,248.0,21.0,48.0,55.0,121.0,10.0,186.0,69.0,255.0,7.0,34.0,30.0,4.0,33.0,24.0,29.0,62.0,11.0,52.0,6.0,108.0,1.0,118.0,5.0,12.0,128.0,16.0,56.0,12.0,17.0,,17.0,11.0,464.0,83.0,76.0,13.0,9.0,0.5,0.5407407407407407,0.8095238095238095,0.35,0.375,0.35,0.47249190938511326,0.4883720930232558,0.41025641025641024,0.48717948717948717,0.42105263157894735,0.46825396825396826,0.5363825363825364,0.46774193548387094,0.5584415584415584,0.27972027972027974,0.08414239482200647,0.1292517006802721,0.0759493670886076,0.532258064516129,1.0,0.7658227848101266,0.2962962962962963,0.7051282051282052,0.28378378378378377,0.7457627118644068,0.2923728813559322,0.38095238095238093,0.21568627450980393,0.2708333333333333,0.2698412698412698,0.36363636363636365,0.6428571428571429,0.84375,0.8157894736842105,0.71875,0.6428571428571429,0.03317535545023697,93.31326125632955,0.6470588235294118,15.552238805970148,15.313807531380753,14.81449893390192,14.679916317991632,0.34265734265734266,0.5714285714285714,0.65625,0.4523809523809524,0.18414918414918416,0.34177215189873417,0.3698630136986301,0.5185185185185185,0.19347319347319347,0.42168674698795183,0.4268292682926829,0.6,0.04195804195804196,0.3888888888888889,0.3888888888888889,0.8571428571428571,0.23776223776223776,0.3431372549019608,0.3431372549019608,0.8,0.3684210526315789,0.6190476190476191,0.07692307692307693,0.24561403508771928,0.30158730158730157,0.47368421052631576,0.2698412698412698,0.4117647058823529,0.6223776223776224,0.3431372549019608,0.4930518691588785,0.5275207317073171,0.4859693548387097,0.11940298507462686,0.16045845272206305,0.1111111111111111,0.16666666666666666,7.866019417475728,24.35666666666667,0.16631130063965885,8.0,9.0,9.0,10.0,4.0,5.0,5.0,8.0,0.012048192771084338,2.0,7.0,2.0,2.0,4.0,6.0,1.0,3.0,0.14285714285714285,0.14285714285714285,1.0,0.1111111111111111,0.2857142857142857,,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
100634-100940-200676-201886-203402,1611661317,"Penny Taylor, Diana Taurasi, Candice Dupree, DeWanna Bonner, Kelsey Bone","Taylor, Taurasi, Dupree, Bonner, Bone",100634-100940-200676-201886-203402,PHO,627.0,2,10.0,-7.0,20.0,21.0,11.0,10.0,2.0,41.0,2.0,6.0,,,,2.0,1.0,1.0,1.0,4.0,,,2.0,3.0,1.0,1.0,2.0,4.0,11.0,2.0,3.0,2.0,16.0,23.0,,,1.0,,3.0,,5.0,1.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,,3.0,2.0,1.0,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,,1.0,3.0,3.0,,6.0,1.0,7.0,1.0,1.0,,1.0,3.0,3.0,3.0,6.0,4.0,2.0,1.0,5.0,,3.0,,,2.0,,1.0,,,,,,13.0,5.0,11.0,1.0,,0.5,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.36363636363636365,,,0.5,1.5,0.21428571428571427,0.5333333333333333,1.5,0.3125,0.21428571428571427,0.09090909090909091,,,0.5,,0.75,0.14285714285714285,0.6,,0.6666666666666666,0.125,,,0.3333333333333333,,,1.0,,0.6666666666666666,0.75,,0.14285714285714285,94.16267942583733,,14.65,15.904761904761905,13.7,14.19047619047619,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.5,0.07142857142857142,1.0,1.0,,0.2857142857142857,0.25,0.3333333333333333,1.0,,,,,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,,,,1.0,0.2857142857142857,,0.2857142857142857,0.5,0.6428571428571429,0.6666666666666666,0.4901285714285714,0.46095,0.4362285714285714,0.06666666666666667,0.08333333333333333,0.1875,0.3125,7.654545454545455,25.433333333333334,0.55,,,,3.0,,1.0,,,0.25,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
100634-100940-200676-201909-204330,1611661317,"Penny Taylor, Diana Taurasi, Candice Dupree, Sonja Petrovic, Isabelle Harrison","Taylor, Taurasi, Dupree, Petrovic, Harrison",100634-100940-200676-201909-204330,PHO,334.0,3,6.0,11.0,11.0,11.0,4.0,,2.0,22.0,2.0,2.0,,,,,,,3.0,4.0,,,1.0,2.0,,1.0,1.0,5.0,6.0,1.0,2.0,2.0,15.0,4.0,,,,,,2.0,2.0,1.0,1.0,2.0,9.0,8.0,2.0,3.0,,,2.0,1.0,,4.0,1.0,5.0,1.0,,2.0,,2.0,11.0,1.0,,1.0,3.0,,4.0,1.0,5.0,,4.0,3.0,1.0,2.0,2.0,2.0,4.0,,2.0,,5.0,,4.0,1.0,,2.0,,,1.0,,,,,15.0,9.0,4.0,,1.0,0.8,0.8,1.0,0.5,1.0,0.5,0.8333333333333334,,1.0,0.8125,,1.1666666666666667,0.8333333333333334,,1.125,0.25,,,,0.5,,0.75,,0.5,1.0,0.6666666666666666,1.0,,,,1.0,,,1.0,0.5,0.5,,,94.8502994011976,,14.090909090909092,16.272727272727273,13.363636363636363,15.0,0.25,1.0,1.0,1.0,,,,,0.5,0.75,0.75,0.6666666666666666,,,,,0.25,0.5,0.5,1.0,,,,,,,0.3333333333333333,1.0,0.5,0.5,0.48503125,,0.44965000000000005,,,,0.6,12.216666666666667,25.3,0.36363636363636365,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
100634-100940-200676-203398-204300,1611661317,"Penny Taylor, Diana Taurasi, Candice Dupree, Brittney Griner, Marta Xargay","Taylor, Taurasi, Dupree, Griner, Xargay",100634-100940-200676-203398-204300,PHO,2474.0,5,41.0,-21.0,83.0,82.0,4.0,,10.0,165.0,9.0,24.0,1.0,5.0,,1.0,8.0,11.0,10.0,27.0,,2.0,4.0,11.0,1.0,1.0,2.0,27.0,62.0,4.0,13.0,7.0,73.0,94.0,2.0,9.0,1.0,4.0,8.0,,3.0,1.0,2.0,,3.0,32.0,22.0,6.0,6.0,,11.0,4.0,8.0,16.0,2.0,18.0,2.0,,6.0,2.0,8.0,38.0,5.0,9.0,13.0,17.0,1.0,31.0,14.0,45.0,3.0,5.0,3.0,2.0,12.0,9.0,6.0,18.0,1.0,6.0,,12.0,2.0,13.0,,1.0,9.0,1.0,5.0,,1.0,,1.0,1.0,65.0,3.0,4.0,,,0.5925925925925926,0.5925925925925926,0.5,0.3076923076923077,0.5,0.3076923076923077,0.43548387096774194,0.2222222222222222,,0.44,0.2,0.3,0.4620253164556962,0.3333333333333333,0.3,0.17333333333333334,0.12903225806451613,0.25,0.09090909090909091,0.6666666666666666,1.0,0.85,0.2571428571428571,0.7647058823529411,0.5555555555555556,0.8108108108108109,0.3181818181818182,0.26666666666666666,0.3333333333333333,0.23529411764705882,0.5714285714285714,0.5,1.0,0.7272727272727273,1.0,0.7857142857142857,0.6666666666666666,0.08333333333333333,96.03880355699272,1.0,16.349397590361445,13.621951219512194,15.156626506024097,13.097560975609756,0.32,0.375,0.5,0.6666666666666666,0.14666666666666667,0.7272727272727273,0.8,0.25,0.36,0.37037037037037035,0.38461538461538464,0.8,0.02666666666666667,,,,0.14666666666666667,0.36363636363636365,0.36363636363636365,0.5,0.5,0.2,,0.1,0.2,,0.4,0.5,0.49333333333333335,0.36363636363636365,0.476512,0.44881666666666664,0.42729,0.06329113924050633,0.07575757575757576,0.1095890410958904,0.0410958904109589,9.575806451612904,23.576923076923077,0.04819277108433735,,3.0,1.0,2.0,,2.0,2.0,,0.037037037037037035,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
100634-100940-201886-203398-204330,1611661317,"Penny Taylor, Diana Taurasi, DeWanna Bonner, Brittney Griner, Isabelle Harrison","Taylor, Taurasi, Bonner, Griner, Harrison",100634-100940-201886-203398-204330,PHO,254.0,4,4.0,3.0,9.0,9.0,2.0,,,18.0,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,,2.0,3.0,,,,2.0,3.0,2.0,3.0,2.0,12.0,9.0,,,,,,1.0,1.0,,,,2.0,,4.0,6.0,,,3.0,2.0,1.0,,2.0,2.0,2.0,,,,,6.0,,,1.0,3.0,,4.0,,4.0,,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,1.0,,3.0,,,4.0,,1.0,1.0,1.0,,1.0,1.0,12.0,2.0,2.0,,,,,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,1.0,0.8333333333333334,,1.0,0.75,,0.5,0.5,0.3333333333333333,0.5,,0.5,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,102.04724409448819,1.0,11.222222222222221,17.0,11.222222222222221,17.0,0.3333333333333333,0.5,1.0,,,,,,0.16666666666666666,1.0,1.0,,,,,,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,,1.0,1.0,,,0.8333333333333334,0.6666666666666666,0.5264833333333333,,0.7153,0.14285714285714285,0.25,,0.16666666666666666,6.366666666666667,23.233333333333334,0.2222222222222222,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
100634-1627699-201886-201909-203398,1611661317,"Penny Taylor, Nirra Fields, DeWanna Bonner, Sonja Petrovic, Brittney Griner","Taylor, Fields, Bonner, Petrovic, Griner",100634-1627699-201886-201909-203398,PHO,34.0,1,1.0,2.0,1.0,1.0,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,84.70588235294117,,14.0,20.0,14.0,20.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.3458,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2016,2016,True
