EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,Arc3FGM,FG3M,FtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallOutOfBoundsTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,AtRimAssists,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceOffPoss,LongMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,PtsUnassisted2s,LostBallSteals,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,PenaltyOffPoss,PenaltyFtPoints,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,PtsPutbacks,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyArc3FGM,BlockedCorner3,PenaltyArc3Accuracy,Technical Free Throw Trips,HeaveAttempts,Clear Path Fouls,SecondChanceAtRimPctAssisted,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,Charge Fouls,team_id,year,season,team_vs
201046-201919-202250-203411-204320,1611661313,"Lindsey Harding, Shavonte Zellous, Tina Charles, Sugar Rodgers, Amanda Zahui B","Harding, Zellous, Charles, Rodgers, Zahui B",201046-201919-202250-203411-204320,NYL,244.0,2,4.0,-4.0,9.0,8.0,4.0,17.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.2,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,100.32786885245902,16.444444444444443,12.0,16.444444444444443,12.0,0.42857142857142855,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.5099,7.159999999999999,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
100721-101030-201919-202250-204320,1611661313,"Swin Cash, Tanisha Wright, Shavonte Zellous, Tina Charles, Amanda Zahui B","Cash, Wright, Zellous, Charles, Zahui B",100721-101030-201919-202250-204320,NYL,75.0,2,1.0,3.0,3.0,2.0,2.0,5.0,,,,,1.0,,,1.0,5.0,2.0,,1.0,,,1.0,,3.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,3.0,5.0,,,,1.5,0.8333333333333334,1.0,,,1.0,,1.0,,,96.0,15.333333333333334,14.5,15.333333333333334,14.5,,,,,,,1.0,1.0,0.5139,,24.5,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
100721-101030-201919-202670-204329,1611661313,"Swin Cash, Tanisha Wright, Shavonte Zellous, Carolyn Swords, Kiah Stokes","Cash, Wright, Zellous, Swords, Stokes",100721-101030-201919-202670-204329,NYL,73.0,1,1.0,,2.0,1.0,,3.0,1.0,,,1.0,,1.0,2.0,,2.0,2.0,2.0,,,1.0,1.0,,2.0,,,,,,,,,,,2.0,,,2.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,59.178082191780824,14.5,44.0,14.5,44.0,0.5,,,,,0.5,,0.5,0.52105,8.4,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
100721-101030-201919-204296-204320,1611661313,"Swin Cash, Tanisha Wright, Shavonte Zellous, Rebecca Allen, Amanda Zahui B","Cash, Wright, Zellous, Allen, Zahui B",100721-101030-201919-204296-204320,NYL,277.0,2,5.0,3.0,9.0,10.0,,19.0,2.0,,1.0,2.0,4.0,3.0,5.0,5.0,12.0,9.0,2.0,4.0,,1.0,3.0,,8.0,,2.0,2.0,2.0,2.0,,,,,2.0,3.0,,3.0,12.0,0.3333333333333333,0.3333333333333333,0.6,0.6,0.6,0.5,,,0.6666666666666666,,0.6666666666666666,,,98.77256317689532,16.11111111111111,13.2,15.444444444444445,12.7,0.2,0.1,,,,0.2,0.4,0.7,0.5316099999999999,9.92,24.6,2.0,2.0,,6.0,2.0,2.0,2.0,,1.0,1.0,,,,1.0,0.4,0.4,1.0,0.5,0.5,1.0,0.5,0.1,0.2,2.0,1.0,,,,,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.5,0.5,0.5,0.1,1.0,0.53325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
100721-101030-202250-203411-204327,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Sugar Rodgers, Brittany Boyd","Cash, Wright, Charles, Rodgers, Boyd",100721-101030-202250-203411-204327,NYL,2.0,1,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.5,,,,,,,,,720.0,2.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
100721-101030-202250-203411-204329,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Sugar Rodgers, Kiah Stokes","Cash, Wright, Charles, Rodgers, Stokes",100721-101030-202250-203411-204329,NYL,5070.0,18,84.0,2.0,159.0,158.0,48.0,317.0,44.0,12.0,26.0,27.0,25.0,45.0,97.0,30.0,154.0,152.0,28.0,25.0,5.0,14.0,21.0,3.0,49.0,6.0,43.0,56.0,74.0,19.0,13.0,2.0,17.0,30.0,13.0,33.0,3.0,41.0,141.0,0.3111111111111111,0.32558139534883723,0.4639175257731959,0.46062992125984253,0.5133333333333333,0.23622047244094488,0.05154639175257732,0.045454545454545456,0.6323529411764706,0.375,0.5833333333333334,0.55,1.0,90.03550295857988,15.628930817610064,16.360759493670887,14.89308176100629,15.031645569620252,0.3464566929133858,0.2047244094488189,0.46153846153846156,0.5,0.25,0.2125984251968504,0.1968503937007874,0.5826771653543307,0.4755763779527559,7.985567010309278,23.993333333333332,6.0,9.0,37.0,21.0,6.0,7.0,5.0,2.0,48.0,20.0,3.0,4.0,2.0,0.7777777777777778,0.3,0.3,0.7272727272727273,0.24,0.25,0.8333333333333334,0.24,0.14285714285714285,0.1724137931034483,22.0,7.0,1.0,9.0,6.0,10.0,0.5,0.5238095238095238,0.3181818181818182,16.0,11.0,5.0,1.0,2.0,62.0,6.0,3.0,1.0,0.6153846153846154,0.4074074074074074,0.4230769230769231,0.03937007874015748,0.08333333333333333,0.5803833333333334,43.0,14.0,39.0,38.0,42.0,0.4431818181818182,0.2532467532467532,0.27044025157232704,2.0,5.0,3.0,10.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,10.0,1.0,2.0,13.0,11.0,28.0,1.0,6.0,6.0,4.0,1.0,2.0,4.0,8.0,9.0,1.0,7.0,18.0,2.0,13.0,10.0,3.0,1.0,2.0,5.0,8.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,0.5,0.16666666666666666,0.4,0.39285714285714285,0.4583333333333333,0.36764705882352944,0.5,0.03333333333333333,0.07692307692307693,0.037037037037037035,0.04,0.43333333333333335,0.7777777777777778,0.3333333333333333,0.18,0.4,0.24285714285714285,0.13636363636363635,0.16666666666666666,0.25,0.4444444444444444,0.2857142857142857,0.03076923076923077,0.7,0.36363636363636365,0.6,0.6,0.6666666666666666,0.4166666666666667,0.4,1.0,0.08333333333333333,0.29411764705882354,0.3,0.029411764705882353,1.0,0.14705882352941177,0.43854264705882356,0.03225806451612903,0.08441558441558442,,,,,,,,,,,,,,,,1611661313,2016,2016,True
100721-101030-202250-202670-203830,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Carolyn Swords, Shoni Schimmel","Cash, Wright, Charles, Swords, Schimmel",100721-101030-202250-202670-203830,NYL,77.0,1,1.0,1.0,2.0,2.0,2.0,4.0,2.0,,1.0,,,2.0,3.0,,5.0,4.0,2.0,,,1.0,1.0,,2.0,,,,1.0,,,,,,,,,1.0,2.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,,,,,,,,,74.8051948051948,22.0,16.5,19.5,16.5,0.6666666666666666,0.3333333333333333,,,,,,0.6666666666666666,0.48593333333333333,3.5666666666666664,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,2.0,1.0,,,,,1.0,1.0,0.5,1.0,,,,,2.0,,,1.0,,,,,,0.6708,2.0,1.0,5.0,5.0,2.0,0.8333333333333334,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,1.0,1.0,,1.0,3.0,2.0,3.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.5,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,0.6666666666666666,1.0,,,,0.48593333333333333,,0.6,,,,,,,,,,,,,,,,1611661313,2016,2016,True
100721-101030-202670-203411-204329,1611661313,"Swin Cash, Tanisha Wright, Carolyn Swords, Sugar Rodgers, Kiah Stokes","Cash, Wright, Swords, Rodgers, Stokes",100721-101030-202670-203411-204329,NYL,224.0,2,4.0,4.0,8.0,7.0,,15.0,3.0,,1.0,2.0,1.0,3.0,6.0,1.0,11.0,7.0,6.0,1.0,,3.0,3.0,,6.0,,2.0,2.0,4.0,2.0,2.0,,1.0,2.0,,1.0,1.0,1.0,9.0,1.0,1.0,0.5,0.6428571428571429,0.6875,0.14285714285714285,,,0.6666666666666666,,0.6666666666666666,0.5,,96.42857142857143,14.5,15.428571428571429,13.625,15.0,0.42857142857142855,0.14285714285714285,,,,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.5202142857142857,9.433333333333334,24.1,1.0,1.0,2.0,,1.0,,,,2.0,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,0.125,0.14285714285714285,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,2.0,2.0,2.0,2.0,2.0,0.5,0.18181818181818182,0.25,,,,,,,,,,,,,,2.0,2.0,,1.0,,,3.0,,,,,,2.0,,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,0.5,,,0.6666666666666666,,0.6666666666666666,,,1.0,,,,1.0,,,,,,,,,,,,,,0.3759,,0.18181818181818182,,,,,,,,,,,,,,,,1611661313,2016,2016,True
100721-101030-202670-204296-204327,1611661313,"Swin Cash, Tanisha Wright, Carolyn Swords, Rebecca Allen, Brittany Boyd","Cash, Wright, Swords, Allen, Boyd",100721-101030-202670-204296-204327,NYL,575.0,1,10.0,4.0,19.0,18.0,,37.0,4.0,,2.0,7.0,2.0,8.0,13.0,2.0,20.0,16.0,14.0,2.0,1.0,7.0,7.0,,14.0,1.0,4.0,6.0,7.0,2.0,,,,3.0,2.0,3.0,,2.0,18.0,0.875,0.875,0.6153846153846154,0.5333333333333333,0.5882352941176471,0.13333333333333333,0.07692307692307693,0.25,0.6666666666666666,0.5,0.625,1.0,,92.66086956521738,15.105263157894736,16.0,15.105263157894736,15.666666666666666,0.26666666666666666,0.13333333333333333,,,,0.4666666666666667,0.13333333333333333,0.4,0.44184666666666667,12.353846153846153,23.0,,,4.0,,,,,,4.0,2.0,,,,,,,,,,,,0.11764705882352941,0.13333333333333333,2.0,2.0,1.0,,,,0.5,0.6666666666666666,1.0,1.0,6.0,,,,2.0,2.0,,,0.75,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,,5.0,,1.0,,1.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,0.5,1.0,1.0,,0.2,,0.14285714285714285,0.5,,,,1.0,,,0.8333333333333334,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,1611661313,2016,2016,True
100721-1627679-201919-203830-204320,1611661313,"Swin Cash, Adut Bulgak, Shavonte Zellous, Shoni Schimmel, Amanda Zahui B","Cash, Bulgak, Zellous, Schimmel, Zahui B",100721-1627679-201919-203830-204320,NYL,328.0,1,5.0,-4.0,11.0,12.0,11.0,23.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,2.0,9.0,13.0,4.0,2.0,,2.0,2.0,,4.0,2.0,,2.0,2.0,3.0,2.0,,1.0,3.0,,3.0,,3.0,9.0,0.5,0.5,0.8,0.5714285714285714,0.5625,0.2857142857142857,,,,0.5,0.4,,,100.97560975609755,13.636363636363637,14.833333333333334,13.636363636363637,13.5,0.14285714285714285,0.14285714285714285,1.0,1.0,,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.37882857142857146,12.26,23.35,,,1.0,,,,,,2.0,1.0,,1.0,,,,,,,,,,0.125,0.16666666666666666,,,1.0,,,,,,,,3.0,,,,4.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,0.5,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
