EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Charge Fouls Drawn,StepOutOfBoundsTurnovers,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627669-200673-202251-203825-204324,1611661319,"Moriah Jefferson, Monique Currie, Jayne Appel Marinelli, Kayla McBride, Dearica Hamby","Jefferson, Currie, Appel Marinelli, McBride, Hamby",1627669-200673-202251-203825-204324,SAN,12316.0,17,205.0,-69.0,386.0,385.0,33.0,58.0,47.0,771.0,63.0,104.0,11.0,20.0,6.0,10.0,13.0,55.0,37.0,101.0,5.0,10.0,15.0,61.0,2.0,4.0,2.0,11.0,113.0,260.0,20.0,71.0,67.0,353.0,422.0,15.0,38.0,2.0,4.0,8.0,44.0,9.0,17.0,2.0,11.0,8.0,32.0,142.0,84.0,57.0,3.0,8.0,1.0,60.0,15.0,15.0,1.0,71.0,19.0,90.0,14.0,5.0,41.0,5.0,25.0,199.0,15.0,34.0,2.0,34.0,101.0,6.0,141.0,51.0,192.0,3.0,35.0,21.0,14.0,42.0,8.0,35.0,31.0,4.0,7.0,4.0,73.0,5.0,5.0,39.0,9.0,89.0,4.0,1.0,6.0,5.0,81.0,6.0,4.0,6.0,84.0,5.0,3.0,36.0,7.0,20.0,2.0,2.0,10.0,2.0,8.0,22.0,13.0,1.0,309.0,32.0,33.0,4.0,4.0,0.6283185840707964,0.6513761467889908,0.95,0.28169014084507044,0.5,0.18181818181818182,0.2857142857142857,0.4346153846153846,0.39473684210526316,0.5294117647058824,0.43202416918429004,0.42857142857142855,0.42857142857142855,0.47560975609756095,0.4782608695652174,0.47058823529411764,0.21450151057401812,0.014084507042253521,0.057692307692307696,0.09615384615384616,0.03636363636363636,0.0297029702970297,0.01639344262295082,0.5753424657534246,0.8571428571428571,0.2857142857142857,0.7062937062937062,0.2328767123287671,0.7391304347826086,0.3125,0.7142857142857143,0.25257731958762886,0.24390243902439024,0.2619047619047619,0.20634920634920634,0.3023255813953488,0.4,0.6944444444444444,0.6956521739130435,0.7213114754098361,0.7567567567567568,0.6666666666666666,0.016853932584269662,90.1461513478402,0.5909090909090909,16.984455958549223,14.96103896103896,16.230569948186528,14.088311688311688,0.31419939577039274,0.6057692307692307,0.6702127659574468,0.6507936507936508,0.1661631419939577,0.23636363636363636,0.24528301886792453,0.38461538461538464,0.30513595166163143,0.36633663366336633,0.37755102040816324,0.6756756756756757,0.030211480362537766,0.5,0.5,1.0,0.18429003021148035,0.2459016393442623,0.25,0.9333333333333333,0.47619047619047616,0.55,0.36363636363636365,0.09523809523809523,0.5,0.5,0.35714285714285715,0.6,0.39285714285714285,0.18181818181818182,0.5287009063444109,0.25,0.46016257575757574,0.5029383333333334,0.45387222222222223,0.09944751381215469,0.12371134020618557,0.12464589235127478,0.0906515580736544,9.48423076923077,24.625352112676058,0.08549222797927461,,,,,,,,,,,,,,,,1611661319,2016,2016,False
1627669-1627681-202251-203838-203863,1611661319,"Moriah Jefferson, Jazmon Gwathmey, Jayne Appel Marinelli, Astou Ndour, Haley Peters","Jefferson, Gwathmey, Appel Marinelli, Ndour, Peters",1627669-1627681-202251-203838-203863,SAN,455.0,2,8.0,2.0,14.0,15.0,,3.0,1.0,29.0,5.0,5.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,,7.0,8.0,,2.0,2.0,16.0,14.0,1.0,1.0,,,,2.0,,,,,,,8.0,6.0,,,2.0,,1.0,,,,4.0,,4.0,,,3.0,,1.0,8.0,,1.0,,,3.0,1.0,4.0,1.0,5.0,,2.0,2.0,,3.0,1.0,2.0,1.0,,1.0,,4.0,,,3.0,1.0,6.0,,,,,4.0,,1.0,,2.0,,,1.0,,,,,,,,,,,14.0,,,1.0,,0.5714285714285714,0.6666666666666666,,,,,,0.875,1.0,,0.7,1.0,,0.7272727272727273,1.0,,0.2,,,,,,,0.75,1.0,,0.75,1.0,,,0.5,0.3333333333333333,,,1.0,,,,1.0,0.6666666666666666,,,,91.78021978021978,,16.428571428571427,15.0,16.285714285714285,13.533333333333333,0.5,1.0,1.0,0.6,0.1,1.0,1.0,,0.2,0.5,0.5,1.0,0.1,,,,0.1,,,,1.0,1.0,,,,,,,,,0.7,,0.48912000000000005,0.4914,,0.09090909090909091,0.1111111111111111,0.125,,6.425,23.3,,,,,,,,,,,,,,,,,1611661319,2016,2016,False
1627645-1627669-203825-203838-203863,1611661319,"Frida Eldebrink, Moriah Jefferson, Kayla McBride, Astou Ndour, Haley Peters","Eldebrink, Jefferson, McBride, Ndour, Peters",1627645-1627669-203825-203838-203863,SAN,37.0,1,1.0,-2.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,77.83783783783784,,14.0,23.0,14.0,23.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,0.5229,,0.5229,,,,,,25.3,1.0,,,,,,,,,,,,,,,,1611661319,2016,2016,False
1627645-1627681-202652-203405-203838,1611661319,"Frida Eldebrink, Jazmon Gwathmey, Alex Montgomery, Kayla Alexander, Astou Ndour","Eldebrink, Gwathmey, Montgomery, Alexander, Ndour",1627645-1627681-202652-203405-203838,SAN,253.0,1,4.0,8.0,9.0,8.0,9.0,,2.0,17.0,2.0,4.0,1.0,1.0,2.0,4.0,,,2.0,3.0,,,,1.0,,1.0,,1.0,4.0,7.0,,1.0,,8.0,,1.0,1.0,,1.0,,2.0,4.0,7.0,,1.0,,8.0,4.0,4.0,,,2.0,,1.0,,1.0,,2.0,,2.0,,,1.0,,1.0,4.0,,2.0,,,4.0,,4.0,2.0,6.0,,2.0,1.0,1.0,2.0,,1.0,,,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,6.0,8.0,9.0,,,0.5,0.6666666666666666,,,,,,0.5714285714285714,1.0,0.5714285714285714,0.5,0.5,0.5,0.5,0.5,0.5,0.125,,0.14285714285714285,0.25,,,,1.0,,,0.6666666666666666,0.6666666666666666,,,0.6666666666666666,0.5,1.0,,,,,0.75,,0.5,,,,96.7588932806324,1.0,11.88888888888889,18.25,11.666666666666666,16.125,0.5,0.5,0.6666666666666666,0.5,,,,,0.375,0.6666666666666666,0.6666666666666666,0.5,,,,,0.125,,,,0.5,1.0,,0.5,,,0.5,0.5,0.125,,0.625,,0.56904375,0.622225,0.56904375,,,0.25,1.0,7.728571428571429,23.3,1.0,,,,,,,,,,,,,,,,1611661319,2016,2016,False
1627645-202251-202641-202652-203863,1611661319,"Frida Eldebrink, Jayne Appel Marinelli, Sydney Colson, Alex Montgomery, Haley Peters","Eldebrink, Appel Marinelli, Colson, Montgomery, Peters",1627645-202251-202641-202652-203863,SAN,15.0,1,,-2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,,8.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.4767,,,,,,,,23.1,,,,,,,,,,,,,,,,,1611661319,2016,2016,False
1627645-202251-202641-203863-204324,1611661319,"Frida Eldebrink, Jayne Appel Marinelli, Sydney Colson, Haley Peters, Dearica Hamby","Eldebrink, Appel Marinelli, Colson, Peters, Hamby",1627645-202251-202641-203863-204324,SAN,167.0,1,3.0,3.0,5.0,5.0,1.0,,,10.0,,,,,,,,2.0,1.0,1.0,,,1.0,1.0,,,,,1.0,3.0,1.0,1.0,,5.0,2.0,,,,,,,,,,,,,,2.0,3.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,3.0,,,,1.0,2.0,,3.0,,3.0,,1.0,1.0,,,,,2.0,,,,2.0,,1.0,1.0,,2.0,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,1.0,1.0,,,1.0,0.3333333333333333,,,0.625,,,0.625,,,0.25,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,86.22754491017965,,18.0,15.4,18.0,15.4,,,,,0.5,,,,0.25,1.0,1.0,,,,,,0.25,1.0,1.0,1.0,,,,,,,,,,,0.25,1.0,0.4022625,,,,,,,13.933333333333332,24.5,0.2,,,,,,,,,,,,,,,,1611661319,2016,2016,False
1627645-202641-202652-203405-203838,1611661319,"Frida Eldebrink, Sydney Colson, Alex Montgomery, Kayla Alexander, Astou Ndour","Eldebrink, Colson, Montgomery, Alexander, Ndour",1627645-202641-202652-203405-203838,SAN,93.0,1,2.0,1.0,3.0,2.0,,,,5.0,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,2.0,5.0,4.0,,,,,,,,,,,,,,,3.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,5.0,,,,,,,1.0,1.0,,,1.0,,,,1.5,,,1.25,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,77.41935483870968,,14.0,25.5,14.0,16.5,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,0.5007,,,0.5,1.0,,,,24.4,,,,,,,,,,,,,,,,,1611661319,2016,2016,False
1627645-202641-202652-203405-203863,1611661319,"Frida Eldebrink, Sydney Colson, Alex Montgomery, Kayla Alexander, Haley Peters","Eldebrink, Colson, Montgomery, Alexander, Peters",1627645-202641-202652-203405-203863,SAN,334.0,2,6.0,-3.0,10.0,10.0,,,,20.0,1.0,2.0,,,,,1.0,3.0,,,,1.0,,1.0,,,,,2.0,5.0,,2.0,1.0,5.0,8.0,,,,,,,,,,,,,2.0,2.0,,,,,1.0,,,,1.0,,1.0,,,,1.0,,2.0,,,,1.0,2.0,,3.0,,3.0,,,,,,1.0,,2.0,,,1.0,2.0,,,2.0,,2.0,,,,,4.0,,2.0,,2.0,,,1.0,,1.0,,,1.0,,,1.0,,,5.0,,,,,0.5,0.5,,,,,,0.4,,,0.2857142857142857,,,0.3125,,,0.2857142857142857,,,,,,,,,,0.6666666666666666,,1.0,,0.75,,,,,,,1.0,,1.0,1.0,,,86.22754491017965,,17.1,16.3,17.1,16.3,0.2857142857142857,0.5,0.5,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,,0.14285714285714285,,,,0.14285714285714285,,,,,,,,,,,,,,0.5714285714285714,,0.4869428571428571,,,0.125,0.16666666666666666,,,4.779999999999999,24.8,,,,,,,,,,,,,,,,,1611661319,2016,2016,False
1627645-202641-203405-203838-203863,1611661319,"Frida Eldebrink, Sydney Colson, Kayla Alexander, Astou Ndour, Haley Peters","Eldebrink, Colson, Alexander, Ndour, Peters",1627645-202641-203405-203838-203863,SAN,523.0,3,9.0,,18.0,17.0,1.0,1.0,1.0,35.0,3.0,4.0,1.0,1.0,,,2.0,3.0,,3.0,,1.0,1.0,4.0,,,,,5.0,10.0,1.0,5.0,5.0,18.0,18.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,,,2.0,8.0,2.0,3.0,,2.0,,4.0,1.0,,,4.0,1.0,5.0,1.0,,2.0,2.0,,11.0,1.0,,,2.0,3.0,,5.0,1.0,6.0,,1.0,1.0,,2.0,,2.0,2.0,1.0,,,4.0,,1.0,3.0,1.0,4.0,,,,,6.0,,2.0,1.0,5.0,1.0,,3.0,,3.0,,,3.0,,,3.0,2.0,,15.0,2.0,1.0,,,0.8,1.0,1.0,0.2,,,0.2,0.5,1.0,1.0,0.43333333333333335,1.0,1.0,0.5294117647058824,1.5,1.0,0.3333333333333333,,,,,,,0.5,,,0.5,,1.0,0.3333333333333333,0.625,0.125,,,,,1.0,0.5,,0.5,1.0,,,96.36711281070745,0.6666666666666666,15.833333333333334,14.0,15.833333333333334,13.352941176470589,0.26666666666666666,0.75,0.75,0.6666666666666666,0.2,0.6666666666666666,0.6666666666666666,1.0,0.2,,,,0.06666666666666667,,,,0.26666666666666666,0.25,0.25,1.0,1.0,1.0,,,,,,,,,0.6,0.25,0.4505933333333333,,0.3478,0.17647058823529413,0.25,0.16666666666666666,0.1111111111111111,7.45,25.02,0.05555555555555555,,,,,,,,,,,,,,,,1611661319,2016,2016,False
1627645-202641-203405-203863-204324,1611661319,"Frida Eldebrink, Sydney Colson, Kayla Alexander, Haley Peters, Dearica Hamby","Eldebrink, Colson, Alexander, Peters, Hamby",1627645-202641-203405-203863-204324,SAN,75.0,2,1.0,-1.0,2.0,2.0,,,,4.0,,,,,,,1.0,2.0,,,,,,,,,,,1.0,2.0,,,,2.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.5,,,0.5,,,0.5,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,76.8,,21.5,16.0,21.5,16.0,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.35345,,,,,,,6.55,,,,,,,,,,,,,,,,,,1611661319,2016,2016,False
