EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
100720-1627668-201518-202252-204319,1611661328,"Sue Bird, Breanna Stewart, Crystal Langhorne, Alysha Clark, Jewell Loyd","Bird, Stewart, Langhorne, Clark, Loyd",100720-1627668-201518-202252-204319,SEA,30737.0,32,512.0,60.0,966.0,963.0,166.0,99.0,81.0,1929.0,170.0,253.0,22.0,28.0,23.0,37.0,72.0,159.0,67.0,154.0,29.0,68.0,4.0,7.0,6.0,13.0,66.0,172.0,3.0,11.0,12.0,23.0,309.0,566.0,95.0,240.0,171.0,1074.0,1014.0,30.0,53.0,7.0,18.0,6.0,87.0,49.0,84.0,18.0,36.0,61.0,213.0,314.0,304.0,267.0,18.0,16.0,172.0,66.0,36.0,157.0,89.0,246.0,60.0,29.0,103.0,20.0,34.0,581.0,23.0,62.0,3.0,80.0,254.0,17.0,351.0,88.0,439.0,14.0,78.0,63.0,15.0,89.0,31.0,61.0,84.0,11.0,28.0,5.0,8.0,173.0,13.0,29.0,75.0,5.0,155.0,6.0,10.0,6.0,219.0,9.0,15.0,12.0,6.0,204.0,33.0,7.0,91.0,24.0,33.0,14.0,4.0,15.0,33.0,21.0,1.0,987.0,213.0,166.0,8.0,18.0,0.5080906148867314,0.521594684385382,0.9368421052631579,0.3958333333333333,0.3888888888888889,0.5,0.3958333333333333,0.5459363957597173,0.5660377358490566,0.5833333333333334,0.5601736972704715,0.5704225352112676,0.6333333333333333,0.6019144144144144,0.58,0.7019867549668874,0.2977667493796526,0.0636042402826855,0.07509881422924901,0.09433962264150944,0.012987012987012988,0.5144508670520231,0.8947368421052632,0.2,0.7094972067039106,0.2450592885375494,0.7142857142857143,0.1619718309859155,0.7106382978723405,0.21518987341772153,0.26506024096385544,0.24705882352941178,0.2235294117647059,0.1650485436893204,0.15384615384615385,0.6590909090909091,0.7063492063492064,0.7430555555555556,0.7263157894736842,0.6470588235294118,0.03899721448467967,90.37186452809318,0.6363636363636364,15.703933747412009,16.165109034267914,15.109730848861284,15.417445482866043,0.31389578163771714,0.6719367588932806,0.7264957264957265,0.6058823529411764,0.19727047146401985,0.4528301886792453,0.5,0.2777777777777778,0.19106699751861042,0.43506493506493504,0.4407894736842105,0.5074626865671642,0.08436724565756824,0.4264705882352941,0.4264705882352941,1.0,0.21339950372208435,0.38372093023255816,0.38372093023255816,0.9090909090909091,0.39436619718309857,0.7857142857142857,0.045454545454545456,0.09859154929577464,0.5714285714285714,1.0,0.15492957746478872,0.2727272727272727,1.0,0.30833333333333335,0.6216216216216216,0.10833333333333334,0.46153846153846156,0.19166666666666668,0.5217391304347826,0.6116625310173698,0.38372093023255816,0.48769863523573204,0.5033981481481481,0.4780616666666667,0.10532407407407407,0.14583333333333334,0.08100558659217877,0.19832402234636873,7.739222614840989,24.02541666666667,0.17184265010351968,,,,,,,,,1611661328,2016,2016,False
100720-1627668-201049-201518-202252,1611661328,"Sue Bird, Breanna Stewart, Noelle Quinn, Crystal Langhorne, Alysha Clark","Bird, Stewart, Quinn, Langhorne, Clark",100720-1627668-201049-201518-202252,SEA,466.0,3,8.0,-1.0,12.0,14.0,2.0,3.0,1.0,26.0,2.0,2.0,,,,,1.0,2.0,2.0,2.0,,1.0,,,,,,1.0,,1.0,,,5.0,6.0,,2.0,3.0,13.0,14.0,,,,1.0,,,1.0,1.0,,,1.0,3.0,8.0,2.0,,,,1.0,,,4.0,,4.0,,,2.0,1.0,1.0,8.0,,1.0,,4.0,2.0,,6.0,1.0,7.0,,1.0,1.0,,,1.0,,3.0,1.0,,,,3.0,,,,,,,,,5.0,,,,,5.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,13.0,3.0,2.0,,1.0,0.8,0.8,,,,,,0.8333333333333334,,1.0,0.625,,1.0,0.65,,0.75,0.25,,,,,,,,0.4,1.0,0.8,,0.6,0.3333333333333333,,1.0,,,,0.5,,0.5,0.75,1.0,,80.34334763948497,,15.75,19.785714285714285,15.25,18.357142857142858,0.25,1.0,1.0,1.0,0.25,0.5,0.5,1.0,0.25,1.0,1.0,0.5,0.125,,,,0.125,,,,,,,,,,1.0,,,,,,,,,0.5,,0.4804125,0.6282,0.3811,0.1111111111111111,0.14285714285714285,,0.23076923076923078,8.866666666666667,23.9,0.16666666666666666,,,,,,,,,1611661328,2016,2016,False
100720-1627668-201049-201518-202626,1611661328,"Sue Bird, Breanna Stewart, Noelle Quinn, Crystal Langhorne, Jenna O'Hea","Bird, Stewart, Quinn, Langhorne, O'Hea",100720-1627668-201049-201518-202626,SEA,133.0,1,2.0,,4.0,3.0,,,,7.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,1.0,2.0,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,0.5,,,0.5,,,0.5,,,,,,,,0.5,,,0.5,,,,0.5,,,,,,,,0.5,,,,,75.78947368421052,1.0,16.0,23.0,16.0,22.666666666666668,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3714,,,,,,,16.25,,,,,,,,,,,1611661328,2016,2016,False
100720-1627668-201049-202252-204319,1611661328,"Sue Bird, Breanna Stewart, Noelle Quinn, Alysha Clark, Jewell Loyd","Bird, Stewart, Quinn, Clark, Loyd",100720-1627668-201049-202252-204319,SEA,20.0,2,,,2.0,1.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,,9.5,1.0,9.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1611661328,2016,2016,False
100720-1627668-201049-202663-204319,1611661328,"Sue Bird, Breanna Stewart, Noelle Quinn, Krystal Thomas, Jewell Loyd","Bird, Stewart, Quinn, Thomas, Loyd",100720-1627668-201049-202663-204319,SEA,212.0,1,4.0,-4.0,6.0,7.0,,6.0,,13.0,,1.0,,,,,,,1.0,2.0,,,,,,,1.0,2.0,,,,,1.0,3.0,1.0,2.0,1.0,6.0,10.0,,,,,,,,,,,,,,2.0,3.0,,,2.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,6.0,,,1.0,,,,1.0,0.5,,,0.5,0.3333333333333333,,,0.5,,,0.5,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,88.30188679245283,,17.5,15.285714285714286,17.5,14.857142857142858,0.2,,,,,,,,0.4,0.5,0.5,,,,,,0.4,0.5,0.5,1.0,,,,,,,,,,,,,,,,0.6,0.5,0.49788,,,0.16666666666666666,0.25,,,11.633333333333333,22.8,,,,,,,,,,1611661328,2016,2016,False
100720-1627668-201518-202249-204319,1611661328,"Sue Bird, Breanna Stewart, Crystal Langhorne, Abby Bishop, Jewell Loyd","Bird, Stewart, Langhorne, Bishop, Loyd",100720-1627668-201518-202249-204319,SEA,74.0,1,1.0,-2.0,3.0,2.0,3.0,2.0,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,2.0,,2.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,97.29729729729729,,13.0,17.5,13.0,17.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,0.46215,,0.46215,,,,,,23.4,1.0,,,,,,,,,1611661328,2016,2016,False
100720-1627668-201518-202252-202257,1611661328,"Sue Bird, Breanna Stewart, Crystal Langhorne, Alysha Clark, Monica Wright","Bird, Stewart, Langhorne, Clark, Wright",100720-1627668-201518-202252-202257,SEA,57.0,2,1.0,,1.0,2.0,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,,,,2.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,1.0,,0.5,1.0,,0.5,,,,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,75.78947368421053,,31.0,13.0,19.0,13.0,0.5,1.0,1.0,,,,,,,,,,,,,,0.5,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,0.5601,,,,,1.0,,2.5,23.3,,,,,,,,,,1611661328,2016,2016,False
100720-1627668-202249-202252-204319,1611661328,"Sue Bird, Breanna Stewart, Abby Bishop, Alysha Clark, Jewell Loyd","Bird, Stewart, Bishop, Clark, Loyd",100720-1627668-202249-202252-204319,SEA,995.0,2,17.0,-6.0,32.0,33.0,15.0,9.0,5.0,65.0,3.0,8.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,10.0,,1.0,,,,1.0,1.0,8.0,,1.0,,3.0,9.0,22.0,1.0,9.0,8.0,29.0,35.0,2.0,3.0,,1.0,2.0,6.0,6.0,10.0,,4.0,6.0,18.0,10.0,8.0,,3.0,,8.0,1.0,,5.0,,5.0,,,2.0,,3.0,10.0,4.0,2.0,,2.0,5.0,2.0,9.0,6.0,15.0,2.0,2.0,2.0,,1.0,1.0,,3.0,,1.0,,,4.0,1.0,2.0,5.0,1.0,9.0,,,1.0,14.0,1.0,1.0,1.0,3.0,9.0,3.0,,6.0,,2.0,2.0,,,2.0,1.0,,23.0,18.0,15.0,1.0,,0.5555555555555556,0.5555555555555556,,0.1111111111111111,,,0.1111111111111111,0.4090909090909091,0.6666666666666666,0.6,0.3387096774193548,0.5,0.42857142857142855,0.4264705882352941,0.6,0.5625,0.2903225806451613,,,,,0.25,0.6666666666666666,,0.625,0.15384615384615385,1.0,0.5714285714285714,0.7,0.3,,0.5,0.16666666666666666,0.5,1.0,0.6666666666666666,1.0,,1.0,,0.1,94.07035175879398,0.5,14.28125,16.303030303030305,13.34375,15.303030303030303,0.25806451612903225,0.375,0.375,0.6666666666666666,0.12903225806451613,0.5,0.5,,0.3225806451612903,0.4,0.4,0.75,0.03225806451612903,,,,0.25806451612903225,0.125,0.125,,0.75,0.6666666666666666,0.5,,,,0.25,,,0.21428571428571427,0.6666666666666666,0.07142857142857142,,0.21428571428571427,,0.5483870967741935,0.125,0.4820854838709677,0.5229,0.4644107142857143,0.17647058823529413,0.24,0.20689655172413793,0.6206896551724138,9.363636363636363,23.5,0.46875,,,,,,,,,1611661328,2016,2016,False
100720-1627668-202252-202626-203832,1611661328,"Sue Bird, Breanna Stewart, Alysha Clark, Jenna O'Hea, Markeisha Gatling","Bird, Stewart, Clark, O'Hea, Gatling",100720-1627668-202252-202626-203832,SEA,210.0,2,4.0,-9.0,8.0,8.0,,,1.0,16.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,2.0,2.0,11.0,,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,,2.0,3.0,1.0,,,1.0,5.0,,,2.0,,3.0,1.0,,,1.0,,,,,2.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.5,,,,,0.4,,,1.0,1.0,,,0.5,0.5,1.0,,,,,1.0,,,,,0.5,109.71428571428571,1.0,13.625,12.625,13.625,12.0,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,0.5558,,,0.3333333333333333,0.5,1.0,,1.3,23.5,,,,,,,,,,1611661328,2016,2016,False
100720-1627668-202252-202626-204317,1611661328,"Sue Bird, Breanna Stewart, Alysha Clark, Jenna O'Hea, Ramu Tokashiki","Bird, Stewart, Clark, O'Hea, Tokashiki",100720-1627668-202252-202626-204317,SEA,18.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2016,2016,False
