EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedAtRim,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Travels,Offensive Fouls,Technical Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,PenaltyCorner3FGA,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Frequency,Loose Ball Fouls,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFouls,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Corner3PctBlocked,Clear Path Fouls,BlockedCorner3,3SecondViolations,Defensive 3 Seconds Violations,team_id,year,season,team_vs
201477-201516-201516-202259-203857,1611661329,"Tamera Young, Allie Quigley, Allie Quigley, Epiphanny Prince, Jamierra Faulkner","Young, Quigley, Quigley, Prince, Faulkner",201477-201516-201516-202259-203857,CHI,201.0,1,3.0,4.0,8.0,8.0,4.0,5.0,1.0,16.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,12.0,8.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,4.0,2.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.9,1.5,0.8333333333333334,0.8571428571428571,1.5,0.75,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,114.6268656716418,1.0,11.25,13.875,11.0,13.875,0.2,1.0,1.0,0.4,1.0,1.0,0.5,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.4,1.0,0.45526999999999995,0.51345,0.4354166666666666,0.16666666666666666,0.2,0.25,0.5,6.875,25.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
201480-201516-202259-202638-203857,1611661329,"Sylvia Fowles, Allie Quigley, Epiphanny Prince, Jessica Breland, Jamierra Faulkner","Fowles, Quigley, Prince, Breland, Faulkner",201480-201516-202259-202638-203857,CHI,3400.0,13,57.0,5.0,99.0,109.0,17.0,26.0,19.0,208.0,16.0,29.0,7.0,22.0,24.0,4.0,17.0,,3.0,,4.0,33.0,75.0,6.0,22.0,22.0,106.0,101.0,,3.0,20.0,2.0,12.0,,4.0,8.0,12.0,34.0,32.0,15.0,16.0,4.0,17.0,5.0,22.0,3.0,2.0,49.0,18.0,10.0,25.0,36.0,26.0,62.0,5.0,17.0,12.0,24.0,31.0,38.0,18.0,2.0,10.0,1.0,10.0,5.0,86.0,12.0,17.0,2.0,0.5151515151515151,0.53125,0.8333333333333334,0.2727272727272727,,,0.2857142857142857,0.44,0.16666666666666666,0.4329896907216495,0.36,0.125,0.4608695652173913,0.35714285714285715,0.2608695652173913,0.2268041237113402,0.6756756756756757,0.43902439024390244,0.7142857142857143,0.6862745098039216,0.4642857142857143,0.35714285714285715,0.5625,0.8181818181818182,0.7777777777777778,88.09411764705882,0.5,17.050505050505052,15.706422018348624,14.616161616161616,15.18348623853211,0.29896907216494845,0.5517241379310345,0.7619047619047619,0.2268041237113402,0.3181818181818182,0.3684210526315789,0.2857142857142857,0.24742268041237114,0.17525773195876287,0.23529411764705882,0.23529411764705882,0.75,0.12,,,0.25,,0.5257731958762887,0.25,0.4728161458333333,0.4562684210526316,0.4207633333333333,0.1592920353982301,0.1978021978021978,0.18867924528301888,0.11320754716981132,8.608,25.4,0.1717171717171717,4.0,7.0,2.0,4.0,10.0,2.0,5.0,9.0,22.0,2.0,3.0,2.0,1.0,11.0,2.0,6.0,9.0,8.0,1.0,3.0,13.0,10.0,3.0,12.0,1.0,10.0,2.0,2.0,3.0,7.0,1.0,3.0,2.0,2.0,6.0,3.0,2.0,0.4090909090909091,0.14666666666666667,0.27586206896551724,0.13636363636363635,0.7058823529411765,1.0,0.5333333333333333,0.5,0.4666666666666667,0.5833333333333334,0.3333333333333333,0.7,0.6,0.06521739130434782,0.375,0.4166666666666667,0.4166666666666667,0.9,0.05154639175257732,0.4,0.4,1.0,0.28,0.5714285714285714,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
201477-202259-202638-202664-203399,1611661329,"Tamera Young, Epiphanny Prince, Jessica Breland, Courtney Vandersloot, Elena Delle Donne","Young, Prince, Breland, Vandersloot, Delle Donne",201477-202259-202638-202664-203399,CHI,113.0,1,2.0,2.0,4.0,3.0,2.0,2.0,2.0,7.0,1.0,3.0,,,1.0,,2.0,,1.0,,2.0,2.0,4.0,,2.0,,4.0,2.0,,1.0,2.0,1.0,2.0,,2.0,,2.0,4.0,,,2.0,,2.0,,2.0,,,4.0,1.0,,1.0,1.0,2.0,3.0,,,,,,,,,1.0,,1.0,,2.0,2.0,2.0,,1.0,1.0,,,,,,0.5,0.5,0.3333333333333333,0.5,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.25,0.5,,0.25,0.5,,,1.0,,89.20353982300885,,15.75,16.666666666666668,13.75,15.666666666666666,0.5,0.3333333333333333,0.3333333333333333,,,,,0.16666666666666666,0.3333333333333333,,,,0.5,,,0.5,,0.8333333333333334,,0.503375,0.49245,0.4891875,,,0.5,0.5,6.225,23.15,0.5,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,0.5,0.5,,0.5,,,,0.25,1.0,1.0,1.0,1.0,,,,,0.5,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
201477-202664-203399-203451-203844,1611661329,"Tamera Young, Courtney Vandersloot, Elena Delle Donne, Courtney Clements, Gennifer Brandon","Young, Vandersloot, Delle Donne, Clements, Brandon",201477-202664-203399-203451-203844,CHI,11.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
201477-201480-201516-203399-203857,1611661329,"Tamera Young, Sylvia Fowles, Allie Quigley, Elena Delle Donne, Jamierra Faulkner","Young, Fowles, Quigley, Delle Donne, Faulkner",201477-201480-201516-203399-203857,CHI,90.0,1,2.0,,4.0,3.0,,,1.0,7.0,,3.0,,2.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4,1.0,1.0,0.4,,,1.0,,112.0,,13.5,12.0,12.75,12.0,0.6,,,0.4,,,,,,,,,,,,,,0.6,,0.43456,0.3673,,,,,,4.14,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,0.5,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
201477-201480-202259-202638-202664,1611661329,"Tamera Young, Sylvia Fowles, Epiphanny Prince, Jessica Breland, Courtney Vandersloot","Young, Fowles, Prince, Breland, Vandersloot",201477-201480-202259-202638-202664,CHI,1833.0,3,31.0,14.0,50.0,53.0,6.0,9.0,12.0,103.0,9.0,18.0,2.0,5.0,10.0,3.0,11.0,,2.0,,1.0,15.0,33.0,5.0,13.0,12.0,57.0,43.0,1.0,3.0,12.0,1.0,4.0,,1.0,1.0,3.0,18.0,12.0,15.0,11.0,3.0,9.0,5.0,14.0,3.0,1.0,33.0,11.0,2.0,18.0,21.0,15.0,36.0,4.0,12.0,4.0,13.0,13.0,15.0,6.0,1.0,2.0,,2.0,2.0,45.0,3.0,6.0,1.0,0.6,0.6,1.0,0.38461538461538464,0.3333333333333333,,0.38461538461538464,0.45454545454545453,0.25,0.4891304347826087,0.5,0.2,0.5283018867924528,0.5,0.25,0.2826086956521739,0.8181818181818182,0.6111111111111112,0.6666666666666666,0.8,0.5769230769230769,0.6666666666666666,1.0,0.5714285714285714,0.5,80.9165302782324,1.0,17.56,18.0188679245283,14.96,16.88679245283019,0.391304347826087,0.5,0.6,0.10869565217391304,0.4,0.4,0.5,0.21739130434782608,0.2391304347826087,0.2727272727272727,0.2727272727272727,1.0,0.18181818181818182,,,0.2,,0.6739130434782609,0.2727272727272727,0.4909032608695652,0.5010777777777777,0.54332,0.11538461538461539,0.15384615384615385,0.21052631578947367,0.05263157894736842,7.636363636363637,24.43846153846154,0.12,3.0,7.0,1.0,3.0,4.0,2.0,2.0,4.0,8.0,1.0,,,,3.0,2.0,6.0,2.0,4.0,1.0,1.0,6.0,5.0,1.0,8.0,2.0,3.0,,5.0,2.0,1.0,1.0,,2.0,,2.0,,,0.5,0.09090909090909091,0.16666666666666666,,0.6666666666666666,1.0,0.5,0.5555555555555556,0.6666666666666666,0.5,,0.8571428571428571,1.0,0.043478260869565216,0.6666666666666666,0.4,0.4,0.5,0.043478260869565216,1.0,1.0,1.0,0.6363636363636364,0.42857142857142855,0.6666666666666666,0.6,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
201477-201516-202259-202638-203857,1611661329,"Tamera Young, Allie Quigley, Epiphanny Prince, Jessica Breland, Jamierra Faulkner","Young, Quigley, Prince, Breland, Faulkner",201477-201516-202259-202638-203857,CHI,18.0,1,,-2.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,8.0,10.0,8.0,10.0,,,,1.0,,,,,,,,,,,,,,,,0.3232,,0.3232,,,,,4.3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
201477-201516-202259-202664-203844,1611661329,"Tamera Young, Allie Quigley, Epiphanny Prince, Courtney Vandersloot, Gennifer Brandon","Young, Quigley, Prince, Vandersloot, Brandon",201477-201516-202259-202664-203844,CHI,70.0,1,1.0,,3.0,3.0,3.0,3.0,,6.0,,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,,2.0,2.0,,,,1.0,2.0,,,,2.0,2.0,,,,,1.0,,1.0,,1.0,2.0,,,2.0,2.0,,2.0,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,2.0,2.0,3.0,,1.0,1.0,,,,,,0.5,0.5,0.5,,0.5,0.5,,0.5,,0.6666666666666666,,,0.6666666666666666,,,1.0,1.0,,123.42857142857142,1.0,5.666666666666667,17.666666666666668,5.666666666666667,16.333333333333332,0.5,,,0.5,1.0,1.0,1.0,,,,,,,,,,,0.5,,0.44155,,0.44155,,,,1.0,3.9,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
201477-201516-202638-202664-203399,1611661329,"Tamera Young, Allie Quigley, Jessica Breland, Courtney Vandersloot, Elena Delle Donne","Young, Quigley, Breland, Vandersloot, Delle Donne",201477-201516-202638-202664-203399,CHI,496.0,3,8.0,2.0,18.0,18.0,8.0,6.0,3.0,36.0,5.0,8.0,,2.0,1.0,2.0,3.0,,,,1.0,5.0,11.0,2.0,4.0,4.0,20.0,18.0,,1.0,2.0,2.0,5.0,,1.0,,4.0,6.0,4.0,6.0,3.0,2.0,3.0,2.0,5.0,2.0,,12.0,2.0,2.0,4.0,6.0,3.0,9.0,2.0,4.0,1.0,4.0,3.0,4.0,2.0,,,,,,18.0,4.0,8.0,,0.6,0.6,1.0,0.5,,,0.5,0.45454545454545453,0.4,0.5333333333333333,0.5,0.3333333333333333,0.5882352941176471,0.5,0.3333333333333333,0.26666666666666666,0.8,0.3333333333333333,1.0,0.8571428571428571,0.375,,1.0,0.5,1.0,104.51612903225805,,12.277777777777779,15.277777777777779,11.333333333333334,15.0,0.5333333333333333,0.625,0.625,0.13333333333333333,,,,0.06666666666666667,0.2,0.6666666666666666,0.6666666666666666,1.0,,,,0.16666666666666666,,0.8,0.6666666666666666,0.54858,0.506375,0.5319833333333334,0.11764705882352941,0.15384615384615385,0.1,0.2,3.9181818181818184,23.05,0.4444444444444444,1.0,1.0,2.0,3.0,,,1.0,1.0,1.0,,,,,2.0,,3.0,,1.0,,,2.0,,2.0,2.0,,1.0,,1.0,1.0,3.0,,,,,,,,1.0,0.18181818181818182,,1.0,0.5,,0.5,0.3333333333333333,0.5,1.0,,1.0,,,0.6,,,,0.06666666666666667,,,,0.5,1.0,1.0,0.5,0.6666666666666666,,1.0,1.0,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
201477-201516-202638-203832-203857,1611661329,"Tamera Young, Allie Quigley, Jessica Breland, Markeisha Gatling, Jamierra Faulkner","Young, Quigley, Breland, Gatling, Faulkner",201477-201516-202638-203832-203857,CHI,684.0,4,11.0,3.0,22.0,22.0,4.0,3.0,4.0,44.0,5.0,7.0,3.0,5.0,6.0,,2.0,,1.0,,1.0,10.0,18.0,,3.0,,20.0,17.0,,1.0,2.0,2.0,2.0,,2.0,,4.0,18.0,2.0,,2.0,,9.0,,9.0,,3.0,18.0,2.0,1.0,9.0,10.0,4.0,14.0,1.0,5.0,,1.0,5.0,3.0,1.0,1.0,1.0,,1.0,1.0,18.0,4.0,4.0,1.0,0.9,1.0,,,,,,0.5555555555555556,1.0,0.47619047619047616,0.3333333333333333,0.5,0.45454545454545453,0.3333333333333333,0.4,0.14285714285714285,0.8181818181818182,0.25,0.5,0.7692307692307693,0.2727272727272727,,1.0,0.5,0.5,92.63157894736842,1.0,15.545454545454545,15.545454545454545,14.454545454545455,14.136363636363637,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.23809523809523808,0.6,0.6,1.0,0.2857142857142857,0.09523809523809523,,,,0.3333333333333333,,,0.25,,0.47619047619047616,,0.5100619047619047,0.54195,0.5457375,0.047619047619047616,0.05555555555555555,0.1,0.2,9.105555555555556,22.46666666666667,0.18181818181818182,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,,,2.0,,,,4.0,2.0,1.0,,,4.0,4.0,,4.0,1.0,3.0,,1.0,1.0,1.0,,,,1.0,,1.0,,0.5,,,,0.8,,0.3333333333333333,1.0,,0.5,,1.0,,,0.8,0.3333333333333333,0.3333333333333333,1.0,0.047619047619047616,,,,0.3333333333333333,1.0,,0.25,1.0,,,,,,,,,,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,True
