EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,OpponentPoints,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3A,OffThreePtRebounds,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,BlockedShortMidRange,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Charge Fouls,Loose Ball Fouls Drawn,LongMidRangePctBlocked,OffCorner3ReboundPct,HeaveAttempts,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,BlockedLongMidRange,SecondChanceCorner3FGA,Arc3PctBlocked,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,HeaveMakes,Technical Free Throw Trips,SecondChanceTurnovers,team_id,year,season,team_vs
100915-100944-101019-101020-200671,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Tan White, Seimone Augustus","Whalen, Brunson, McCarville, White, Augustus",100915-100944-101019-101020-200671,MIN,62.0,1,1.0,-4.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,92.9032258064516,17.5,13.5,17.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,True
100915-100944-101019-101020-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Tan White, Maya Moore","Whalen, Brunson, McCarville, White, Moore",100915-100944-101019-101020-202632,MIN,159.0,1,3.0,2.0,6.0,5.0,11.0,5.0,,,,,99.62264150943396,13.833333333333334,15.2,13.666666666666666,14.2,1.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,7.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,0.3333333333333333,0.5,0.75,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.75,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5679333333333333,0.6825,0.14285714285714285,0.2,0.2857142857142857,1.325,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,True
100915-100944-101019-200671-202257,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Seimone Augustus, Monica Wright","Whalen, Brunson, McCarville, Augustus, Wright",100915-100944-101019-200671-202257,MIN,153.0,2,3.0,,6.0,5.0,11.0,4.0,,1.0,1.0,,103.52941176470588,16.833333333333332,10.4,15.666666666666666,10.4,2.0,,1.0,,1.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,,2.0,,2.0,,,,,,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,0.3333333333333333,0.5,0.2,0.5,0.3333333333333333,0.5,0.4,1.0,,1.0,0.25,,,1.0,0.2,,,,0.4,0.5,,0.6,0.43339,0.4295,0.16666666666666666,0.25,0.5,11.833333333333334,23.45,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.2,0.2,1.0,1.0,0.25,0.5,0.4343625,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,True
100915-100944-101019-200671-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Seimone Augustus, Maya Moore","Whalen, Brunson, McCarville, Augustus, Moore",100915-100944-101019-200671-202632,MIN,4840.0,5,81.0,-8.0,150.0,149.0,299.0,188.0,13.0,28.0,39.0,5.0,88.9586776859504,16.04,16.335570469798657,15.246666666666666,14.93288590604027,16.0,38.0,51.0,8.0,10.0,23.0,61.0,104.0,28.0,22.0,180.0,10.0,15.0,27.0,60.0,62.0,10.0,23.0,30.0,39.0,18.0,87.0,14.0,34.0,44.0,19.0,63.0,36.0,29.0,17.0,7.0,3.0,7.0,2.0,153.0,0.4918032786885246,0.5357142857142857,0.5865384615384616,0.6666666666666666,0.5984848484848485,0.6388888888888888,0.6293706293706294,0.675,0.21212121212121213,0.5666666666666667,0.32558139534883723,0.5942028985507246,0.3103448275862069,0.3076923076923077,0.3333333333333333,0.2857142857142857,0.38636363636363635,0.7450980392156863,0.7916666666666666,0.47368421052631576,0.17424242424242425,0.5555555555555556,0.8,0.5984848484848485,0.49094198473282447,0.53795,0.11971830985915492,0.14912280701754385,0.15,7.167307692307692,24.025000000000002,22.0,12.0,28.0,9.0,25.0,4.0,16.0,4.0,4.0,7.0,15.0,4.0,4.0,16.0,4.0,22.0,0.5357142857142857,0.7777777777777778,0.26666666666666666,0.3333333333333333,0.45,0.6764705882352942,1.0,0.21212121212121213,0.1893939393939394,0.36,0.36,0.6,0.2,0.5052052631578947,0.14666666666666667,12.0,9.0,14.0,2.0,5.0,10.0,1.0,3.0,1.0,12.0,1.0,3.0,4.0,10.0,1.0,2.0,25.0,27.0,9.0,10.0,5.0,9.0,7.0,2.0,8.0,4.0,1.0,3.0,2.0,10.0,7.0,3.0,5.0,11.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,7.0,1.0,25.0,2.0,1.0,0.75,0.42857142857142855,0.3333333333333333,0.25,0.42857142857142855,0.625,0.575,0.5952380952380952,0.04807692307692308,0.058823529411764705,0.07142857142857142,0.6,0.3333333333333333,0.35714285714285715,0.3125,0.75,0.03773584905660377,0.5,0.5384615384615384,0.5714285714285714,0.4444444444444444,0.03787878787878788,0.4,0.4,1.0,0.43478260869565216,0.43478260869565216,0.7,0.125,0.16666666666666666,0.3333333333333333,1.0,0.75,0.25,0.43478260869565216,0.1388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,True
100915-100944-101019-202257-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Monica Wright, Maya Moore","Whalen, Brunson, McCarville, Wright, Moore",100915-100944-101019-202257-202632,MIN,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,True
100915-100944-101020-200671-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Tan White, Seimone Augustus, Maya Moore","Whalen, Brunson, White, Augustus, Moore",100915-100944-101020-200671-202632,MIN,112.0,1,2.0,6.0,4.0,3.0,7.0,2.0,,,,,90.0,12.75,20.333333333333332,12.75,18.666666666666668,,1.0,1.0,,,,1.0,2.0,1.0,3.0,8.0,,,,,2.0,,,,1.0,,3.0,,1.0,2.0,,2.0,2.0,3.0,1.0,,,,,8.0,,,0.5,,0.8333333333333334,,1.0,,0.3333333333333333,0.5,,0.5,,,1.0,,0.3333333333333333,1.0,1.0,,,,,0.6666666666666666,0.4729833333333333,,0.3333333333333333,0.5,,9.45,22.4,4.0,1.0,,,1.0,,2.0,1.0,,1.0,,,,,,4.0,,0.5,,,,,0.5,,0.3333333333333333,,,0.3333333333333333,,0.4729833333333333,1.0,3.0,1.0,,1.0,1.0,,,,,1.0,,,,1.0,1.0,3.0,8.0,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,8.0,,1.0,1.0,1.0,,1.0,1.0,0.5,0.8333333333333334,1.0,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,True
100915-100944-101020-202257-203016,1611661324,"Lindsay Whalen, Rebekkah Brunson, Tan White, Monica Wright, Devereaux Peters","Whalen, Brunson, White, Wright, Peters",100915-100944-101020-202257-203016,MIN,79.0,1,1.0,-2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,,72.9113924050633,22.0,17.5,22.0,17.5,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,0.4458,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1611661324,2014,2014,True
100915-100944-101020-202257-203024,1611661324,"Lindsay Whalen, Rebekkah Brunson, Tan White, Monica Wright, Damiris Dantas","Whalen, Brunson, White, Wright, Dantas",100915-100944-101020-202257-203024,MIN,186.0,1,3.0,-4.0,9.0,9.0,18.0,8.0,1.0,2.0,2.0,,139.3548387096774,10.555555555555555,10.11111111111111,10.555555555555555,9.222222222222221,1.0,,1.0,,,1.0,,2.0,2.0,4.0,4.0,,,1.0,,,,1.0,,,,,,3.0,4.0,1.0,5.0,3.0,6.0,,2.0,,2.0,1.0,3.0,,,,,,,0.2857142857142857,0.5,0.5,0.75,,0.75,0.25,,,0.5,0.25,,,,0.25,,,0.75,0.507475,,,,0.25,9.5,23.65,9.0,1.0,,,1.0,1.0,2.0,2.0,1.0,,1.0,,2.0,1.0,2.0,9.0,0.5,,0.5,,0.5,1.0,,,0.25,,,0.25,0.25,0.507475,1.0,5.0,,,,1.0,,,,,,,,1.0,,,4.0,4.0,,,,1.0,,,,,,,1.0,,2.0,2.0,,1.0,1.0,,,1.0,,,,,,3.0,4.0,,3.0,,,,,,,,0.2857142857142857,0.5,,,1.0,,,,,,,,,,0.25,,,,,,,,,,,,,,1.0,,1.0,0.25,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1611661324,2014,2014,True
100915-100944-101020-202632-203016,1611661324,"Lindsay Whalen, Rebekkah Brunson, Tan White, Maya Moore, Devereaux Peters","Whalen, Brunson, White, Moore, Peters",100915-100944-101020-202632-203016,MIN,18.0,1,,-3.0,1.0,1.0,2.0,3.0,,,,,160.0,3.0,15.0,3.0,15.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,52.0,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1611661324,2014,2014,True
100915-100944-200671-202257-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Monica Wright, Maya Moore","Whalen, Brunson, Augustus, Wright, Moore",100915-100944-200671-202257-202632,MIN,539.0,3,9.0,,17.0,19.0,36.0,22.0,2.0,4.0,3.0,,96.17810760667905,16.941176470588236,13.210526315789474,16.58823529411765,12.68421052631579,2.0,4.0,6.0,1.0,1.0,3.0,5.0,10.0,4.0,9.0,22.0,1.0,1.0,4.0,8.0,2.0,2.0,3.0,4.0,5.0,3.0,11.0,3.0,2.0,8.0,5.0,13.0,8.0,9.0,4.0,,,1.0,1.0,18.0,0.8,1.0,0.5,1.0,0.4642857142857143,0.5,0.6111111111111112,0.6666666666666666,0.2857142857142857,0.4,0.6,0.7,0.625,1.0,0.5,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.75,0.21428571428571427,0.5,1.0,0.7142857142857143,0.4813,0.48465,0.23529411764705882,0.3076923076923077,0.18181818181818182,6.56,23.55,6.0,1.0,2.0,,2.0,,2.0,,2.0,5.0,2.0,1.0,2.0,2.0,,6.0,0.5,1.0,0.6666666666666666,0.5,,0.3333333333333333,,0.14285714285714285,0.14285714285714285,,,0.5,,0.43105,0.35294117647058826,11.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,,4.0,6.0,3.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,2.0,1.0,1.0,6.0,,2.0,1.0,0.25,,,0.25,0.5,0.5,0.75,,,,1.0,,,0.5,1.0,0.14285714285714285,0.5,0.5,1.0,,0.07142857142857142,,,,0.3333333333333333,0.3333333333333333,1.0,,0.5,,,1.0,,0.3333333333333333,0.2727272727272727,,,,,,,,1.0,,1.0,2.0,1.0,1.0,0.25,1.0,,,,,,,,,,,1611661324,2014,2014,True
