EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Loose Ball Fouls,2pt And 1 Free Throw Trips,3SecondViolations,AtRimPctBlocked,OffAtRimReboundPct,OffCorner3ReboundPct,BlockedLongMidRange,SecondChanceAtRimPctAssisted,Travels,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Charge Fouls Drawn,FTOffRebounds,OffFTReboundPct,BlockedCorner3,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
100720-101030-201049-201067-201518,1611661328,"Sue Bird, Tanisha Wright, Noelle Quinn, Camille Little, Crystal Langhorne","Bird, Wright, Quinn, Little, Langhorne",100720-101030-201049-201067-201518,SEA,3749.0,10,62.0,14.0,111.0,111.0,23.0,16.0,15.0,222.0,15.0,20.0,2.0,2.0,4.0,4.0,11.0,34.0,7.0,25.0,1.0,5.0,6.0,20.0,1.0,2.0,4.0,8.0,33.0,79.0,7.0,25.0,18.0,105.0,91.0,4.0,8.0,1.0,2.0,6.0,17.0,6.0,19.0,4.0,8.0,2.0,26.0,28.0,38.0,18.0,3.0,6.0,1.0,19.0,6.0,1.0,14.0,6.0,20.0,5.0,1.0,5.0,6.0,3.0,46.0,4.0,13.0,10.0,34.0,1.0,45.0,17.0,62.0,2.0,10.0,5.0,5.0,7.0,5.0,1.0,9.0,1.0,6.0,16.0,3.0,2.0,5.0,1.0,21.0,2.0,1.0,24.0,1.0,5.0,19.0,1.0,7.0,2.0,10.0,1.0,1.0,8.0,2.0,11.0,5.0,1.0,88.0,26.0,23.0,3.0,2.0,0.42424242424242425,0.4666666666666667,0.8571428571428571,0.28,0.5,0.5,0.2916666666666667,0.4177215189873418,0.5,0.3157894736842105,0.4182692307692308,0.55,0.4444444444444444,0.46017699115044247,0.6153846153846154,0.4642857142857143,0.2403846153846154,0.012658227848101266,0.029411764705882353,0.4375,1.0,0.7555555555555555,0.28888888888888886,0.7692307692307693,0.23529411764705882,0.7586206896551724,0.27419354838709675,0.2727272727272727,0.3888888888888889,0.3076923076923077,0.7333333333333333,0.7777777777777778,0.75,0.75,1.0,0.03278688524590164,85.27073886369699,0.45454545454545453,16.225225225225227,17.54954954954955,15.342342342342342,16.405405405405407,0.19230769230769232,0.75,0.75,0.3333333333333333,0.3269230769230769,0.3235294117647059,0.3333333333333333,0.5454545454545454,0.2403846153846154,0.28,0.28,0.42857142857142855,0.04807692307692308,0.2,0.2,1.0,0.19230769230769232,0.3,0.3,0.8333333333333334,0.2,1.0,0.2,0.5,1.0,0.14814814814814814,1.0,0.2962962962962963,0.5,0.4326923076923077,0.3157894736842105,0.4446417475728155,0.45151111111111114,0.4234703703703704,0.06306306306306306,0.08139534883720931,0.1619047619047619,0.24761904761904763,9.469620253164557,24.568,0.2072072072072072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
100720-101024-101030-201067-201518,1611661328,"Sue Bird, Temeka Johnson, Tanisha Wright, Camille Little, Crystal Langhorne","Bird, Johnson, Wright, Little, Langhorne",100720-101024-101030-201067-201518,SEA,306.0,4,5.0,1.0,7.0,12.0,5.0,8.0,1.0,19.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,,,1.0,1.0,,,1.0,1.0,5.0,7.0,1.0,1.0,,13.0,12.0,1.0,1.0,,,,2.0,3.0,4.0,1.0,1.0,,9.0,8.0,2.0,3.0,,2.0,,1.0,1.0,,4.0,1.0,5.0,1.0,,2.0,2.0,,11.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,,,,,,,,,,2.0,,5.0,,,2.0,,2.0,,,,,,,,,,,,1.0,11.0,9.0,5.0,1.0,,0.8,1.0,1.0,1.0,,1.0,1.0,0.7142857142857143,1.0,0.75,0.8125,1.0,0.9,0.8125,1.0,0.9,0.125,,,,1.0,,0.5,,,,0.5,1.0,,,,,,,,0.5,89.41176470588236,,16.0,16.166666666666668,16.0,15.833333333333334,0.375,1.0,1.0,0.6666666666666666,0.375,0.6666666666666666,0.6666666666666666,1.0,0.125,,,,,,,,0.125,1.0,1.0,1.0,1.0,1.0,,,,0.2,1.0,0.2,1.0,0.5,1.0,0.49395625,0.7112,0.42916999999999994,,,0.15384615384615385,0.6923076923076923,7.357142857142857,23.1,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
100720-201049-201067-201518-202252,1611661328,"Sue Bird, Noelle Quinn, Camille Little, Crystal Langhorne, Alysha Clark","Bird, Quinn, Little, Langhorne, Clark",100720-201049-201067-201518-202252,SEA,2606.0,9,43.0,,78.0,75.0,6.0,3.0,12.0,153.0,10.0,15.0,3.0,4.0,,,11.0,26.0,7.0,20.0,2.0,5.0,1.0,9.0,,1.0,,1.0,28.0,61.0,3.0,14.0,12.0,77.0,77.0,6.0,9.0,,1.0,,12.0,1.0,5.0,,1.0,2.0,4.0,28.0,28.0,6.0,3.0,,,9.0,1.0,5.0,14.0,2.0,16.0,,2.0,6.0,5.0,3.0,34.0,3.0,9.0,10.0,19.0,1.0,30.0,12.0,42.0,2.0,7.0,6.0,1.0,4.0,,3.0,5.0,1.0,1.0,9.0,1.0,,7.0,,14.0,2.0,,17.0,,2.0,16.0,1.0,8.0,1.0,5.0,,,1.0,4.0,5.0,3.0,,65.0,4.0,6.0,,2.0,0.5,0.5,0.6666666666666666,0.21428571428571427,,,0.21428571428571427,0.45901639344262296,0.6666666666666666,0.2,0.43333333333333335,0.6,0.16666666666666666,0.4691358024691358,0.5454545454545454,0.2857142857142857,0.18666666666666668,0.08196721311475409,0.15384615384615385,0.4444444444444444,0.5,0.8260869565217391,0.28125,0.7142857142857143,0.2727272727272727,0.7837837837837838,0.27906976744186046,0.21428571428571427,0.3076923076923077,0.25,0.75,0.7857142857142857,1.0,0.6923076923076923,1.0,0.05263157894736842,84.54336147352265,0.6,16.03846153846154,18.066666666666666,14.692307692307692,17.04,0.2,0.6666666666666666,0.7142857142857143,0.6,0.3466666666666667,0.4230769230769231,0.5,0.45454545454545453,0.26666666666666666,0.35,0.35,0.42857142857142855,0.06666666666666667,0.4,0.4,1.0,0.12,0.1111111111111111,0.1111111111111111,,0.4,0.75,0.1,,,,,0.16666666666666666,,0.38666666666666666,0.1111111111111111,0.43648933333333334,0.47053125,0.34189166666666665,0.1,0.12121212121212122,0.15584415584415584,0.05194805194805195,9.71967213114754,23.62857142857143,0.07692307692307693,1.0,3.0,1.0,0.06666666666666667,0.4,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
100720-100919-201049-201067-202626,1611661328,"Sue Bird, Nicole Powell, Noelle Quinn, Camille Little, Jenna O'Hea","Bird, Powell, Quinn, Little, O'Hea",100720-100919-201049-201067-202626,SEA,339.0,4,6.0,7.0,11.0,9.0,,2.0,2.0,20.0,2.0,2.0,1.0,1.0,,,1.0,2.0,1.0,3.0,,,1.0,3.0,,,,,4.0,7.0,1.0,3.0,7.0,18.0,11.0,1.0,1.0,,,2.0,4.0,,,,,,,2.0,6.0,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,1.0,1.0,2.0,1.0,,3.0,2.0,5.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,6.0,,,8.0,,4.0,,,,,,,,,,14.0,,,,,0.25,0.3333333333333333,,0.3333333333333333,,,0.5,0.5714285714285714,1.0,,0.55,1.0,,0.6428571428571429,1.0,,0.3,0.14285714285714285,0.5,,,0.5,0.3333333333333333,1.0,1.0,0.75,0.5,,0.5,1.0,,,1.0,1.0,,,84.95575221238937,,14.727272727272727,19.666666666666668,14.636363636363637,18.555555555555557,0.2,1.0,1.0,,0.2,0.5,1.0,,0.3,0.3333333333333333,0.3333333333333333,1.0,,,,,0.3,0.3333333333333333,0.3333333333333333,,1.0,1.0,,,,,,,,0.5,0.5,0.44508888888888887,0.676,,0.2857142857142857,0.36363636363636365,0.2222222222222222,,10.385714285714286,35.699999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
100720-101024-201049-201518-202626,1611661328,"Sue Bird, Temeka Johnson, Noelle Quinn, Crystal Langhorne, Jenna O'Hea","Bird, Johnson, Quinn, Langhorne, O'Hea",100720-101024-201049-201518-202626,SEA,80.0,2,1.0,2.0,2.0,2.0,,1.0,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,2.0,,,,2.0,2.0,,,2.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,72.0,,17.5,22.5,17.5,22.5,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.2991,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
100720-101024-201049-201518-202252,1611661328,"Sue Bird, Temeka Johnson, Noelle Quinn, Crystal Langhorne, Alysha Clark","Bird, Johnson, Quinn, Langhorne, Clark",100720-101024-201049-201518-202252,SEA,85.0,1,1.0,-1.0,2.0,2.0,2.0,,,4.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,2.0,3.0,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,1.0,1.0,,,,,1.0,,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,67.76470588235294,,16.5,26.0,16.5,26.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.3036,,0.3036,,,,1.0,15.1,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
100720-101030-201049-201518-202270,1611661328,"Sue Bird, Tanisha Wright, Noelle Quinn, Crystal Langhorne, Angel Robinson","Bird, Wright, Quinn, Langhorne, Robinson",100720-101030-201049-201518-202270,SEA,111.0,1,2.0,-3.0,3.0,4.0,3.0,4.0,,7.0,,,,,,,,,2.0,2.0,,,,,,,,,2.0,2.0,,,,4.0,7.0,,,,,,,2.0,2.0,,,,4.0,4.0,,,,,,,,,2.0,,2.0,,,,,2.0,4.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,90.8108108108108,,19.333333333333332,13.25,19.333333333333332,13.25,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.3922,,0.3922,,,,1.0,17.4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
100720-101030-201067-202252-203015,1611661328,"Sue Bird, Tanisha Wright, Camille Little, Alysha Clark, Shekinna Stricklen","Bird, Wright, Little, Clark, Stricklen",100720-101030-201067-202252-203015,SEA,106.0,2,2.0,2.0,4.0,4.0,,1.0,1.0,8.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,4.0,2.0,1.0,1.0,,,,2.0,,,,,,,4.0,,,,,,,,,2.0,,2.0,,,2.0,,,4.0,,,,2.0,,2.0,,2.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,2.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,0.5,,0.6666666666666666,,,,0.6666666666666666,,,,,,0.6666666666666666,,,,,108.67924528301887,1.0,13.0,13.5,12.25,13.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,0.52895,0.5968,,,,0.5,,2.85,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
100720-101030-201067-202270-202626,1611661328,"Sue Bird, Tanisha Wright, Camille Little, Angel Robinson, Jenna O'Hea","Bird, Wright, Little, Robinson, O'Hea",100720-101030-201067-202270-202626,SEA,171.0,2,3.0,,4.0,5.0,,,1.0,9.0,1.0,1.0,,,,,,5.0,,,,1.0,,,,,,,1.0,6.0,,1.0,1.0,3.0,3.0,,3.0,,,1.0,1.0,,1.0,,,,,2.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,2.0,1.0,4.0,,3.0,,3.0,5.0,8.0,2.0,1.0,,1.0,1.0,,,1.0,,1.0,2.0,,,,,1.0,,1.0,3.0,,,4.0,,1.0,1.0,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,0.16666666666666666,,,0.14285714285714285,,,0.16666666666666666,0.1,,0.14285714285714285,0.16666666666666666,0.2,0.5,,1.0,0.8,,1.0,0.75,0.8333333333333334,0.8,,,,1.0,1.0,,,0.4,75.78947368421052,,22.5,16.2,10.0,15.2,0.14285714285714285,1.0,1.0,1.0,0.7142857142857143,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,0.2857142857142857,,0.45394285714285715,0.4204,0.313,0.125,0.14285714285714285,0.3333333333333333,,6.116666666666667,22.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
100720-101030-201067-202270-203015,1611661328,"Sue Bird, Tanisha Wright, Camille Little, Angel Robinson, Shekinna Stricklen","Bird, Wright, Little, Robinson, Stricklen",100720-101030-201067-202270-203015,SEA,614.0,5,10.0,,20.0,19.0,8.0,1.0,4.0,39.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,7.0,,2.0,,2.0,,3.0,,1.0,,1.0,5.0,12.0,,5.0,6.0,16.0,16.0,1.0,4.0,,1.0,,2.0,1.0,3.0,,1.0,3.0,5.0,2.0,8.0,,,,,3.0,,1.0,1.0,,1.0,,,1.0,,,2.0,2.0,5.0,,6.0,3.0,9.0,7.0,16.0,1.0,1.0,1.0,,3.0,,,2.0,,3.0,5.0,1.0,3.0,4.0,,5.0,,1.0,6.0,,,10.0,,3.0,2.0,,,,,,,,,14.0,4.0,7.0,,1.0,0.2,0.2,,,,,,0.4166666666666667,0.25,0.3333333333333333,0.29411764705882354,0.2,0.25,0.36363636363636365,0.16666666666666666,0.35714285714285715,0.29411764705882354,0.08333333333333333,0.14285714285714285,0.6,1.0,1.0,0.7142857142857143,,0.4,1.0,0.5833333333333334,0.8,0.5,0.3333333333333333,1.0,1.0,1.0,,,0.09090909090909091,91.46579804560261,,16.15,15.31578947368421,14.35,15.157894736842104,0.17647058823529413,1.0,1.0,0.3333333333333333,0.4117647058823529,0.2857142857142857,0.3333333333333333,,0.11764705882352941,,,,0.11764705882352941,,,,0.17647058823529413,,,,0.2,1.0,0.2,,,0.25,1.0,0.25,,0.47058823529411764,,0.4718176470588235,0.5398166666666667,0.4467625,0.15,0.2,0.125,0.3125,7.25,23.7,0.4,,,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,1611661328,2014,2014,True
