EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Charge Fouls Drawn,SecondChanceCorner3FGA,FTDefRebounds,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,BlockedShortMidRange,DefFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceFtPoints,StepOutOfBoundsTurnovers,Clear Path Fouls,Corner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,PtsPutbacks,SecondChanceTurnovers,Offensive Fouls,Corner3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Frequency,FTOffRebounds,3SecondViolations,OffFTReboundPct,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls,Corner3Assists,Corner3PctAssisted,SecondChanceCorner3FGM,PenaltyCorner3FGM,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100940-200676-201869-201886-203398,1611661317,"Diana Taurasi, Candice Dupree, Anete Jekabsone-Zogota, DeWanna Bonner, Brittney Griner","Taurasi, Dupree, Jekabsone-Zogota, Bonner, Griner",100940-200676-201869-201886-203398,PHO,3390.0,18,56.0,-31.0,100.0,106.0,14.0,29.0,10.0,206.0,10.0,30.0,1.0,4.0,1.0,3.0,13.0,25.0,10.0,22.0,2.0,4.0,22.0,1.0,1.0,4.0,33.0,77.0,4.0,24.0,11.0,89.0,120.0,4.0,10.0,1.0,8.0,6.0,10.0,1.0,4.0,5.0,20.0,34.0,32.0,12.0,1.0,21.0,4.0,14.0,1.0,17.0,4.0,21.0,4.0,5.0,4.0,8.0,46.0,4.0,10.0,11.0,22.0,33.0,14.0,47.0,2.0,7.0,6.0,1.0,4.0,2.0,3.0,5.0,1.0,1.0,9.0,9.0,1.0,19.0,1.0,23.0,1.0,1.0,2.0,16.0,1.0,1.0,7.0,1.0,3.0,3.0,3.0,3.0,81.0,20.0,14.0,3.0,1.0,0.5151515151515151,0.5151515151515151,1.0,0.16666666666666666,0.25,0.17391304347826086,0.42857142857142855,0.4,0.6,0.38613861386138615,0.36363636363636365,0.5357142857142857,0.4074074074074074,0.3333333333333333,0.625,0.2376237623762376,0.041666666666666664,0.18181818181818182,0.3333333333333333,0.08,0.09090909090909091,0.045454545454545456,0.4444444444444444,0.7096774193548387,0.23255813953488372,0.8461538461538461,0.2222222222222222,0.75,0.22950819672131148,0.4,0.08333333333333333,0.09090909090909091,0.25,0.6666666666666666,0.7333333333333333,0.7,0.8,1.0,0.043478260869565216,87.50442477876106,1.0,17.7,15.283018867924529,17.01,14.70754716981132,0.297029702970297,0.3333333333333333,0.5,0.5,0.24752475247524752,0.52,0.5652173913043478,0.3076923076923077,0.21782178217821782,0.45454545454545453,0.5,0.8,0.019801980198019802,0.21782178217821782,0.18181818181818182,0.19047619047619047,1.0,0.36363636363636365,0.25,0.09090909090909091,0.21428571428571427,0.3333333333333333,0.2857142857142857,0.25,0.5346534653465347,0.19047619047619047,0.4475235,0.4519625,0.44231785714285715,0.06542056074766354,0.08433734939759036,0.0898876404494382,0.2247191011235955,8.47012987012987,25.175,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
100634-100940-101039-202318-203398,1611661317,"Penny Taylor, Diana Taurasi, Erin Phillips, Ewelina Kobryn, Brittney Griner","Taylor, Taurasi, Phillips, Kobryn, Griner",100634-100940-101039-202318-203398,PHO,80.0,1,1.0,2.0,2.0,3.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,2.0,,,,2.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,1.0,,90.0,,20.5,13.0,20.5,11.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.3702,,,0.5,0.5,,,19.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
100634-100940-200676-200691-201869,1611661317,"Penny Taylor, Diana Taurasi, Candice Dupree, Mistie Bass, Anete Jekabsone-Zogota","Taylor, Taurasi, Dupree, Bass, Jekabsone-Zogota",100634-100940-200676-200691-201869,PHO,759.0,8,13.0,7.0,26.0,25.0,12.0,11.0,1.0,51.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,5.0,,,2.0,7.0,11.0,2.0,6.0,8.0,28.0,21.0,1.0,1.0,1.0,2.0,3.0,6.0,,2.0,4.0,10.0,14.0,,6.0,,5.0,2.0,,,7.0,2.0,9.0,2.0,3.0,2.0,2.0,20.0,1.0,1.0,2.0,7.0,11.0,2.0,13.0,,3.0,2.0,1.0,4.0,,4.0,3.0,,1.0,7.0,2.0,1.0,6.0,,6.0,,2.0,,8.0,,,3.0,1.0,2.0,,2.0,1.0,26.0,10.0,12.0,1.0,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.6363636363636364,1.0,0.5,0.5882352941176471,0.5,0.375,0.6666666666666666,0.5,0.5,0.35294117647058826,,,,,,,0.5714285714285714,0.7777777777777778,0.25,0.6666666666666666,0.25,0.75,0.25,,,0.5,,1.0,0.75,0.75,0.5,1.0,,96.7588932806324,0.5,15.076923076923077,14.68,14.384615384615385,13.04,0.17647058823529413,1.0,1.0,1.0,0.23529411764705882,0.5,0.5,1.0,0.23529411764705882,0.5,0.5,1.0,0.058823529411764705,0.29411764705882354,0.4,0.4,1.0,0.5,1.0,,0.125,1.0,0.25,,0.5294117647058824,0.4,0.45083235294117646,0.4923,0.4386875,0.15,0.21428571428571427,0.07142857142857142,0.35714285714285715,10.700000000000001,24.650000000000002,0.46153846153846156,,1.0,2.0,2.0,2.0,2.0,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
100634-100940-101039-200691-203398,1611661317,"Penny Taylor, Diana Taurasi, Erin Phillips, Mistie Bass, Brittney Griner","Taylor, Taurasi, Phillips, Bass, Griner",100634-100940-101039-200691-203398,PHO,742.0,6,12.0,,21.0,23.0,,13.0,6.0,44.0,5.0,11.0,2.0,4.0,,,,4.0,,1.0,,,4.0,,,,5.0,16.0,,4.0,9.0,19.0,19.0,2.0,5.0,,8.0,,,,,,,6.0,4.0,,,4.0,,3.0,,3.0,,3.0,,3.0,,,6.0,2.0,6.0,3.0,5.0,8.0,8.0,16.0,1.0,2.0,2.0,,2.0,,1.0,2.0,1.0,,4.0,2.0,,5.0,,10.0,1.0,1.0,,10.0,,,5.0,,1.0,,1.0,1.0,11.0,,,,,0.6,0.6,,,,,0.3125,0.4,,0.25,0.4,,0.38,0.5714285714285714,,0.2,,0.1875,0.2727272727272727,,,,0.5,1.0,0.5454545454545454,1.0,0.5,1.0,0.5333333333333333,0.5,0.75,,0.5,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,85.39083557951483,1.0,19.61904761904762,14.347826086956522,18.571428571428573,14.347826086956522,0.55,0.45454545454545453,0.625,0.6,0.2,,,,0.05,,,,,0.2,,,,0.8,0.5,,,,,,0.75,,0.48776,0.51605,,0.2,0.23809523809523808,0.42105263157894735,,4.88125,24.625,,,,,,,1.0,,,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
100634-100940-201062-201886-203398,1611661317,"Penny Taylor, Diana Taurasi, Shay Murphy, DeWanna Bonner, Brittney Griner","Taylor, Taurasi, Murphy, Bonner, Griner",100634-100940-201062-201886-203398,PHO,10.0,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,144.0,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
100634-100940-200676-201062-203398,1611661317,"Penny Taylor, Diana Taurasi, Candice Dupree, Shay Murphy, Brittney Griner","Taylor, Taurasi, Dupree, Murphy, Griner",100634-100940-200676-201062-203398,PHO,1700.0,10,28.0,-26.0,51.0,54.0,3.0,6.0,2.0,105.0,9.0,14.0,1.0,1.0,,,4.0,10.0,3.0,9.0,3.0,3.0,7.0,,,,16.0,33.0,4.0,10.0,5.0,49.0,75.0,1.0,1.0,,2.0,1.0,1.0,,1.0,,2.0,8.0,24.0,9.0,,7.0,3.0,4.0,2.0,4.0,3.0,7.0,3.0,1.0,2.0,1.0,17.0,1.0,2.0,4.0,9.0,14.0,3.0,17.0,,4.0,3.0,1.0,4.0,1.0,2.0,6.0,2.0,,10.0,5.0,1.0,18.0,,8.0,,2.0,,7.0,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,47.0,2.0,3.0,3.0,,0.25,0.26666666666666666,0.75,0.4,,0.4,0.48484848484848486,1.0,1.0,0.5116279069767442,1.0,0.5,0.532608695652174,1.0,0.5,0.23255813953488372,0.2,0.12121212121212122,0.21428571428571427,0.1,,0.14285714285714285,0.4,0.6923076923076923,0.11764705882352941,0.5714285714285714,0.2,0.65,0.13636363636363635,0.4,,,0.25,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,,,88.94117647058823,1.0,17.50980392156863,14.944444444444445,17.470588235294116,13.796296296296296,0.32558139534883723,0.6428571428571429,0.8181818181818182,0.1111111111111111,0.23255813953488372,0.4,0.4444444444444444,0.5,0.20930232558139536,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06976744186046512,0.16279069767441862,0.42857142857142855,0.5,1.0,1.0,1.0,,,,,,0.5581395348837209,0.42857142857142855,0.45299418604651165,0.5375,0.365725,0.06666666666666667,0.08571428571428572,0.04081632653061224,0.04081632653061224,7.842424242424243,23.93,0.058823529411764705,,,1.0,,2.0,,1.0,,,,,,,1.0,1.0,3.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
100634-101039-200676-200691-201062,1611661317,"Penny Taylor, Erin Phillips, Candice Dupree, Mistie Bass, Shay Murphy","Taylor, Phillips, Dupree, Bass, Murphy",100634-101039-200676-200691-201062,PHO,1477.0,9,25.0,-13.0,46.0,46.0,2.0,5.0,2.0,92.0,6.0,13.0,1.0,2.0,,,8.0,10.0,3.0,8.0,,2.0,4.0,,1.0,1.0,17.0,31.0,2.0,4.0,5.0,45.0,58.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,5.0,14.0,20.0,,,4.0,2.0,2.0,,7.0,,7.0,,3.0,4.0,,14.0,,1.0,2.0,10.0,13.0,2.0,15.0,,5.0,5.0,,5.0,2.0,4.0,5.0,1.0,,10.0,6.0,2.0,14.0,,11.0,,1.0,1.0,7.0,3.0,,5.0,,3.0,2.0,3.0,1.0,43.0,5.0,2.0,1.0,,0.4117647058823529,0.4117647058823529,,0.5,1.0,0.5,0.5483870967741935,0.5,1.0,0.5714285714285714,0.5,1.25,0.6081081081081081,0.5,1.25,0.11428571428571428,,0.06451612903225806,0.15384615384615385,,,,0.5,0.5263157894736842,0.07142857142857142,0.5,,0.5217391304347826,0.0625,,,0.2,,0.5,0.4,0.6666666666666666,0.5,,,89.69532836831415,0.3333333333333333,15.630434782608695,16.47826086956522,15.326086956521738,14.695652173913043,0.37142857142857144,0.46153846153846156,0.5454545454545454,0.5,0.2857142857142857,0.8,0.8,0.5,0.22857142857142856,0.375,0.375,,,0.11428571428571428,0.5,0.5,,1.0,0.5,,,,0.5,1.0,0.4857142857142857,0.5,0.46421999999999997,0.65195,0.30145,0.13513513513513514,0.15151515151515152,0.044444444444444446,0.1111111111111111,8.080645161290322,24.25,0.043478260869565216,1.0,,1.0,,,1.0,0.5,,1.0,,,,,,,6.0,,,2.0,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
100634-100940-201869-202318-203398,1611661317,"Penny Taylor, Diana Taurasi, Anete Jekabsone-Zogota, Ewelina Kobryn, Brittney Griner","Taylor, Taurasi, Jekabsone-Zogota, Kobryn, Griner",100634-100940-201869-202318-203398,PHO,170.0,1,3.0,-2.0,5.0,4.0,,,,9.0,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,2.0,5.0,7.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,2.0,2.0,,2.0,,,,4.0,,,2.0,,,,,,5.0,,,,,,,,0.5,,0.5,,,,0.5,,,0.5,,,0.6666666666666666,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,76.23529411764706,,19.6,18.0,19.6,18.0,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,0.6666666666666666,,0.4666666666666666,,,0.4,0.6666666666666666,,,4.1,24.45,,,,,,,,,,,,,,,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
100634-101039-200676-200691-201869,1611661317,"Penny Taylor, Erin Phillips, Candice Dupree, Mistie Bass, Anete Jekabsone-Zogota","Taylor, Phillips, Dupree, Bass, Jekabsone-Zogota",100634-101039-200676-200691-201869,PHO,1150.0,7,19.0,-2.0,38.0,34.0,11.0,3.0,2.0,72.0,12.0,16.0,1.0,2.0,5.0,6.0,1.0,5.0,3.0,7.0,,1.0,2.0,,,,16.0,28.0,1.0,2.0,5.0,40.0,42.0,1.0,2.0,,3.0,5.0,8.0,,,2.0,12.0,12.0,20.0,,,2.0,1.0,2.0,,6.0,,6.0,,6.0,,,12.0,,4.0,4.0,8.0,12.0,4.0,16.0,,2.0,1.0,1.0,4.0,,4.0,5.0,,2.0,9.0,2.0,2.0,8.0,,6.0,2.0,,,6.0,,,2.0,1.0,,,,,37.0,12.0,11.0,,1.0,0.375,0.375,,0.5,,0.5,0.5714285714285714,0.5,0.625,0.5833333333333334,0.5,0.625,0.6060606060606061,0.5,0.6666666666666666,0.06666666666666667,,0.07142857142857142,0.0625,0.2,,,0.4444444444444444,0.7272727272727273,0.36363636363636365,1.0,,0.8,0.3333333333333333,0.25,0.5,0.3333333333333333,,0.5,0.75,1.0,1.0,1.0,,90.15652173913043,,15.921052631578947,16.029411764705884,15.263157894736842,15.558823529411764,0.5333333333333333,0.75,0.8,0.5,0.16666666666666666,0.2,0.25,,0.23333333333333334,0.42857142857142855,0.42857142857142855,,,0.06666666666666667,0.5,0.5,,1.0,0.5,,0.75,0.8333333333333334,,,0.6,0.5,0.47073,0.58995,0.45885,0.0625,0.06666666666666667,0.075,0.3,7.3,24.1,0.2894736842105263,,,,,2.0,,,,,,1.0,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
100634-101039-200676-201062-202318,1611661317,"Penny Taylor, Erin Phillips, Candice Dupree, Shay Murphy, Ewelina Kobryn","Taylor, Phillips, Dupree, Murphy, Kobryn",100634-101039-200676-201062-202318,PHO,80.0,1,1.0,,3.0,2.0,,,,5.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.6666666666666666,,,,,,1.0,1.0,,,,,90.0,,13.666666666666666,19.5,13.666666666666666,17.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.34515,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2014,2014,True
