EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,Travels,Charge Fouls,2pt And 1 Free Throw Trips,PenaltyFg3Pct,LongMidRangePctBlocked,DefCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,BlockedLongMidRange,Fg3aBlocked,BlockingFouls,Technical Free Throw Trips,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,HeaveAttempts,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,BlockedArc3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
201477-201480-201516-202259-202638,1611661329,"Tamera Young, Sylvia Fowles, Allie Quigley, Epiphanny Prince, Jessica Breland","Young, Fowles, Quigley, Prince, Breland",201477-201480-201516-202259-202638,CHI,3616.0,14,60.0,-11.0,112.0,110.0,31.0,19.0,17.0,222.0,15.0,32.0,4.0,8.0,1.0,9.0,3.0,13.0,12.0,33.0,1.0,3.0,1.0,1.0,4.0,15.0,2.0,2.0,5.0,30.0,78.0,5.0,18.0,21.0,96.0,107.0,7.0,15.0,3.0,3.0,23.0,3.0,16.0,5.0,10.0,16.0,38.0,22.0,9.0,6.0,4.0,15.0,4.0,7.0,19.0,3.0,22.0,2.0,1.0,10.0,1.0,8.0,47.0,6.0,14.0,1.0,5.0,32.0,2.0,39.0,21.0,60.0,2.0,14.0,9.0,5.0,12.0,3.0,6.0,11.0,2.0,6.0,23.0,1.0,6.0,15.0,31.0,1.0,1.0,5.0,26.0,1.0,2.0,1.0,27.0,7.0,1.0,5.0,9.0,1.0,6.0,1.0,3.0,10.0,7.0,3.0,73.0,15.0,30.0,1.0,4.0,0.6333333333333333,0.6785714285714286,0.6,0.2777777777777778,1.0,0.2777777777777778,0.38461538461538464,0.4666666666666667,0.1875,0.390625,0.6388888888888888,0.14285714285714285,0.44036697247706424,0.6388888888888888,0.2857142857142857,0.1875,0.08974358974358974,0.1875,0.07692307692307693,0.5217391304347826,0.6666666666666666,0.25,0.7619047619047619,0.2978723404255319,0.38461538461538464,0.46153846153846156,0.6727272727272727,0.3333333333333333,0.3125,0.3,0.2857142857142857,0.36363636363636365,1.0,0.6666666666666666,0.8571428571428571,0.75,0.45454545454545453,0.037037037037037035,88.4070796460177,0.7,17.839285714285715,14.709090909090909,16.232142857142858,13.754545454545454,0.3333333333333333,0.46875,0.5769230769230769,0.6666666666666666,0.13541666666666666,0.23076923076923078,0.25,0.3333333333333333,0.34375,0.36363636363636365,0.36363636363636365,0.6666666666666666,0.03125,0.3333333333333333,0.3333333333333333,1.0,0.15625,0.26666666666666666,0.26666666666666666,0.5,0.4444444444444444,0.5,0.25,0.05555555555555555,1.0,1.0,0.1111111111111111,1.0,0.5,0.42857142857142855,0.1111111111111111,0.23809523809523808,0.5208333333333334,0.26666666666666666,0.45799843749999997,0.45934615384615385,0.4797714285714286,0.07692307692307693,0.08235294117647059,0.05263157894736842,0.23958333333333334,0.16666666666666666,9.851282051282052,23.37777777777778,0.2767857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,False
201480-201516-202259-202638-203857,1611661329,"Sylvia Fowles, Allie Quigley, Epiphanny Prince, Jessica Breland, Jamierra Faulkner","Fowles, Quigley, Prince, Breland, Faulkner",201480-201516-202259-202638-203857,CHI,3400.0,13,57.0,-5.0,109.0,99.0,26.0,17.0,12.0,208.0,20.0,36.0,4.0,9.0,7.0,12.0,8.0,18.0,1.0,12.0,,5.0,,1.0,6.0,16.0,,1.0,6.0,29.0,66.0,6.0,21.0,25.0,101.0,106.0,5.0,12.0,,2.0,12.0,7.0,16.0,7.0,10.0,27.0,24.0,34.0,12.0,6.0,4.0,16.0,6.0,10.0,12.0,4.0,16.0,4.0,,9.0,3.0,,36.0,4.0,12.0,,7.0,23.0,6.0,36.0,16.0,52.0,3.0,12.0,10.0,2.0,13.0,4.0,10.0,11.0,1.0,3.0,24.0,1.0,4.0,18.0,31.0,,3.0,2.0,24.0,,,,30.0,12.0,,4.0,11.0,,8.0,,3.0,11.0,5.0,,89.0,24.0,24.0,2.0,2.0,0.41379310344827586,0.4444444444444444,0.6666666666666666,0.2857142857142857,,0.2857142857142857,0.4393939393939394,0.4166666666666667,0.4375,0.4367816091954023,0.35714285714285715,0.3695652173913043,0.5,0.375,0.45,0.2413793103448276,0.15151515151515152,0.16666666666666666,0.16666666666666666,0.5416666666666666,1.0,,0.5609756097560976,0.32432432432432434,0.4666666666666667,0.2857142857142857,0.5357142857142857,0.3137254901960784,0.4375,0.3,0.18181818181818182,0.2222222222222222,0.4,0.5,0.5333333333333333,0.6428571428571429,0.4166666666666667,0.07317073170731707,88.09411764705882,0.45454545454545453,15.706422018348624,17.050505050505052,15.18348623853211,14.616161616161616,0.41379310344827586,0.5555555555555556,0.6666666666666666,0.45,0.20689655172413793,0.4444444444444444,0.5333333333333333,0.375,0.13793103448275862,0.08333333333333333,0.09090909090909091,,0.05747126436781609,,,,0.1839080459770115,0.375,0.375,0.6666666666666666,0.6428571428571429,0.4444444444444444,0.25,0.07142857142857142,,,0.07142857142857142,,,0.5217391304347826,0.5833333333333334,0.2608695652173913,0.6551724137931034,0.375,0.4847977011494253,0.54877,0.4923913043478261,0.12371134020618557,0.15789473684210525,,0.1188118811881188,0.26732673267326734,6.492424242424242,24.285714285714285,0.23853211009174313,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.14285714285714285,0.08333333333333333,0.6666666666666666,0.043478260869565216,0.16666666666666666,,,,,,,,,,,,,,,,1611661329,2014,2014,False
201477-201480-201516-202259-202664,1611661329,"Tamera Young, Sylvia Fowles, Allie Quigley, Epiphanny Prince, Courtney Vandersloot","Young, Fowles, Quigley, Prince, Vandersloot",201477-201480-201516-202259-202664,CHI,7.0,1,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,False
201477-203067-203451-203832-203857,1611661329,"Tamera Young, Sasha Goodlett, Courtney Clements, Markeisha Gatling, Jamierra Faulkner","Young, Goodlett, Clements, Gatling, Faulkner",201477-203067-203451-203832-203857,CHI,168.0,1,3.0,4.0,6.0,5.0,4.0,,1.0,11.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,2.0,4.0,1.0,1.0,5.0,12.0,8.0,,,,,2.0,2.0,3.0,1.0,3.0,10.0,,4.0,,3.0,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,3.0,,,,5.0,3.0,,,,,,,,,,,10.0,10.0,4.0,,,,,,1.0,,1.0,0.5,,0.6666666666666666,0.7,,0.875,0.8571428571428571,1.0,1.0,0.2,,,,,,,,0.5,0.3333333333333333,,0.2,0.5,,,0.5,,,,,,0.5,,94.28571428571429,,10.833333333333334,20.6,10.833333333333334,19.0,0.2,1.0,1.0,,0.2,1.0,1.0,,0.4,,,,,,,,0.2,1.0,1.0,,,,,,,,,,,0.25,1.0,0.25,0.4,1.0,0.39897,,0.4382125,0.42857142857142855,0.5,,0.16666666666666666,0.8333333333333334,11.925,25.0,0.6666666666666666,,1.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1611661329,2014,2014,False
201477-201480-201516-203067-203451,1611661329,"Tamera Young, Sylvia Fowles, Allie Quigley, Sasha Goodlett, Courtney Clements","Young, Fowles, Quigley, Goodlett, Clements",201477-201480-201516-203067-203451,CHI,100.0,1,2.0,,4.0,5.0,4.0,5.0,,9.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,1.0,1.0,,,2.0,2.0,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,1.0,1.0,,2.0,,2.0,,,,,2.0,,2.0,1.0,,,3.0,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,0.6666666666666666,,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,129.6,,15.5,7.6,15.5,7.6,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3254,,0.3254,,,,,1.0,8.8,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,False
201477-201480-201516-203399-203451,1611661329,"Tamera Young, Sylvia Fowles, Allie Quigley, Elena Delle Donne, Courtney Clements","Young, Fowles, Quigley, Delle Donne, Clements",201477-201480-201516-203399-203451,CHI,61.0,2,1.0,2.0,1.0,2.0,,1.0,,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,3.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,1.0,,1.0,,,,1.5,,,1.5,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,70.81967213114754,,17.0,22.0,17.0,22.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,0.52395,,,,,,,,,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,False
201477-201480-202638-203451-203857,1611661329,"Tamera Young, Sylvia Fowles, Jessica Breland, Courtney Clements, Jamierra Faulkner","Young, Fowles, Breland, Clements, Faulkner",201477-201480-202638-203451-203857,CHI,231.0,2,4.0,-1.0,7.0,7.0,,,3.0,14.0,2.0,2.0,2.0,2.0,,,,1.0,1.0,4.0,,,,,,,,,,3.0,7.0,,,4.0,10.0,11.0,2.0,3.0,,,4.0,,,,,,2.0,4.0,,,4.0,,,1.0,1.0,,1.0,,,,,1.0,2.0,,3.0,,,2.0,,2.0,3.0,5.0,,,,,1.0,,,,,1.0,1.0,,,1.0,3.0,,,,4.0,,,,4.0,2.0,,,,,,,,,,,6.0,,,,,0.3333333333333333,1.0,,,,,0.42857142857142855,0.6666666666666666,,0.42857142857142855,0.6666666666666666,,0.5555555555555556,0.6666666666666666,,,0.14285714285714285,,,1.0,,,1.0,0.75,,,1.0,0.75,,,1.0,,,1.0,,1.0,,,87.27272727272727,,15.857142857142858,17.142857142857142,14.857142857142858,17.142857142857142,0.2857142857142857,1.0,1.0,,0.14285714285714285,,,,0.5714285714285714,0.25,0.3333333333333333,1.0,,,,,,,,,0.6666666666666666,1.0,,,,,,,,,,,0.2857142857142857,,0.4760285714285714,0.5906333333333333,,0.2222222222222222,0.2222222222222222,,0.4,,11.057142857142859,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,False
201477-201516-202638-203067-203857,1611661329,"Tamera Young, Allie Quigley, Jessica Breland, Sasha Goodlett, Jamierra Faulkner","Young, Quigley, Breland, Goodlett, Faulkner",201477-201516-202638-203067-203857,CHI,297.0,3,5.0,2.0,11.0,11.0,,,2.0,22.0,3.0,5.0,1.0,1.0,,,1.0,2.0,2.0,2.0,,,,,,,,,,6.0,9.0,,,3.0,15.0,13.0,2.0,2.0,,,4.0,,,,,,4.0,8.0,,,2.0,,,2.0,2.0,,2.0,,,,,2.0,4.0,,1.0,,,3.0,,3.0,1.0,4.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,2.0,2.0,,,,3.0,,,1.0,3.0,2.0,,,1.0,,1.0,,,1.0,1.0,,11.0,,,,,0.3333333333333333,0.4,,,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.75,1.0,,,0.2222222222222222,0.4,,0.5,,,0.75,0.3333333333333333,,,0.75,0.3333333333333333,0.5,,,,,0.5,1.0,,,,106.66666666666666,1.0,12.818181818181818,14.181818181818182,11.545454545454545,12.818181818181818,0.5555555555555556,0.6,1.0,,0.2222222222222222,0.5,0.5,,0.2222222222222222,1.0,1.0,1.0,,,,,,,,,0.5,1.0,,,,,,,,,,,0.5555555555555556,,0.48916666666666664,0.46595,,0.2,0.2,,0.26666666666666666,,6.844444444444445,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,False
201477-201516-203399-203832-203857,1611661329,"Tamera Young, Allie Quigley, Elena Delle Donne, Markeisha Gatling, Jamierra Faulkner","Young, Quigley, Delle Donne, Gatling, Faulkner",201477-201516-203399-203832-203857,CHI,559.0,5,9.0,-6.0,23.0,25.0,6.0,10.0,3.0,48.0,6.0,9.0,2.0,2.0,1.0,1.0,2.0,3.0,,3.0,,,,,,4.0,,,2.0,8.0,15.0,,4.0,5.0,21.0,27.0,2.0,2.0,,,4.0,2.0,4.0,2.0,,4.0,4.0,12.0,,,4.0,4.0,,,2.0,,2.0,,,1.0,1.0,,4.0,1.0,2.0,,1.0,5.0,,6.0,3.0,9.0,1.0,2.0,2.0,,1.0,,,2.0,1.0,1.0,3.0,1.0,1.0,5.0,8.0,,,,5.0,2.0,,,6.0,3.0,,,3.0,,2.0,,1.0,3.0,3.0,1.0,17.0,4.0,6.0,1.0,,0.25,0.3333333333333333,,,,,0.5333333333333333,1.0,0.5,0.42105263157894735,1.0,0.3333333333333333,0.4772727272727273,1.0,0.3333333333333333,0.21052631578947367,,,,0.3333333333333333,,,1.0,0.2857142857142857,0.5,0.25,0.8571428571428571,0.2727272727272727,0.3333333333333333,,0.3333333333333333,0.25,,1.0,1.0,1.0,0.5,0.09090909090909091,123.64937388193202,1.0,13.130434782608695,10.28,13.043478260869565,9.92,0.47368421052631576,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.15789473684210525,0.6666666666666666,0.6666666666666666,0.5,0.15789473684210525,,,,,,,,0.21052631578947367,,,,1.0,1.0,,,,,,,,0.16666666666666666,1.0,0.3333333333333333,0.6842105263157895,,0.5164342105263158,0.6417,0.47009166666666663,0.13636363636363635,0.16666666666666666,,0.19047619047619047,0.19047619047619047,5.906666666666666,23.7,0.2608695652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2014,2014,False
201477-202259-202638-202664-203067,1611661329,"Tamera Young, Epiphanny Prince, Jessica Breland, Courtney Vandersloot, Sasha Goodlett","Young, Prince, Breland, Vandersloot, Goodlett",201477-202259-202638-202664-203067,CHI,1689.0,5,28.0,5.0,58.0,60.0,,12.0,5.0,118.0,9.0,17.0,,2.0,,,2.0,5.0,15.0,24.0,,1.0,,,,3.0,,,,26.0,46.0,,4.0,7.0,59.0,54.0,1.0,3.0,,,4.0,,,,,,32.0,20.0,,,,3.0,,3.0,16.0,,16.0,,,3.0,2.0,11.0,32.0,1.0,4.0,,3.0,12.0,1.0,16.0,5.0,21.0,,12.0,11.0,1.0,6.0,3.0,4.0,4.0,1.0,2.0,10.0,1.0,,2.0,10.0,,1.0,,10.0,,1.0,,7.0,4.0,,,4.0,,1.0,,2.0,4.0,4.0,,55.0,,,,,0.6153846153846154,0.6153846153846154,,,,,0.5652173913043478,0.3333333333333333,,0.52,0.3333333333333333,,0.5566037735849056,0.5,,0.08,0.06521739130434782,0.17647058823529413,,0.6,1.0,,0.7058823529411765,0.2,0.5,0.25,0.6521739130434783,0.20833333333333334,0.125,,0.3333333333333333,,1.0,1.0,0.7142857142857143,0.5714285714285714,,,100.60390763765542,1.0,15.155172413793103,13.5,14.637931034482758,12.616666666666667,0.34,0.5294117647058824,0.6428571428571429,0.3333333333333333,0.1,0.4,0.4,1.0,0.48,0.625,0.625,0.7333333333333333,0.02,,,,0.06,,,,0.6666666666666666,,,,,,,,,,,,0.42,,0.475487,0.40495,,0.07547169811320754,0.08163265306122448,,0.06779661016949153,,10.895652173913044,23.8,,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,1611661329,2014,2014,False
