EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG3A,SecondChanceFG2A,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,FTOffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Charge Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,BlockedLongMidRange,Loose Ball Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,Blocked3s,BlockedArc3,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1627700-1628909-1629568-1630154-203831,1611661325,"Julie Allemand, Kelsey Mitchell, Kennedy Burke, Kamiah Smalls, Natalie Achonwa","Allemand, Mitchell, Burke, Smalls, Achonwa",1627700-1628909-1629568-1630154-203831,IND,54.0,1,1.0,-1.0,2.0,2.0,4,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,106.66666666666666,14.0,13.0,14.0,13.0,1.0,1.0,1.0,1.0,0.3645,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
1627676-1627700-1628927-200676-203831,1611661325,"Tiffany Mitchell, Julie Allemand, Victoria Vivians, Candice Dupree, Natalie Achonwa","Mitchell, Allemand, Vivians, Dupree, Achonwa",1627676-1627700-1628927-200676-203831,IND,207.0,1,3.0,-6.0,7.0,7.0,14,,,1.0,3.0,2.0,8.0,,,,,,,3.0,5.0,3.0,3.0,,2.0,2.0,,,0.3333333333333333,0.16666666666666666,0.16666666666666666,,97.39130434782608,17.428571428571427,12.142857142857142,16.857142857142858,12.142857142857142,,,,,0.4918416666666667,10.633333333333333,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.4,0.5,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.16666666666666666,0.3333333333333333,1.0,0.6666666666666666,24.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
1627676-1627700-1628909-1629479-200676,1611661325,"Tiffany Mitchell, Julie Allemand, Kelsey Mitchell, Teaira McCowan, Candice Dupree","Mitchell, Allemand, Mitchell, McCowan, Dupree",1627676-1627700-1628909-1629479-200676,IND,8149.0,16,136.0,-29.0,262.0,261.0,523,29.0,69.0,84.0,178.0,282.0,311.0,90.0,45.0,64.0,16.0,147.0,4.0,85.0,134.0,29.0,47.0,36.0,61.0,226.0,0.5357142857142857,0.6338028169014085,0.47191011235955055,0.48326359832635984,0.5281954887218046,0.8,92.41870168118788,16.66412213740458,14.494252873563218,15.889312977099237,13.873563218390805,0.28870292887029286,0.42028985507246375,0.48333333333333334,0.5517241379310345,0.4601949790794979,8.885393258426966,42.0,59.0,20.0,17.0,50.0,7.0,54.0,61.0,35.0,78.0,54.0,9.0,21.0,60.0,49.0,9.0,2.0,4.0,1.0,0.25523012552301255,0.6818181818181818,0.7,0.225,0.6864406779661016,0.36363636363636365,0.20588235294117646,0.3333333333333333,0.8,0.6956521739130435,0.7407407407407407,0.24686192468619247,0.20920502092050208,0.34,0.34,0.029288702928870293,0.22594142259414227,0.5128205128205128,0.502092050209205,24.639344262295083,61.0,35.0,38.0,14.0,8.0,9.0,1.0,3.0,20.0,3.0,4.0,4.0,9.0,21.0,51.0,19.0,3.0,4.0,9.0,56.0,15.0,36.0,4.0,12.0,28.0,70.0,57.0,6.0,26.0,20.0,12.0,19.0,18.0,1.0,18.0,11.0,39.0,1.0,5.0,16.0,8.0,8.0,18.0,12.0,2.0,6.0,6.0,14.0,5.0,67.0,2.0,5.0,2.0,63.0,8.0,1.0,23.0,12.0,9.0,4.0,5.0,9.0,6.0,1.0,70.0,61.0,2.0,11.0,0.9047619047619048,0.3442622950819672,0.75,0.3333333333333333,0.3442622950819672,0.5428571428571428,0.4166666666666667,0.6025641025641025,0.4375,0.6222222222222222,0.5555555555555556,0.06741573033707865,0.05084745762711865,0.13043478260869565,0.3829787234042553,0.16666666666666666,0.42391304347826086,0.42857142857142855,0.42105263157894735,0.42424242424242425,0.48,0.3333333333333333,0.04132231404958678,0.6666666666666666,0.6440677966101694,0.6785714285714286,0.47368421052631576,0.6470588235294118,0.14285714285714285,0.14285714285714285,1.0,0.37037037037037035,0.37037037037037035,0.9,0.7,0.07142857142857142,0.10256410256410256,0.75,1.0,0.1875,0.8888888888888888,0.0625,0.1875,0.4444444444444444,0.37037037037037035,0.5380348484848485,0.45626041666666667,0.09055118110236221,0.11917098445595854,0.19858156028368795,0.24822695035460993,0.23282442748091603,,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
1627676-1628906-1628909-1628927-203831,1611661325,"Tiffany Mitchell, Stephanie Mavunga, Kelsey Mitchell, Victoria Vivians, Natalie Achonwa","Mitchell, Mavunga, Mitchell, Vivians, Achonwa",1627676-1628906-1628909-1628927-203831,IND,237.0,2,4.0,-7.0,8.0,9.0,17,,2.0,1.0,3.0,5.0,12.0,,,1.0,,3.0,,4.0,5.0,2.0,2.0,1.0,2.0,2.0,,,0.3333333333333333,0.35714285714285715,0.35714285714285715,,103.29113924050633,13.75,14.11111111111111,13.375,12.11111111111111,0.2857142857142857,,,,0.47365714285714283,6.2,1.0,1.0,,,,,4.0,4.0,,2.0,4.0,1.0,1.0,3.0,1.0,,1.0,,,0.5714285714285714,0.6,1.0,0.3333333333333333,0.6666666666666666,0.2,0.3333333333333333,,0.5,0.5,1.0,0.14285714285714285,,,,,0.5714285714285714,,0.7142857142857143,25.825,,4.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,3.0,,,,,,,3.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,0.25,1.0,,0.25,,,1.5,,1.5,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,0.25,0.25,1.0,,,1.0,1.0,1.0,,,,,,0.25,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
1627676-1627700-1628909-1629479-1629568,1611661325,"Tiffany Mitchell, Julie Allemand, Kelsey Mitchell, Teaira McCowan, Kennedy Burke","Mitchell, Allemand, Mitchell, McCowan, Burke",1627676-1627700-1628909-1629479-1629568,IND,211.0,2,4.0,3.0,8.0,7.0,15,,3.0,1.0,5.0,6.0,3.0,2.0,1.0,2.0,,5.0,,2.0,3.0,,,,1.0,6.0,1.0,1.0,0.2,0.35714285714285715,0.3333333333333333,,102.3696682464455,15.75,12.142857142857142,15.125,12.142857142857142,0.42857142857142855,,,,0.3903357142857143,7.62,1.0,1.0,,,1.0,,2.0,2.0,1.0,,2.0,,1.0,1.0,1.0,,,,,0.2857142857142857,0.5,1.0,,0.6666666666666666,0.2,,,,0.5,1.0,0.14285714285714285,0.14285714285714285,,,,0.2857142857142857,,0.42857142857142855,25.45,6.0,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,4.0,,1.0,1.0,1.0,3.0,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,3.0,,1.0,,4.0,,,,2.0,1.0,,,1.0,,,1.0,6.0,1.0,2.0,1.0,0.5,,,0.5,,,,,,0.07142857142857142,,,,,,0.25,,,1.0,,,0.2,,1.0,1.0,1.0,,,,,0.5,0.5,1.0,,,,,,,,,0.2,,0.5,0.325,0.35842999999999997,,,,0.16666666666666666,0.75,1.0,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
1627676-1628906-1628909-1629479-1630104,1611661325,"Tiffany Mitchell, Stephanie Mavunga, Kelsey Mitchell, Teaira McCowan, Kathleen Doyle","Mitchell, Mavunga, Mitchell, McCowan, Doyle",1627676-1628906-1628909-1629479-1630104,IND,131.0,1,2.0,6.0,5.0,6.0,11,1.0,2.0,3.0,4.0,9.0,3.0,2.0,1.0,1.0,,2.0,,2.0,2.0,,,,1.0,9.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.9,,120.91603053435115,4.2,18.333333333333332,4.2,18.333333333333332,0.5,0.5,1.0,,0.4866,8.2,,1.0,,1.0,1.0,,,,,4.0,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,0.25,0.25,1.0,1.0,,,,0.25,,5.0,6.0,1.0,,1.0,1.0,,,,,,,,,3.0,,,,,,3.0,4.0,,,3.0,9.0,,,,,1.0,,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,2.0,,,,3.0,1.0,,2.0,,,,,,,,9.0,5.0,1.0,,,,,,,,0.75,,0.75,,0.9,0.25,,0.5,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,0.25,1.0,,,,,,0.4866,0.4,0.4,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
1627676-1628906-1629568-1630104-200676,1611661325,"Tiffany Mitchell, Stephanie Mavunga, Kennedy Burke, Kathleen Doyle, Candice Dupree","Mitchell, Mavunga, Burke, Doyle, Dupree",1627676-1628906-1629568-1630104-200676,IND,52.0,1,1.0,1.0,2.0,1.0,3,,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,,2.0,,,,,,,,3.0,1.0,1.0,0.5,0.5,0.75,,83.07692307692308,22.5,7.0,22.5,7.0,0.5,,,,0.45045,10.15,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
1627700-1628909-1629568-1630100-200676,1611661325,"Julie Allemand, Kelsey Mitchell, Kennedy Burke, Lauren Cox, Candice Dupree","Allemand, Mitchell, Burke, Cox, Dupree",1627700-1628909-1629568-1630100-200676,IND,669.0,7,11.0,3.0,21.0,19.0,40,1.0,3.0,5.0,8.0,22.0,19.0,4.0,2.0,4.0,1.0,10.0,1.0,9.0,11.0,2.0,5.0,2.0,2.0,20.0,0.4,0.5,0.625,0.5588235294117647,0.5789473684210527,1.0,86.09865470852017,16.857142857142858,16.57894736842105,16.571428571428573,16.05263157894737,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.44469117647058826,9.425,2.0,3.0,1.0,1.0,2.0,,9.0,9.0,1.0,6.0,9.0,1.0,3.0,5.0,2.0,,,1.0,,0.5294117647058824,0.8333333333333334,0.75,0.2,0.8,0.25,0.2,,0.75,1.0,0.75,0.17647058823529413,0.11764705882352941,0.5,0.5,,0.5294117647058824,1.0,0.7058823529411765,25.244444444444444,9.0,10.0,3.0,1.0,1.0,1.0,,,3.0,,,,2.0,3.0,3.0,1.0,,,,2.0,2.0,5.0,,2.0,1.0,5.0,6.0,3.0,2.0,3.0,,2.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,,3.0,1.0,,2.0,,3.0,,2.0,,,,4.0,,,2.0,,2.0,,2.0,2.0,2.0,,5.0,9.0,,,0.6666666666666666,0.3333333333333333,,,0.3333333333333333,1.0,0.4,1.0,0.2857142857142857,1.0,0.3125,,,,0.6,,0.3333333333333333,,0.5,,,,0.125,1.0,1.0,1.0,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,,,,,0.14285714285714285,1.0,,0.2857142857142857,,0.3333333333333333,0.6998,0.44485,0.10526315789473684,0.2,0.09090909090909091,0.22727272727272727,0.42857142857142855,,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
1628906-1628927-1629568-1630104-200676,1611661325,"Stephanie Mavunga, Victoria Vivians, Kennedy Burke, Kathleen Doyle, Candice Dupree","Mavunga, Vivians, Burke, Doyle, Dupree",1628906-1628927-1629568-1630104-200676,IND,10.0,1,,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
1627676-1628906-1629568-1630100-1630104,1611661325,"Tiffany Mitchell, Stephanie Mavunga, Kennedy Burke, Lauren Cox, Kathleen Doyle","Mitchell, Mavunga, Burke, Cox, Doyle",1627676-1628906-1629568-1630100-1630104,IND,170.0,1,3.0,,4.0,6.0,10,,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,,2.0,,2.0,4.0,1.0,2.0,,,2.0,1.0,1.0,0.5,0.25,0.4,,84.70588235294117,21.0,14.333333333333334,16.5,14.166666666666666,0.25,,,,0.4151875,4.5,2.0,1.0,,,,,2.0,2.0,,,2.0,1.0,1.0,1.0,2.0,,,1.0,,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,,1.0,,0.5,0.25,,,,,0.5,,0.75,24.5,2.0,4.0,1.0,,,,,,,,,,1.0,,2.0,,,,2.0,2.0,,1.0,,1.0,2.0,2.0,,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,2.0,,,,2.0,,,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,1.0,0.3333333333333333,0.5,,1.0,0.5,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.5,,,,0.371725,0.2,0.3333333333333333,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,1611661325,2020,2020,False
