EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Blocked2s,Blocked3s,BlockedArc3,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG3A,FtPoints,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,NonHeaveArc3FGA,Fg3aBlocked,LongMidRangeAssists,Steals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGM,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG3A,PenaltyFtPoints,ShortMidRangeAssists,OffThreePtRebounds,OffRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyArc3Frequency,PtsUnassisted2s,FTDefRebounds,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,DefFTReboundPct,DefCorner3ReboundPct,Fg2aBlocked,OffTwoPtRebounds,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceShotQualityAvg,NonShootingPenaltyNonTakeFouls,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceAtRimFGA,Corner3FGA,Travels,AtRimPctBlocked,Corner3Frequency,SecondChanceAtRimFrequency,LostBallOutOfBoundsTurnovers,OffShortMidRangeReboundPct,Offensive Fouls,OffAtRimReboundPct,PtsUnassisted3s,Corner3FGM,Corner3Assists,SelfOReb,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,HeaveAttempts,Loose Ball Fouls Drawn,SecondChanceFg3Pct,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PtsPutbacks,SecondChanceTurnovers,Charge Fouls Drawn,DefAtRimReboundPct,ThreePtShootingFoulsDrawn,BlockedAtRim,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Loose Ball Fouls,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,3SecondViolations,team_id,year,season,team_vs
1630099-200671-203014-203437-203833,1611661320,"Te'a Cooper, Seimone Augustus, Nneka Ogwumike, Tierra Ruffin-Pratt, Chelsea Gray","Cooper, Augustus, Ogwumike, Ruffin-Pratt, Gray",1630099-200671-203014-203437-203833,LAS,47.0,1,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,122.55319148936171,1.0,1.5,22.0,1.5,22.0,1.0,1.0,1.0,1.0,1.0,0.5464,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628279-1628282-1630099-201496-204334,1611661320,"Brittney Sykes, Sydney Wiese, Te'a Cooper, Candace Parker, Reshanda Gray","Sykes, Wiese, Cooper, Parker, Gray",1628279-1628282-1630099-201496-204334,LAS,148.0,1,2.0,-3.0,6.0,6.0,12.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,5.0,1.0,1.0,0.5,0.4,0.4166666666666667,,,,,,116.75675675675676,,14.333333333333334,10.333333333333334,14.333333333333334,10.333333333333334,0.2,1.0,1.0,1.0,0.4,0.43806,7.075,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.4,0.2,1.0,1.0,1.0,0.2,0.4036,0.16666666666666666,0.2,0.4,28.4,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628282-1629485-1630099-203029-204334,1611661320,"Sydney Wiese, Kristine Anigwe, Te'a Cooper, Riquna Williams, Reshanda Gray","Wiese, Anigwe, Cooper, Williams, Gray",1628282-1629485-1630099-203029-204334,LAS,304.0,1,5.0,3.0,11.0,11.0,22.0,,,3.0,4.0,8.0,6.0,3.0,3.0,,6.0,,1.0,1.0,2.0,,1.0,4.0,1.0,,,1.0,1.0,,8.0,1.0,1.0,0.75,0.42857142857142855,0.5,0.3333333333333333,,0.3333333333333333,,,104.21052631578948,,11.909090909090908,15.727272727272727,11.0,13.818181818181818,,,,,0.42857142857142855,0.44835714285714284,10.575,11.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,8.0,3.0,,1.0,4.0,1.0,2.0,3.0,1.0,8.0,11.0,0.75,0.42857142857142855,0.5,0.42857142857142855,,,0.2857142857142857,0.2857142857142857,0.5,0.5,1.0,0.42857142857142855,0.44835714285714284,0.14285714285714285,0.25,1.0,26.066666666666666,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.75,0.3333333333333333,0.25,0.3333333333333333,0.5,1.0,1.0,1.0,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628282-201496-203014-203029-203437,1611661320,"Sydney Wiese, Candace Parker, Nneka Ogwumike, Riquna Williams, Tierra Ruffin-Pratt","Wiese, Parker, Ogwumike, Williams, Ruffin-Pratt",1628282-201496-203014-203029-203437,LAS,22.0,1,,-2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.45454545454545,,,22.0,,22.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628279-1630099-201496-203014-203029,1611661320,"Brittney Sykes, Te'a Cooper, Candace Parker, Nneka Ogwumike, Riquna Williams","Sykes, Cooper, Parker, Ogwumike, Williams",1628279-1630099-201496-203014-203029,LAS,91.0,2,2.0,4.0,3.0,2.0,5.0,,,2.0,3.0,4.0,4.0,2.0,2.0,,4.0,2.0,,2.0,2.0,,,,,,,,,,4.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,1.0,,1.0,79.12087912087912,,17.333333333333332,19.5,17.333333333333332,19.5,,,,,,0.41616666666666663,9.666666666666666,,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628279-1629485-1630099-203029-204334,1611661320,"Brittney Sykes, Kristine Anigwe, Te'a Cooper, Riquna Williams, Reshanda Gray","Sykes, Anigwe, Cooper, Williams, Gray",1628279-1629485-1630099-203029-204334,LAS,148.0,1,2.0,2.0,6.0,5.0,11.0,,,2.0,4.0,5.0,2.0,1.0,1.0,,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,5.0,0.5,0.5,0.5,0.4,0.4,,,,,,107.02702702702702,,15.166666666666666,11.4,15.166666666666666,11.4,,,,,0.2,0.37443,14.075,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,1.0,,1.0,,,2.0,1.0,,,,,,,0.2,,,0.4,0.4,0.5,0.5,1.0,0.2,,,,,26.1,,,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,0.5,0.5,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628282-1629485-201496-203029-203833,1611661320,"Sydney Wiese, Kristine Anigwe, Candace Parker, Riquna Williams, Chelsea Gray","Wiese, Anigwe, Parker, Williams, Gray",1628282-1629485-201496-203029-203833,LAS,29.0,1,,-1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6551724137931,,22.0,,22.0,,,,,,1.0,0.4515,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,24.5,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628282-201496-203029-203437-203833,1611661320,"Sydney Wiese, Candace Parker, Riquna Williams, Tierra Ruffin-Pratt, Chelsea Gray","Wiese, Parker, Williams, Ruffin-Pratt, Gray",1628282-201496-203029-203437-203833,LAS,186.0,1,3.0,6.0,4.0,5.0,9.0,1.0,1.0,5.0,5.0,10.0,8.0,4.0,4.0,1.0,8.0,3.0,,3.0,3.0,,,,,,,,,,10.0,0.8,0.8,1.0,1.0,1.0,,1.0,1.0,,1.0,69.6774193548387,,20.0,21.2,20.0,21.2,0.2,1.0,1.0,1.0,0.2,0.40831999999999996,12.5,,,2.0,2.0,2.0,,,,4.0,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,0.4,0.4,1.0,1.0,1.0,,,0.2,0.2,,,,,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,0.5,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628895-1630099-203029-203437-204334,1611661320,"Marie Gülich, Te'a Cooper, Riquna Williams, Tierra Ruffin-Pratt, Reshanda Gray","Gülich, Cooper, Williams, Ruffin-Pratt, Gray",1628895-1630099-203029-203437-204334,LAS,38.0,1,1.0,4.0,2.0,1.0,3.0,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,4.0,,,1.0,1.0,1.0,,,,,,113.6842105263158,,9.5,19.0,9.5,19.0,,,,,,0.4039,9.9,,,1.0,,,,,2.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,0.5,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1630099-201496-203029-203833-204334,1611661320,"Te'a Cooper, Candace Parker, Riquna Williams, Chelsea Gray, Reshanda Gray","Cooper, Parker, Williams, Gray, Gray",1630099-201496-203029-203833-204334,LAS,59.0,1,1.0,,2.0,2.0,4.0,,,,3.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,0.5,1.0,,97.6271186440678,,14.5,15.0,8.0,13.5,,,,,,0.41250000000000003,14.233333333333334,,,1.0,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,0.3333333333333333,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
