EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,TotalPoss,FtPoints,Points,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Minutes,DefPoss,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,Steals,BadPassSteals,ShootingFouls,Fouls,FG3APct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,BlockedAtRim,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,3SecondViolations,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,BlockedCorner3,team_id,year,season,team_vs
1627672-1628268-1629506-203035-203416,1611661322,"Aerial Powers, Alaina Coates, Kiara Leslie, Shey Peddy, Emma Meesseman","Powers, Coates, Leslie, Peddy, Meesseman",1627672-1628268-1629506-203035-203416,WAS,19.0,1,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,75.78947368421053,19.0,19.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2020,2020,False
1627672-1628268-1629506-201507-203416,1611661322,"Aerial Powers, Alaina Coates, Kiara Leslie, Leilani Mitchell, Emma Meesseman","Powers, Coates, Leslie, Mitchell, Meesseman",1627672-1628268-1629506-201507-203416,WAS,34.0,1,-2.0,1.0,3.0,,,,,,,,127.05882352941177,14.0,14.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,0.5556,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2020,2020,False
1627672-1628878-1628899-201507-203416,1611661322,"Aerial Powers, Ariel Atkins, Myisha Hines-Allen, Leilani Mitchell, Emma Meesseman","Powers, Atkins, Hines-Allen, Mitchell, Meesseman",1627672-1628878-1628899-201507-203416,WAS,5981.0,6,69.0,205.0,406.0,36.0,261.0,52.0,46.0,20.0,244.0,0.6565656565656566,97.7495402106671,13.946341463414635,13.326829268292682,0.109375,0.14388489208633093,100.0,201.0,44.0,53.0,192.0,44.0,20.0,13.0,14.0,42.0,0.29444444444444445,15.532338308457712,15.199004975124378,0.24444444444444444,0.4722222222222222,0.46018305555555555,24.543396226415094,33.0,33.0,21.0,25.0,32.0,1.0,2.0,3.0,4.0,33.0,58.0,17.0,37.0,4.0,9.0,2.0,3.0,21.0,1.0,3.0,2.0,7.0,75.0,127.0,25.0,3.0,11.0,1.0,3.0,8.0,17.0,6.0,13.0,4.0,10.0,14.0,38.0,74.0,76.0,63.0,12.0,2.0,21.0,7.0,37.0,21.0,58.0,17.0,4.0,18.0,13.0,6.0,137.0,8.0,12.0,32.0,46.0,3.0,81.0,20.0,101.0,2.0,7.0,16.0,5.0,12.0,13.0,1.0,4.0,1.0,3.0,29.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,5.0,8.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,38.0,33.0,7.0,5.0,0.49333333333333335,0.5,0.84,0.4716981132075472,0.3333333333333333,0.4,0.4716981132075472,0.5905511811023622,0.2727272727272727,0.46153846153846156,0.625,0.32142857142857145,0.5217391304347826,0.4722222222222222,0.59375,0.05511811023622047,0.03125,0.05172413793103448,0.08108108108108109,0.5517241379310345,0.75,0.8363636363636363,0.23529411764705882,0.8421052631578947,0.2857142857142857,0.8387096774193549,0.25316455696202533,0.42857142857142855,0.25,0.15,0.17391304347826086,0.8,1.0,0.8,0.8421052631578947,0.8666666666666667,0.75,0.027777777777777776,1.0,0.17777777777777778,0.78125,0.8064516129032258,0.72,0.32222222222222224,0.5689655172413793,0.6,0.3939393939393939,0.20555555555555555,0.4594594594594595,0.5,0.35294117647058826,0.05,0.4444444444444444,0.4444444444444444,1.0,0.4772727272727273,0.4772727272727273,0.8095238095238095,0.14285714285714285,0.5,0.21428571428571427,0.3333333333333333,1.0,0.17391304347826086,0.75,0.13043478260869565,0.6666666666666666,0.30434782608695654,0.2857142857142857,0.4772727272727273,0.4385318181818182,0.45055,0.018867924528301886,0.06513409961685823,0.14559386973180077,9.318897637795276,0.16097560975609757,,,,,,,,,,,,,,,,,,,,1611661322,2020,2020,False
1627672-1628878-1628899-203035-203416,1611661322,"Aerial Powers, Ariel Atkins, Myisha Hines-Allen, Shey Peddy, Emma Meesseman","Powers, Atkins, Hines-Allen, Peddy, Meesseman",1627672-1628878-1628899-203035-203416,WAS,548.0,4,3.0,18.0,37.0,1.0,18.0,6.0,2.0,1.0,16.0,0.5294117647058824,97.22627737226279,15.444444444444445,15.38888888888889,0.058823529411764705,0.09090909090909091,9.0,19.0,5.0,6.0,15.0,5.0,4.0,3.0,,2.0,0.375,14.210526315789474,13.210526315789474,0.3125,0.5625,0.492675,24.616666666666664,,,1.0,3.0,3.0,,,,,3.0,4.0,1.0,3.0,,1.0,,,1.0,,,,,7.0,10.0,1.0,1.0,1.0,,,,2.0,,,,,,,8.0,6.0,,3.0,,1.0,,4.0,,4.0,,,2.0,1.0,1.0,8.0,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,2.0,,1.0,,,1.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,0.5714285714285714,0.5714285714285714,,0.16666666666666666,,,0.16666666666666666,0.7,1.0,,0.53125,1.0,,1.0,,,,,,1.0,1.0,0.5,,0.3333333333333333,0.2,0.4,0.125,,,,0.25,,,1.0,,0.3333333333333333,,,,0.1875,1.0,1.0,0.6666666666666666,0.25,0.75,0.75,0.3333333333333333,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.0625,,,,0.2,0.2,,,,,,,,,,,,,0.2,,,,0.1111111111111111,,8.040000000000001,,,,,,,,,,,,,,,,,,,,,1611661322,2020,2020,False
1627672-1629506-201502-203035-203416,1611661322,"Aerial Powers, Kiara Leslie, Essence Carson, Shey Peddy, Emma Meesseman","Powers, Leslie, Carson, Peddy, Meesseman",1627672-1629506-201502-203035-203416,WAS,222.0,1,-5.0,7.0,14.0,,,1.0,,,,,90.8108108108108,14.571428571428571,13.571428571428571,,,4.0,7.0,2.0,2.0,5.0,2.0,,,2.0,2.0,0.2857142857142857,17.142857142857142,17.142857142857142,0.2857142857142857,0.5714285714285714,0.3966571428571429,24.05,2.0,,1.0,,2.0,,,,,,1.0,,2.0,,,,,,,1.0,,1.0,,5.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,,5.0,1.0,6.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2,1.0,,1.0,0.14285714285714285,,,0.5,,,1.0,1.0,,1.0,1.0,,1.0,0.2857142857142857,,,,0.14285714285714285,,,,0.2857142857142857,,,,,,,,,,,,,1.0,,,,,,,1.0,,,0.60915,0.30975,,,,10.52,0.2857142857142857,1.0,,,,,,,,,,,,,,,,,,,1611661322,2020,2020,False
1628878-1628899-1629506-201502-203035,1611661322,"Ariel Atkins, Myisha Hines-Allen, Kiara Leslie, Essence Carson, Shey Peddy","Atkins, Hines-Allen, Leslie, Carson, Peddy",1628878-1628899-1629506-201502-203035,WAS,279.0,1,-2.0,9.0,19.0,,11.0,2.0,,,11.0,0.7857142857142857,98.06451612903226,14.222222222222221,14.222222222222221,,,5.0,10.0,2.0,2.0,13.0,2.0,3.0,2.0,1.0,1.0,0.2857142857142857,15.1,15.1,0.2857142857142857,0.42857142857142855,0.45914285714285713,25.55,,,,1.0,1.0,,,,,1.0,2.0,2.0,2.0,,,,,1.0,,,,,4.0,5.0,1.0,,,,,,,,,,,,,8.0,,3.0,,,1.0,,4.0,1.0,5.0,1.0,,1.0,1.0,2.0,11.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,0.5,0.8,,,0.7857142857142857,,,,,,,,,0.5,,,,0.5,,0.5,,,,,,,,,,0.5,,,,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,1.0,1.0,1.0,,,,,0.5,0.5,1.0,,,,,,,,,,,,0.5,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,1611661322,2020,2020,False
1627672-1628268-1628878-201507-203416,1611661322,"Aerial Powers, Alaina Coates, Ariel Atkins, Leilani Mitchell, Emma Meesseman","Powers, Coates, Atkins, Mitchell, Meesseman",1627672-1628268-1628878-201507-203416,WAS,242.0,3,2.0,7.0,14.0,2.0,11.0,4.0,4.0,2.0,8.0,0.6111111111111112,83.30578512396694,18.714285714285715,18.571428571428573,0.2222222222222222,0.5,4.0,7.0,5.0,5.0,9.0,5.0,1.0,1.0,2.0,2.0,0.7142857142857143,15.857142857142858,14.0,0.7142857142857143,0.8571428571428571,0.4705642857142857,25.96,,,2.0,,1.0,,,,,,1.0,,,,,,,3.0,1.0,1.0,,,,2.0,3.0,,,1.0,1.0,,3.0,,,,,,,,,9.0,,,3.0,,,3.0,3.0,3.0,,,,,9.0,1.0,1.0,2.0,,,2.0,2.0,4.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6,1.0,,0.6,,,,0.6428571428571429,1.5,,1.5,,,,,,,,,0.5,0.6666666666666666,0.5,0.4,0.5,1.0,,,0.5,,,,,0.6666666666666666,,,,0.14285714285714285,,,,0.14285714285714285,,,,,,,,,,,,0.6,0.6,1.0,,,1.0,1.0,1.0,,,,,,,0.6,,,,0.2727272727272727,,8.65,,,,,,,,,,,,,,,,,,,,,1611661322,2020,2020,False
1627672-1628899-1629506-201502-203035,1611661322,"Aerial Powers, Myisha Hines-Allen, Kiara Leslie, Essence Carson, Shey Peddy","Powers, Hines-Allen, Leslie, Carson, Peddy",1627672-1628899-1629506-201502-203035,WAS,176.0,1,3.0,6.0,13.0,1.0,6.0,3.0,1.0,1.0,3.0,0.5,106.36363636363637,13.166666666666666,13.0,0.16666666666666666,0.3333333333333333,3.0,7.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,0.5,13.857142857142858,13.857142857142858,0.16666666666666666,0.8333333333333334,0.5509166666666666,23.46666666666667,,,1.0,,2.0,,,,,1.0,1.0,,,1.0,2.0,,,,,,,,1.0,3.0,1.0,,,1.0,1.0,,3.0,,,,,,,,2.0,3.0,,,,,,1.0,1.0,,1.0,,,,3.0,,1.0,2.0,2.0,,4.0,1.0,5.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.3333333333333333,1.0,,0.3333333333333333,0.3333333333333333,,,0.4166666666666667,1.5,,1.5,,,,,,,,1.0,0.5,1.0,,1.0,0.25,0.5,,,,,,1.0,1.0,1.0,1.0,0.25,,0.3333333333333333,,,,0.16666666666666666,1.0,1.0,,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,0.6303,,,0.5,,3.4333333333333336,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1611661322,2020,2020,False
1628878-1628899-1629506-201502-201507,1611661322,"Ariel Atkins, Myisha Hines-Allen, Kiara Leslie, Essence Carson, Leilani Mitchell","Atkins, Hines-Allen, Leslie, Carson, Mitchell",1628878-1628899-1629506-201502-201507,WAS,28.0,1,-3.0,1.0,2.0,,,,,,,,102.85714285714286,20.0,20.0,,,,1.0,1.0,1.0,3.0,1.0,,,,,1.0,8.0,8.0,1.0,1.0,0.345,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2020,2020,False
1628268-1628878-1628899-203403-203416,1611661322,"Alaina Coates, Ariel Atkins, Myisha Hines-Allen, Tianna Hawkins, Emma Meesseman","Coates, Atkins, Hines-Allen, Hawkins, Meesseman",1628268-1628878-1628899-203403-203416,WAS,7.0,1,,,1.0,,,,,,,,205.71428571428572,,,,,,1.0,,,,,,,,,,7.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2020,2020,False
