EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,FtPoints,Steals,BadPassSteals,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BlockedShortMidRange,PenaltyDefPoss,DefCorner3ReboundPct,PenaltyOffPoss,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LostBallOutOfBoundsTurnovers,PenaltyAtRimFGA,PenaltyFG2A,Charge Fouls,PenaltyAtRimFrequency,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,SecondChanceFtPoints,PenaltyFG2M,LongMidRangeAssists,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,PenaltyFg2Pct,LongMidRangePctAssisted,PenaltyAtRimAccuracy,team_id,year,season,team_vs
1628279-1628282-1629485-201496-203833,1611661320,"Brittney Sykes, Sydney Wiese, Kristine Anigwe, Candace Parker, Chelsea Gray","Sykes, Wiese, Anigwe, Parker, Gray",1628279-1628282-1629485-201496-203833,LAS,600.0,1,10,19,17,3.0,36,5.0,8.0,2.0,3.0,2.0,5.0,1.0,2.0,1.0,5.0,1.0,8.0,15.0,6.0,16.0,16.0,2.0,5.0,1.0,4.0,8.0,8.0,4.0,5.0,1.0,4.0,4.0,3.0,1.0,8.0,2.0,4.0,1.0,8.0,9.0,6.0,15.0,3.0,3.0,1.0,1.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,12.0,0.5,0.6666666666666666,0.5333333333333333,0.4,0.38095238095238093,0.3333333333333333,0.38095238095238093,0.3333333333333333,0.2857142857142857,0.06666666666666667,0.2,0.75,0.8,0.5714285714285714,1.0,0.3333333333333333,0.8181818181818182,0.46153846153846156,0.6666666666666666,0.3333333333333333,1.0,0.2,1.0,0.6666666666666666,0.8,1.0,1.0,86.4,1.0,17.63157894736842,15.588235294117647,16.263157894736842,15.352941176470589,0.38095238095238093,0.625,0.625,0.6,0.23809523809523808,0.4,0.5,0.5,0.09523809523809523,0.5,0.5,0.047619047619047616,0.23809523809523808,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.49309523809523814,0.5988375,0.25,7.453333333333333,23.983333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,False
1628279-1628282-1630099-200671-201496,1611661320,"Brittney Sykes, Sydney Wiese, Te'a Cooper, Seimone Augustus, Candace Parker","Sykes, Wiese, Cooper, Augustus, Parker",1628279-1628282-1630099-200671-201496,LAS,208.0,1,3,5,6,,11,,,,,2.0,3.0,,,,1.0,,2.0,3.0,1.0,6.0,5.0,,,,,4.0,,,1.0,,2.0,2.0,,2.0,4.0,,,,2.0,2.0,,2.0,,,,,,,1.0,1.0,,,,,6.0,1.0,1.0,0.6666666666666666,,0.5,,0.6,,0.25,,,,1.0,,,,0.6666666666666666,,,,,,,1.0,,1.0,,76.15384615384615,,17.8,19.833333333333332,17.8,18.166666666666668,,,,,0.75,0.6666666666666666,0.6666666666666666,1.0,,,,,0.25,,,,0.25,0.443425,,,4.666666666666667,27.9,1.0,2.0,1.0,1.0,2.0,1.0,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,False
1628279-1628282-200671-201496-203833,1611661320,"Brittney Sykes, Sydney Wiese, Seimone Augustus, Candace Parker, Chelsea Gray","Sykes, Wiese, Augustus, Parker, Gray",1628279-1628282-200671-201496-203833,LAS,41.0,1,1,1,1,,2,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,70.2439024390244,1.0,26.0,15.0,26.0,15.0,,,,,,,,,1.0,,,,,,,,,0.2758,,,22.1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,False
1628279-1629485-201496-203029-203833,1611661320,"Brittney Sykes, Kristine Anigwe, Candace Parker, Riquna Williams, Chelsea Gray","Sykes, Anigwe, Parker, Williams, Gray",1628279-1629485-201496-203029-203833,LAS,246.0,1,4,7,8,,15,,1.0,,,1.0,2.0,,,1.0,1.0,,1.0,3.0,2.0,6.0,9.0,,,,,,2.0,,1.0,,,,,,,,,1.0,3.0,4.0,,4.0,,,1.0,,1.0,1.0,2.0,3.0,,,,,6.0,,,0.3333333333333333,,0.2,,0.42857142857142855,,0.4,,,,1.0,,0.5,,0.8,,,,,,,,1.0,1.0,,87.8048780487805,,15.571428571428571,17.125,15.571428571428571,15.5,0.2,,,,0.4,0.5,0.5,,,,,0.2,0.2,,,,0.6,0.42094,,,5.233333333333333,23.65,-3.0,4.0,,,4.0,2.0,0.2857142857142857,0.4,,8.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,False
1628279-1630099-200671-201496-203029,1611661320,"Brittney Sykes, Te'a Cooper, Seimone Augustus, Candace Parker, Riquna Williams","Sykes, Cooper, Augustus, Parker, Williams",1628279-1630099-200671-201496-203029,LAS,32.0,1,1,1,1,,2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,90.0,,13.0,19.0,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,False
1628279-1630099-200671-201496-203833,1611661320,"Brittney Sykes, Te'a Cooper, Seimone Augustus, Candace Parker, Chelsea Gray","Sykes, Cooper, Augustus, Parker, Gray",1628279-1630099-200671-201496-203833,LAS,220.0,1,4,8,8,,16,,,,,,1.0,,,,3.0,,,1.0,3.0,5.0,7.0,,,,,,,,3.0,,,1.0,,,3.0,,,,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,,,,,5.0,,,,,0.375,,0.5,,0.75,,,0.6666666666666666,1.0,,,,1.0,,,,,,,,1.0,1.0,,104.72727272727273,,13.875,13.625,13.875,12.5,,,,,0.25,,,,,,,,0.75,,,,0.75,0.4750125,,,7.2,25.0,-2.0,2.0,1.0,1.0,2.0,1.0,0.2,0.5,,,,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.75,0.8333333333333334,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.570225,1.0,0.75,,,,,,,,,,,,,,,,,,1611661320,2020,2020,False
1628282-1629485-1630099-201496-203833,1611661320,"Sydney Wiese, Kristine Anigwe, Te'a Cooper, Candace Parker, Chelsea Gray","Wiese, Anigwe, Cooper, Parker, Gray",1628282-1629485-1630099-201496-203833,LAS,91.0,1,2,3,3,,6,,,,,,1.0,,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,94.94505494505495,,19.333333333333332,11.0,19.333333333333332,11.0,,,,,1.0,,,,,,,,,,,,,0.4139,,,5.5,,-7.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,1611661320,2020,2020,False
1628282-1630099-200671-201496-203833,1611661320,"Sydney Wiese, Te'a Cooper, Seimone Augustus, Candace Parker, Chelsea Gray","Wiese, Cooper, Augustus, Parker, Gray",1628282-1630099-200671-201496-203833,LAS,112.0,1,2,3,4,1.0,7,,1.0,,1.0,,1.0,,,,1.0,,,2.0,1.0,,3.0,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,0.5,,,1.0,0.3333333333333333,,1.0,,,,,1.0,,,90.0,,15.333333333333334,16.5,14.666666666666666,16.5,0.3333333333333333,,,,0.3333333333333333,,,,,,,,0.3333333333333333,1.0,,,0.6666666666666666,0.46618333333333334,0.5324,,4.2,25.8,-3.0,,,,,,,,,4.0,,3.0,,,1.0,,,1.0,,,,,,,,1.0,,3.0,,,,,,,,,,0.3333333333333333,,,0.46618333333333334,,1.0,,1.0,2.0,1.0,0.3333333333333333,,,,,,,,,,,,,1611661320,2020,2020,False
1629485-201496-203029-203437-203833,1611661320,"Kristine Anigwe, Candace Parker, Riquna Williams, Tierra Ruffin-Pratt, Chelsea Gray","Anigwe, Parker, Williams, Ruffin-Pratt, Gray",1629485-201496-203029-203437-203833,LAS,139.0,1,2,4,5,,9,,1.0,,,,,,,,2.0,,,1.0,2.0,,7.0,,,,,,,,2.0,,,,,,,,,,2.0,2.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,0.6666666666666666,,,,0.6666666666666666,,,,0.6666666666666666,,,,,,,0.5,,1.0,,93.23741007194243,,18.0,13.4,18.0,12.4,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,,,,1.0,0.5165333333333334,,,2.6,25.3,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,False
1630099-200671-201496-203029-203437,1611661320,"Te'a Cooper, Seimone Augustus, Candace Parker, Riquna Williams, Tierra Ruffin-Pratt","Cooper, Augustus, Parker, Williams, Ruffin-Pratt",1630099-200671-201496-203029-203437,LAS,61.0,1,1,2,3,,5,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,3.0,,,,,,,1.5,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,118.03278688524591,,12.0,12.333333333333334,12.0,12.333333333333334,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1611661320,2020,2020,False
