EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,Steals,BadPassSteals,Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LostBallSteals,LostBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,PtsUnassisted3s,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,PenaltyFtPoints,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,BlockedAtRim,PenaltyFg3Pct,PenaltyArc3Accuracy,Corner3FGA,AtRimAssists,AtRimPctAssisted,Corner3Frequency,OffCorner3ReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,BlockedLongMidRange,SecondChanceFg3Pct,AtRimPctBlocked,LongMidRangePctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,HeaveAttempts,PenaltyCorner3FGA,PenaltyCorner3Frequency,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,PenaltyCorner3FGM,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,3SecondViolations,team_id,year,season,team_vs
1628915-1629477-1630127-1630139-204329,1611661313,"Kia Nurse, Sabrina Ionescu, Leaonna Odom, Jocelyn Willoughby, Kiah Stokes","Nurse, Ionescu, Odom, Willoughby, Stokes",1628915-1629477-1630127-1630139-204329,NYL,99.0,2,2.0,3.0,3.0,3.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,1.0,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,87.27272727272728,14.333333333333334,18.666666666666668,14.333333333333334,18.0,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.46036666666666665,4.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
1629477-1630127-1630131-203406-204329,1611661313,"Sabrina Ionescu, Leaonna Odom, Kylee Shook, Layshia Clarendon, Kiah Stokes","Ionescu, Odom, Shook, Clarendon, Stokes",1629477-1630127-1630131-203406-204329,NYL,30.0,1,,2.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,,2.0,,,1.0,2.0,1.0,1.0,1.0,48.0,16.0,,16.0,,,,,1.0,1.0,1.0,,0.3991,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
1628915-1630119-1630139-204320-204329,1611661313,"Kia Nurse, Jazmine Jones, Jocelyn Willoughby, Amanda Zahui B, Kiah Stokes","Nurse, Jones, Willoughby, Zahui B, Stokes",1628915-1630119-1630139-204320-204329,NYL,417.0,5,7.0,-3.0,12.0,16.0,28.0,,1.0,1.0,6.0,2.0,10.0,9.0,12.0,,1.0,1.0,5.0,5.0,0.2,0.25,0.3,96.69064748201438,15.75,14.25,14.5,13.25,0.07142857142857142,,,0.42857142857142855,0.16666666666666666,0.25,0.35714285714285715,0.4265857142857143,9.1,3.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,4.0,4.0,4.0,2.0,10.0,6.0,16.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.5,0.25,0.2857142857142857,0.2,0.3333333333333333,0.5,1.0,0.8,0.5,1.0,0.6666666666666666,0.8888888888888888,0.5454545454545454,1.0,0.4,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,0.1111111111111111,1.0,1.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.25,0.25,1.0,0.25,0.25,0.37555,0.4645625,0.06666666666666667,0.09090909090909091,0.4444444444444444,0.2222222222222222,24.425,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
1629477-1630127-1630139-203406-204329,1611661313,"Sabrina Ionescu, Leaonna Odom, Jocelyn Willoughby, Layshia Clarendon, Kiah Stokes","Ionescu, Odom, Willoughby, Clarendon, Stokes",1629477-1630127-1630139-203406-204329,NYL,200.0,1,3.0,1.0,8.0,8.0,16.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,4.0,4.0,1.0,,4.0,3.0,0.6666666666666666,0.3333333333333333,0.4166666666666667,115.19999999999999,15.875,9.125,15.875,9.125,0.16666666666666666,1.0,1.0,0.3333333333333333,0.5,0.5,0.6666666666666666,0.519675,3.6333333333333333,1.0,4.0,1.0,,,,3.0,,,3.0,1.0,1.0,1.0,,2.0,,,,,,,3.0,,,,,,,,,,1.0,,3.0,2.0,,5.0,1.0,6.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,0.5,,,0.5,,1.0,,1.0,0.3333333333333333,1.0,0.25,,,,0.3333333333333333,,1.0,,1.0,,,,,,,,0.5,,,,,,,,0.16666666666666666,0.3333333333333333,0.4,,25.03333333333333,0.125,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
1630115-1630119-1630127-1630131-1630139,1611661313,"Joyner Holmes, Jazmine Jones, Leaonna Odom, Kylee Shook, Jocelyn Willoughby","Holmes, Jones, Odom, Shook, Willoughby",1630115-1630119-1630127-1630131-1630139,NYL,118.0,2,2.0,1.0,4.0,4.0,8.0,,,1.0,2.0,1.0,3.0,5.0,4.0,,1.0,1.0,1.0,5.0,0.3333333333333333,0.4166666666666667,0.4166666666666667,97.6271186440678,16.25,13.25,14.5,13.25,,,,0.3333333333333333,0.5,0.5,0.5,0.4666666666666666,10.866666666666667,,3.0,2.0,,1.0,1.0,3.0,,1.0,3.0,,,1.0,,,,,,,2.0,3.0,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,,5.0,1.0,1.0,,1.0,,1.0,2.0,3.0,,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,0.5,,,,,1.0,0.5,,0.5,1.0,0.5,,,1.0,0.5,,,1.0,,,,1.0,0.16666666666666666,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,0.60765,,,,,,25.333333333333332,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
1630119-1630127-1630131-1630139-203406,1611661313,"Jazmine Jones, Leaonna Odom, Kylee Shook, Jocelyn Willoughby, Layshia Clarendon","Jones, Odom, Shook, Willoughby, Clarendon",1630119-1630127-1630131-1630139-203406,NYL,102.0,1,2.0,3.0,5.0,3.0,8.0,,,1.0,1.0,1.0,2.0,9.0,6.0,,,,1.0,7.0,0.5,1.0,0.9,112.94117647058823,10.0,17.333333333333332,9.4,17.333333333333332,,,,0.25,1.0,1.0,0.5,0.3716625,12.9,,1.0,2.0,,1.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,,2.0,,,,,2.0,3.0,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,,5.0,,1.0,,1.0,,1.0,1.0,2.0,,1.0,,,1.0,,2.0,2.0,1.0,,,1.0,1.0,,,,1.0,1.0,0.5,1.0,1.0,1.0,,1.0,,1.0,,0.5,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,0.25,,,,0.5,1.0,1.0,0.5,,1.0,0.3432,,0.2,0.3333333333333333,0.2222222222222222,,25.25,,,,,,1.0,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
1630119-1630127-1630131-203406-204320,1611661313,"Jazmine Jones, Leaonna Odom, Kylee Shook, Layshia Clarendon, Amanda Zahui B","Jones, Odom, Shook, Clarendon, Zahui B",1630119-1630127-1630131-203406-204320,NYL,170.0,1,3.0,2.0,6.0,7.0,13.0,1.0,1.0,1.0,3.0,2.0,5.0,7.0,5.0,4.0,,,2.0,5.0,0.4,0.3333333333333333,0.4375,110.11764705882352,13.666666666666666,12.571428571428571,10.666666666666666,11.285714285714286,0.16666666666666666,1.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.42238333333333333,7.88,3.0,,2.0,,1.0,,1.0,,,1.0,3.0,,1.0,2.0,2.0,,1.0,,3.0,,,1.0,,1.0,,,,,,,,,2.0,3.0,2.0,,5.0,2.0,7.0,,1.0,1.0,,1.0,1.0,2.0,4.0,,,,,,3.0,3.0,,,,,,,,,,,0.3333333333333333,0.5,0.16666666666666666,0.2,0.3333333333333333,1.0,,0.6666666666666666,0.6666666666666666,0.75,,0.7142857142857143,0.5,,1.0,,,,0.6666666666666666,,0.6666666666666666,,,,0.16666666666666666,,,,0.16666666666666666,,,,,,0.4529,0.3698,,,0.2857142857142857,0.42857142857142855,24.7,0.5,,,,,,,,,,1.0,1.0,0.5,,,,,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
1628915-1629502-1630115-1630131-1630139,1611661313,"Kia Nurse, Paris Kea, Joyner Holmes, Kylee Shook, Jocelyn Willoughby","Nurse, Kea, Holmes, Shook, Willoughby",1628915-1629502-1630115-1630131-1630139,NYL,167.0,1,3.0,-3.0,6.0,5.0,11.0,,1.0,,2.0,,3.0,2.0,5.0,,,,,2.0,,,0.2,94.8502994011976,17.833333333333332,12.0,17.833333333333332,12.0,0.25,,,0.5,,,0.5,0.41095,6.833333333333333,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,2.0,,2.0,,1.0,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.25,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,0.25,,,,,,,,0.2,0.25,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
1628915-1629502-1630131-1630139-204320,1611661313,"Kia Nurse, Paris Kea, Kylee Shook, Jocelyn Willoughby, Amanda Zahui B","Nurse, Kea, Shook, Willoughby, Zahui B",1628915-1629502-1630131-1630139-204320,NYL,127.0,1,2.0,2.0,5.0,5.0,10.0,,,,1.0,1.0,2.0,7.0,5.0,2.0,,,2.0,7.0,0.5,0.625,0.7,113.38582677165354,11.2,14.2,11.2,14.0,,,,0.25,,,0.5,0.40065,11.9,5.0,5.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,2.0,2.0,7.0,,3.0,2.0,1.0,,,1.0,1.0,1.0,,,3.0,,,1.0,,1.0,2.0,,2.0,,,,,,2.0,1.0,2.0,,1.0,1.0,2.0,,7.0,5.0,,,,1.0,0.5,0.5,,0.5,,0.625,,0.7,0.5,,,,1.0,,,1.0,,0.5,,,,,,,,,1.0,,,,0.25,1.0,1.0,,0.5,0.5,0.5,1.0,0.5,0.5,,0.40065,,,,1.0,25.45,1.0,,,,,,,,,,,,,,,1.0,,2.0,,,1.0,1.0,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
1629502-1630119-1630131-1630136-204320,1611661313,"Paris Kea, Jazmine Jones, Kylee Shook, Megan Walker, Amanda Zahui B","Kea, Jones, Shook, Walker, Zahui B",1629502-1630119-1630131-1630136-204320,NYL,143.0,1,2.0,5.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,2.0,,,,,7.0,1.0,0.875,0.875,90.62937062937063,14.2,18.0,14.2,16.5,0.25,1.0,1.0,0.25,1.0,1.0,0.75,0.5126625,4.75,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,4.0,,1.0,1.0,,2.0,,2.0,,1.0,,4.0,,,2.0,,,2.0,,2.0,,1.0,1.0,,1.0,,,,,,,2.0,,,,,1.0,1.0,,0.5,0.5,,,,,,,0.5,,,1.0,,,,1.0,,0.4,,,,,,,,,1.0,,,1.0,,,,,0.25,1.0,1.0,,,1.0,,,,,,,24.55,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,2.0,,,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,True
