EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,LongMidRangeFGM,FtPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTDefRebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefShortMidRangeReboundPct,SecondChanceFtPoints,PenaltyFtPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,LiveBallTurnoverPct,OffAtRimReboundPct,DefThreePtRebounds,SelfOReb,SecondChanceTurnovers,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BadPassSteals,AtRimAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,AtRimPctAssisted,SecondChanceAtRimPctAssisted,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,LostBallTurnovers,Charge Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFoulsDrawn,Arc3FGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,team_id,year,season,team_vs
1627674-1628297-1628931-1630113-203828,1611661329,"Kahleah Copper, Alexis Prince, Gabby Williams, Ruthy Hebard, Stefanie Dolson","Copper, Prince, Williams, Hebard, Dolson",1627674-1628297-1628931-1630113-203828,CHI,134.0,1,2.0,1.0,4.0,5.0,4.0,1.0,9,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,4.0,0.5,1.0,0.5,0.4,1.0,0.4,0.4,1.0,0.4,0.2,0.25,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,96.71641791044776,15.5,14.4,15.25,14.4,0.4,1.0,1.0,0.2,0.2,0.2,1.0,1.0,0.4,1.0,0.2,0.6,0.47607999999999995,0.4195,0.47607999999999995,0.5,1.0,6.55,27.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628297-1628931-1630113-204323,1611661329,"Kahleah Copper, Alexis Prince, Gabby Williams, Ruthy Hebard, Cheyenne Parker","Copper, Prince, Williams, Hebard, Parker",1627674-1628297-1628931-1630113-204323,CHI,56.0,1,1.0,1.0,2.0,2.0,,,4,,,,,,,,1.0,,,1.0,1.0,,4.0,3.0,,,,,,,,,,,,,,1.0,,1.0,,,4.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,102.85714285714286,11.0,17.0,11.0,17.0,,,,,1.0,,,,,,,,0.3735,,,,,17.8,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628297-1628931-202664-203828,1611661329,"Kahleah Copper, Alexis Prince, Gabby Williams, Courtney Vandersloot, Stefanie Dolson","Copper, Prince, Williams, Vandersloot, Dolson",1627674-1628297-1628931-202664-203828,CHI,28.0,1,,2.0,1.0,1.0,,,2,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,102.85714285714286,10.0,18.0,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628297-1628931-202664-204323,1611661329,"Kahleah Copper, Alexis Prince, Gabby Williams, Courtney Vandersloot, Cheyenne Parker","Copper, Prince, Williams, Vandersloot, Parker",1627674-1628297-1628931-202664-204323,CHI,179.0,1,3.0,-7.0,5.0,6.0,5.0,2.0,11,2.0,4.0,1.0,1.0,2.0,4.0,,1.0,,,2.0,5.0,,6.0,13.0,1.0,1.0,4.0,2.0,5.0,,6.0,4.0,2.0,,,2.0,1.0,1.0,2.0,3.0,,,2.0,6.0,5.0,0.4,1.0,0.4,0.4,1.0,0.4,0.5,1.0,0.5,,,,1.0,0.6666666666666666,1.0,0.6666666666666666,,,1.0,88.49162011173185,21.4,12.0,21.4,12.0,0.8,0.5,0.5,,0.2,,1.0,1.0,0.8,0.5,,0.8,0.5895400000000001,0.7051,0.5895400000000001,0.6666666666666666,1.0,5.74,,1.0,5.0,,2.0,,,,,,,3.0,1.0,2.0,1.0,1.0,,,,,,,0.16666666666666666,0.16666666666666666,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628297-1628931-203828-204323,1611661329,"Kahleah Copper, Alexis Prince, Gabby Williams, Stefanie Dolson, Cheyenne Parker","Copper, Prince, Williams, Dolson, Parker",1627674-1628297-1628931-203828-204323,CHI,47.0,1,1.0,2.0,1.0,2.0,,,3,,,,,,,,1.0,,,1.0,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,91.91489361702128,9.0,19.0,9.0,19.0,,,,,1.0,,,,,,,,0.4243,,,,,19.2,,,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628297-1630113-202664-204323,1611661329,"Kahleah Copper, Alexis Prince, Ruthy Hebard, Courtney Vandersloot, Cheyenne Parker","Copper, Prince, Hebard, Vandersloot, Parker",1627674-1628297-1630113-202664-204323,CHI,28.0,1,,,1.0,1.0,,1.0,2,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,102.85714285714286,24.0,4.0,22.0,4.0,,,,1.0,,,,,,,,,0.3813,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628906-1628931-201516-202664,1611661329,"Kahleah Copper, Stephanie Mavunga, Gabby Williams, Allie Quigley, Courtney Vandersloot","Copper, Mavunga, Williams, Quigley, Vandersloot",1627674-1628906-1628931-201516-202664,CHI,42.0,1,1.0,2.0,2.0,2.0,,,4,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,137.14285714285714,7.5,13.5,7.5,13.5,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628931-1630113-202664-203828,1611661329,"Kahleah Copper, Gabby Williams, Ruthy Hebard, Courtney Vandersloot, Stefanie Dolson","Copper, Williams, Hebard, Vandersloot, Dolson",1627674-1628931-1630113-202664-203828,CHI,137.0,1,2.0,,4.0,4.0,,2.0,8,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,3.0,,4.0,4.0,1.0,1.0,4.0,,,,,,,,1.0,2.0,1.0,1.0,2.0,3.0,,,,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,0.5,1.0,,,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,,,,84.08759124087592,15.75,18.5,15.5,16.75,0.3333333333333333,1.0,1.0,0.6666666666666666,,,1.0,1.0,,,,0.3333333333333333,0.4944,0.6854,,1.0,,4.066666666666666,,,,,2.0,2.0,1.0,1.0,,2.0,,,1.0,2.0,1.0,,1.0,1.0,,,,,0.25,0.25,1.0,2.0,,,,2.0,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628931-1630113-202664-204323,1611661329,"Kahleah Copper, Gabby Williams, Ruthy Hebard, Courtney Vandersloot, Cheyenne Parker","Copper, Williams, Hebard, Vandersloot, Parker",1627674-1628931-1630113-202664-204323,CHI,88.0,1,1.0,,3.0,3.0,,,6,,,,,,,2.0,,1.0,,1.0,2.0,1.0,2.0,2.0,,,,,,,,2.0,,1.0,1.0,,1.0,2.0,,2.0,,,2.0,,,0.5,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,0.5,0.5,1.0,,1.0,,,,,98.18181818181819,15.0,14.333333333333334,15.0,14.333333333333334,,,,0.6666666666666666,,0.3333333333333333,,,,,,0.3333333333333333,0.4598333333333333,,,,,9.85,25.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628931-201516-202664-203828,1611661329,"Kahleah Copper, Gabby Williams, Allie Quigley, Courtney Vandersloot, Stefanie Dolson","Copper, Williams, Quigley, Vandersloot, Dolson",1627674-1628931-201516-202664-203828,CHI,522.0,1,9.0,3.0,18.0,16.0,,2.0,34,3.0,3.0,1.0,1.0,,,3.0,4.0,2.0,,7.0,10.0,3.0,23.0,20.0,1.0,2.0,2.0,,,,,4.0,,2.0,,1.0,2.0,6.0,2.0,8.0,1.0,1.0,21.0,,,0.7,0.5,,0.6538461538461539,0.5,,0.6764705882352942,0.5,,0.23076923076923078,,,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.4,0.5,0.5,1.0,93.79310344827587,16.22222222222222,14.375,15.5,13.4375,0.23076923076923078,1.0,1.0,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.5,1.0,,,,0.46153846153846156,0.46723461538461536,0.4276,,0.08695652173913043,,9.49,24.599999999999998,,,2.0,6.0,10.0,5.0,6.0,2.0,13.0,,3.0,5.0,7.0,3.0,,0.7142857142857143,0.7142857142857143,,0.5,0.5,1.0,0.1875,0.23076923076923078,,,,3.0,2.0,4.0,,1.0,0.75,,4.0,,,1.0,,1.0,,,2.0,,1.0,,0.6666666666666666,,2.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,0.5,0.07692307692307693,1.0,1.0,1.0,,,,,,,,,,,,,,,1611661329,2020,2020,True
