EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,SecondChanceOffPoss,TotalPoss,Fouls,Pace,SecondsPerPossOff,Minutes,PlusMinus,DefPoss,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,DefAtRimReboundPct,PtsUnassisted3s,Fg2aBlocked,ShortMidRangeAssists,LostBallSteals,Charge Fouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,ShortMidRangePctAssisted,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,SecondChanceCorner3FGA,FTOffRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,Corner3Assists,Technical Free Throw Trips,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3FGM,HeaveAttempts,RecoveredBlocks,OffAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,BlockedAtRim,Offensive Fouls,AtRimPctBlocked,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,LongMidRangePctBlocked,team_id,year,season,team_vs
1628280-1629492-1630097-202662-204321,1611661323,"Brionna Jones, Beatrice Mompremier, Kaila Charles, Jasmine Thomas, Kaleena Mosqueda-Lewis","Jones, Mompremier, Charles, Thomas, Mosqueda-Lewis",1628280-1629492-1630097-202662-204321,CON,14.0,1,1.0,1.0,1,1.0,102.85714285714286,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
1628280-1629567-201886-203826-204321,1611661323,"Brionna Jones, Natisha Hiedeman, DeWanna Bonner, Alyssa Thomas, Kaleena Mosqueda-Lewis","Jones, Hiedeman, Bonner, Thomas, Mosqueda-Lewis",1628280-1629567-201886-203826-204321,CON,756.0,4,27.0,2.0,55,9.0,104.76190476190476,12.296296296296296,13.0,7.0,28.0,7.0,9.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,7.0,17.0,2.0,4.0,8.0,28.0,21.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,3.0,8.0,6.0,6.0,2.0,3.0,2.0,4.0,2.0,6.0,2.0,3.0,1.0,14.0,1.0,1.0,5.0,8.0,1.0,14.0,2.0,16.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,7.0,8.0,1.0,1.0,9.0,1.0,4.0,1.0,23.0,3.0,7.0,1.0,0.5714285714285714,0.6666666666666666,1.0,0.5,1.0,0.5,0.4117647058823529,1.0,0.3333333333333333,0.47619047619047616,1.25,0.2,0.56,1.25,0.25,0.19047619047619047,0.75,1.0,0.8,0.1,0.8333333333333334,0.5,0.8125,0.16666666666666666,0.25,1.0,0.7142857142857143,1.0,0.8,1.0,0.08333333333333333,15.142857142857142,12.222222222222221,14.428571428571429,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.6,0.23809523809523808,0.2,0.2,0.23809523809523808,0.2,0.2,1.0,0.047619047619047616,0.14285714285714285,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.5,1.0,1.0,0.2,1.0,0.2,0.2,0.5238095238095238,0.6666666666666666,0.4621,0.53775,0.51631,0.16666666666666666,0.2,0.17857142857142858,0.10714285714285714,8.770588235294117,24.85,0.25925925925925924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
1627678-1629492-1629567-203043-204321,1611661323,"Bria Holmes, Beatrice Mompremier, Natisha Hiedeman, Jacki Gemelos, Kaleena Mosqueda-Lewis","Holmes, Mompremier, Hiedeman, Gemelos, Mosqueda-Lewis",1627678-1629492-1629567-203043-204321,CON,288.0,1,10.0,1.0,20,1.0,100.0,18.6,5.0,-14.0,10.0,10.0,3.0,,1.0,,,,1.0,,3.0,,,,,,3.0,,,3.0,,4.0,,3.0,,,14.0,,,,,,,4.0,3.0,,,,,,,3.0,,,,,,,,,,1.0,1.0,2.0,,3.0,1.0,4.0,,1.0,1.0,1.0,,2.0,1.0,,3.0,3.0,1.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,0.42857142857142855,0.3333333333333333,,0.6666666666666666,0.25,0.5,,0.6,0.14285714285714285,0.3333333333333333,,,,,1.0,,10.2,18.6,9.2,0.14285714285714285,,,,0.42857142857142855,,,,,,,,0.42857142857142855,,,,,,,,,0.14285714285714285,,,0.42857142857142855,0.5714285714285714,,0.48851428571428573,,0.48851428571428573,,,,,6.525,24.666666666666668,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
1627678-1629567-201886-203826-204321,1611661323,"Bria Holmes, Natisha Hiedeman, DeWanna Bonner, Alyssa Thomas, Kaleena Mosqueda-Lewis","Holmes, Hiedeman, Bonner, Thomas, Mosqueda-Lewis",1627678-1629567-201886-203826-204321,CON,596.0,2,21.0,3.0,42,8.0,101.47651006711409,14.142857142857142,10.0,-11.0,21.0,14.0,8.0,,,,,,,1.0,8.0,,,,,2.0,8.0,,2.0,4.0,1.0,8.0,2.0,8.0,7.0,15.0,26.0,,1.0,,2.0,,1.0,6.0,4.0,5.0,7.0,2.0,,3.0,,8.0,2.0,1.0,1.0,2.0,1.0,,,5.0,1.0,2.0,2.0,3.0,,5.0,3.0,8.0,,1.0,,1.0,1.0,2.0,,1.0,3.0,2.0,4.0,6.0,,,10.0,,3.0,2.0,15.0,7.0,14.0,2.0,1.0,1.0,0.5,0.25,,0.25,0.125,,0.16666666666666666,0.25,,0.1,0.35714285714285715,,0.25,0.5,0.3333333333333333,,0.75,0.2857142857142857,0.6666666666666666,0.2,0.7142857142857143,0.25,0.2857142857142857,0.2,0.75,,,1.0,,14.238095238095237,12.619047619047619,13.761904761904763,,,,,0.5,0.125,0.16666666666666666,,,,,,0.5,0.25,0.25,0.5,,,0.6666666666666666,,,,,,0.4,0.5,0.25,0.44383125,0.558675,0.40279499999999996,0.15789473684210525,0.2727272727272727,,0.4666666666666667,7.225,26.6625,0.6666666666666666,,,,3.0,2.0,1.0,1.0,1.0,2.0,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
1628280-1629567-1630097-201896-203826,1611661323,"Brionna Jones, Natisha Hiedeman, Kaila Charles, Briann January, Alyssa Thomas","Jones, Hiedeman, Charles, January, Thomas",1628280-1629567-1630097-201896-203826,CON,334.0,2,11.0,2.0,21,3.0,90.53892215568862,20.636363636363637,6.0,-3.0,10.0,1.0,2.0,1.0,1.0,,,,,1.0,3.0,,2.0,,,,3.0,,,,2.0,6.0,,3.0,2.0,6.0,9.0,,1.0,,,,,,,2.0,2.0,2.0,2.0,,,3.0,,1.0,,1.0,,,,2.0,2.0,,1.0,1.0,,2.0,2.0,4.0,,2.0,1.0,,,3.0,,1.0,3.0,,1.0,6.0,2.0,,2.0,,1.0,,6.0,2.0,1.0,,0.5,0.5,,,,,0.3333333333333333,,,0.2222222222222222,,,0.3,,1.0,0.3333333333333333,,,1.0,,1.0,0.6666666666666666,1.0,0.2857142857142857,,0.6666666666666666,1.0,,1.0,,,10.7,19.363636363636363,10.7,0.1111111111111111,1.0,1.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,,,,,0.3333333333333333,,,,,,,,,,,,,0.4444444444444444,,0.4216388888888889,,,0.1,0.14285714285714285,,0.3333333333333333,10.966666666666667,25.433333333333334,0.09090909090909091,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
1628280-1629567-201886-202662-204321,1611661323,"Brionna Jones, Natisha Hiedeman, DeWanna Bonner, Jasmine Thomas, Kaleena Mosqueda-Lewis","Jones, Hiedeman, Bonner, Thomas, Mosqueda-Lewis",1628280-1629567-201886-202662-204321,CON,268.0,2,11.0,1.0,22,2.0,118.2089552238806,15.090909090909092,4.0,-2.0,11.0,3.0,1.0,1.0,1.0,,,,,1.0,3.0,,2.0,,,,1.0,,,,2.0,6.0,,1.0,6.0,10.0,12.0,,,,,1.0,,1.0,,3.0,3.0,4.0,,,,1.0,,2.0,,2.0,,1.0,,4.0,,1.0,2.0,,1.0,3.0,1.0,4.0,,2.0,,1.0,,,1.0,,1.0,1.0,1.0,5.0,,,8.0,,3.0,1.0,9.0,3.0,3.0,1.0,1.0,1.0,,,,,0.3333333333333333,,,0.2857142857142857,,,0.45454545454545453,0.5,0.5,0.14285714285714285,1.0,1.0,,0.25,1.0,,1.0,0.2,,,,,1.0,,,9.272727272727273,14.636363636363637,9.272727272727273,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.2857142857142857,,,,,0.14285714285714285,,,,,,,,,,,,,0.2857142857142857,,0.43339999999999995,,0.4351,0.3,0.3333333333333333,0.1,0.3,8.166666666666666,28.4,0.2727272727272727,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
1629492-1629567-201886-202662-204321,1611661323,"Beatrice Mompremier, Natisha Hiedeman, DeWanna Bonner, Jasmine Thomas, Kaleena Mosqueda-Lewis","Mompremier, Hiedeman, Bonner, Thomas, Mosqueda-Lewis",1629492-1629567-201886-202662-204321,CON,35.0,1,1.0,,2,,82.28571428571428,15.0,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,1.0,1.0,,,2.0,2.0,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,20.0,15.0,20.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.4036,,0.4036,,,,1.0,14.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
1630097-202662-203826-203849-204321,1611661323,"Kaila Charles, Jasmine Thomas, Alyssa Thomas, Theresa Plaisance, Kaleena Mosqueda-Lewis","Charles, Thomas, Thomas, Plaisance, Mosqueda-Lewis",1630097-202662-203826-203849-204321,CON,144.0,1,4.0,1.0,8,2.0,80.0,18.0,2.0,-1.0,4.0,,,,,,,,,2.0,3.0,,,1.0,,,,,,,2.0,3.0,,1.0,,4.0,5.0,1.0,1.0,,1.0,2.0,,,,,,4.0,,,,,,2.0,,2.0,,,,4.0,1.0,,,1.0,,1.0,2.0,3.0,,,,1.0,1.0,1.0,,,2.0,,1.0,2.0,,,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,0.6666666666666666,1.0,,0.5,0.5,,0.5,0.5,,0.25,0.5,,0.3333333333333333,,,1.0,0.2,0.5,,,0.5,,,,,18.0,12.25,11.75,,,,,0.75,0.6666666666666666,0.6666666666666666,,,,,0.25,,,,,,,,,,,,,,0.25,,0.4441875,0.514625,,0.25,0.3333333333333333,0.5,,8.133333333333333,23.5,,,,,,,2.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
1627678-1628280-1629492-1629567-204321,1611661323,"Bria Holmes, Brionna Jones, Beatrice Mompremier, Natisha Hiedeman, Kaleena Mosqueda-Lewis","Holmes, Jones, Mompremier, Hiedeman, Mosqueda-Lewis",1627678-1628280-1629492-1629567-204321,CON,172.0,1,6.0,,12,,100.46511627906976,16.666666666666668,3.0,5.0,6.0,6.0,6.0,,,,,,,4.0,4.0,,,1.0,1.0,,,,,,4.0,4.0,1.0,1.0,2.0,13.0,8.0,,,,,,4.0,4.0,1.0,2.0,13.0,4.0,4.0,3.0,,,,2.0,1.0,3.0,,,,7.0,,,1.0,2.0,,3.0,,3.0,,,,,,,,,,,,1.0,,,3.0,,1.0,,13.0,13.0,6.0,,0.5,0.5,1.0,1.0,,1.0,1.0,,1.0,1.1,,1.1,1.0833333333333333,,1.0833333333333333,0.2,,,0.6666666666666666,,1.0,,0.75,,,,0.5,,1.0,,,12.0,16.666666666666668,11.833333333333334,,,,,0.8,1.0,1.0,,,,,0.2,,,,,,,,,,,,0.2,,0.2,,0.39489,,0.39489,0.16666666666666666,0.2,,1.0,7.65,23.6,1.0,,,1.0,,,2.0,,,,,,0.5,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
1627678-1628280-201886-202662-203826,1611661323,"Bria Holmes, Brionna Jones, DeWanna Bonner, Jasmine Thomas, Alyssa Thomas","Holmes, Jones, Bonner, Thomas, Thomas",1627678-1628280-201886-202662-203826,CON,4069.0,7,137.0,17.0,275,23.0,97.32120914229542,13.934306569343066,68.0,-11.0,138.0,23.0,24.0,21.0,27.0,5.0,8.0,3.0,4.0,16.0,47.0,4.0,16.0,5.0,,3.0,18.0,,1.0,3.0,41.0,90.0,5.0,23.0,33.0,130.0,141.0,8.0,16.0,,1.0,20.0,5.0,13.0,3.0,8.0,21.0,50.0,32.0,12.0,8.0,17.0,3.0,25.0,4.0,29.0,2.0,11.0,2.0,62.0,5.0,15.0,16.0,32.0,,48.0,22.0,70.0,2.0,16.0,8.0,16.0,9.0,9.0,7.0,2.0,25.0,4.0,8.0,36.0,3.0,,45.0,1.0,18.0,5.0,110.0,21.0,23.0,5.0,0.6097560975609756,0.6756756756756757,0.8,0.21739130434782608,,0.22727272727272727,0.45555555555555555,0.5,0.38461538461538464,0.42920353982300885,0.47058823529411764,0.40625,0.48148148148148145,0.5,0.4375,0.20353982300884957,0.64,,0.7804878048780488,0.30612244897959184,0.8,0.3125,0.7868852459016393,0.3076923076923077,0.2903225806451613,0.3076923076923077,0.8095238095238095,0.75,0.7777777777777778,1.0,0.03389830508474576,15.652173913043478,13.153284671532846,15.166666666666666,0.23893805309734514,0.7777777777777778,0.7777777777777778,0.5238095238095238,0.415929203539823,0.3404255319148936,0.3902439024390244,0.1415929203539823,0.25,0.25,0.5,0.04424778761061947,0.1592920353982301,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.47058823529411764,0.625,0.058823529411764705,,,0.25,0.75,,0.1875,0.4424778761061947,0.17647058823529413,0.47722162162162163,0.5536269230769231,0.44716428571428574,0.13846153846153847,0.16822429906542055,0.15384615384615385,0.16153846153846155,7.612222222222223,26.769565217391307,0.1678832116788321,2.0,1.0,0.75,3.0,6.0,12.0,8.0,5.0,,0.06666666666666667,0.1276595744680851,0.75,4.0,,,,0.25,,2.0,,,1.0,3.0,3.0,3.0,0.4,0.3333333333333333,,2.0,,1.0,2.0,,0.3333333333333333,0.4,0.4,1.0,,1.0,1.0,2.0,0.5,0.6666666666666666,0.4,0.3333333333333333,,,,,,,,,,,,,,,,,1611661323,2020,2020,False
